#{"t_start": 1755013628.026034, "env_id": "None"}
r,l,t,episode_energy,success
-0.363639,300,3.001379,0.0,False
-0.36364,300,3.209185,0.0,False
-0.363601,300,3.420817,0.0,False
-0.36364,300,3.635624,0.0,False
-0.363639,300,3.839122,0.0,False
-0.36364,300,4.043882,0.0,False
-0.36364,300,5.130346,0.0,False
-0.363497,300,5.336149,0.0,False
-0.363578,300,5.535027,0.0,False
-0.36364,300,5.747251,0.0,False
-0.363338,300,5.955494,0.0,False
-0.363623,300,6.16502,0.0,False
-0.36363,300,6.415465,0.0,False
-0.363554,300,7.724414,0.0,False
-0.36352,300,7.959801,0.0,False
-0.36364,300,8.208405,0.0,False
-0.363579,300,8.444954,0.0,False
-0.36364,300,8.701648,0.0,False
-0.363581,300,8.921127,0.0,False
-0.36364,300,9.145194,0.0,False
-0.363558,300,10.336439,0.0,False
-0.36352,300,10.464759,0.0,False
-0.36364,300,10.609032,0.0,False
-0.36364,300,10.715816,0.0,False
-0.363602,300,10.820379,0.0,False
-0.363606,300,10.932126,0.0,False
-0.36364,300,11.046622,0.0,False
-0.363557,300,11.651705,0.0,False
-0.36349,300,11.801471,0.0,False
-0.363538,300,11.933941,0.0,False
-0.363592,300,12.039304,0.0,False
-0.36364,300,12.146119,0.0,False
-0.36364,300,12.250746,0.0,False
-0.3636,300,12.365584,0.0,False
-0.363538,300,13.114727,0.0,False
-0.363541,300,13.235807,0.0,False
-0.363623,300,13.347057,0.0,False
-0.36364,300,13.458976,0.0,False
-0.363578,300,13.56825,0.0,False
-0.363597,300,13.678609,0.0,False
-0.36364,300,14.419042,0.0,False
-0.363575,300,14.559933,0.0,False
-0.36364,300,14.705349,0.0,False
-0.36364,300,14.812831,0.0,False
-0.363613,300,14.923394,0.0,False
-0.363602,300,15.039204,0.0,False
-0.363628,300,15.185212,0.0,False
-0.363499,300,16.147438,0.0,False
-0.36364,300,16.332474,0.0,False
-0.363583,300,16.489932,0.0,False
-0.36345,300,16.650715,0.0,False
-0.363578,300,16.812103,0.0,False
-0.363557,300,16.966707,0.0,False
-0.363616,300,17.12297,0.0,False
-0.36364,300,18.052921,0.0,False
-0.36364,300,18.225845,0.0,False
-0.36364,300,18.4081,0.0,False
-0.36345,300,18.570521,0.0,False
-0.36364,300,18.725444,0.0,False
-0.363597,300,18.879823,0.0,False
-0.363613,300,19.038006,0.0,False
-0.36362,300,20.024005,0.0,False
-0.363631,300,20.213026,0.0,False
-0.36364,300,20.374024,0.0,False
-0.36348,300,20.554815,0.0,False
-0.36364,300,20.728598,0.0,False
-0.363619,300,20.889134,0.0,False
-0.363523,300,21.048027,0.0,False
-0.363578,300,22.023673,0.0,False
-0.36359,300,22.237,0.0,False
-0.36364,300,22.474067,0.0,False
-0.36364,300,22.668402,0.0,False
-0.363455,300,22.896644,0.0,False
-0.36364,300,23.082633,0.0,False
-0.363583,300,23.269162,0.0,False
-0.36364,300,24.281385,0.0,False
-0.36364,300,24.476035,0.0,False
-0.363444,300,24.678769,0.0,False
-0.363371,300,24.851288,0.0,False
-0.363458,300,25.062302,0.0,False
-0.36364,300,25.24102,0.0,False
-0.36364,300,26.180507,0.0,False
-0.363514,300,26.366771,0.0,False
-0.363579,300,26.52412,0.0,False
-0.36364,300,26.683048,0.0,False
-0.363592,300,26.846206,0.0,False
-0.363593,300,27.018111,0.0,False
-0.36364,300,27.200314,0.0,False
-0.36346,300,28.153225,0.0,False
-0.36364,300,28.348526,0.0,False
-0.363447,300,28.509687,0.0,False
-0.36364,300,28.668189,0.0,False
-0.363616,300,28.833735,0.0,False
-0.363544,300,28.991045,0.0,False
-0.363583,300,29.155367,0.0,False
-0.36364,300,30.149266,0.0,False
-0.36364,300,30.328806,0.0,False
-0.363635,300,30.531012,0.0,False
-0.36364,300,30.693949,0.0,False
-0.36364,300,30.853571,0.0,False
-0.36364,300,31.013928,0.0,False
-0.363617,300,31.1697,0.0,False
-0.36359,300,32.217177,0.0,False
-0.36364,300,32.401681,0.0,False
-0.3635,300,32.609585,0.0,False
-0.363508,300,32.801407,0.0,False
-0.363639,300,32.969521,0.0,False
-0.363635,300,33.128678,0.0,False
-0.36364,300,33.28557,0.0,False
-0.363566,300,34.330596,0.0,False
-0.363616,300,34.507938,0.0,False
-0.363621,300,34.685041,0.0,False
-0.36364,300,34.929787,0.0,False
-0.363565,300,35.239162,0.0,False
-0.36364,300,35.552517,0.0,False
-0.36364,300,35.858318,0.0,False
