#{"t_start": 1755114687.2535849, "env_id": "None"}
r,l,t,episode_energy,success
-0.363606,300,3.739801,0.0,False
-0.363483,300,3.984124,0.0,False
-0.363628,300,4.206465,0.0,False
-0.363543,300,4.447376,0.0,False
-0.36355,300,4.699376,0.0,False
-0.363584,300,4.970215,0.0,False
-0.363582,300,6.247491,0.0,False
-0.36364,300,6.489872,0.0,False
-0.36364,300,6.705655,0.0,False
-0.363529,300,6.956788,0.0,False
-0.363534,300,7.07872,0.0,False
-0.363578,300,7.190068,0.0,False
-0.36364,300,7.300057,0.0,False
-0.363617,300,7.943712,0.0,False
-0.363596,300,8.087662,0.0,False
-0.363591,300,8.227292,0.0,False
-0.36364,300,8.363015,0.0,False
-0.363555,300,8.479975,0.0,False
-0.363578,300,8.588085,0.0,False
-0.363394,300,8.713873,0.0,False
-0.363603,300,9.568665,0.0,False
-0.363553,300,9.720697,0.0,False
-0.363547,300,9.907615,0.0,False
-0.363535,300,10.032306,0.0,False
-0.36361,300,10.165972,0.0,False
-0.363618,300,10.27902,0.0,False
-0.36354,300,10.432705,0.0,False
-0.363586,300,11.298609,0.0,False
-0.363578,300,11.484619,0.0,False
-0.363527,300,11.597371,0.0,False
-0.36364,300,11.727079,0.0,False
-0.36364,300,11.965829,0.0,False
-0.363598,300,12.214369,0.0,False
-0.36364,300,12.452508,0.0,False
-0.363442,300,13.570903,0.0,False
-0.363562,300,13.795542,0.0,False
-0.363604,300,14.00348,0.0,False
-0.36364,300,14.243551,0.0,False
-0.36364,300,14.49932,0.0,False
-0.363613,300,14.742577,0.0,False
-0.363523,300,15.787512,0.0,False
-0.36364,300,16.017148,0.0,False
-0.36364,300,16.266064,0.0,False
-0.363559,300,16.514096,0.0,False
-0.363488,300,16.748364,0.0,False
-0.363518,300,16.995797,0.0,False
-0.363522,300,17.20688,0.0,False
-0.363608,300,18.345596,0.0,False
-0.36364,300,18.563494,0.0,False
-0.363564,300,18.780273,0.0,False
-0.36364,300,18.988218,0.0,False
-0.363598,300,19.224523,0.0,False
-0.363601,300,19.433373,0.0,False
-0.363582,300,19.624043,0.0,False
-0.363424,300,20.686207,0.0,False
-0.36362,300,20.912027,0.0,False
-0.363547,300,21.087084,0.0,False
-0.363581,300,21.298147,0.0,False
-0.363595,300,21.502096,0.0,False
-0.36364,300,21.67281,0.0,False
-0.363535,300,21.837744,0.0,False
-0.363538,300,22.856584,0.0,False
-0.36364,300,23.040047,0.0,False
-0.363578,300,23.217472,0.0,False
-0.36364,300,23.472736,0.0,False
-0.36364,300,23.66887,0.0,False
-0.363525,300,23.894775,0.0,False
-0.363594,300,24.120707,0.0,False
-0.363596,300,25.148332,0.0,False
-0.363581,300,25.323253,0.0,False
-0.363591,300,25.539166,0.0,False
-0.36355,300,25.762962,0.0,False
-0.36358,300,25.948988,0.0,False
-0.36364,300,26.131228,0.0,False
-0.363472,300,26.302862,0.0,False
-0.363628,300,27.283273,0.0,False
-0.363603,300,27.466384,0.0,False
-0.363508,300,27.64811,0.0,False
-0.36364,300,27.833813,0.0,False
-0.363575,300,28.026547,0.0,False
-0.36364,300,28.188237,0.0,False
-0.36364,300,29.284509,0.0,False
-0.363578,300,29.475692,0.0,False
-0.363437,300,29.631652,0.0,False
-0.36358,300,29.798395,0.0,False
-0.363582,300,29.960488,0.0,False
-0.363618,300,30.169397,0.0,False
-0.36364,300,30.330573,0.0,False
-0.363581,300,31.266273,0.0,False
-0.363534,300,31.44007,0.0,False
-0.36364,300,31.595042,0.0,False
-0.36364,300,31.744067,0.0,False
-0.36364,300,31.897153,0.0,False
-0.363634,300,32.054273,0.0,False
-0.363581,300,32.204583,0.0,False
-0.363578,300,33.111558,0.0,False
-0.363501,300,33.284879,0.0,False
-0.363542,300,33.465257,0.0,False
-0.363417,300,33.616005,0.0,False
-0.363636,300,33.769214,0.0,False
-0.363578,300,33.920174,0.0,False
-0.363634,300,34.07379,0.0,False
-0.363512,300,34.980332,0.0,False
-0.363583,300,35.154931,0.0,False
-0.36364,300,35.320522,0.0,False
-0.36364,300,35.478904,0.0,False
-0.36358,300,35.65791,0.0,False
-0.36364,300,35.877556,0.0,False
-0.36364,300,36.220389,0.0,False
-0.363639,300,37.602746,0.0,False
-0.363599,300,37.856135,0.0,False
-0.363435,300,38.087479,0.0,False
-0.363585,300,38.297188,0.0,False
-0.36364,300,38.505149,0.0,False
-0.363516,300,38.787162,0.0,False
-0.36364,300,39.058804,0.0,False
-0.363531,300,40.262054,0.0,False
-0.363527,300,40.475494,0.0,False
-0.36364,300,40.687602,0.0,False
-0.363525,300,40.90782,0.0,False
-0.36364,300,41.138043,0.0,False
-0.36364,300,41.378737,0.0,False
-0.36349,300,42.536008,0.0,False
-0.36364,300,42.757602,0.0,False
-0.363515,300,42.98604,0.0,False
-0.363558,300,43.196475,0.0,False
-0.36364,300,43.423824,0.0,False
-0.36364,300,43.638494,0.0,False
-0.363626,300,43.852496,0.0,False
-0.363526,300,45.045018,0.0,False
-0.363621,300,45.270362,0.0,False
-0.36364,300,45.485086,0.0,False
-0.363597,300,45.703936,0.0,False
-0.363584,300,45.905645,0.0,False
-0.363596,300,46.115598,0.0,False
-0.363578,300,46.321874,0.0,False
-0.36353,300,47.586657,0.0,False
-0.363582,300,47.83352,0.0,False
-0.363522,300,48.061295,0.0,False
-0.36364,300,48.29622,0.0,False
