#{"t_start": 1754319334.0149198, "env_id": "None"}
r,l,t
-0.121441,400,6.531455
0.022808,400,6.694203
0.410221,400,6.856806
-0.48746,400,7.044486
0.575529,400,7.211632
0.396262,400,14.028285
0.366442,400,14.1975
0.067859,400,14.361358
-0.116931,400,14.52726
10.062681,106,14.57119
-0.007087,400,21.457107
0.046042,400,21.624173
0.285523,400,21.789177
-0.227378,400,21.951535
-0.006932,400,22.116056
0.099441,400,29.151231
-0.151606,400,29.314249
0.379601,400,29.477937
-0.508852,400,29.641516
0.163288,400,29.821986
0.893322,400,36.683386
0.484721,400,36.862645
0.050092,400,37.02577
-0.160246,400,37.186888
-0.431625,400,37.350124
-0.43561,400,44.189258
0.43081,400,44.354359
-0.316377,400,44.53694
0.321296,400,44.71065
0.368902,400,44.882919
0.877719,400,51.652034
-0.384963,400,51.816644
-0.142507,400,51.98131
-0.483269,400,52.144098
-0.138236,400,52.330307
0.265137,400,59.12718
0.384698,400,59.294203
0.073602,400,59.453809
-0.830536,400,59.616878
0.28903,400,59.778559
0.195149,400,66.197868
0.400126,400,66.362273
11.14688,319,66.492534
0.294714,400,66.678162
0.39827,400,66.842602
0.174623,400,73.636741
1.078829,400,73.806113
0.45468,400,73.966123
-0.535916,400,74.134317
-0.235449,400,74.316088
400,14.799361
-1.615665,400,15.392707
0.262414,400,15.587284
-0.486978,400,15.774547
-0.397802,400,15.973834
-0.164241,400,16.16705
-0.012391,400,16.743047
0.337575,400,16.951475
-1.222876,400,17.142473
-0.629545,400,17.327429
0.065622,400,17.505339
-0.7073,400,18.069556
-0.739314,400,18.261692
-0.266512,400,18.44419
0.01339,400,18.629627
-0.18044,400,18.812787
-1.057641,400,19.401624
-0.816208,400,19.595955
0.22578,400,19.78158
0.096135,400,19.967506
0.317958,400,20.149217
0.140382,400,20.72425
-0.369825,400,20.918976
-0.203752,400,21.101071
-1.423688,400,21.288149
0.002819,400,22.327366
-0.023769,400,22.89753
0.289105,400,23.097528
