#{"t_start": 1754321230.7319887, "env_id": "None"}
r,l,t
0.102335,400,7.479965
-0.044512,400,7.652764
0.077497,400,7.824957
0.154686,400,7.995313
0.167506,400,8.179331
0.075254,400,16.637583
0.07646,400,16.811709
0.03871,400,16.980804
-0.015248,400,17.153986
0.034247,400,17.342974
-0.138735,400,25.461756
0.037159,400,25.632353
0.01288,400,25.809935
-0.377649,400,25.984527
0.009011,400,26.168747
0.257921,400,34.635624
-0.016341,400,34.817251
0.393381,400,35.02529
0.065595,400,35.22614
0.457996,400,35.402019
-0.133783,400,43.821755
-0.705996,400,44.017702
-0.633673,400,44.189634
0.376836,400,44.378931
-0.058423,400,44.607535
,9.015089
-0.447583,400,9.227533
-0.615142,400,9.449269
-0.101348,400,9.681846
-0.429313,400,9.873204
-1.572967,400,10.80752
0.292602,400,11.054209
-1.361025,400,11.268474
-0.746706,400,11.47531
-1.015983,400,11.671222
-0.698629,400,12.545745
-1.143927,400,12.760993
-1.640949,400,12.969887
-0.478936,400,13.159759
10.631944,317,13.31293
-0.938252,400,13.512942
-0.638486,400,14.333468
-1.974584,400,14.527636
0.379703,400,14.716187
-0.836697,400,14.90513
0.052777,400,15.10974
-1.128256,400,15.843671
0.229369,400,16.045848
-0.005189,400,16.254853
-1.352451,400,16.442853
-0.011888,400,17.526787
-2.195539,400,18.319328
-1.620058,400,18.529835
-0.842905,400,18.722018
-1.485756,400,18.914095
11.067231,326,19.06951
-0.381684,400,19.873635
-0.568292,400,20.091212
-1.029959,400,20.284086
-0.065028,400,20.478643
-0.141055,400,20.688338
-0.341786,400,21.440871
-1.501929,400,21.647709
-1.546505,400,21.853961
-1.177972,400,22.046119
-0.535213,400,22.231403
0.117366,400,22.994803
-1.649396,400,23.206484
-0.28263,400,23.391618
-0.108798,400,23.587479
-0.789996,400,23.77741
-0.468841,400,23.975959
-0.385145,400,24.829922
0.634052,400,25.02522
0.244801,400,25.229117
-0.773567,400,26.329316
-0.989889,400,26.530291
-0.511779,400,27.509202
-0.379684,400,27.719802
-0.009442,400,27.98992
-0.142917,400,28.217491
0.588891,400,28.444315
0.413313,400,29.271864
-1.806827,400,29.483141
0.143147,400,29.697816
0.031209,400,29.883765
-1.38586,400,30.078963
0.266504,400,30.799724
0.296581,400,30.996483
-1.392225,400,31.186367
-0.981207,400,31.383085
-0.833803,400,31.57774
10.392599,388,32.377758
-0.634197,400,32.61838
-1.041668,400,32.829348
-0.628188,400,33.046395
-0.424143,400,33.240176
-0.113777,400,33.946794
0.297506,400,34.154402
-0.108365,400,34.356432
-0.25457,400,35.537505
-0.40775,400,35.738931
-0.553504,400,36.70579
0.112096,400,36.954792
0.158789,400,37.189043
0.055451,400,37.438
0.688735,400,37.645868
-0.039326,400,38.434157
-1.290024,400,38.646014
0.252701,400,38.834139
-0.131107,400,39.027601
-0.312458,400,39.234566
0.315314,400,39.448562
-0.476555,400,40.230422
-0.959964,400,40.426669
-0.472001,400,40.620367
-1.060725,400,40.826588
-0.053493,400,41.019166
0.295125,400,41.843221
-0.481321,400,42.029307
0.09982,400,42.221021
0.514421,400,42.415381
-0.225337,400,42.597885
-1.627643,400,43.381619
10.059059,154,43.46454
-0.168898,400,43.656749
-1.546791,400,44.882625
-1.235644,400,45.10677
0.299976,400,45.317016
-0.09181,400,46.201868
-0.223478,400,46.398632
0.348338,400,46.585158
-2.401445,400,46.78743
-1.261245,400,46.98221
-0.518554,400,47.890203
0.095463,400,48.115782
0.151904,400,48.317165
-0.147085,400,48.525368
0.244902,400,48.716788
-1.137091,400,49.480076
-0.280035,400,49.681491
-1.247569,400,49.871985
-1.205734,400,50.059712
