#{"t_start": 1754321589.839211, "env_id": "None"}
r,l,t
0.055938,400,5.549371
-0.010227,400,5.666197
0.019014,400,5.784862
0.09747,400,5.901728
0.107371,400,6.023155
0.027361,400,12.53822
0.032856,400,12.667031
0.013335,400,12.86418
-0.09549,400,13.002633
-0.038526,400,13.118053
-0.007943,400,20.443018
0.051739,400,20.594029
-0.022067,400,20.76302
-0.058444,400,20.886244
-0.021148,400,21.013506
0.120285,400,30.099061
-0.024195,400,30.449869
0.124923,400,30.603925
-0.048314,400,30.729029
0.002832,400,30.865588
-0.066163,400,37.727186
0.309642,400,37.850935
0.060358,400,37.969821
0.032694,400,38.092847
0.521114,400,38.204467
-0.139796,400,44.655433
0.574308,400,44.773366
-0.293007,400,44.893547
0.352499,400,45.01195
0.475749,400,45.131431
0.194948,400,51.275462
-0.7197,400,51.395426
0.094883,400,51.512889
0.439305,400,51.628678
0.614518,400,51.744409
0.31272,400,58.472169
-1.006531,400,58.666046
0.201467,400,58.818956
0.636042,400,58.950689
-0.364681,400,59.083496
-0.786132,400,65.362537
0.177646,400,65.48095
0.663629,400,65.606918
-0.981233,400,65.734246
0.419451,400,65.865295
0.447241,400,73.377066
0.392856,400,73.519445
-0.343229,400,73.658835
0.507,400,73.789746
-1.211068,400,73.91527
00,13.273113
-2.307941,400,14.065661
-2.040464,400,14.227684
-0.945169,400,14.398585
10.037267,94,14.440654
0.04771,400,14.584369
-1.018343,400,14.76689
-0.709263,400,15.59995
-0.411357,400,15.758432
-1.033266,400,15.913321
-0.716977,400,16.072301
0.174016,400,16.218533
0.264942,400,17.041906
-0.305833,400,17.196593
10.101553,81,17.225531
-0.788324,400,17.375178
-0.289264,400,17.512377
0.148028,400,17.642709
10.826461,296,18.266338
-1.312172,400,18.435714
0.229086,400,18.607445
-1.681096,400,18.78677
-0.494145,400,18.932928
0.58058,400,19.792879
0.001014,400,20.004066
0.117859,400,20.181236
0.20468,400,21.058795
-0.497858,400,21.198045
-0.492461,400,21.960912
0.293176,400,22.200345
0.364361,400,22.371381
-0.228074,400,22.542597
-0.127298,400,22.72636
0.223115,400,23.570715
-2.183049,400,23.77574
0.111945,400,23.91948
0.15537,400,24.124138
-0.919739,400,24.295615
0.046915,400,24.969066
0.428198,400,25.163954
-1.82594,400,25.392206
-1.510799,400,25.577958
-0.420113,400,25.74114
-0.679565,400,26.557547
-1.227584,400,26.88617
-1.205398,400,27.093674
-1.039531,400,27.254454
-0.818543,400,27.439476
-0.446224,400,27.621202
-0.035005,400,28.63163
0.417008,400,29.049327
-1.119006,400,30.917085
-0.748241,400,31.087553
-0.946361,400,31.253872
-0.655883,400,32.002331
-0.060979,400,32.161692
0.229488,400,32.295332
-0.366723,400,32.421083
0.110621,400,32.56734
0.198211,400,33.501868
-1.252225,400,33.673438
-0.091166,400,33.803755
-0.275267,400,33.932947
-0.957754,400,34.066884
0.292585,400,34.713922
-1.133865,400,34.898497
-0.2826,400,35.038351
-1.081815,400,35.184004
-0.381714,400,35.337459
0.592552,400,35.99237
0.147808,400,36.162793
0.205219,400,36.309789
-0.696542,400,36.46348
-0.229679,400,36.634787
-0.823471,400,37.312677
-2.182204,400,37.499976
-0.113029,400,38.248888
0.037373,400,38.383599
-0.088812,400,38.519006
-0.055488,400,39.247598
0.312721,400,39.440681
0.045252,400,39.575935
-1.445743,400,39.709751
-1.314501,400,39.860707
0.316252,400,40.469577
-0.913944,400,40.660151
0.40267,400,40.817021
-0.925099,400,40.972668
0.241727,400,41.108645
-1.442309,400,41.238838
0.438439,400,41.894095
0.007211,400,42.05387
-1.449119,400,42.186866
-0.430902,400,42.316944
0.082834,400,42.44915
-0.539647,400,43.1938
0.064125,400,43.347536
-0.091809,400,43.489523
-0.827065,400,43.62191
0.155209,400,43.754783
0.053357,400,44.418037
0.122971,400,45.169489
-0.408531,400,45.326942
-0.084186,400,45.460228
-1.421218,400,45.593695
-0.666694,400,46.223685
-2.168069,400,46.391856
-1.064577,400,46.52896
0.322525,400,46.653239
-0.857118,400,46.783231
0.306188,400,47.382253
-0.575876,400,47.55949
-1.199462,400,47.686334
0.12894,400,47.81619
-0.578769,400,47.947311
-0.625545,400,48.550254
0.101794,400,48.731835
-0.719374,400,48.862487
-1.176841,400,48.994385
0.276501,400,49.129426
-0.414879,400,49.826364
0.126088,400,50.010697
-0.682138,400,50.138563
0.270614,400,50.266494
0.178411,400,50.395099
0.236831,400,51.00329
-1.043262,400,51.787995
-0.524358,400,51.931589
-0.598207,400,52.060841
-0.607406,400,52.191326
-0.799208,400,52.318611
-0.863045,400,52.978964
0.351279,400,53.119063
-0.113365,400,53.249465
0.122576,400,53.388045
0.295715,400,53.538634
-0.080286,400,54.192457
0.138017,400,54.33442
-0.589365,400,54.462114
0.591356,400,54.623183
-0.958407,400,54.754879
-1.220856,400,55.506696
0.187662,400,55.65698
10.071031,78,55.687555
-1.090139,400,55.833411
0.208595,400,55.97962
0.212131,400,56.128602
0.064404,400,56.865091
0.367749,400,57.02744
-0.699016,400,57.171734
-0.9436,400,57.324399
0.205028,400,57.474278
-0.673445,400,59.155109
-0.936011,400,59.30489
0.230978,400,59.452447
-0.797004,400,59.589202
0.39081,400,59.749313
10.763991,277,60.427066
0.051011,400,60.61076
0.322815,400,60.745093
-1.206017,400,60.880719
-0.685442,400,61.011108
0.093927,400,61.739497
-0.63769,400,61.936818
-0.930097,400,62.073268
0.187222,400,62.230713
-0.419123,400,62.403295
0.025691,400,63.139438
-1.194946,400,63.351331
0.205331,400,63.500808
-0.056715,400,63.638452
0.571047,400,63.769453
0.564525,400,63.897289
-1.154306,400,64.564499
0.191944,400,64.707362
-0.212151,400,64.879654
-0.772875,400,65.058422
-0.250829,400,65.888008
0.230109,400,66.641878
0.044338,400,66.814318
-1.070703,400,66.974816
-0.834556,400,67.145842
-0.703123,400,67.331914
-0.341244,400,68.122642
-0.958432,400,68.286823
-1.004661,400,68.442564
-0.647443,400,68.61344
0.078212,400,68.818044
-0.096773,400,69.544397
-0.744729,400,69.748057
10.197702,68,69.772821
0.13991,400,69.917539
-0.517563,400,70.062376
0.028289,400,70.239978
10.120644,93,70.279747
-0.501322,400,71.210968
-0.75539,400,71.447979
10.010744,203,71.535087
-1.142193,400,71.777701
-1.305517,400,71.955345
-0.882322,400,72.651269
-0.193405,400,72.836394
-0.346703,400,72.98024
-1.394067,400,73.12098
-1.932379,400,73.257587
