#{"t_start": 1754392633.6884897, "env_id": "None"}
r,l,t
-0.039183,400,5.077825
-0.089543,400,5.184254
-0.131113,400,5.288632
-0.057425,400,5.423727
-0.091158,400,5.542984
-0.096529,400,11.221267
-0.089043,400,11.333731
-0.158047,400,11.506622
-0.009479,400,11.627638
-0.111699,400,11.731501
0.013149,400,17.183528
0.044137,400,17.30365
0.061815,400,17.424018
0.027058,400,17.540107
-0.118788,400,17.659111
-0.063836,400,23.083404
-0.063266,400,23.193949
0.231356,400,23.299781
0.051466,400,23.410755
-0.168847,400,23.522987
-0.033474,400,28.883471
-0.102203,400,29.005294
-0.181876,400,29.116586
-0.002485,400,29.225455
0.029601,400,29.332693
-0.731215,400,34.676286
0.230495,400,34.788108
-0.402193,400,34.897683
0.336827,400,35.008634
0.089586,400,35.118136
0.378096,400,40.806649
0.168117,400,40.918421
-0.152866,400,41.037282
-0.272338,400,41.145874
-0.569619,400,41.253437
0.633829,400,46.80664
0.443109,400,46.923992
0.651859,400,47.039752
0.122939,400,47.162813
-0.356287,400,47.280505
0.310858,400,52.292547
0.075783,400,52.402459
0.545003,400,52.525678
-0.018178,400,52.63559
0.002978,400,52.743578
-0.483305,400,58.048684
0.441393,400,58.157564
0.433621,400,58.265742
0.162074,400,58.376977
-0.614558,400,58.488952
-0.637055,400,63.715021
0.421383,400,63.833202
0.390821,400,63.941188
0.508766,400,64.047827
0.219785,400,64.1562
0.430802,400,69.792942
0.145875,400,69.914505
-0.00713,400,70.090862
0.268639,400,70.208516
-0.04402,400,70.325314
0.404166,400,75.578789
0.45195,400,75.711139
-0.236572,400,75.890658
0.092117,400,76.018623
0.087172,400,76.146579
0.505549,400,81.71724
0.490776,400,81.829529
0.294575,400,81.942075
0.214684,400,82.055319
-0.841912,400,82.169291
10.343046,122,87.559143
-0.315567,400,87.670771
0.039557,400,87.788728
-0.028373,400,87.901491
-0.010713,400,88.009061
0.323382,400,93.17424
-0.650777,400,93.280966
-0.424681,400,93.422762
0.17609,400,93.58779
0.503457,400,93.695349
0.411166,400,99.368451
0.136862,400,99.489005
-0.684692,400,99.598195
-0.077065,400,99.723912
0.419793,400,99.833816
0.412352,400,104.87097
-0.697507,400,104.980199
0.204943,400,105.098144
-0.810186,400,105.214331
0.387262,400,105.326913
-0.353905,400,111.244689
0.084835,400,111.360781
0.415938,400,111.469227
-0.034098,400,111.583448
-0.694929,400,111.730003
