#{"t_start": 1754321469.7644763, "env_id": "None"}
r,l,t
0.254246,400,8.265158
-0.108519,400,8.461656
0.022825,400,8.651127
0.368704,400,8.841211
0.387145,400,9.03185
0.638991,400,17.533057
0.661279,400,17.701419
0.519384,400,17.871166
0.013374,400,18.065108
0.23226,400,18.231045
0.521607,400,27.294189
0.597895,400,27.479332
10.10955,134,27.53723
0.590711,400,27.705929
-0.989023,400,27.895317
0.459229,400,36.523861
0.100929,400,36.694681
0.697857,400,36.873601
0.032558,400,37.059973
0.327102,400,37.23157
-0.723093,400,45.295147
-0.124374,400,45.479548
-0.363739,400,45.651944
-0.503635,400,45.833617
0.32756,400,46.014433
-0.419941,400,53.942211
0.465472,400,54.116071
-0.59495,400,54.285257
0.173617,400,54.459249
0.408431,400,54.627564
46,400,11.60805
0.472414,400,11.816999
-1.704077,400,12.011535
-0.944472,400,12.209147
-1.193552,400,12.433547
-0.763718,400,13.330761
-0.933234,400,13.569142
-1.724288,400,13.775217
-0.419183,400,13.981593
0.048765,400,14.180534
-1.657864,400,14.932537
-1.341512,400,15.161508
-0.603765,400,15.374876
-0.137857,400,15.602624
0.133029,400,15.838031
-0.877535,400,16.034043
-0.018055,400,16.785504
0.094198,400,16.995347
0.751454,400,17.184493
-0.640272,400,17.378331
-0.298507,400,18.439342
-2.277054,400,19.230213
-2.067759,400,19.458402
-1.478193,400,19.699915
-1.845532,400,19.94452
-0.19349,400,20.226193
0.102632,400,21.119549
-0.568027,400,21.318454
-0.929552,400,21.517426
0.141534,400,21.716465
0.052735,400,21.938154
0.27113,400,22.925213
-0.784452,400,23.175392
-1.00907,400,23.38361
-1.01543,400,23.601976
0.010083,400,23.84217
-0.188287,400,24.796656
-1.626193,400,25.089641
-0.531561,400,25.289788
-1.09889,400,25.494433
0.057992,400,25.700963
0.28727,400,26.50464
0.189629,400,26.712238
0.353644,400,26.914945
0.040603,400,27.114411
-1.187277,400,28.196287
-0.216965,400,29.167341
0.235425,400,29.401994
-0.196725,400,29.649436
-0.138099,400,29.842138
0.690361,400,30.048063
0.111759,400,30.947695
-2.319084,400,31.161854
0.149661,400,31.359241
-0.060034,400,31.565002
-0.461841,400,31.753852
-0.067738,400,31.942895
-0.06928,400,32.789379
0.423116,400,32.981579
-1.15656,400,33.169547
-0.986379,400,33.358295
10.517917,328,33.528613
-0.33122,400,34.322902
-0.923796,400,34.529175
-0.690997,400,34.741503
-0.806169,400,34.938086
-0.330636,400,35.130697
0.178099,400,35.937794
0.055018,400,36.134908
-0.319071,400,36.330024
-0.236929,400,37.416943
-0.848679,400,37.613996
-0.207948,400,38.360052
0.013073,400,38.555991
0.045118,400,38.748373
-0.442715,400,38.935671
-0.189784,400,39.143337
0.418827,400,39.913247
-1.363335,400,40.114496
-0.29683,400,40.314291
-0.069676,400,40.500661
-0.416986,400,40.684665
0.177924,400,41.444784
-1.21199,400,41.653011
-0.344504,400,41.845025
-1.475851,400,42.033021
-0.55962,400,42.226264
0.378595,400,43.074607
0.525936,400,43.290685
0.409711,400,43.484684
-0.676908,400,43.69851
-0.478181,400,43.889496
-1.795659,400,44.080505
-0.687609,400,44.905181
-1.111592,400,45.101715
-0.262645,400,46.189873
0.438338,400,46.377291
-0.119716,400,46.567506
-0.091585,400,47.404682
0.014397,400,47.602856
0.458534,400,47.792045
-2.575039,400,47.976326
-0.774064,400,48.186046
-0.164224,400,48.91593
-0.209317,400,49.112724
0.101312,400,49.315576
-0.783891,400,49.506233
0.08049,400,49.712343
10.188175,196,50.377712
0.314444,400,50.583606
-0.997721,400,50.771468
-0.227161,400,50.962564
-0.784718,400,51.145691
-0.244034,400,51.332359
-0.729392,400,52.069731
-0.087232,400,52.25889
0.127473,400,52.445381
-0.571531,400,52.656877
10.638913,376,52.834833
0.102597,400,53.634849
-0.434248,400,54.693264
-0.462478,400,54.893058
0.108415,400,55.078608
10.053951,127,55.142128
