#{"t_start": 1754320179.3546717, "env_id": "None"}
r,l,t
-0.124323,400,5.963856
0.026634,400,6.092681
0.388837,400,6.224181
-0.48565,400,6.368371
0.547145,400,6.515703
0.449848,400,13.080281
0.382494,400,13.237612
0.10501,400,13.379809
-0.07762,400,13.51522
10.064275,111,13.549822
0.011612,400,20.225747
0.066064,400,20.375885
0.288596,400,20.509973
-0.224154,400,20.658028
-0.006085,400,20.822879
0.009711,400,27.68507
-0.220138,400,27.884129
0.384484,400,28.05995
-0.485726,400,28.238369
0.10873,400,28.399322
0.734461,400,36.12769
0.395063,400,36.283855
0.013901,400,36.424656
-0.06505,400,36.581316
-0.357094,400,36.733524
-0.545837,400,43.547549
0.583584,400,43.706377
-0.591586,400,43.838507
0.389884,400,43.972206
0.360914,400,44.107281
0.874076,400,50.80485
-0.126524,400,50.952213
-0.264576,400,51.110623
-0.16267,400,51.237448
-0.14748,400,51.37292
0.365027,400,57.852101
0.389148,400,57.974424
0.298626,400,58.102602
-0.081203,400,58.239159
0.365557,400,58.368072
0.314977,400,64.099747
0.400945,400,64.226693
0.653199,400,64.358533
0.92062,400,64.489255
0.452781,400,64.617516
0.970079,400,71.300215
0.658674,400,71.423942
0.000151,400,71.586683
-0.480239,400,71.71422
0.398172,400,71.840911
13.715763
-1.236316,400,14.474434
0.262243,400,14.629773
-0.458866,400,14.774273
-0.357454,400,14.915848
-0.135459,400,15.063819
0.003721,400,15.688356
0.3961,400,15.843379
-1.228832,400,15.987676
-0.6199,400,16.132444
0.100257,400,16.279953
-0.692248,400,16.893177
-0.483792,400,17.059101
-0.25306,400,17.20455
0.035209,400,17.346103
-0.112974,400,17.492586
-1.073259,400,18.08752
-0.803123,400,18.265575
0.254254,400,18.410378
0.099642,400,18.579688
0.335811,400,18.770844
0.179279,400,19.538027
-0.371555,400,19.738876
-0.143285,400,19.921678
-1.379416,400,20.09167
0.044443,400,21.064815
-0.011458,400,21.695714
0.289756,400,21.918899
-0.593432,400,22.085133
-0.945693,400,22.238376
-0.848777,400,22.386919
-0.486377,400,22.975596
0.411144,400,23.192663
0.230667,400,23.355851
-0.673928,400,23.50659
0.308744,400,23.654417
0.304192,400,23.799977
0.267047,400,24.484216
0.237433,400,24.641624
-0.825562,400,24.785412
0.263635,400,24.934797
-1.110935,400,25.081697
-1.289833,400,25.728257
0.342681,400,25.883359
-0.538691,400,26.025216
0.246738,400,26.167188
-0.62695,400,26.356061
0.071596,400,27.152823
0.608008,400,27.346169
0.337599,400,27.527295
-0.564508,400,28.592954
-0.947142,400,28.784826
-0.001283,400,29.636323
0.173509,400,29.834455
-0.575929,400,30.008941
-0.024886,400,30.213207
-0.61352,400,30.378958
0.010398,400,31.18975
-0.980134,400,31.425758
0.233343,400,31.609432
-0.930175,400,31.770626
0.184944,400,31.935006
-0.311983,400,32.759803
-0.441748,400,32.988931
-0.236834,400,33.161186
0.294787,400,33.324807
0.510571,400,33.487048
0.362488,400,34.065784
0.170228,400,34.269106
0.241715,400,34.437636
0.334716,400,34.625498
0.35059,400,34.79227
-0.189801,400,35.59378
0.142188,400,35.825975
0.240893,400,35.990433
0.32673,400,36.941543
0.005635,400,37.104304
-0.464991,400,37.2661
0.314118,400,37.955583
-0.240437,400,38.136749
-1.473305,400,38.28335
0.104181,400,38.424549
0.635461,400,38.580086
0.259391,400,39.270437
0.322542,400,39.424893
0.413116,400,39.564273
-0.644387,400,39.709855
-0.597142,400,39.853397
-0.235324,400,40.556627
-0.678601,400,40.703206
-0.348633,400,40.849072
0.190826,400,41.020261
0.272766,400,41.183411
-0.260983,400,41.835179
0.258514,400,42.006034
-0.536862,400,42.152735
-0.119402,400,42.301076
-0.998377,400,42.510292
0.106293,400,43.210367
-0.254449,400,43.406509
0.200972,400,44.271357
-0.947643,400,44.442896
0.320923,400,44.613125
0.483554,400,45.265314
-0.122884,400,45.447582
-0.284078,400,45.590896
0.402235,400,45.732345
0.289817,400,45.885055
-0.446764,400,46.508924
0.1587,400,46.75733
-0.713668,400,46.923296
-0.308972,400,47.089207
0.59145,400,47.236692
-0.318308,400,47.790954
0.357317,400,47.980325
0.396269,400,48.147162
0.350475,400,48.342039
0.408463,400,48.4853
0.353506,400,49.078762
0.479209,400,49.318815
0.283826,400,49.484562
0.150867,400,49.654221
0.027697,400,49.819643
-0.264591,400,49.962524
0.374945,400,50.660536
-0.612192,400,51.548156
0.379953,400,51.704036
0.206839,400,51.852831
0.84457,400,52.001006
-0.494813,400,52.648939
-0.11575,400,52.814202
-0.207036,400,53.00173
0.730504,400,53.170378
0.269218,400,53.312398
10.293954,315,53.931351
0.08863,400,54.127318
-0.191874,400,54.278884
10.109855,71,54.304486
0.307767,400,54.453892
0.370127,400,54.633693
0.571803,400,55.277751
0.81629,400,55.450467
0.357627,400,55.582368
0.299674,400,55.745896
0.464497,400,55.886078
9.907394,289,56.413001
0.379343,400,56.62536
-0.449701,400,56.768185
10.024939,69,56.796558
0.429379,400,56.939204
0.424356,400,57.104077
0.027739,400,57.661165
0.336539,400,58.509232
-0.141887,400,58.652186
0.212907,400,58.789411
-0.017879,400,58.937735
-0.260412,400,59.523682
0.273966,400,59.727014
0.304837,400,59.879145
-0.324235,400,60.021185
0.381399,400,60.16617
-0.387926,400,60.3294
0.135314,400,60.935257
0.033827,400,61.082747
0.481936,400,61.226006
-0.0283,400,61.368075
0.924347,400,61.527039
-0.342379,400,62.123801
0.265025,400,62.280636
0.451102,400,62.4285
0.023841,400,62.583685
-0.065698,400,62.736973
-1.060668,400,63.331285
0.332043,400,63.501145
-0.094154,400,63.658643
0.237197,400,63.808179
0.463368,400,63.954367
10.079521,286,65.177937
0.558827,400,65.370228
-0.710737,400,65.512132
-0.930625,400,65.658214
-0.660145,400,65.796349
10.984051,366,66.348393
0.235104,400,66.566989
-0.433476,400,66.720605
-0.463116,400,66.869083
-0.161315,400,67.03259
-0.092101,400,67.190352
-0.603069,400,67.932499
0.413429,400,68.088759
0.327839,400,68.250215
-0.259291,400,68.396051
-0.998268,400,68.555808
0.505935,400,69.263241
0.297622,400,69.431647
