#{"t_start": 1754318109.4961734, "env_id": "None"}
r,l,t
0.250598,400,7.176931
-0.072727,400,7.375326
0.598774,400,7.543398
0.439412,400,7.703683
0.494621,400,7.868158
0.115337,400,15.638577
0.163687,400,15.805545
0.153918,400,15.971421
-0.147397,400,16.147922
-0.038354,400,16.311512
0.252591,400,24.120727
0.027836,400,24.288359
10.115653,232,24.384943
0.015541,400,24.556644
-0.98494,400,24.729148
0.153984,400,32.227239
0.042773,400,32.393611
0.078939,400,32.560708
0.232919,400,32.734715
0.034212,400,32.901385
-0.981585,400,40.48223
-0.105015,400,40.655344
-0.695925,400,40.826798
-0.64974,400,41.005624
0.025313,400,41.170527
-0.923339,400,48.574889
0.247546,400,48.768268
-0.926987,400,48.962711
0.182627,400,49.154648
0.549669,400,49.34408
0.052051,400,56.964566
-1.313486,400,57.139873
-0.082589,400,57.304166
0.476119,400,57.463948
-0.452826,400,57.629365
-0.258158,400,65.212173
-1.120446,400,65.378735
0.190719,400,65.544801
-0.212355,400,65.706421
-0.56445,400,65.886615
0.103865,400,72.982349
-0.017356,400,73.146457
-1.079929,400,73.312165
0.372833,400,73.476871
-0.668973,400,73.663742
-0.145731,400,81.252325
0.462816,400,81.447751
0.418152,400,81.620926
-0.443558,400,81.794047
0.074521,400,81.960505

-2.068249,400,17.094095
-0.827092,400,17.286607
-0.638595,400,17.469029
10.057691,65,17.499428
0.061111,400,17.686405
-0.266468,400,17.869146
0.375445,400,18.602696
-0.64069,400,18.838492
-0.73784,400,19.035213
-0.519914,400,19.268994
0.148887,400,19.550166
0.388182,400,20.396363
-0.448912,400,20.592854
10.138429,75,20.628325
-0.573729,400,20.82004
-0.361962,400,21.006252
0.462079,400,21.195336
-0.089855,400,21.917282
-1.587878,400,22.109177
0.223017,400,22.293631
-0.791976,400,22.487073
-0.535233,400,22.69707
0.376588,400,23.371603
-0.077116,400,23.559928
0.249805,400,23.74592
10.866899,400,23.958639
-0.960843,400,24.940408
-0.574265,400,25.619957
0.392304,400,25.822983
0.192952,400,26.00498
-0.276024,400,26.203529
0.357958,400,26.381891
0.37777,400,27.040877
-1.436713,400,27.237639
0.021983,400,27.419785
-0.142001,400,27.603309
-0.750591,400,27.789954
0.357702,400,27.975361
0.015728,400,28.775418
0.810515,400,28.968297
-1.279118,400,29.159875
-1.098378,400,29.351501
-0.20818,400,29.551227
-0.344985,400,30.269854
