#{"t_start": 1754318370.338283, "env_id": "None"}
r,l,t
-0.12694,400,7.345982
0.018442,400,7.512432
0.38557,400,7.719018
-0.485147,400,7.897411
0.540287,400,8.063642
0.425736,400,15.396354
0.367546,400,15.576319
0.106513,400,15.742236
-0.096035,400,15.904559
10.055866,118,15.951483
-0.036384,400,23.16493
0.007145,400,23.341543
0.293057,400,23.510822
-0.243491,400,23.672845
0.017762,400,23.840264
0.121335,400,30.999554
-0.139867,400,31.164232
0.384469,400,31.33354
-0.575984,400,31.499362
0.014735,400,31.681906
0.769957,400,38.536146
0.53482,400,38.74124
-0.101253,400,38.92262
-0.105546,400,39.128913
-0.391609,400,39.302427
-0.335042,400,46.388032
0.481534,400,46.567645
-0.445098,400,46.731236
0.378285,400,46.900571
0.365537,400,47.059669
0.508923,400,54.124648
-0.228152,400,54.302718
-0.152572,400,54.468516
-0.408647,400,54.634044
-0.367056,400,54.798015
0.423664,400,61.757765
0.445891,400,61.93851
0.602002,400,62.102564
-0.060825,400,62.267631
0.441713,400,62.432947
0.314091,400,68.843429
0.481532,400,69.034617
0.469031,400,69.26728
0.550115,400,69.465713
0.526747,400,69.648206
0.523938,400,76.613467
0.081809,400,76.776186
0.218184,400,76.940866
-0.656541,400,77.105769
0.512048,400,77.285561
58788
-1.496364,400,16.745005
0.254672,400,16.936261
-0.372032,400,17.120008
-0.368723,400,17.30424
-0.151034,400,17.486521
0.001588,400,18.174609
0.360989,400,18.361354
-1.224298,400,18.550612
-0.619515,400,18.771111
0.079923,400,19.000495
-0.698194,400,19.6507
-0.443717,400,19.869292
-0.268604,400,20.068999
0.030333,400,20.259134
-0.147292,400,20.44418
-1.075387,400,21.066427
-0.816119,400,21.2627
0.209301,400,21.456562
0.077954,400,21.64524
0.334068,400,21.832856
0.164017,400,22.406084
-0.364042,400,22.606147
-0.112494,400,22.805584
-1.303406,400,22.98999
0.037514,400,24.039973
-0.034915,400,24.59902
0.29082,400,24.799903
-0.662438,400,24.987227
-0.991428,400,25.173279
-0.80853,400,25.360011
-0.518269,400,25.932657
0.385191,400,26.147763
0.303531,400,26.332266
-0.715249,400,26.523268
0.280777,400,26.709854
0.303807,400,26.894706
0.271005,400,27.497398
0.195403,400,27.739408
-0.81991,400,27.971608
0.275657,400,28.199323
-1.271971,400,28.433504
-1.126116,400,29.093433
0.341071,400,29.278155
-0.55475,400,29.466341
0.242883,400,29.648827
-0.628201,400,29.860177
-0.150004,400,30.439794
0.673589,400,30.628779
0.341772,400,30.818647
-0.510045,400,31.886478
-0.927508,400,32.089722
-0.038907,400,32.64581
0.154345,400,32.828978
-0.613839,400,33.012799
-0.051647,400,33.216581
-0.642226,400,33.398766
0.205648,400,33.956634
-0.95073,400,34.1433
0.24914,400,34.345551
-0.872815,400,34.527372
0.065496,400,34.707389
-0.338746,400,35.260562
-0.547384,400,35.460006
-0.250446,400,35.642105
0.29837,400,35.83928
0.100856,400,36.016783
0.360161,400,36.615595
0.144648,400,36.823447
0.241265,400,37.009327
0.344278,400,37.19832
0.367417,400,37.382797
-0.037315,400,37.948043
0.133041,400,38.150354
0.254125,400,38.350628
0.326468,400,39.513246
0.168535,400,39.701106
-0.336532,400,39.914732
0.315596,400,40.55707
-0.231119,400,40.743193
-1.356276,400,40.945707
0.097125,400,41.149892
0.545918,400,41.341019
0.250835,400,42.048472
0.311341,400,42.245042
0.404593,400,42.433917
-1.00619,400,42.619056
-0.534521,400,42.798902
-0.368534,400,43.388609
-1.023408,400,43.573621
-0.364079,400,43.757402
0.217995,400,43.945934
0.257063,400,44.130998
-0.102382,400,44.719481
0.260482,400,44.922515
-0.486933,400,45.109576
-0.147864,400,45.289344
-1.222274,400,45.494046
0.094795,400,46.047452
-0.112192,400,46.228347
0.218605,400,47.262964
-0.856846,400,47.450358
0.353714,400,47.652598
0.692243,400,48.186462
-0.162383,400,48.376642
-0.223108,400,48.565058
0.206412,400,48.776511
0.084523,400,48.97647
-0.33377,400,49.646053
0.214692,400,49.875278
-0.660629,400,50.076752
-0.334001,400,50.271992
0.404755,400,50.459836
-0.370275,400,51.076803
0.377472,400,51.280421
0.397659,400,51.473902
0.366337,400,51.664515
0.409251,400,51.855251
0.122715,400,52.428578
0.22099,400,52.636187
0.310623,400,52.821841
0.15163,400,53.009313
0.011443,400,53.203283
-0.365322,400,53.386405
0.378579,400,53.964079
-0.776241,400,55.010482
0.373811,400,55.198813
0.188922,400,55.404096
0.675831,400,55.585103
-0.634181,400,56.158583
-0.090948,400,56.353044
-0.236764,400,56.541701
0.683463,400,56.724911
0.262835,400,56.910146
0.222603,400,57.480041
0.162686,400,57.672889
-0.172112,400,57.859258
-0.644234,400,58.047821
0.344987,400,58.233419
0.297323,400,58.846171
0.411853,400,59.102961
0.464728,400,59.294542
0.337037,400,59.475709
0.643356,400,59.677791
9.870171,307,60.22735
0.438642,400,60.426262
-0.670464,400,60.617976
10.047245,45,60.641305
0.450392,400,60.845199
0.420247,400,61.028298
0.026655,400,61.571913
0.348904,400,62.616367
-0.135782,400,62.801765
0.192665,400,63.002856
-0.022331,400,63.187732
-0.128472,400,63.742013
0.259999,400,63.937811
0.341958,400,64.132876
-0.300996,400,64.318855
0.387057,400,64.503483
-0.279046,400,64.683872
0.340282,400,65.260646
0.070247,400,65.442624
0.48517,400,65.628208
-0.126775,400,65.809911
0.498962,400,65.985214
-0.508433,400,66.564427
0.330698,400,66.750578
0.459413,400,66.934551
0.086091,400,67.121576
-0.036619,400,67.312142
-0.794927,400,67.880729
0.325585,400,68.092512
-0.01644,400,68.275067
0.11757,400,68.472873
0.481916,400,68.656143
-0.474085,400,70.277313
0.242952,400,70.491113
-0.9137,400,70.692875
-1.008306,400,70.882221
-0.487668,400,71.076488
0.155778,400,71.681064
0.179431,400,71.885392
-0.074153,400,72.07539
-0.738939,400,72.251826
-0.082306,400,72.437179
-0.083664,400,73.039167
0.342941,400,73.228888
0.473908,400,73.414684
-0.201118,400,73.601566
-0.772161,400,73.780393
-0.137003,400,74.341836
0.335966,400,74.539239
-0.12005,400,74.721629
-1.148868,400,74.908197
-0.101191,400,75.107129
0.169145,400,75.667186
0.331131,400,75.884809
0.347001,400,76.071532
-0.730584,400,76.265519
0.096112,400,76.443531
0.210997,400,77.468587
