#{"t_start": 1754401872.306926, "env_id": "None"}
r,l,t
0.33002,400,5.566681
0.048581,400,5.683638
10.368126,113,5.716429
0.361881,400,5.833276
10.670164,116,5.866583
10.727198,118,11.435222
10.527499,83,11.462169
0.186282,400,11.587832
10.589005,79,11.61126
0.296728,400,11.729521
0.26169,400,18.890371
0.592995,400,19.085609
10.418998,146,19.143914
10.966798,173,19.224863
0.186028,400,19.38373
0.405862,400,26.845767
10.467539,89,26.889406
0.475401,400,27.063359
-0.346978,400,27.214293
-0.1805,400,27.345533
0.408039,400,33.817408
10.390295,84,33.842817
-0.247266,400,33.979295
10.956536,171,34.037372
10.652835,93,34.071172
10.337185,91,40.648463
10.704428,158,40.700784
10.591077,48,40.715766
10.763324,139,40.76329
10.541963,133,40.807764
10.541972,81,47.08923
0.160688,400,47.205842
0.558421,400,47.318484
10.614313,86,47.348738
0.445362,400,47.486193
.687461,123,5.308733
0.136131,400,5.438164
10.482346,101,5.897375
0.034137,400,6.450364
0.055728,400,6.612291
10.627486,95,6.640083
-0.200539,400,6.764603
-0.181855,400,6.896711
10.712427,85,6.924708
10.599766,130,6.964291
0.401966,400,7.480883
0.368091,400,7.66686
10.854618,220,7.737669
0.376572,400,7.868338
-0.274146,400,7.994595
10.771176,86,8.022876
0.197687,400,8.152037
0.643166,400,8.674548
10.158478,89,8.715276
10.752792,137,8.761914
10.355459,88,8.789893
0.476581,400,8.917419
0.430538,400,9.0476
10.848,172,9.100243
-0.458505,400,9.230859
10.866972,166,9.672926
0.413163,400,9.878602
-0.188161,400,10.026196
10.911767,160,10.085911
10.634983,126,10.133015
0.385633,400,10.274201
10.702101,127,10.321668
-0.419981,400,10.837754
0.393411,400,11.017545
10.538656,53,11.034527
0.492181,400,11.161682
10.379179,67,11.184134
-0.397119,400,11.327813
0.063116,400,11.834335
10.367188,70,11.861367
-0.328693,400,12.392471
0.480589,400,12.583004
10.666045,109,12.626955
10.705543,109,12.667197
0.372249,400,12.862012
-0.585859,400,13.039056
0.11445,400,13.178684
10.532998,50,13.638993
10.693196,125,13.715198
0.144787,400,13.909342
10.82146,85,13.939517
0.496328,400,14.127158
-0.331441,400,14.305234
10.565404,86,14.345511
10.71932,113,14.396196
10.70532,115,14.446124
10.915579,169,14.512979
0.088566,400,15.390828
10.542563,117,15.445242
10.690603,86,15.481986
0.401515,400,15.655956
10.617924,118,15.713068
-0.679039,400,15.9177
-0.358815,400,16.102043
10.615822,91,16.139671
-0.853469,400,16.819051
10.81136,86,16.878002
10.278386,98,16.920041
0.591525,400,17.062153
-0.35006,400,17.207515
0.401316,400,17.35129
10.911192,189,17.438836
10.666803,115,17.485797
10.542595,130,18.062001
10.591967,76,18.107996
0.194144,400,18.305882
-0.403704,400,18.479655
0.020291,400,18.673823
-0.067756,400,19.57883
10.620726,79,19.617509
-0.316604,400,20.421093
0.274761,400,20.627004
-0.49872,400,20.816639
-0.400677,400,21.00237
10.506928,100,21.039546
10.56371,79,21.066983
10.75898,140,21.114663
10.788606,184,21.189918
-0.004002,400,21.786545
-0.078148,400,22.038096
10.322716,90,22.068143
0.388943,400,22.221743
-0.199722,400,22.371642
-0.133701,400,22.518752
0.39654,400,23.258239
10.803952,152,23.343152
-0.001117,400,23.517034
0.060655,400,23.693689
10.770772,90,23.728858
10.687502,82,23.762058
-0.047223,400,23.981039
0.233683,400,24.663128
-0.075032,400,24.882235
10.67371,95,24.950698
-0.926508,400,25.154458
0.389451,400,25.343831
0.017258,400,25.503262
-0.014095,400,26.284796
10.606013,68,26.327325
-0.357837,400,26.515471
-0.759503,400,26.680239
10.974018,91,27.373824
10.70742,115,27.422818
0.365672,400,27.593947
-0.030816,400,27.754387
10.297264,111,28.356883
10.980157,92,28.422037
10.331088,84,28.471438
10.734382,82,28.52396
-0.39355,400,28.726864
-0.746309,400,28.895452
-0.511989,400,29.0523
10.280709,130,29.100917
0.486693,400,29.749808
-0.629668,400,29.974268
0.399743,400,30.127449
-0.711204,400,30.290231
-0.341126,400,30.436023
-0.026914,400,30.569192
10.411306,142,31.031837
0.133227,400,31.211242
10.722216,82,31.236632
0.413699,400,31.364533
-0.495781,400,31.522852
0.618707,400,31.66231
10.525746,152,31.712976
-0.01012,400,32.320823
0.596079,400,32.465371
10.762576,232,32.54747
0.37282,400,32.696102
10.737467,249,32.783246
10.731005,134,32.830305
10.278841,93,32.861389
0.065403,400,33.395903
10.397031,49,33.420809
0.096319,400,33.602919
0.118735,400,34.154122
10.390355,106,34.188306
10.489885,83,34.213425
10.239749,91,34.244012
10.371177,172,34.299433
0.249385,400,34.426331
10.370074,51,34.445831
10.307055,122,34.495083
0.024628,400,35.062422
-0.329165,400,35.201632
10.35793,46,35.218918
0.120801,400,35.348249
-0.468095,400,35.475964
-0.239803,400,35.620072
0.083867,400,36.206057
0.41836,400,36.401603
-0.10118,400,36.583331
0.181624,400,36.812684
10.773403,135,36.866808
10.822488,163,36.936526
10.660302,126,36.992582
10.765503,134,37.514738
10.579828,90,37.558475
10.523618,103,37.610066
10.428956,162,37.718218
-0.435715,400,37.92656
0.388615,400,38.120948
10.795583,142,38.176926
0.406572,400,38.325635
10.610453,84,38.359294
10.844558,107,38.399174
10.398509,45,38.41548
0.603712,400,39.204646
0.109606,400,39.38349
10.449608,92,39.420833
0.026354,400,39.588187
10.754596,150,39.665644
0.399689,400,39.848267
0.46145,400,40.445449
10.352605,121,40.507821
10.596658,76,40.543662
-0.002801,400,40.894398
0.397586,400,41.044551
10.687245,122,41.085418
10.735918,92,41.11453
0.387261,400,41.253488
-0.426106,400,41.968868
10.983847,98,42.028588
10.656981,103,42.083217
0.049875,400,42.224807
10.890969,153,42.283574
10.642887,81,42.316543
0.385427,400,42.479947
10.894177,157,42.544347
0.204371,400,42.700974
0.274524,400,43.372919
0.171318,400,43.526594
10.933595,176,43.585679
10.705485,91,43.617146
10.658818,79,43.644747
10.771093,86,43.675086
0.396079,400,43.822964
0.450517,400,43.966406
10.516769,102,44.000923
-0.37111,400,44.576976
0.363344,400,44.743373
11.018039,101,44.780403
0.153471,400,44.928057
10.881485,210,45.015055
10.853016,151,45.077697
10.618057,89,45.10716
10.348391,94,45.137233
10.35068,120,45.175575
10.853146,152,45.631302
10.59266,81,45.674708
10.627992,97,45.724848
0.50285,400,45.895834
10.257085,111,45.93558
-0.296197,400,46.097527
10.535088,86,46.129686
-0.064412,400,46.282317
10.726928,133,46.328219
0.373469,400,46.918915
0.058464,400,47.563411
10.780835,86,47.600685
0.396734,400,47.763852
10.743491,173,47.819008
11.104942,99,47.852013
10.605763,147,47.901352
10.790881,143,47.948121
10.834214,139,47.993593
10.735161,294,48.089249
0.395669,400,48.642508
-0.69834,400,48.839899
10.78019,137,48.886811
0.372954,400,49.029052
0.035531,400,49.167276
