#{"t_start": 1754319960.2503762, "env_id": "None"}
r,l,t
0.25483,400,5.381706
-0.077101,400,5.494713
0.60264,400,5.606089
0.441186,400,5.718251
0.495455,400,5.828976
0.106005,400,11.655297
0.152465,400,11.771334
0.143744,400,11.883997
-0.143225,400,12.000654
-0.03578,400,12.113741
0.273399,400,17.95091
0.03915,400,18.070969
10.114459,231,18.147839
0.02591,400,18.26145
-0.988276,400,18.372701
0.165967,400,24.201261
-0.142854,400,24.31409
0.091797,400,24.428614
0.25048,400,24.5424
0.030432,400,24.666111
-0.092321,400,30.480212
-0.693804,400,30.590156
10.338329,284,30.67364
-0.079319,400,30.785793
-0.021297,400,30.902196
0.459949,400,36.674436
10.280569,243,36.757821
0.097257,400,36.86455
0.389199,400,36.977617
0.446202,400,37.08783
0.064355,400,42.829817
-0.694912,400,42.943837
-0.16035,400,43.054182
0.279623,400,43.166185
-0.466806,400,43.284404
-0.885586,400,48.946208
-0.018917,400,49.059433
-0.315559,400,49.171624
-0.46751,400,49.282665
0.11173,400,49.396128
-0.06554,400,54.607972
-0.179882,400,54.72183
-1.121326,400,54.831386
0.283421,400,54.943663
-0.640671,400,55.055316
-0.276413,400,60.793445
0.452289,400,60.912578
0.39504,400,61.035407
-0.52583,400,61.150815
0.220159,400,61.263968
6234
-2.062079,400,12.826032
-0.821752,400,12.994909
-0.621745,400,13.116271
10.057779,65,13.13678
0.048078,400,13.261003
-0.273024,400,13.382449
0.374445,400,13.988919
-0.668937,400,14.146923
-0.738489,400,14.269245
-0.52623,400,14.392606
0.151499,400,14.520148
0.394875,400,15.123687
-0.454768,400,15.296832
10.138696,75,15.321271
-0.559664,400,15.448717
-0.345503,400,15.570847
0.461171,400,15.697167
-0.100691,400,16.31005
-1.580099,400,16.472283
0.221208,400,16.590995
-0.791938,400,16.715755
-0.540139,400,16.83477
0.368027,400,17.431331
-0.075038,400,17.595883
0.227474,400,17.722239
10.863719,400,17.843548
-0.957669,400,18.518738
-0.572798,400,19.106741
0.367802,400,19.293802
0.190769,400,19.41771
-0.283372,400,19.544302
0.359752,400,19.667032
0.381379,400,20.221551
-1.446785,400,20.410726
0.095864,400,20.538552
-0.133086,400,20.662606
-0.7617,400,20.788069
0.329214,400,20.915289
0.016516,400,21.541735
0.745492,400,21.673328
-1.270762,400,21.796639
-1.103271,400,21.921082
-0.305093,400,22.045455
-0.328353,400,22.679051
-0.757269,400,22.824288
-0.964928,400,22.951464
10.01406,392,23.071757
-0.177295,400,23.196191
0.132117,400,23.813869
0.233493,400,23.970402
-0.399929,400,24.094839
-0.299052,400,24.81472
-0.069697,400,24.94076
-0.382506,400,25.526248
0.307892,400,25.686761
0.263401,400,25.824117
-0.346659,400,25.950931
-0.17515,400,26.077199
0.214721,400,26.68684
-1.288808,400,26.850918
0.275798,400,26.980744
-1.17556,400,27.105587
0.083221,400,27.229965
0.304063,400,27.819372
-1.333501,400,27.999629
-0.194484,400,28.121958
-1.233784,400,28.25035
-0.40167,400,28.375879
0.401064,400,28.927225
0.254717,400,29.115071
0.05576,400,29.238058
0.083519,400,29.363884
-0.415185,400,29.488369
-0.223086,400,30.051391
-1.301712,400,30.249022
0.146335,400,30.374401
-1.219229,400,31.045783
-0.238316,400,31.171771
0.345718,400,31.317254
-0.021467,400,31.915299
0.244019,400,32.045141
0.330327,400,32.16998
-1.365818,400,32.297578
-0.531826,400,32.431211
0.033021,400,33.012451
0.060883,400,33.151999
0.499427,400,33.279632
-0.860007,400,33.408064
0.246014,400,33.539546
-0.905537,400,34.146939
0.000831,400,34.294827
-1.085866,400,34.420144
-0.245049,400,34.560653
-0.006658,400,34.685183
-0.388229,400,35.276593
0.174778,400,35.434695
0.077847,400,35.558208
-0.842238,400,35.696406
-0.157166,400,35.818516
0.327044,400,36.404087
0.217871,400,36.56798
-1.348821,400,37.231422
0.387663,400,37.355263
-1.275211,400,37.482955
-0.289424,400,38.066474
-1.007197,400,38.231333
-0.739039,400,38.354576
0.229309,400,38.476821
-0.469077,400,38.598979
0.022517,400,39.174124
-0.374959,400,39.341672
-1.182069,400,39.466642
0.145011,400,39.592066
-0.611926,400,39.716656
-0.842098,400,40.299094
0.10359,400,40.473172
0.276291,400,40.597512
-1.068237,400,40.719036
0.247547,400,40.842181
-0.513845,400,40.965229
-0.295018,400,41.596856
0.172593,400,41.730578
-0.413819,400,41.856854
0.206134,400,41.9806
0.093538,400,42.104915
0.196566,400,42.708564
-1.028292,400,43.431699
-0.63007,400,43.554719
-0.143505,400,43.679473
-0.846473,400,43.803258
-0.964964,400,44.390049
0.24948,400,44.54132
0.029966,400,44.661513
0.135224,400,44.783515
0.210633,400,44.915738
-0.019326,400,45.499619
0.231493,400,45.65872
-0.52417,400,45.780324
0.364222,400,45.90461
-1.065454,400,46.030926
-1.816319,400,46.602016
0.231797,400,46.766094
-1.378095,400,46.888124
-1.076631,400,47.013069
0.28179,400,47.139172
-0.065206,400,47.694654
-0.189304,400,47.864812
-0.628914,400,47.988768
-0.137227,400,48.113647
0.226083,400,48.239597
-0.592077,400,48.793528
-0.515861,400,49.537956
0.329041,400,49.662191
-0.996194,400,49.786113
0.227373,400,49.924315
-0.272596,400,50.485104
0.138035,400,50.658604
0.28026,400,50.782781
-1.099624,400,50.906626
-0.280493,400,51.037489
0.026401,400,51.591242
-0.937829,400,51.761918
-1.077718,400,51.898542
0.147001,400,52.023967
0.06232,400,52.159218
0.056463,400,52.285648
0.259513,400,52.864807
-0.449783,400,53.001409
0.236163,400,53.127342
0.040785,400,53.272821
-0.276537,400,53.393328
0.34163,400,53.968775
0.270402,400,54.113672
-0.656497,400,54.237474
-0.774469,400,54.375168
0.170867,400,54.499171
-0.972166,400,55.675264
-0.150647,400,55.820549
-1.412943,400,55.942888
-0.831617,400,56.068386
-1.114848,400,56.195376
-0.638883,400,56.787958
-0.803236,400,56.940831
-0.648431,400,57.059177
-0.743624,400,57.181544
0.332305,400,57.308054
-0.214063,400,57.90682
-0.068326,400,58.067373
10.101755,116,58.101413
0.249558,400,58.225387
-1.480178,400,58.351189
0.312838,400,58.474635
10.116775,89,58.50265
-0.119801,400,59.121183
-0.840566,400,59.264296
-1.238265,400,59.393107
-1.30593,400,59.51538
-1.232634,400,59.638775
-0.776043,400,60.229737
0.1593,400,60.38236
-0.703383,400,60.504111
-0.996202,400,60.626478
-1.224089,400,61.345803
