#{"t_start": 1754401809.336289, "env_id": "None"}
r,l,t
0.038403,400,5.374874
10.368527,112,5.410491
0.365971,400,5.541662
10.667096,120,5.577203
-0.390642,400,5.694352
0.133712,400,11.536113
10.725666,118,11.573085
10.528145,81,11.599823
0.184665,400,11.719857
10.584989,81,11.742854
0.032937,400,17.349593
0.15663,400,17.465659
0.256576,400,17.586049
0.600703,400,17.715636
10.419331,154,17.760521
10.468962,86,23.402572
0.482482,400,23.52147
-0.348552,400,23.636948
-0.189748,400,23.771567
0.409199,400,23.8959
10.386457,81,29.682496
-0.271259,400,29.80306
10.952548,168,29.849637
10.637872,99,29.879219
10.357344,89,29.909761
10.334569,86,37.225914
10.699292,157,37.286176
10.593504,48,37.304229
10.758552,141,37.357596
10.539871,123,37.406058
10.539335,77,43.975298
0.154548,400,44.090214
0.560037,400,44.209646
10.611585,81,44.233335
0.430298,400,44.350251
10.296301,88,51.165366
-0.369466,400,51.323746
10.32583,122,51.361964
-0.00031,400,51.491723
10.588542,79,51.516141
6.668808
10.695645,82,6.694526
10.590761,143,6.739456
0.416429,400,6.885758
0.289126,400,7.423308
0.409255,400,7.610568
10.847752,219,7.680536
0.381757,400,7.811553
10.845702,147,7.864677
0.253861,400,8.002542
0.195687,400,8.134131
0.626241,400,8.722913
10.148577,81,8.754466
-0.420876,400,8.890974
10.3536,94,8.921175
0.336947,400,9.055011
0.4659,400,9.196082
10.839112,173,9.258985
10.762197,125,9.693034
0.41252,400,9.89373
-0.188441,400,10.030555
10.913061,162,10.082738
10.635714,116,10.118749
10.71323,84,10.148964
10.718737,157,10.199932
0.064182,400,10.338752
0.471361,400,10.856812
0.395604,400,11.049792
10.539556,55,11.068396
0.394786,400,11.194555
-0.116658,400,11.32428
0.309028,400,11.820439
10.681316,94,11.850459
10.368211,71,11.873578
-0.569105,400,12.372696
0.47335,400,12.542942
10.659877,101,12.578274
10.67631,108,12.616249
10.693346,101,12.650304
10.663776,123,12.687418
0.109838,400,12.814094
10.541937,46,12.829594
10.947778,99,12.862318
10.792726,118,12.898213
-0.013566,400,13.380307
10.68375,129,13.441098
10.550697,78,13.479124
10.820995,86,13.520525
0.513547,400,13.665625
-0.337038,400,13.82519
0.23852,400,13.960514
10.666543,124,13.999978
-0.422953,400,14.519408
10.546705,140,14.593358
10.6837,86,14.634844
0.359976,400,14.785268
10.625862,93,14.81926
-0.794606,400,14.948002
-0.351866,400,15.087515
10.63812,81,15.115474
-1.02213,400,15.603504
10.786501,82,15.645477
10.279649,110,15.695905
0.609182,400,15.86076
10.813921,140,15.911535
0.403163,400,16.046634
10.902363,167,16.107739
-0.357493,400,16.246202
10.548974,151,16.298435
-0.508625,400,16.828918
-0.356991,400,16.995909
0.173057,400,17.138486
-0.466023,400,17.813509
0.167201,400,17.938794
10.361896,120,17.980227
10.610624,85,18.006652
10.777251,152,18.465107
10.530359,111,18.522715
10.679654,97,18.569702
10.557267,66,18.600746
10.510439,101,18.63863
10.587155,100,18.673894
10.752124,140,18.718596
10.780778,185,18.77811
-0.018161,400,18.910706
10.595498,83,18.93747
0.424771,400,19.079329
0.384508,400,19.633162
-0.076279,400,19.802969
10.323188,86,19.830243
0.395278,400,19.96709
10.455181,84,19.999456
-0.119859,400,20.138958
0.401996,400,20.264539
-0.331184,400,20.825913
10.81979,162,20.899779
-0.062047,400,21.036819
0.078911,400,21.17467
10.768729,89,21.203342
10.694218,81,21.231358
-0.061797,400,21.358098
0.449334,400,21.905005
-0.036899,400,22.079174
10.679409,97,22.11078
-0.538107,400,22.240036
0.394117,400,22.374001
0.016064,400,22.517323
10.280679,118,22.560185
10.376938,83,22.98578
10.607501,68,23.017147
-0.361461,400,23.191023
-0.783458,400,23.318638
10.980183,94,23.353097
0.379229,400,24.026716
0.350316,400,24.161861
10.873557,190,24.228482
10.298657,97,24.628534
10.978727,95,24.678494
10.332976,84,24.719716
0.301909,400,24.889475
-0.402341,400,25.01668
10.602633,84,25.042067
-0.528041,400,25.167197
-0.08686,400,25.306437
0.487941,400,25.848757
10.484063,49,25.873063
0.393173,400,26.031672
10.667913,102,26.06418
10.813456,148,26.110041
-0.029803,400,26.244746
10.410435,135,26.290025
0.642693,400,26.435804
10.656643,84,26.464123
-0.338326,400,27.158059
10.400648,201,27.228865
10.721301,81,27.25686
0.39069,400,27.395262
-0.492293,400,27.532259
0.63292,400,27.657146
10.507726,122,27.695133
10.26508,101,27.724513
0.38169,400,28.304376
0.573107,400,28.463892
10.776197,222,28.552823
0.418206,400,28.693698
10.737292,254,28.783442
10.726619,148,28.830464
10.274094,79,28.855176
0.05854,400,29.447381
10.381284,42,29.466478
0.117267,400,29.616393
10.332885,157,29.664079
0.417988,400,30.087523
-0.176901,400,30.263412
10.239517,96,30.314243
-0.007011,400,31.006239
-0.717891,400,31.217343
10.367165,45,31.234784
0.125514,400,31.391376
-0.467009,400,31.562286
-0.253149,400,31.728906
0.032119,400,32.318979
0.40142,400,32.538047
10.355567,112,32.596371
10.481175,46,32.615071
10.75512,134,32.663723
10.840078,161,32.725341
10.651557,128,32.776381
10.767053,131,32.82397
10.192633,88,32.857373
-0.017691,400,33.004308
-0.451758,400,33.702843
-0.776013,400,33.951203
10.519686,82,33.997987
10.430864,135,34.064869
-0.440397,400,34.256042
0.418637,400,34.513413
10.7706,147,34.596205
10.806558,92,34.644923
10.599251,84,34.685556
0.526472,400,35.48115
0.099847,400,35.671677
10.448537,106,35.716601
0.021072,400,35.88127
10.755181,157,35.966275
0.415211,400,36.164212
0.492128,400,36.332126
10.886371,161,36.909983
10.348592,140,37.018202
10.59658,82,37.071133
-0.000254,400,37.475748
0.393603,400,37.662824
-0.480944,400,37.863025
10.740032,116,37.922204
0.382086,400,38.08224
-0.50826,400,38.735534
10.922175,188,38.803469
10.642165,110,38.843386
0.199976,400,38.994413
10.891029,168,39.056751
-0.745183,400,39.207309
0.375794,400,39.908146
10.324008,43,39.933137
-0.228664,400,40.170479
10.707333,94,40.215687
10.635353,89,40.259177
0.263894,400,40.451591
0.410296,400,40.600688
0.438364,400,40.751621
10.516456,99,40.798157
-0.406873,400,41.441435
0.39133,400,41.635426
11.027553,92,41.671326
10.710024,81,41.706809
-0.028821,400,41.86692
10.860318,144,41.927857
10.621959,83,41.960302
10.355086,79,41.988842
10.350978,124,42.030627
-0.204172,400,42.550195
10.594118,80,42.596075
10.639025,87,42.648569
0.524451,400,42.847746
10.25724,115,42.891629
10.333127,90,42.92738
-0.017995,400,43.105855
0.279743,400,43.240675
10.723513,135,43.282385
0.373583,400,43.822636
0.069486,400,44.410918
0.302728,400,44.551454
0.362776,400,44.685878
10.724699,139,44.73523
11.105679,100,44.771198
-0.533443,400,44.909733
-0.337746,400,45.465474
-0.847756,400,45.633222
-0.342574,400,45.772302
0.394547,400,45.919116
0.039046,400,46.059331
0.406884,400,46.839956
0.171424,400,47.190056
10.626505,65,47.241351
10.30424,136,47.336321
10.142375,77,47.390972
0.397285,400,47.673261
-0.411583,400,47.957472
-0.060537,400,48.602519
10.38289,81,48.650214
-0.240021,400,48.870572
10.219838,125,48.924327
10.349955,184,48.991136
10.785129,216,49.067291
10.516053,47,49.083515
-0.413475,400,49.223577
-0.393145,400,49.384675
10.353876,44,49.400649
-0.082716,400,50.011368
10.589938,78,50.054021
10.222875,85,50.086594
10.776956,89,50.114047
10.66081,92,50.141762
10.201585,366,50.274699
10.532884,56,50.299396
10.540471,62,50.3243
0.117458,400,50.487758
10.549446,99,50.527085
0.114412,400,50.669115
-0.022704,400,51.624442
10.515102,90,51.654874
10.462882,71,51.67941
10.40537,100,51.712626
0.446362,400,51.8562
10.338422,103,51.889968
10.852836,186,51.949825
11.042962,93,51.9864
10.498838,47,52.005349
-0.323497,400,52.149193
-0.836678,400,52.706111
0.114694,400,52.862616
0.192501,400,52.996282
10.4052,104,53.029423
10.98702,97,53.063645
11.00194,88,53.09194
10.135191,80,53.118121
10.849304,166,53.171889
0.487294,400,53.309494
0.592737,400,53.852662
10.464556,69,53.887368
10.839109,199,53.950718
0.485752,400,54.07889
-0.358766,400,54.208653
0.512321,400,54.343701
10.858251,141,54.386482
10.760595,89,54.41799
