#{"t_start": 1754392930.545607, "env_id": "None"}
r,l,t
0.233959,400,5.229421
0.003823,400,5.343659
0.001177,400,5.450773
0.12482,400,5.55665
0.589613,400,5.681587
0.531224,400,11.102282
0.509123,400,11.21995
0.341228,400,11.34046
0.166682,400,11.459157
-0.782629,400,11.580076
0.314671,400,16.913751
0.227338,400,17.024595
0.060569,400,17.136915
0.404663,400,17.242183
-0.199073,400,17.347988
0.080307,400,22.830792
0.067017,400,22.940081
0.505781,400,23.04868
-0.532007,400,23.157567
-0.831036,400,23.264338
0.494242,400,28.571244
0.207289,400,28.680238
0.152538,400,28.788576
-0.281652,400,28.906278
0.147081,400,29.018732
-0.851471,400,34.453076
0.370834,400,34.556898
-0.30566,400,34.666991
0.433928,400,34.776326
0.44003,400,34.887214
10.418586,68,40.037273
0.32824,400,40.1829
0.087906,400,40.325572
-0.30356,400,40.455569
-0.426614,400,40.582458
0.496057,400,46.115181
0.54994,400,46.250341
0.493131,400,46.367417
-0.428619,400,46.476961
-0.51522,400,46.586491
-0.033042,400,51.872652
0.582256,400,51.99306
0.132739,400,52.112455
0.452415,400,52.232591
0.005359,400,52.353154
-0.917599,400,57.749711
0.34957,400,57.861225
0.40126,400,57.970381
10.530217,65,57.986961
-0.772432,400,58.103469
-0.69121,400,63.456387
0.372739,400,63.567152
0.335742,400,63.683167
0.478355,400,63.800453
0.702789,400,63.91465
0.417999,400,69.248843
0.534278,400,69.372732
-0.366808,400,69.52278
0.705197,400,69.671857
-0.732056,400,69.833498
0.327035,400,75.296344
-0.578845,400,75.404778
0.31583,400,75.513928
0.211286,400,75.622383
0.759105,400,75.733729
0.481288,400,81.219702
0.475401,400,81.360862
0.894783,400,81.50189
0.670725,400,81.623282
10.209377,97,81.652133
10.339592,68,86.998485
-0.323497,400,87.124801
0.223994,400,87.245011
0.048373,400,87.351415
-0.440836,400,87.462749
-0.643491,400,92.888255
0.395764,400,92.999227
10.200219,86,93.022034
-0.798304,400,93.129496
0.188774,400,93.245399
-0.517721,400,98.414232
-0.838311,400,98.541771
-0.35774,400,98.653642
0.480689,400,98.763893
0.453318,400,98.871763
0.415718,400,104.078174
-0.763336,400,104.186713
0.235739,400,104.294401
-0.934755,400,104.403774
0.716149,400,104.514633
-0.449432,400,109.968651
-0.220957,400,110.099922
0.800374,400,110.22232
-0.177453,400,110.357948
-0.717036,400,110.489972
-0.319057,400,115.967319
-0.959934,400,116.074596
-0.157892,400,116.186135
0.50145,400,116.295262
-1.032066,400,116.405286
-0.970245,400,121.817527
-0.308671,400,121.931509
0.323681,400,122.047077
-0.660123,400,122.185019
-0.405815,400,122.2981
-0.582316,400,127.531078
-0.711467,400,127.64188
0.488671,400,127.758619
0.609681,400,127.888873
10.887377,153,127.935287
0.190815,400,133.680337
-0.408334,400,133.786224
-0.009031,400,133.895456
0.340485,400,134.004242
-0.650335,400,134.111106
10.431234,114,139.345109
0.251779,400,139.467818
-0.471009,400,139.609452
10.421746,149,139.653196
-0.661573,400,139.778349
0.477715,400,145.359718
0.136625,400,145.46781
0.593699,400,145.574573
-0.22858,400,145.684713
0.349868,400,145.790601
-0.391063,400,150.942933
0.30331,400,151.049619
0.446541,400,151.160729
-0.123338,400,151.27151
-0.182176,400,151.381817
-0.315832,400,156.750777
10.298041,146,156.789691
0.327411,400,156.899706
-0.007926,400,157.027278
0.150599,400,157.133176
0.504114,400,162.936934
0.445235,400,163.057445
-0.11742,400,163.169706
-0.811517,400,163.276968
0.430922,400,163.391544
-0.310986,400,168.6089
0.504697,400,168.717715
-0.068007,400,168.826952
10.106705,61,168.842376
-0.178923,400,168.969479
10.488316,143,174.780977
0.360078,400,174.893006
-0.080376,400,175.001969
-0.446449,400,175.115698
0.365403,400,175.229614
-0.219281,400,180.567623
0.449379,400,180.681038
-0.356961,400,180.800683
-0.012683,400,180.923657
-0.224692,400,181.030186
0.399404,400,186.276338
0.486903,400,186.404739
-0.374545,400,186.513406
-0.090803,400,186.622083
-0.100333,400,186.734674
0.65495,400,192.412967
0.001193,400,192.531523
10.711771,299,192.623337
-0.255432,400,192.746833
0.56973,400,192.878542
0.527966,400,198.055643
0.53817,400,198.177548
0.52291,400,198.291294
0.437156,400,198.412678
0.48654,400,198.529906
10.428682,207,203.75651
0.60892,400,203.867785
-0.292359,400,203.993977
0.166543,400,204.124891
-0.336759,400,204.244173
95719,400,40.749437
0.27737,400,40.892865
0.165671,400,41.024409
-0.215915,400,41.154999
-0.896617,400,41.717701
-0.204563,400,41.880573
-0.019975,400,42.019463
10.643181,369,42.138532
0.486948,400,42.267572
-0.85604,400,42.857858
-0.131775,400,43.014165
-0.107755,400,43.13627
-0.839097,400,43.257249
0.242506,400,43.378798
0.176228,400,43.853032
0.064429,400,44.009515
10.266106,382,44.127834
0.407178,400,44.24386
-0.387177,400,44.363682
-0.974354,400,44.84981
0.289841,400,45.015721
10.115447,41,45.027727
-0.989611,400,45.148309
0.273593,400,45.285283
0.338638,400,45.406435
-0.41759,400,46.600811
0.269714,400,46.733032
-0.29712,400,46.850571
10.579169,279,46.938746
0.086164,400,47.070696
0.184178,400,47.194565
-0.713986,400,47.720983
0.13533,400,47.864678
0.33498,400,47.98968
-0.81605,400,48.107611
0.216398,400,48.230815
-0.523882,400,48.707667
-0.882144,400,48.8484
-0.595356,400,48.969678
0.23417,400,49.097277
-1.158547,400,49.238993
10.44578,174,49.824964
-0.637053,400,50.037852
0.334577,400,50.17178
0.28645,400,50.317249
0.292449,400,50.455092
-0.818054,400,50.596683
0.260966,400,51.221356
-0.269,400,51.354944
0.031181,400,51.488115
0.070498,400,51.631998
0.247831,400,52.387409
0.29815,400,52.950165
-0.475685,400,53.091335
-0.145701,400,53.211202
-0.567492,400,53.331517
0.195194,400,53.452542
0.305005,400,53.97293
0.415322,400,54.111231
0.158086,400,54.230611
-0.625553,400,54.353227
-0.384776,400,54.482891
-0.836907,400,55.061164
10.37433,126,55.111096
0.080327,400,55.228808
-1.1866,400,55.350879
-0.851726,400,55.469734
0.377684,400,55.594717
0.26285,400,56.165147
-0.468324,400,56.324554
-0.523979,400,56.449469
-0.198795,400,56.57254
0.123746,400,56.695778
0.25691,400,57.207191
0.359032,400,57.349347
-0.293692,400,57.469149
-0.990505,400,57.588585
0.306572,400,58.187936
-0.846987,400,58.672961
-0.092796,400,58.828172
-0.350937,400,58.952531
-0.053505,400,59.07156
-0.323442,400,59.21331
-0.842251,400,59.789844
0.505014,400,59.963443
-0.315442,400,60.081565
0.3107,400,60.223305
0.183494,400,60.35962
0.286187,400,60.8465
-0.539547,400,61.027525
0.315472,400,61.149251
0.459228,400,61.270861
0.328468,400,61.396965
-1.068583,400,61.879996
10.089325,60,61.905773
0.314594,400,62.061491
-0.681956,400,62.18238
-0.453692,400,62.30357
-1.179405,400,62.422697
0.301999,400,62.907533
-0.391675,400,63.071681
-1.003957,400,63.191303
0.337139,400,63.309671
0.216338,400,64.01083
0.184881,400,64.459216
0.270123,400,64.628276
0.389186,400,64.750609
0.277908,400,64.887228
-0.359262,400,65.010045
0.083903,400,65.53832
-0.359169,400,65.713781
0.237878,400,65.843998
0.160976,400,65.995874
0.015256,400,66.134738
-0.082195,400,66.263092
0.284194,400,66.772039
0.498314,400,66.910617
-0.413656,400,67.041458
-0.291405,400,67.184712
0.296805,400,67.30462
0.223583,400,67.793375
-1.105954,400,67.937922
0.185018,400,68.06148
0.07441,400,68.189416
-0.113931,400,68.308364
0.337627,400,68.788927
-0.927793,400,68.951204
10.504757,400,69.070528
-0.424871,400,69.955853
-0.068225,400,70.085816
0.249109,400,70.65967
0.14485,400,70.829833
-0.025832,400,70.959869
-0.22541,400,71.095499
0.294538,400,71.228378
0.167131,400,71.772734
10.520407,165,71.848819
-1.003933,400,72.002772
0.197467,400,72.134673
10.617383,377,72.259465
-0.289263,400,72.392603
-1.192686,400,72.923302
-0.280907,400,73.07334
0.447223,400,73.189959
0.241457,400,73.310943
0.331713,400,73.429566
-0.233086,400,73.919673
-0.673815,400,74.071862
0.111984,400,74.190071
0.412791,400,74.306955
-1.139663,400,74.429941
0.292422,400,74.891119
-0.824255,400,75.066004
-0.079297,400,75.188382
0.368227,400,75.892934
-0.465794,400,76.014777
0.429959,400,76.466886
-0.642374,400,76.631834
-0.234354,400,76.750004
-0.307144,400,76.872549
10.316648,71,76.896956
0.628838,400,77.024316
0.641683,400,77.496099
-0.578854,400,77.658485
-0.357984,400,77.777468
0.311018,400,77.899109
0.306193,400,78.046613
-0.333376,400,78.500866
-0.05162,400,78.673101
0.264763,400,78.790589
-0.750638,400,78.909509
0.26642,400,79.031631
-0.480655,400,79.602349
0.472657,400,79.788879
10.619227,130,79.832978
-0.128947,400,79.97238
0.02297,400,80.122236
0.219943,400,80.285016
-0.306523,400,80.844593
-0.631966,400,81.033712
0.37295,400,81.738875
-0.917665,400,81.8733
0.38669,400,82.009104
0.362132,400,82.559448
-0.672816,400,82.747534
-1.023776,400,82.875723
0.390238,400,82.999282
-0.664096,400,83.11541
-0.400286,400,83.563758
0.094889,400,83.741644
0.215432,400,83.866437
-0.885759,400,84.002617
0.542102,400,84.1243
0.366894,400,84.243182
0.258918,400,84.760779
0.275578,400,84.893454
0.439355,400,85.013667
10.555616,132,85.052608
0.450665,400,85.174021
0.230207,400,85.653115
0.118182,400,85.821769
10.880756,161,85.873162
0.399088,400,85.990595
0.285841,400,86.110632
0.412809,400,86.230256
-0.514002,400,86.821982
0.285321,400,87.507113
0.02274,400,87.634017
0.262983,400,87.75843
0.29722,400,87.895957
-0.206339,400,88.364052
10.803276,154,88.430795
0.178855,400,88.578383
-0.408175,400,88.699314
10.535707,234,88.768425
0.332363,400,88.897871
-0.394279,400,89.382903
0.459649,400,89.60431
0.014936,400,89.779012
0.232117,400,89.945386
10.287791,253,90.033907
-0.757507,400,90.156236
-0.764776,400,90.674683
0.087002,400,90.821575
0.099379,400,90.941133
0.37447,400,91.075629
10.475258,183,91.129252
0.224561,400,91.652373
0.121031,400,91.815105
0.163758,400,91.945573
-0.574846,400,92.069981
-1.073522,400,92.202908
0.271915,400,92.331853
0.133089,400,93.294334
-1.092768,400,93.417157
-0.777004,400,93.534852
0.263741,400,93.655155
-0.755349,400,93.774346
-0.571793,400,94.251882
0.328153,400,94.397521
-1.019526,400,94.517834
-0.926824,400,94.63379
0.27959,400,94.753973
0.423796,400,95.219383
-0.813976,400,95.373448
0.157317,400,95.494241
10.078322,60,95.512169
0.371724,400,95.628175
10.138493,51,95.644336
-0.32668,400,95.761948
-0.668771,400,96.237823
0.222672,400,96.380929
-1.036655,400,96.50776
10.749624,183,96.571794
-1.093294,400,96.746847
0.193825,400,97.24527
-1.114886,400,97.441298
-0.546657,400,97.567744
-0.80613,400,97.684289
0.207077,400,97.805122
0.301138,400,98.268666
0.422564,400,99.026082
0.007502,400,99.144166
-0.018531,400,99.286047
-0.838759,400,99.427095
0.334894,400,99.598732
-1.11659,400,100.200835
-1.249412,400,100.359384
-0.552205,400,100.493195
-0.508374,400,100.624258
-0.570002,400,100.771048
-0.799558,400,101.302539
-0.789254,400,101.449054
-0.590129,400,101.580625
0.141263,400,101.714247
-0.494705,400,101.863943
-0.719273,400,102.434694
-0.897787,400,102.589748
0.04998,400,102.721494
-0.612382,400,102.850776
0.185035,400,102.984834
-0.753834,400,103.456614
-0.819852,400,103.607035
-1.16599,400,103.726322
10.454714,52,103.741644
0.152945,400,103.860673
10.575085,400,104.548784
-1.144819,400,105.063916
0.259792,400,105.218258
-0.802074,400,105.342843
-1.178613,400,105.462989
-0.617892,400,105.582797
0.089296,400,106.058299
0.019419,400,106.226666
0.246363,400,106.344457
-0.178977,400,106.464845
-0.091526,400,106.587983
-0.669631,400,107.036847
-0.381231,400,107.215606
-1.059362,400,107.335803
10.445124,54,107.351788
10.479853,142,107.394328
-1.17305,400,107.516004
10.493985,64,107.534483
-1.324455,400,107.668463
0.285551,400,108.275859
-0.669359,400,108.412385
-0.554355,400,108.555269
0.229663,400,108.680672
-0.336358,400,108.798737
10.873795,146,109.197816
-0.346761,400,109.40724
10.47893,54,109.429003
0.338967,400,109.580717
0.12803,400,109.728181
-0.938625,400,110.549909
0.07608,400,111.070911
10.891822,204,111.175998
9.778323,400,111.331572
-1.031219,400,111.469
-0.227507,400,111.61631
0.106703,400,111.749949
-0.788774,400,112.337542
-0.272518,400,112.505465
-0.999112,400,112.654684
-1.183457,400,112.793685
0.323335,400,112.937881
0.140284,400,113.396051
10.230023,159,113.466186
0.050244,400,113.604274
0.146323,400,113.735935
0.269841,400,113.854752
10.08378,47,113.871367
0.227203,400,113.99136
-1.231915,400,114.497855
0.33403,400,114.645293
-0.897883,400,114.775514
-0.944054,400,114.902732
9.971865,246,114.977117
0.05907,400,115.429014
-0.116955,400,115.601424
-1.245048,400,115.719444
10.572918,377,115.836869
-0.823287,400,116.532362
-0.012713,400,117.011989
-0.808473,400,117.216955
-0.6699,400,117.335353
-0.368881,400,117.486127
10.11134,364,117.637364
0.255342,400,117.758246
-0.241284,400,118.291578
-0.210899,400,118.424026
0.32367,400,118.544583
0.261202,400,118.663753
0.022141,400,118.785166
0.192067,400,119.298607
0.233846,400,119.45274
0.129394,400,119.597372
10.468705,176,119.650317
0.35697,400,119.772438
-0.258511,400,120.297604
0.353638,400,120.489263
9.84931,253,120.571922
-1.077111,400,120.691822
0.489903,400,120.812189
0.470956,400,120.936084
0.039314,400,121.430475
-0.853785,400,121.578912
10.089895,259,121.654921
-0.637731,400,122.390948
-1.156719,400,122.512313
-0.64958,400,122.986759
10.379775,61,123.018838
-0.737786,400,123.224857
-1.019784,400,123.353104
10.532633,174,123.412488
-1.0928,400,123.544186
-0.532471,400,123.667506
-0.788118,400,124.134084
0.31288,400,124.287624
-0.566618,400,124.406602
-0.685234,400,124.540011
0.360402,400,124.662172
-1.164415,400,125.113507
-0.672838,400,125.273157
-0.258659,400,125.392608
-0.318531,400,125.512251
0.2663,400,125.643467
-0.755505,400,126.139116
10.463833,179,126.218465
-0.23298,400,126.351789
0.290042,400,126.470359
-0.729213,400,126.590552
0.283083,400,126.730494
-0.870695,400,127.213291
0.243648,400,127.374213
-0.832839,400,128.033469
0.308243,400,128.153164
-0.544971,400,128.274893
