#{"t_start": 1754403013.0428066, "env_id": "None"}
r,l,t
0.042816,400,7.390179
10.366172,114,7.446057
0.383234,400,7.593452
-0.570457,400,7.734408
-0.394935,400,7.86676
10.72512,117,15.32621
10.530699,90,15.353409
0.188792,400,15.485645
10.586688,80,15.51193
0.306561,400,15.635675
0.060464,400,23.674079
-0.035391,400,23.795738
0.279265,400,23.916175
0.584359,400,24.041528
10.420166,154,24.0897
0.641956,400,31.554588
0.408372,400,31.683846
10.469807,99,31.717957
0.476331,400,31.86788
-0.338579,400,32.044565
0.411837,400,39.750179
10.393586,94,39.77915
-0.244527,400,39.907162
10.959485,172,39.960672
10.667384,87,39.987358
10.707304,158,47.333658
10.599803,49,47.347794
10.766171,138,47.390948
10.544265,155,47.443584
-0.351279,400,47.584644
2
-0.060964,400,5.753782
0.327984,400,6.663387
0.177369,400,6.815463
0.415597,400,7.006138
0.158271,400,7.154299
10.668474,129,7.196833
10.299462,44,7.212957
10.485232,86,7.245035
0.261388,400,8.729394
0.033796,400,8.910749
10.645581,86,8.939847
-0.209933,400,9.071578
-0.064598,400,9.20086
0.211803,400,9.340132
10.589272,113,9.378572
0.410073,400,10.230319
0.39092,400,10.389433
-0.08006,400,10.538212
0.392957,400,10.676507
-0.268894,400,10.83968
10.77003,84,10.881289
0.198559,400,11.807353
10.158501,89,11.848703
10.754851,133,11.893481
10.355233,90,11.928648
0.437732,400,12.073978
0.452826,400,12.210567
10.844664,172,12.270388
-0.486009,400,12.399268
10.858987,166,13.216708
0.415521,400,13.431898
-0.183996,400,13.574231
10.911764,160,13.628387
10.637126,125,13.669372
0.387545,400,13.802851
10.689844,126,13.843695
0.039304,400,14.701842
0.397341,400,14.899707
10.549973,51,14.916687
0.434844,400,15.061697
10.397698,67,15.083387
-0.493982,400,15.220623
0.073521,400,15.743079
10.366163,84,15.771975
10.56018,71,15.795439
0.464742,400,16.929616
0.466654,400,17.096602
-0.412934,400,17.290568
-0.720225,400,17.457634
10.691506,117,17.511179
10.680205,115,17.561946
0.125504,400,18.538604
10.707097,123,18.617455
10.569953,82,18.678754
10.818589,86,18.722045
0.504314,400,18.880159
-0.337393,400,19.029107
10.573956,94,19.065206
-0.514964,400,19.20534
-0.470752,400,20.087415
10.543115,130,20.154239
10.689474,100,20.204606
0.390063,400,20.36665
10.619856,120,20.408126
10.553631,50,20.426842
-0.343893,400,20.56107
10.62375,86,20.589919
0.091889,400,20.728231
-0.040631,400,21.557658
0.292823,400,21.752595
10.278789,94,21.783392
0.578412,400,21.920848
10.804493,138,21.973439
0.402646,400,22.123544
10.904517,167,22.179577
10.659755,110,22.216002
10.554269,141,22.264318
-0.472383,400,23.160504
-0.340347,400,23.342295
0.184672,400,23.475398
-0.450468,400,24.157315
0.173206,400,24.307118
10.358481,119,24.347635
10.597537,91,25.03441
10.537478,117,25.088598
10.680052,103,25.138894
10.562886,76,25.175574
10.515424,78,25.217905
10.57533,92,25.256928
-0.340486,400,25.405746
10.783816,184,25.476188
10.888014,182,25.545895
10.608952,79,25.57116
0.437355,400,25.706065
0.413299,400,26.540255
-0.073649,400,26.72666
10.312605,99,26.7591
0.409551,400,26.892504
10.455633,79,26.919363
-0.095222,400,27.051385
0.404396,400,27.189416
10.751874,153,27.241019
10.455568,114,27.984437
10.811974,150,28.05636
10.930166,178,28.154209
0.081645,400,28.294413
10.760285,88,28.32337
10.691498,88,28.353799
-0.036045,400,28.506083
0.288686,400,28.655316
-0.445656,400,29.658263
10.95326,175,29.74895
10.681953,95,29.787892
10.50758,52,29.807291
0.420106,400,29.942372
0.00847,400,30.073269
0.017554,400,30.211106
10.369905,89,30.253119
0.529009,400,31.071994
-0.797948,400,31.252013
-0.350756,400,31.374414
-0.796129,400,32.14649
0.398599,400,32.314261
10.679293,117,32.36356
0.397908,400,33.219133
0.653418,400,33.427107
10.336585,85,33.462401
10.745857,87,33.496591
-0.391598,400,33.654979
10.635201,72,33.677744
10.216903,97,33.706151
-0.030602,400,33.840076
0.491246,400,34.70427
-0.037685,400,34.88741
0.407598,400,35.022469
10.665973,99,35.054347
10.82564,135,35.098302
-0.023184,400,35.233716
10.41711,138,35.294137
0.633614,400,35.451459
10.635106,88,36.275314
0.183228,400,36.495849
10.715948,81,36.525083
0.434564,400,36.657801
-0.435458,400,36.787988
0.615851,400,36.923096
10.504907,113,36.961073
0.032028,400,37.927945
10.930648,98,37.975061
10.76159,224,38.058229
0.429309,400,38.189272
10.739415,247,38.277995
-0.399627,400,38.425075
10.273847,95,38.456462
0.052541,400,39.27269
10.327183,305,39.42884
0.105304,400,39.579531
0.164641,400,40.111902
10.388749,121,40.150105
-0.166422,400,40.286948
10.237355,107,40.323533
10.380853,151,40.373809
0.236655,400,41.332418
10.507123,46,41.356808
10.306918,276,41.49738
0.133093,400,41.63879
-0.464698,400,41.7717
-0.233854,400,41.908914
0.02717,400,42.693385
0.464229,400,42.870273
10.340988,154,42.919883
0.031685,400,43.066495
10.761831,133,43.113886
10.820807,164,43.166747
10.649105,110,43.20277
10.764697,128,43.244134
10.188676,92,43.275036
0.01051,400,44.093726
10.609924,75,44.140155
10.5205,104,44.200949
10.43276,159,44.273555
-0.427528,400,44.409779
0.399937,400,44.548711
10.795138,143,44.598151
0.400597,400,44.732449
0.23424,400,45.553813
0.136813,400,45.730186
10.447178,129,45.770966
0.065441,400,45.904419
-0.395623,400,46.04594
0.401494,400,46.195151
0.477694,400,47.088426
10.351603,143,47.176347
10.598506,95,47.234565
10.550396,96,47.271683
10.332202,117,47.617781
10.684701,124,47.666129
10.734079,122,47.708632
0.401504,400,47.8391
-0.436783,400,47.974189
-0.427369,400,48.786011
10.978093,98,48.834452
10.643652,104,48.885163
0.197906,400,49.04436
10.914303,163,49.098574
-0.603711,400,49.229277
0.385065,400,49.359525
10.904371,166,49.415724
10.608678,85,49.443985
