#{"t_start": 1754402891.789407, "env_id": "None"}
r,l,t
10.491968,79,4.750501
0.330883,400,4.860999
0.037739,400,4.971175
10.366321,116,5.002714
0.324033,400,5.133796
0.138433,400,10.278799
10.728278,120,10.313157
10.53092,88,10.336203
0.190758,400,10.447712
10.601243,73,10.467228
0.255906,400,15.690144
0.581072,400,15.806043
10.42012,146,15.846479
10.968528,175,15.892732
0.215784,400,16.002683
0.405842,400,21.172846
10.468038,92,21.19881
0.476514,400,21.312397
-0.349752,400,21.420638
10.884092,159,21.465091
0.424625,400,26.676642
10.389668,89,26.704793
-0.292807,400,26.814132
10.950715,168,26.860335
10.642567,98,26.889626
10.595306,81,31.916974
10.551978,81,31.938238
10.334668,88,31.962138
10.689097,144,32.00061
10.582064,48,32.01392
0.160441,400,37.426903
0.575345,400,37.53696
10.61654,89,37.561588
0.427449,400,37.671432
10.39536,83,37.695807
0.489665,400,42.838346
10.648018,97,42.865967
0.585036,400,42.973619
10.194691,91,42.997144
-0.462929,400,43.105037
10.724468,85,47.741518
0.588743,400,47.852682
10.769782,173,47.897945
10.680159,85,47.92154
0.10003,400,48.031733
534,400,6.869312
0.370774,400,6.989325
-0.351738,400,7.110188
10.766545,86,7.134887
0.198869,400,7.598219
10.152623,82,7.633546
-0.280408,400,7.806014
10.356027,91,7.834698
0.397844,400,7.952873
0.454112,400,8.079216
10.847994,172,8.147269
-0.388955,400,8.268347
10.86845,167,8.660819
0.413198,400,8.833714
-0.185028,400,8.960861
10.923722,157,9.010871
10.639037,129,9.048675
0.391048,400,9.16824
10.712372,129,9.208291
-0.151487,400,9.675824
0.411141,400,9.852902
-0.384286,400,9.976532
0.462835,400,10.095754
10.387905,115,10.13085
-0.384875,400,10.557529
10.661339,96,10.586699
10.366091,70,10.608901
-0.330451,400,11.148234
0.46347,400,11.294079
-0.36045,400,11.414909
10.706443,106,11.446434
10.693371,86,11.474252
10.677759,117,11.509979
0.109996,400,11.63159
10.530103,46,11.645172
10.902114,151,11.692739
10.750637,163,12.093825
-0.459202,400,12.26009
10.566636,98,12.289807
10.829672,83,12.314116
0.505022,400,12.433571
-0.327066,400,12.558528
10.574988,86,12.584516
10.70553,111,12.619851
-0.412198,400,13.095539
10.545247,128,13.15353
10.691695,86,13.194679
0.361576,400,13.340272
10.622159,105,13.369893
10.548678,49,13.383562
-0.346206,400,13.502948
10.653302,89,13.529848
-0.370968,400,13.654489
10.219551,90,13.68153
0.520776,400,14.179266
10.803811,89,14.228779
10.277525,106,14.276205
0.582884,400,14.399771
-0.329901,400,14.521762
0.401269,400,14.641425
-0.337804,400,14.76505
10.674575,117,15.137996
10.596739,76,15.169939
0.203826,400,15.34905
-0.403872,400,15.467527
0.0435,400,15.587287
0.126503,400,16.14316
-0.667254,400,16.58509
10.518947,161,16.649852
10.676203,100,16.693093
-0.566339,400,16.83837
10.514686,117,16.873493
10.578435,81,16.896694
10.774846,138,16.9381
10.79264,178,16.99182
10.895796,187,17.047044
-0.622526,400,17.196568
0.405629,400,17.661048
-0.071844,400,17.829103
10.321886,92,17.856011
0.39989,400,17.977799
10.450809,84,18.00329
-0.119719,400,18.123424
0.409965,400,18.245936
-0.302491,400,18.744676
10.826431,160,18.814774
-0.009152,400,18.936956
10.378369,171,18.992317
10.772594,93,19.020114
10.67747,86,19.045229
-0.049732,400,19.165807
0.139876,400,19.292709
-0.471161,400,19.784114
10.958178,176,19.854218
10.66948,100,19.884791
-0.305075,400,20.002504
0.396666,400,20.123846
0.010437,400,20.271793
-0.018595,400,20.758807
-0.850949,400,20.919382
-0.349053,400,21.040481
10.569533,77,21.065489
10.977526,94,21.504389
10.699007,114,21.541955
0.371554,400,21.673639
-0.019938,400,22.119785
10.980562,97,22.160128
10.330942,90,22.202245
10.748173,91,22.243158
-0.396659,400,22.390803
10.646989,74,22.412642
-0.531576,400,22.537827
10.281599,128,22.575413
0.499182,400,22.715828
0.408872,400,23.178605
-0.04921,400,23.363488
0.388985,400,23.487661
10.655274,105,23.52017
10.807831,139,23.560266
-0.024232,400,23.684056
10.406703,135,23.737402
0.627453,400,23.857702
-0.744208,400,24.347062
0.137158,400,24.483392
10.7216,81,24.508194
0.421661,400,24.625911
10.677074,130,24.66436
0.593868,400,24.793846
10.525232,151,24.845753
-0.010865,400,25.334025
0.583351,400,25.475784
