#{"t_start": 1754320392.1721554, "env_id": "None"}
r,l,t
0.266768,400,6.264952
-0.180952,400,6.390685
0.594354,400,6.515271
0.44318,400,6.651588
0.495589,400,6.797465
0.388816,400,13.639031
0.43434,400,13.769845
0.413972,400,13.895045
0.040059,400,14.022707
0.072375,400,14.146979
-0.204181,400,20.916578
0.422715,400,21.045603
0.563444,400,21.179312
-0.419408,400,21.314392
0.556357,400,21.441652
0.07275,400,28.384833
-0.180608,400,28.523445
0.151413,400,28.656557
0.042403,400,28.785859
0.292821,400,28.921114
-1.058387,400,35.812923
-0.264369,400,35.940938
-0.787168,400,36.064314
-0.781622,400,36.190962
0.198801,400,36.319463
0.445554,400,43.178344
-0.811514,400,43.306267
0.013067,400,43.432325
0.377155,400,43.574604
0.441698,400,43.707681
0.080547,400,50.483111
-1.237055,400,50.61391
-0.162533,400,50.741366
0.284274,400,50.869386
-0.468129,400,50.993245
-0.352895,400,57.027627
-1.159167,400,57.146131
-0.013415,400,57.262649
-0.311122,400,57.378198
-0.651655,400,57.4954
-0.804726,400,62.810132
-0.055361,400,62.924474
-0.177631,400,63.033861
-1.077537,400,63.148948
0.294487,400,63.272524
-0.26484,400,69.108906
0.473361,400,69.223711
0.425474,400,69.337132
-0.50586,400,69.451543
-0.021713,400,69.567496
72
0.172113,400,14.297428
-1.214528,400,15.050046
-0.978269,400,15.211093
-1.33263,400,15.364006
-1.260668,400,15.504706
0.041009,400,15.643322
-0.334456,400,16.363271
-0.537143,400,16.531418
-0.67148,400,16.671292
0.234215,400,16.826137
0.064248,400,16.967159
0.346458,400,17.654399
-0.550087,400,17.828925
10.038602,101,17.865252
-0.350464,400,18.015318
0.102338,400,18.162304
-0.11344,400,18.306412
0.380403,400,19.05761
-1.022091,400,19.223004
0.277462,400,19.361518
-1.239153,400,19.506621
-0.342255,400,19.64976
0.41502,400,20.372897
-0.040975,400,20.549204
0.181452,400,20.686786
0.051118,400,21.486044
-0.983627,400,21.630074
-0.413468,400,22.322546
-0.356921,400,22.516082
-0.377077,400,22.660461
0.804509,400,22.801924
0.291782,400,22.941051
0.117862,400,23.753389
-1.213103,400,23.942774
0.078668,400,24.086383
-0.211572,400,24.22814
-0.970137,400,24.371143
0.507331,400,25.083598
0.233372,400,25.289222
9.947428,147,25.340279
-1.57976,400,25.481169
-0.93253,400,25.631148
-0.647967,400,25.792843
0.044279,400,26.510286
-0.968613,400,26.692005
-0.968385,400,26.842274
-0.836897,400,26.9873
-0.556345,400,27.134967
10.661494,400,27.857277
0.215153,400,28.057292
-0.080341,400,28.202599
10.518565,317,28.99114
-0.796614,400,29.144515
-0.35884,400,29.287833
-0.985921,400,30.012163
0.033878,400,30.173765
0.282604,400,30.330566
-0.49466,400,30.473329
-0.065251,400,30.617274
0.285227,400,31.369113
-1.457987,400,31.524653
-0.022044,400,31.663549
-0.885157,400,31.802088
-0.098653,400,31.943669
0.141514,400,32.688728
-1.302262,400,32.849545
-0.270591,400,32.990001
-1.132279,400,33.134811
-0.528757,400,33.274951
0.357741,400,34.03955
0.165262,400,34.218276
0.280201,400,34.370234
-0.001178,400,34.522737
-0.396896,400,34.685171
-0.733499,400,35.398584
-1.149258,400,35.57988
0.283556,400,36.389459
0.35088,400,36.535069
-0.248651,400,36.675481
0.32864,400,37.402972
0.115994,400,37.588272
0.286765,400,37.730888
-1.254582,400,37.874537
-0.670814,400,38.057188
-0.020005,400,38.757128
-0.211359,400,38.941831
0.266727,400,39.09742
-0.86222,400,39.243344
0.309601,400,39.382769
10.181257,239,39.466542
0.359254,400,40.235233
-0.019417,400,40.393422
-0.753246,400,40.535362
-0.2547,400,40.676414
-0.00183,400,40.826322
-0.350789,400,41.546064
0.234207,400,41.713892
-0.232445,400,41.867063
-0.913509,400,42.007404
-0.099855,400,42.142709
0.275061,400,42.874552
0.804521,400,43.047699
-1.28011,400,43.857148
0.354644,400,43.998663
-1.262823,400,44.137168
-0.348193,400,44.855317
-1.019721,400,45.042901
-0.617256,400,45.187664
0.258965,400,45.330337
-0.540272,400,45.471491
-0.008493,400,46.170775
-0.353602,400,46.361856
-1.150486,400,46.498752
-0.011893,400,46.638953
-0.604431,400,46.793954
-0.7968,400,47.484833
0.146643,400,47.679849
0.284265,400,47.85115
-1.08341,400,48.036931
0.259388,400,48.220441
-0.503717,400,48.38222
-0.308288,400,49.100411
0.133235,400,49.237227
-0.407163,400,49.371717
0.255351,400,49.505578
0.066049,400,49.640122
0.209778,400,50.343771
-1.12763,400,51.142066
-0.546177,400,51.287369
-0.124441,400,51.42333
-0.815468,400,51.552369
-0.971853,400,52.186771
0.258718,400,52.351409
0.068213,400,52.47654
0.102147,400,52.605447
0.250694,400,52.732886
-0.037179,400,53.352088
0.289365,400,53.516263
-0.567743,400,53.643963
0.167277,400,53.772909
10.268759,123,53.813187
10.108356,330,53.919161
-0.350434,400,54.572669
0.155378,400,54.720937
-1.299773,400,54.848689
-1.031041,400,54.978119
0.371761,400,55.110873
-0.117506,400,55.73926
-0.195404,400,55.897307
-0.651538,400,56.025356
-0.19615,400,56.151331
0.246366,400,56.282149
-0.458277,400,57.518562
-0.975238,400,57.653899
0.351228,400,57.784909
-0.930904,400,57.922723
0.233654,400,58.048588
-0.326223,400,58.627459
0.123697,400,58.802234
0.256968,400,58.92701
-1.100976,400,59.064543
-0.38316,400,59.188173
-0.086711,400,59.76946
-0.998624,400,59.955383
-1.068427,400,60.088948
0.155974,400,60.218064
-0.020148,400,60.351805
0.065185,400,60.918176
-0.448675,400,61.104222
0.231759,400,61.238252
0.247286,400,61.360365
0.054168,400,61.484137
0.175365,400,61.608066
-1.433522,400,62.208574
0.309661,400,62.352436
-0.663508,400,62.472112
-0.880133,400,62.594841
-0.700563,400,63.29521
0.144946,400,63.933619
-0.145015,400,64.077102
-1.227426,400,64.203262
-0.849491,400,64.325461
-1.216876,400,64.450802
-0.43663,400,65.047326
-0.892253,400,65.198956
-0.527104,400,65.323326
-0.751601,400,65.454046
0.305941,400,65.578997
-0.212578,400,66.188725
-0.164979,400,66.343344
10.180727,81,66.367308
0.235613,400,66.486903
-1.439603,400,66.61295
0.300304,400,66.743803
10.108332,102,66.781951
0.110513,400,67.394105
-0.880026,400,67.534432
-1.168205,400,67.657379
-1.299028,400,67.7792
-1.210772,400,67.91994
-0.934566,400,68.516682
0.20124,400,68.662985
-0.732137,400,68.791616
-1.075375,400,68.917869
-1.1917,400,69.654836
