#{"t_start": 1754319008.170422, "env_id": "None"}
r,l,t
0.005581,400,7.374674
-0.047413,400,7.578561
0.123492,400,7.777247
-0.038405,400,7.958692
0.177541,400,8.148542
0.577811,400,15.598579
0.561585,400,15.755974
0.253054,400,15.91763
0.193234,400,16.077696
-0.066908,400,16.235879
0.332047,400,23.194264
0.37025,400,23.366608
0.435411,400,23.54272
0.286345,400,23.729129
0.158574,400,23.925719
0.153983,400,31.120393
0.13916,400,31.284121
0.5823,400,31.448312
0.203209,400,31.615077
0.030186,400,31.784412
0.039318,400,39.06076
-0.07168,400,39.222046
-0.062557,400,39.389156
0.055439,400,39.570527
-0.164502,400,39.732534
0.357806,400,46.633655
-0.485094,400,46.796414
0.163987,400,46.961117
-0.198215,400,47.122765
0.378664,400,47.303116
0.292883,400,54.268378
-0.217987,400,54.444314
-0.570107,400,54.628308
0.099573,400,54.794459
-0.209761,400,54.99031
849842
-0.537087,400,12.071609
-0.479232,400,12.261362
-0.786105,400,12.446874
0.399979,400,12.651628
0.371375,400,13.250975
0.28842,400,13.485195
-1.107852,400,13.711878
0.067751,400,13.909731
-0.643155,400,14.092229
-0.087499,400,14.291982
-0.732348,400,14.869476
0.257814,400,15.054844
-1.202281,400,15.245227
-0.080593,400,15.442765
-0.854303,400,16.453838
-1.418997,400,16.998768
0.645605,400,17.185585
-0.376088,400,17.367094
-0.49291,400,17.565986
-0.076686,400,17.773431
0.449652,400,18.386962
0.342328,400,18.573515
-1.252786,400,18.772836
-0.734986,400,18.967486
0.177072,400,19.175849
-0.638186,400,19.725012
-1.018627,400,19.921593
-0.763303,400,20.104968
-0.15683,400,20.284054
-0.105647,400,20.464182
-0.917531,400,21.050532
-1.46989,400,21.231383
-0.239897,400,21.411085
0.28347,400,21.599295
0.255082,400,21.811478
0.138827,400,22.424541
-0.355238,400,22.623927
-0.491784,400,22.8133
-1.513255,400,23.023757
0.064092,400,24.17744
0.220756,400,24.81043
-0.123792,400,25.020173
-0.622716,400,25.231787
-0.978454,400,25.429619
-0.845525,400,25.625151
-0.482037,400,26.258552
0.498749,400,26.476807
-0.59578,400,26.674427
-1.257009,400,26.906284
0.332998,400,27.100861
0.732942,400,27.294655
0.234078,400,27.907829
-0.409935,400,28.10498
-0.872006,400,28.292665
0.129933,400,28.476719
-1.400714,400,28.664093
-1.131679,400,29.251483
0.378211,400,29.433801
-0.570305,400,29.616987
0.200169,400,29.812675
-0.616135,400,30.000285
-0.01732,400,30.571134
0.353388,400,30.781269
0.347727,400,30.966199
-0.601896,400,32.011959
-0.970878,400,32.230162
-0.124598,400,32.849598
0.715236,400,33.061531
-0.607096,400,33.2514
-0.006552,400,33.443172
-0.179527,400,33.644215
-0.181036,400,34.307201
-1.002562,400,34.519398
0.052833,400,34.708332
-1.232032,400,34.896156
-0.011886,400,35.094769
-0.364352,400,35.714867
-0.924549,400,35.913981
0.0889,400,36.106395
0.131841,400,36.311439
0.043386,400,36.495999
0.37281,400,37.085938
0.349923,400,37.364499
0.129376,400,37.567642
0.417111,400,37.765421
0.053328,400,37.945113
-0.404739,400,38.519417
0.211316,400,38.719775
0.204112,400,38.901511
0.267759,400,39.933017
-0.50808,400,40.118144
-0.588601,400,40.299257
-0.172181,400,40.87859
-0.168345,400,41.062257
10.133117,105,41.109724
0.121515,400,41.286183
-0.350128,400,41.469404
0.287728,400,42.032421
0.262486,400,42.233021
0.337364,400,42.413429
-1.348844,400,42.595742
-0.85183,400,42.785953
-0.715393,400,43.372468
-0.941117,400,43.597898
-0.250705,400,43.789694
0.10123,400,44.009628
0.426451,400,44.214844
-0.444449,400,44.402313
-0.90652,400,44.996048
0.288483,400,45.201574
-1.713792,400,45.387324
-0.177868,400,45.56944
-0.540589,400,45.74762
0.068585,400,46.339301
-1.04705,400,47.370921
-0.882103,400,47.557608
-0.75158,400,47.737199
0.276422,400,47.921455
0.155317,400,48.511683
-1.034428,400,48.700069
-0.572834,400,48.882795
-0.106875,400,49.064437
-0.054949,400,49.246465
-0.384669,400,49.82208
-0.562038,400,50.012498
-0.812626,400,50.19756
10.514699,270,50.320692
-0.276487,400,50.506634
-1.048796,400,51.067919
0.256975,400,51.264065
0.317156,400,51.444906
0.268941,400,51.634568
0.15587,400,51.81903
-0.037556,400,52.000112
0.423366,400,52.570316
0.448961,400,52.775206
0.381884,400,52.998145
-0.155955,400,53.201754
-0.110674,400,53.398311
-0.606655,400,54.078779
