#{"t_start": 1754391613.0006843, "env_id": "None"}
r,l,t
-0.039356,400,7.38059
-0.089876,400,7.547051
-0.131266,400,7.704641
-0.057661,400,7.865806
-0.09111,400,8.02693
-0.096804,400,14.931866
-0.090038,400,15.092197
-0.157524,400,15.2584
-0.010627,400,15.429647
-0.113343,400,15.592024
0.002128,400,22.309387
0.035957,400,22.532287
0.045488,400,22.706257
0.024207,400,22.876834
-0.132635,400,23.042199
-0.093116,400,29.942392
-0.094115,400,30.125346
0.209993,400,30.282557
0.028295,400,30.449664
-0.184745,400,30.613406
0.198035,400,37.524725
0.070794,400,37.68291
-0.086437,400,37.867043
0.189397,400,38.0326
0.267291,400,38.193053
-0.678694,400,45.152508
0.174807,400,45.31729
-0.542126,400,45.514971
0.426914,400,45.674895
0.589691,400,45.834036
0.51333,400,52.482284
0.018266,400,52.669623
-0.453288,400,52.836797
-0.147747,400,53.009776
-0.456723,400,53.202324
0.285329,400,59.980141
0.473137,400,60.141568
0.181374,400,60.310318
-0.522402,400,60.472817
-0.329726,400,60.633865
0.32752,400,67.064884
0.10966,400,67.223968
0.52738,400,67.399567
0.013692,400,67.56331
0.024427,400,67.728724
-0.454853,400,74.651864
0.454221,400,74.815814
0.466991,400,74.998832
0.203317,400,75.160985
-0.574759,400,75.329101
-0.603893,400,81.983045
0.45283,400,82.157002
0.42429,400,82.326576
0.527343,400,82.528831
0.232779,400,82.713483
0.459888,400,89.479396
0.166185,400,89.643386
0.023534,400,89.804525
0.279367,400,89.967619
-0.00561,400,90.139948
0.418665,400,96.991141
0.472792,400,97.150022
-0.219882,400,97.320304
0.101857,400,97.477863
0.114184,400,97.644588
0.516546,400,104.420576
0.502174,400,104.58382
0.294718,400,104.749254
0.22481,400,104.911359
-0.825771,400,105.075212
10.341832,129,111.516505
-0.317171,400,111.677241
0.057856,400,111.851368
-0.038082,400,112.013841
-0.000922,400,112.187961
-0.08953,400,119.088691
0.348097,400,119.248814
-0.636222,400,119.414119
-0.397043,400,119.582133
0.18468,400,119.74783
0.423959,400,126.658839
0.129463,400,126.818086
-0.643139,400,126.982466
-0.059607,400,127.156636
0.4693,400,127.319048
0.403418,400,133.815731
0.471223,400,133.980197
-0.621747,400,134.142828
0.241424,400,134.302397
-0.747891,400,134.4666
-0.15224,400,141.112389
-0.305074,400,141.29157
0.052704,400,141.451838
0.462545,400,141.6154
-0.013987,400,141.775723
-0.004667,400,148.756213
-0.88958,400,148.921191
-0.024619,400,149.107195
0.47118,400,149.279703
-0.418892,400,149.471506
0.182529,400,156.825039
0.410696,400,157.144795
0.091551,400,157.420167
0.005973,400,157.67494
0.491101,400,157.935311
0.121986,400,165.105829
0.450929,400,165.227177
0.418602,400,165.350724
0.285426,400,165.47575
-0.275596,400,165.596363
0.311047,400,171.950921
-0.350275,400,172.09233
0.041566,400,172.271045
0.503166,400,172.406473
-0.385497,400,172.576467
-0.547364,400,178.272947
0.266788,400,178.39155
-0.224414,400,178.519781
0.087793,400,178.649989
-0.377866,400,178.771336
0.261038,400,184.425217
0.447561,400,184.557022
0.053134,400,184.676259
0.344243,400,184.801762
-0.455047,400,184.924873
-0.278742,400,189.975604
0.145307,400,190.105418
0.487272,400,190.215958
-0.919208,400,190.327446
0.112021,400,190.443539
0,40.144035
0.388918,400,40.321894
-0.002374,400,40.860345
0.121708,400,41.048024
0.047208,400,41.229505
-0.75495,400,41.405046
-0.063337,400,41.582326
-0.726623,400,42.160497
-0.303456,400,42.371793
-0.684898,400,42.568334
0.270434,400,42.758059
0.296861,400,42.935711
-0.312245,400,43.513217
0.151344,400,43.695513
-0.509778,400,43.879264
-0.050032,400,44.058464
-1.029979,400,44.238806
0.072147,400,44.800706
-0.231213,400,44.989448
0.036454,400,46.029539
-0.82201,400,46.208848
0.290652,400,46.392726
0.07458,400,46.923372
-1.200848,400,47.122792
-1.037398,400,47.304608
-0.355727,400,47.484181
-0.085358,400,47.67724
-0.195242,400,48.219179
-0.39475,400,48.417496
-0.539057,400,48.602826
10.167073,385,48.791429
0.037762,400,48.969774
-0.351703,400,49.500711
0.268635,400,49.706218
-0.564459,400,49.903859
0.268972,400,50.08824
0.33218,400,50.265526
0.07051,400,50.441986
0.190073,400,51.007799
-0.191891,400,51.186993
0.361631,400,51.372969
-0.040122,400,51.550284
0.098744,400,51.728666
-0.26628,400,52.300236
10.407967,116,53.251648
0.225992,400,53.43934
0.187828,400,53.628543
0.113475,400,53.811604
-0.532441,400,53.996884
-0.235116,400,54.616083
-0.237179,400,54.808445
-0.326634,400,54.993771
0.157982,400,55.184208
0.503564,400,55.385896
-0.97666,400,55.954713
-0.219872,400,56.160018
-0.330323,400,56.34004
-0.710407,400,56.533137
0.411542,400,56.708161
0.152325,400,57.268731
-0.063351,400,57.450722
-0.008369,400,57.647811
0.32982,400,57.8266
-0.084869,400,58.005645
10.085943,189,58.441279
0.44734,400,58.667229
9.99142,148,58.733394
-1.031064,400,58.913168
0.30043,400,59.092885
0.254414,400,59.276498
-0.135362,400,60.652636
0.173236,400,60.838746
-0.457208,400,61.01819
-0.048449,400,61.191337
-0.38228,400,61.374762
-0.103456,400,61.915449
0.337902,400,62.123212
0.34484,400,62.307884
-0.504067,400,62.529211
0.040308,400,62.714791
-0.942438,400,63.324738
-0.492564,400,63.538958
-0.528749,400,63.729597
0.286914,400,63.919608
-1.162265,400,64.131352
10.495573,196,64.220262
0.209001,400,64.780551
-1.532904,400,64.981696
0.350049,400,65.190433
0.354977,400,65.375053
0.431568,400,65.556459
-1.124957,400,66.086086
-0.402069,400,66.295216
-0.019132,400,66.472336
0.233755,400,66.654885
0.087961,400,66.829724
-0.252436,400,68.194028
-0.384744,400,68.431408
0.199366,400,68.64279
-0.772563,400,68.850172
0.499414,400,69.064944
0.514381,400,69.765697
0.649171,400,69.979254
-0.046569,400,70.171267
