#{"t_start": 1756116011.1233234, "env_id": "None"}
r,l,t,episode_energy,success
-0.39911,400,11.379974,0.5100244743556837,False
-0.505124,400,11.649418,0.11569379596960863,False
-0.089802,400,11.94062,0.345466539925424,False
0.148823,400,12.221898,0.3661382929593526,False
0.17278,400,12.492146,0.09133219043189024,False
-0.462564,400,19.973163,0.42986107141009383,False
-1.677058,400,20.20509,0.3425229749657242,False
0.386415,400,20.412575,0.4942625859682762,False
-1.424588,400,20.627172,0.35080960926522176,False
-0.267076,400,20.845232,0.38143065002967314,False
-1.546911,400,30.884028,0.44243099680026876,False
-2.028298,400,31.113552,0.42138614809038905,False
-2.015531,400,31.326001,0.4106603250063704,False
-0.76895,400,31.552977,0.5635020887008995,False
10.610716,219,31.688347,0.6394179158843439,True
0.047265,400,41.188139,1.1061044709501378,False
-0.781451,400,41.389533,0.6419030993541358,False
0.285831,400,41.602825,1.0661552394821545,False
-0.648463,400,41.802773,0.903340056437133,False
-0.732493,400,42.028543,0.8696631156834691,False
-1.789694,400,51.658862,0.716421550922799,False
-1.141109,400,51.856031,0.7775673738872976,False
-1.813173,400,52.050325,0.700583584665656,False
-1.320423,400,52.244591,0.738343425398435,False
10.906318,264,52.403957,1.3275790679822521,True
-2.175572,400,62.601244,0.807018299269605,False
-1.201027,400,62.822488,0.823125364738025,False
-0.653644,400,63.036879,0.8353647042027841,False
0.250468,400,63.270496,0.9590295157934424,False
-0.8555,400,63.480042,0.846255684319824,False
10.665326,322,73.392756,1.1845014233582014,True
-1.190359,400,73.579002,0.8880011893772197,False
-2.16433,400,73.798712,0.6884530733216879,False
-0.525138,400,73.990312,0.937407003716696,False
-1.05753,400,74.182485,0.881406216754623,False
0.022825,400,84.549562,1.0806421768770205,False
-1.086739,400,84.760121,1.1812930609569778,False
10.884737,240,84.881411,1.6023381801587415,True
-1.79922,400,85.09429,0.7515181721034343,False
-1.604077,400,85.320628,0.5510563658334555,False
-0.692295,400,94.793339,1.1893578702618617,False
-0.415526,400,95.017699,1.1912664664361734,False
-0.275644,400,95.27456,1.1851106771668682,False
10.834302,306,95.46628,1.3341539939511051,True
0.180273,400,95.685696,1.1507325725057838,False
-0.203266,400,105.531175,1.3105059961385108,False
-0.551694,400,105.746653,0.5546586311933187,False
-0.837176,400,105.992037,1.350209013926806,False
-0.155025,400,106.225002,1.2552088537017532,False
-0.977326,400,106.451089,0.3670648368888277,False
9.807551,271,116.145431,0.16993459381056011,True
-0.445875,400,116.367774,0.17233247061842624,False
-0.559699,400,116.563594,1.2953837145404075,False
-0.3139,400,116.753904,0.29179833628734375,False
-0.206011,400,116.953296,1.502124533626714,False
-0.515831,400,131.108085,0.14382246779332458,False
-0.399045,400,131.371518,0.2212250806157988,False
-0.052492,400,131.643023,0.0931670673375512,False
-0.044236,400,131.907151,0.3510566344191519,False
-0.486576,400,132.15089,0.17994741517530258,False
-0.131919,400,142.789982,0.5742062988191525,False
-0.329113,400,143.046118,0.29885260855133516,False
-0.439722,400,143.270557,0.29417618886472924,False
-0.733894,400,143.503639,0.3125846948971203,False
10.743974,225,143.619535,1.411304706983687,True
-0.00578,400,159.294036,0.3441494183536593,False
-0.359272,400,159.832597,0.29652032553864877,False
0.170822,400,160.284849,0.9949963211103787,False
-0.757988,400,160.753381,1.174421544998167,False
0.53764,400,161.221197,0.857134563633891,False
-0.499309,400,175.850662,0.17701267055132303,False
-0.487945,400,176.102395,1.193206334370914,False
10.080478,195,176.234852,0.27122308275161555,True
-0.528027,400,176.513647,0.1737073523919073,False
-0.433451,400,176.772206,1.3844345205754374,False
-0.83857,400,189.114138,0.9083716717563339,False
-0.167276,400,189.369317,1.2827550943014217,False
10.709873,224,189.506681,1.1276965843952833,True
-0.52987,400,189.747754,0.12854238376382565,False
-0.715156,400,190.001143,0.10404873347052877,False
10.438212,305,201.99814,0.9152049846970958,True
-0.228618,400,202.28674,1.4962778327365835,False
-0.499848,400,202.561806,0.07626904261421223,False
-0.618332,400,202.8792,0.06115993447464542,False
0.043103,400,203.14904,0.894063872561481,False
-0.118064,400,215.113783,1.4099255045646901,False
-0.092315,400,215.380089,1.3405724119961095,False
0.035487,400,215.637571,1.1451212845450154,False
0.037937,400,215.923001,1.1987313534232857,False
0.037876,400,216.237278,0.1926162938528767,False
0.081086,400,227.448493,1.1866428253331087,False
-0.164985,400,227.713891,1.386479774433828,False
-0.414781,400,227.955397,1.8706070856207855,False
-1.253576,400,228.197301,1.1452573600341653,False
-0.18823,400,228.453643,1.5073142114661564,False
-0.614041,400,239.021371,1.3384574529376094,False
-0.723085,400,239.226475,0.8656876338953056,False
10.355711,138,239.2961,0.8820139785014715,True
0.023412,400,239.502902,1.0534148018282359,False
-0.741936,400,239.700916,1.1340661776400196,False
-0.648125,400,250.266294,1.1571647351760128,False
-0.416462,400,250.500793,0.7143868331171037,False
-0.565174,400,250.731174,0.01009062541468437,False
-0.544566,400,250.950355,0.5735061142812898,False
-0.701561,400,251.186219,1.0677915682313908,False
-1.247497,400,262.000598,0.6739225749010048,False
-1.541813,400,262.253559,0.5250109496716778,False
-0.711535,400,262.502112,0.02622277356867479,False
-0.668136,400,262.77059,0.02972014232922371,False
-0.638557,400,262.986657,0.9246709254441174,False
-0.09295,400,274.147044,0.7360532104842674,False
10.364372,122,274.214107,0.8408819313908498,True
10.813323,216,274.332102,0.7912078921326395,True
-0.925998,400,274.550648,0.681568092130241,False
-0.137612,400,274.760215,0.37995191677320295,False
0.000753,400,285.989228,0.7052191602621063,False
-0.259682,400,286.256471,0.6070702530124414,False
-0.364812,400,286.539897,0.7037219428267415,False
0.400516,400,286.812177,0.6241191971096016,False
0.029375,400,287.030855,0.690822257151283,False
0.582017,400,298.384111,0.4831240195081336,False
-1.261065,400,298.632593,0.29534063215206974,False
0.273655,400,298.892077,0.4460286903413795,False
-0.00508,400,299.133112,0.44531767559236946,False
-0.9715,400,299.387395,0.051701918923209245,False
10.909148,287,309.325988,0.5849101811927199,True
-1.2729,400,309.545309,0.3283579213242309,False
0.145503,400,309.776349,0.5008068231729347,False
0.018382,400,309.998719,0.4535586178369186,False
-0.635467,400,310.206182,0.36781507511305467,False
-1.042565,400,319.980285,0.3130070278897524,False
-1.254125,400,320.188485,0.31664025028995746,False
0.008757,400,320.396041,0.658610712009919,False
10.883061,316,320.54861,0.7419820778809191,True
-0.3407,400,320.747951,0.5559810085274319,False
-0.529109,400,330.445997,0.39216340177615566,False
10.884261,299,330.599003,0.9187467678882455,True
-0.89156,400,330.818371,0.3052903207051765,False
-0.138771,400,331.035222,0.5896908155038858,False
-0.763992,400,331.244547,0.3176509947376949,False
-1.040577,400,341.143723,0.23181229863350764,False
-0.215981,400,341.340097,0.5120992579822745,False
-0.359763,400,341.538919,0.7813676929312833,False
0.103182,400,341.738832,0.8967038053294314,False
-0.514042,400,341.955573,0.3342650068104476,False
-1.278115,400,351.574293,0.28106647912232025,False
-0.430273,400,351.77509,0.4562561541109366,False
10.760068,304,351.938698,0.862522401991407,True
-0.435466,400,352.152498,0.7322740576425799,False
10.789746,289,352.297942,0.8216789521737802,True
10.997447,237,361.920547,1.0189746111787776,True
-1.086557,400,362.140152,0.2850189874809642,False
-0.210882,400,362.340412,0.6683524437614825,False
0.123101,400,362.540731,0.7338802875175776,False
-0.763803,400,362.745991,0.04701354282298584,False
0.121383,400,372.583044,0.7415706635527862,False
-0.349073,400,372.780962,0.6586889745214659,False
-0.185355,400,372.982255,0.9458927467838256,False
-0.130681,400,373.177811,0.9154685939996684,False
-0.370273,400,373.398753,0.6217465640812534,False
0.103468,400,383.599061,1.0399343495477582,False
-0.538225,400,383.816107,0.5647877464658687,False
-0.656208,400,384.015987,0.536258591728448,False
-0.318008,400,384.218849,0.7300319111216536,False
-0.657456,400,384.434524,0.015868356078306417,False
10.390928,336,395.233494,0.761777268883181,True
-0.372708,400,395.549159,0.64546113863521,False
-0.375389,400,395.812954,0.6412318505636273,False
-0.224012,400,396.058608,0.7663305246857772,False
0.038391,400,396.338593,0.9526661198643952,False
0.056772,400,406.428379,0.9220639173280566,False
-0.589989,400,406.667454,0.49135432719709543,False
0.068845,400,406.910371,1.0911179904556527,False
-0.958191,400,407.13806,0.4411984540568396,False
-0.84432,400,407.376059,0.31641200732111285,False
-0.498306,400,419.47649,0.45707064887958104,False
-0.237976,400,419.750948,0.5231261146946451,False
0.060773,400,419.997526,0.7119109073132858,False
0.434177,400,420.247053,1.0790042397111768,False
-0.237476,400,420.517619,0.5505194202700977,False
0.323212,400,432.077893,1.0627547824260333,False
-1.03047,400,432.305403,0.46928360035310906,False
-0.087596,400,432.554108,0.8490003605626351,False
10.078856,199,432.670847,0.16527715154930758,True
-0.183034,400,432.907677,0.5693591477960259,False
-0.86447,400,443.18573,0.3273750224383388,False
10.050247,222,443.300537,0.1711769982850297,True
-0.440493,400,443.501672,0.3517433339101258,False
0.000567,400,443.751856,1.1542768641991423,False
-1.091421,400,443.965839,0.40590443033411266,False
0.162829,400,453.860944,1.0614555308485656,False
-0.818859,400,454.065076,0.4546012271863676,False
0.02093,400,454.260027,0.935408660850054,False
0.005286,400,454.455017,0.6107707873363217,False
-0.033212,400,454.66199,0.7498250636136162,False
10.51521,167,464.278307,0.5471757019140533,True
-1.050296,400,464.480314,0.07156451218134582,False
0.03726,400,464.712807,0.6118746087278564,False
-0.087982,400,464.948561,0.6945905197047816,False
-0.467852,400,465.150342,0.38429130777619513,False
-0.039258,400,475.489866,0.8284096949698987,False
0.00316,400,475.700956,0.7179245716660293,False
-0.766983,400,475.904221,0.46065232265724587,False
-0.48787,400,476.136485,0.06211102174406577,False
-0.348566,400,476.361627,0.29477379670981074,False
-0.16311,400,487.309442,0.9314674172277037,False
-0.038291,400,487.510909,0.7451467368051857,False
-0.602465,400,487.719744,0.4759185629427344,False
-0.75495,400,487.935346,0.14822779830090188,False
-0.163276,400,488.141106,0.5640333429708102,False
-0.248698,400,497.652896,0.23675226638314642,False
-0.510337,400,497.859721,0.4081502261617809,False
10.491218,172,497.943814,0.4755315991439054,True
-0.345438,400,498.148487,0.5349234419971143,False
-0.704926,400,498.355609,0.30879347184018524,False
-0.976149,400,507.502211,0.07164638222003186,False
-0.392548,400,507.679945,0.3667060515065957,False
10.564465,157,507.746972,0.4775020808383962,True
-0.647616,400,507.928308,0.12351112544387627,False
10.287072,113,507.979759,0.36255556145774165,True
0.486007,400,517.748484,0.6379348204364472,False
-0.51167,400,517.951674,0.38779011331008023,False
0.556972,400,518.201127,0.6568306905545509,False
-1.216109,400,518.404516,0.2589877716382197,False
-1.254923,400,518.586344,0.24304555760268204,False
-0.076659,400,527.798811,0.5477013852293915,False
0.419936,400,527.999922,0.5751941973059115,False
-0.701775,400,528.240932,0.26803111970827487,False
-0.873913,400,528.506491,0.24821702586767372,False
-0.64538,400,528.716468,0.2761785956344332,False
-0.175636,400,538.791635,0.44865938840220215,False
0.332638,400,538.986228,0.7427804875703522,False
0.413165,400,539.189727,0.4564998960521507,False
0.160088,400,539.4017,0.5231378497468224,False
0.172507,400,539.605642,0.44049345342421165,False
-0.960579,400,549.359227,0.37916826904750445,False
0.106573,400,549.564263,0.5716639146090126,False
-0.038072,400,549.769669,0.5454498754894023,False
-0.375137,400,549.971414,0.5419318037099696,False
-0.895198,400,550.170676,0.31997953113953204,False
-0.294056,400,559.989117,0.5671817040419939,False
-0.023655,400,560.212721,0.5354743136589813,False
-0.609589,400,560.424463,0.37460310804001024,False
-0.515818,400,560.649827,0.4925517235167464,False
10.559898,251,560.775785,0.4384052934804952,True
-0.483091,400,571.09766,0.5677313720315041,False
-1.159925,400,571.292709,0.4381902038381761,False
0.190794,400,571.540062,0.4430386496312473,False
-0.071164,400,571.786174,0.5659783967796639,False
0.001809,400,572.024107,0.437458892396962,False
-0.412882,400,582.194165,0.5629566900361884,False
10.69471,212,582.301659,0.4661197353423198,True
0.466822,400,582.514734,0.6966265038063403,False
-0.304737,400,582.74967,0.01262610419892791,False
-0.339421,400,582.956041,0.37243328116100605,False
0.194299,400,592.433196,0.4802497706292431,False
10.559603,385,592.650451,0.41737486848992306,True
-0.235935,400,592.860155,0.017614461330980397,False
-0.478264,400,593.062507,0.4101143957356964,False
-0.119222,400,593.266686,0.02233515976061035,False
-0.955151,400,603.726723,0.22613721163949319,False
-1.325091,400,603.951827,0.39743279612160126,False
-0.114772,400,604.163765,0.4825728007687665,False
-0.415248,400,604.367009,0.3927044722782096,False
-0.659714,400,604.580542,0.26132864007478507,False
-1.182442,400,614.816621,0.36321430249255804,False
-0.204483,400,615.039293,0.07222490735774002,False
-0.506464,400,615.234647,0.030762787188256913,False
-0.22806,400,615.43048,0.5200327070708712,False
-0.072702,400,615.63529,0.43094440502121295,False
-0.5356,400,626.065144,0.011776574852163199,False
10.723066,162,626.152256,0.9957200175023536,True
0.526795,400,626.363352,0.5842015807720795,False
0.599351,400,626.584847,0.5714364345111259,False
10.794071,400,626.777397,0.6580313338599363,True
-0.234596,400,636.096194,0.3732917000193561,False
-0.543114,400,636.292729,0.006101647375020815,False
-0.670824,400,636.486308,0.45494785517927705,False
-0.715627,400,636.677996,0.3795564449959767,False
-0.466671,400,636.867788,0.5764873557533685,False
-0.79712,400,645.57013,0.2665372542528201,False
0.217732,400,645.752011,0.3987235991543065,False
-0.07631,400,645.937118,0.061903415649342826,False
-1.19226,400,646.13168,0.4061211180176255,False
10.33843,116,646.190977,0.46933438913950476,True
-0.466626,400,655.357575,0.4943158238185129,False
-0.0099,400,655.630091,0.42938760036200013,False
-0.5832,400,655.854683,0.27093689753813216,False
-0.221728,400,656.063998,0.0342638074981545,False
-0.412489,400,656.292005,0.01701599830070355,False
-0.205456,400,666.790215,0.04535784374991718,False
-0.053947,400,667.006408,0.4077711555430448,False
10.528296,151,667.08032,0.4659610759493654,True
10.484153,267,667.210866,0.37543477279328646,True
-0.260435,400,667.41075,0.04658737411883103,False
0.283633,400,675.962851,0.5331412414714579,False
-0.626864,400,676.151404,0.311298199150898,False
-0.238452,400,676.338755,0.3674865827309593,False
10.759436,253,676.45823,0.5589160792718435,True
10.708174,396,676.646669,0.5214403672079555,True
-0.496583,400,685.45127,0.2602922615344516,False
0.2237,400,685.675794,0.6496812273673825,False
0.180193,400,685.919716,0.5225689171435904,False
-0.21717,400,686.14448,0.10611182742727412,False
-0.203459,400,686.345531,0.4396418787637303,False
10.63034,159,696.831644,0.415151565983656,True
-0.42135,400,697.045886,0.34501757693342655,False
-0.194426,400,697.277109,0.37340021751835223,False
0.031299,400,697.52344,0.2987489621517398,False
-1.178345,400,697.779374,0.2647031066216483,False
-0.405443,400,710.883473,0.10649052161216026,False
-0.315687,400,711.204391,0.060801598374833024,False
0.525514,400,711.483871,0.3963832192831035,False
0.034906,400,711.785578,0.3465452440271973,False
-0.952434,400,712.140156,0.2668823478007025,False
0.278275,400,724.604752,0.3573824072453282,False
-0.13195,400,724.823032,0.21280696806838323,False
-0.256084,400,725.048343,0.3138668730666784,False
10.415162,144,725.12793,0.25670992271261084,True
-1.216779,400,725.352379,0.18490163832254447,False
-0.93913,400,737.103731,0.1653282123945602,False
10.805716,352,737.315541,0.6578749158145606,True
0.149791,400,737.562909,0.3754606746882463,False
10.608788,166,737.655694,0.31415142196616763,True
-1.048331,400,737.888941,0.2292307572284089,False
-1.137775,400,749.703357,0.22971230821005933,False
-0.124141,400,749.90398,0.12685584775688458,False
-0.215327,400,750.131557,0.2722816701105569,False
-0.666647,400,750.384779,0.07222980862863454,False
-0.092974,400,750.618747,0.28992226399511456,False
-0.734926,400,762.048293,0.23332252342357743,False
-0.292578,400,762.271738,0.2517680431448628,False
-0.878473,400,762.504465,0.039149696975602506,False
0.619959,400,762.748751,0.38108520880518953,False
0.03408,400,762.996866,0.28832385043241837,False
-0.141793,400,774.652698,0.09850175002566872,False
10.913273,257,774.847139,0.3944106777722072,True
0.222107,400,775.072436,0.30703306576935635,False
0.359482,400,775.322292,0.35781133081735705,False
-0.64227,400,775.541143,0.04012255083732397,False
0.2193,400,787.069286,0.2959950782621137,False
0.674064,400,787.319495,0.3962776712926487,False
0.131437,400,787.603137,0.11391292584375928,False
-0.023919,400,787.884791,0.2518413215432957,False
0.44398,400,788.138724,0.30686619389429853,False
-0.170926,400,800.54112,0.08028784415951501,False
-0.741881,400,800.760827,0.2189943139263948,False
0.263349,400,800.982569,0.28312325935687455,False
0.03936,400,801.225964,0.2684887858276091,False
-0.105637,400,801.457765,0.08084051340411445,False
-0.210679,400,810.258572,0.05503358898895267,False
0.356936,400,810.450668,0.058033335186199554,False
0.122183,400,810.648888,0.25391538521320994,False
-0.160917,400,810.837628,0.20675504786387494,False
0.086723,400,811.026824,0.2292976639824962,False
-0.616953,400,820.278327,0.10402798541830667,False
-0.384115,400,820.489927,0.23822430229211233,False
-0.882022,400,820.682477,0.20174515949930671,False
0.161614,400,820.870008,0.06173925296702089,False
0.144882,400,821.074116,0.06449030674445,False
-0.425119,400,829.227858,0.23375319433390587,False
-1.131345,400,829.411054,0.12920074471118873,False
-0.887023,400,829.587293,0.04836487567042651,False
-0.65711,400,829.779843,0.04556761904381189,False
