#{"t_start": 1754320329.4792426, "env_id": "None"}
r,l,t
0.009958,400,5.834619
-0.026234,400,5.976597
0.178572,400,6.113754
-0.03286,400,6.261245
0.236928,400,6.384655
0.341688,400,12.666858
0.397643,400,12.797704
0.354664,400,12.94722
0.018934,400,13.076421
-0.034379,400,13.207088
0.590338,400,19.61928
-0.04433,400,19.751739
-0.011502,400,19.87839
0.241868,400,20.012152
-0.077957,400,20.146026
0.221211,400,26.538325
0.169599,400,26.664103
0.510505,400,26.799947
0.064929,400,26.921752
0.062867,400,27.05218
0.078279,400,33.425926
0.170268,400,33.561005
-1.166982,400,33.689435
-0.066552,400,33.818622
-0.41476,400,33.954182
-1.245242,400,40.280092
-0.133182,400,40.409392
-0.84658,400,40.539669
0.390667,400,40.681614
0.43566,400,40.824285
0.274131,400,47.119064
-0.435048,400,47.246836
-0.991694,400,47.394756
-0.799047,400,47.521865
-1.095176,400,47.64781
0.417082,400,53.855688
0.294957,400,53.993076
0.40362,400,54.134709
-0.317354,400,54.262249
-0.520202,400,54.386813
0.179277,400,10.817095
-0.403142,400,10.971891
-0.210618,400,11.126157
0.448177,400,11.268307
-0.691221,400,11.411648
-0.147868,400,12.044921
0.326755,400,12.212454
-1.174078,400,12.356096
0.390726,400,12.504152
-0.631236,400,13.339018
-1.645612,400,13.95737
0.273938,400,14.150128
-0.247796,400,14.313854
0.208749,400,14.473481
-0.051503,400,14.621136
0.012412,400,15.241609
0.413734,400,15.431313
10.111323,134,15.477717
-0.597681,400,15.624777
0.501847,400,15.767007
-0.578327,400,15.913648
-1.057217,400,16.53934
-0.928597,400,16.703434
-0.47923,400,16.845708
-0.292155,400,16.989891
-1.06388,400,17.135952
-0.779918,400,17.795039
-0.589491,400,17.967196
0.182942,400,18.116177
0.729869,400,18.260802
0.285449,400,18.407387
-0.626183,400,19.018798
-0.336297,400,19.209212
-0.353414,400,19.351051
-1.955685,400,20.171807
-0.358801,400,20.32304
-0.138214,400,21.037843
0.202044,400,21.235338
-1.293727,400,21.379651
-1.839038,400,21.520029
-0.893694,400,21.668581
-0.894664,400,22.248789
0.264786,400,22.449698
-0.499737,400,22.597127
-1.297306,400,22.744695
0.314525,400,22.900353
0.772999,400,23.471794
0.111026,400,23.671144
-1.531557,400,23.806864
-0.202017,400,23.95262
-1.460577,400,24.119958
9.945627,110,24.159099
-1.200703,400,24.738087
0.319109,400,24.93475
-0.539405,400,25.08496
0.605437,400,25.240959
10.395639,249,25.329612
10.674294,365,25.458629
-0.833636,400,26.075982
-0.504251,400,26.254409
0.287847,400,26.404866
-0.614116,400,27.250106
-1.147966,400,27.407162
-0.102584,400,27.976633
0.133296,400,28.161167
-0.707038,400,28.303206
-0.156961,400,28.470567
-0.4328,400,28.615596
-0.612194,400,29.217163
-1.030702,400,29.402045
-0.29685,400,29.551848
-0.582919,400,29.703733
-0.081159,400,29.852898
-0.404504,400,30.437083
-0.896596,400,30.629624
0.112687,400,30.785738
0.303404,400,30.929888
0.01124,400,31.085222
0.332199,400,31.651083
0.02381,400,31.895791
0.235277,400,32.036996
0.344357,400,32.175961
0.184493,400,32.3174
-0.716274,400,32.924914
0.049901,400,33.135139
0.227514,400,33.291218
0.269501,400,34.115766
-0.554051,400,34.261
-0.600481,400,34.410735
0.355206,400,35.020643
-0.211199,400,35.179657
-1.244544,400,35.334107
-0.177374,400,35.474484
0.097537,400,35.619536
0.230965,400,36.23355
0.135274,400,36.39783
0.329412,400,36.552248
-1.378286,400,36.702501
-0.987419,400,36.849404
-0.878461,400,37.493421
-1.156755,400,37.657871
-0.719721,400,37.81539
0.190121,400,37.97192
0.265775,400,38.12753
-0.618049,400,38.760893
0.276276,400,38.933275
-1.277629,400,39.072742
-0.18652,400,39.215009
-1.083837,400,39.354187
-0.050731,400,39.966996
-0.901764,400,40.149932
0.191559,400,40.976
-0.71114,400,41.127236
0.290366,400,41.27895
0.023457,400,41.876152
-0.388961,400,42.068453
-0.777003,400,42.20744
-0.141963,400,42.367485
-0.11928,400,42.539629
10.139864,83,42.572
0.027088,400,43.148879
-0.651208,400,43.333724
-0.833514,400,43.472618
-0.58958,400,43.61643
-0.411301,400,43.766054
-0.544832,400,44.358721
0.294826,400,44.551494
0.202091,400,44.698449
0.274118,400,44.847816
0.223538,400,45.000142
-0.400893,400,45.58173
-0.000173,400,45.784992
0.242918,400,45.93249
0.000978,400,46.079692
-0.166802,400,46.238604
-0.610562,400,46.813934
-1.278571,400,47.681918
0.265001,400,47.833876
0.077663,400,47.979508
-0.169283,400,48.122134
-0.843816,400,48.264388
-0.421347,400,48.90133
-0.741983,400,49.048086
-0.328526,400,49.192382
0.058214,400,49.330341
0.113548,400,49.473974
-0.848254,400,50.110491
-0.495292,400,50.264745
-0.449497,400,50.40054
10.08183,64,50.42121
0.118359,400,50.570977
0.222258,400,50.730628
-0.259423,400,51.341847
-0.020968,400,51.497342
-0.548305,400,51.643401
0.303625,400,51.800226
-0.526343,400,51.946704
9.967611,123,51.988929
0.219366,400,52.586929
0.24123,400,52.733077
-1.45124,400,52.885652
-1.492227,400,53.033215
0.265099,400,53.173434
0.184609,400,54.491212
0.341527,400,54.63634
-0.230039,400,54.782929
-0.001074,400,54.931134
-0.427983,400,55.079669
