#{"t_start": 1754394258.8569436, "env_id": "None"}
r,l,t
0.014372,400,6.92027
0.027101,400,7.091732
-0.144632,400,7.290558
0.020336,400,7.465029
-0.038998,400,7.635059
0.544448,400,15.607876
0.287766,400,15.792366
0.516082,400,15.976413
0.1727,400,16.186323
-0.622197,400,16.366714
0.318151,400,24.101341
0.130242,400,24.4514
0.503959,400,24.770379
-0.138127,400,25.119824
0.207449,400,25.370952
0.208645,400,35.783085
0.198143,400,36.008266
0.595189,400,36.236149
-0.458263,400,36.46307
-0.737593,400,36.714702
0.322025,400,46.688596
0.253192,400,46.864111
-0.200405,400,46.986621
0.209271,400,47.105962
-0.402386,400,47.227946
-0.616692,400,53.481056
0.22552,400,53.656739
-0.387059,400,53.833233
0.422641,400,54.022354
0.554111,400,54.192672
0.041167,400,63.607567
-0.207945,400,63.842714
-0.349953,400,64.07862
-0.575869,400,64.313482
0.361177,400,64.553205
0.522959,400,74.311142
0.290391,400,74.535282
0.536681,400,74.767107
0.10048,400,75.027467
-0.305131,400,75.278558
0.265406,400,84.241628
0.090877,400,84.475766
0.49239,400,84.712914
0.000719,400,84.943424
-0.005373,400,85.194169
-0.636958,400,91.821096
0.463721,400,91.937415
0.45546,400,92.048636
10.544328,94,92.074717
-0.98903,400,92.186916
604791
-0.693131,400,17.301283
0.50399,400,17.486946
0.259625,400,17.676898
-0.358494,400,17.889403
0.095489,400,18.083787
0.137521,400,18.785516
0.266691,400,18.999638
-0.50672,400,19.214337
-1.148992,400,19.423978
0.273577,400,19.644181
-0.32669,400,20.229411
-0.691587,400,20.428812
-0.517993,400,20.636797
-0.165783,400,20.835518
-0.14728,400,21.034501
-0.235384,400,21.714793
-0.959609,400,21.92382
-0.289055,400,22.120427
0.315084,400,22.302994
0.034145,400,22.488481
0.236683,400,23.122651
-0.156331,400,23.344078
-0.237182,400,23.559885
-1.682308,400,23.792297
-0.459437,400,25.679477
-0.430294,400,26.652676
0.377484,400,26.968902
0.013971,400,27.269036
-0.509992,400,27.548464
-0.576781,400,27.825573
-0.182901,400,28.670044
0.288927,400,28.939495
-0.06442,400,29.219631
-0.809441,400,29.495615
0.104417,400,29.798374
0.475139,400,30.112936
0.397774,400,30.972764
-0.411223,400,31.2324
-0.274493,400,31.494641
0.118172,400,31.792384
-1.264912,400,32.054565
-0.755956,400,33.030275
0.318209,400,33.278528
-0.319737,400,33.550969
0.339742,400,33.828075
-0.211153,400,34.101706
0.125811,400,34.991242
0.029032,400,35.276051
0.320016,400,35.538484
-0.369066,400,36.976088
-0.941146,400,37.218736
-0.360734,400,38.020821
0.037196,400,38.268069
-0.558097,400,38.539099
-0.049912,400,38.832339
-0.837981,400,39.09805
-0.731021,400,40.01129
-0.496658,400,40.341676
0.138035,400,40.616292
-1.309661,400,40.912283
-0.186139,400,41.195474
-0.209219,400,41.994439
-0.005123,400,42.246344
0.202881,400,42.507816
0.125843,400,42.775577
0.459498,400,43.03718
0.186831,400,43.941646
0.002662,400,44.193173
0.078153,400,44.449766
-0.001989,400,44.699882
0.267354,400,44.991828
-1.157916,400,45.902945
0.223202,400,46.185517
0.190945,400,46.440519
0.258365,400,47.372468
-0.768445,400,47.495289
0.059381,400,47.640977
0.272776,400,48.347033
-0.5866,400,48.525489
-1.845383,400,48.695062
0.1879,400,48.857252
0.253316,400,48.999305
0.340593,400,49.554486
0.279046,400,49.695859
0.349639,400,49.827849
-0.562636,400,49.963277
-0.393849,400,50.09462
-1.112295,400,50.64498
-0.543444,400,50.797742
-1.545848,400,50.94365
-0.088146,400,51.072728
0.308099,400,51.201186
-1.167389,400,51.761037
0.23356,400,51.955482
-0.466402,400,52.137335
0.010972,400,52.361048
-0.895887,400,52.542202
-0.023376,400,53.116189
-0.237078,400,53.307599
-0.045812,400,54.373524
-0.719905,400,54.555253
0.305629,400,54.732303
0.220872,400,55.359601
-1.040095,400,55.55986
-1.101033,400,55.769351
0.018649,400,55.971293
-0.16006,400,56.171942
10.21321,151,56.238524
0.099614,400,56.830729
-0.286804,400,57.234771
-0.441713,400,57.568439
-0.258581,400,57.872402
-0.228958,400,58.150415
-0.410585,400,59.120488
0.423742,400,59.41907
0.243368,400,59.72559
0.25625,400,59.992959
0.318704,400,60.279263
-0.267623,400,61.168439
0.190366,400,61.419872
0.320679,400,61.692268
0.029101,400,61.959251
0.168823,400,62.222687
-0.325732,400,63.140441
10.414372,68,63.187335
0.375382,400,64.695057
0.20014,400,64.956408
-0.020015,400,65.228106
-0.577117,400,65.488225
0.153608,400,66.310583
-0.561397,400,66.566095
-0.137246,400,66.824794
0.115121,400,67.163831
0.144667,400,67.452219
-0.784412,400,68.346556
-0.411538,400,68.594992
-0.036884,400,68.853952
-1.154798,400,69.13095
0.312436,400,69.394884
0.261405,400,70.221659
0.072649,400,70.471693
-0.283377,400,70.731298
0.482294,400,70.992206
-0.086698,400,71.245019
-1.349123,400,71.489907
0.135141,400,72.313678
0.386558,400,72.563341
10.102119,58,72.599685
-1.63528,400,72.848187
0.208678,400,73.161387
0.064928,400,73.491441
-0.04877,400,75.458944
0.394527,400,75.714977
-0.843836,400,75.984742
0.219855,400,76.242864
10.3251,263,76.420994
0.040982,400,77.203729
0.22157,400,77.447259
0.279568,400,77.698069
-0.446274,400,77.958037
0.404454,400,78.247136
-1.152885,400,79.056629
-0.428725,400,79.30788
-0.442381,400,79.544124
0.178881,400,79.813054
-1.461459,400,80.066221
0.129786,400,80.888027
-1.459029,400,81.147344
0.217443,400,81.385383
0.182116,400,81.642765
0.371893,400,81.901659
-1.671441,400,82.725382
-0.418753,400,82.978944
-0.184573,400,83.22279
-0.181093,400,83.484434
0.154858,400,83.775703
-0.761952,400,85.829892
-0.35498,400,86.09404
0.304126,400,86.352234
-0.470769,400,86.610801
0.317488,400,86.888724
0.183388,400,87.184404
-1.22468,400,88.033521
0.154907,400,88.297799
0.182797,400,88.506879
-0.240348,400,88.635654
-0.292657,400,88.75547
-0.671547,400,89.200059
-0.749658,400,89.328454
0.138835,400,89.450475
-0.992408,400,89.590609
-1.636871,400,89.743249
0.246598,400,90.264955
-0.455849,400,90.401997
-0.255887,400,90.531909
-0.139981,400,90.671684
0.110842,400,90.795188
0.108073,400,91.204433
0.269563,400,91.342424
-0.523956,400,91.475149
-1.125226,400,91.60742
0.368929,400,92.239064
-1.268108,400,92.617954
-0.387803,400,92.761239
-0.179984,400,92.888951
0.269669,400,93.022943
-0.547954,400,93.150175
-0.262263,400,93.568273
0.329678,400,93.760092
10.183299,348,93.911908
0.392536,400,94.098759
-0.129598,400,94.284213
0.347133,400,94.855558
-0.192066,400,95.064265
0.415759,400,95.265898
0.180834,400,95.460891
0.232892,400,95.649532
-0.865028,400,95.841521
-0.243655,400,96.787141
