#{"t_start": 1754401091.3616292, "env_id": "None"}
r,l,t
10.923191,190,7.600735
10.367676,109,7.650632
0.380355,400,7.849869
10.669222,117,7.903644
-0.382041,400,8.089309
10.727609,118,15.940929
10.530495,83,15.974231
0.184839,400,16.165061
10.592769,77,16.200984
0.305812,400,16.381784
0.269924,400,24.050317
0.609038,400,24.230151
10.419763,141,24.291543
10.969545,172,24.369909
0.194079,400,24.555117
10.575384,70,31.84645
0.690816,400,32.017618
0.416446,400,32.203232
10.468163,90,32.248216
0.510717,400,32.432875
10.388325,83,39.84839
-0.325792,400,40.054351
10.955751,167,40.128856
10.651829,93,40.173149
10.358696,93,40.218017
10.335445,85,48.201652
10.699778,146,48.266302
10.592367,48,48.28614
10.757239,138,48.345745
10.541746,116,48.393363
0.572152,400,56.019469
10.617816,84,56.055453
0.432147,400,56.224705
10.399972,77,56.25738
0.410604,400,56.434008
10.295361,91,64.077672
-0.347315,400,64.255454
10.326655,124,64.305552
10.205767,129,64.366994
10.601977,79,64.405676
10.760149,199,71.297582
0.433613,400,71.468834
-0.442545,400,71.639571
10.336723,183,71.716565
0.446628,400,71.890314
-0.307609,400,79.219028
10.388062,87,79.255584
-0.739647,400,79.439256
0.425953,400,79.637252
0.317787,400,79.805007
10.304183,159,87.511883
10.233203,97,87.556239
-0.087737,400,87.767197
10.694786,135,87.848823
10.509386,83,87.883893
-0.43258,400,96.719331
0.390844,400,96.952539
0.625757,400,97.147037
10.622213,126,97.207355
10.321415,137,97.277766
10.841997,143,104.743075
0.422443,400,104.922879
10.365721,90,104.963508
10.958637,138,105.024554
10.352506,92,105.069132
10.668675,81,112.835759
-0.23679,400,113.005771
-0.414586,400,113.185708
10.413922,45,113.209816
10.64225,78,113.253812
10.384116,68,121.610838
0.400097,400,121.798944
10.530375,61,121.82788
0.07864,400,122.023227
-0.346556,400,122.213619
-0.087655,400,130.640411
-0.904816,400,130.822739
-0.298839,400,131.007826
-0.477999,400,131.199096
-0.035894,400,131.390383
0.10996,400,139.519245
10.806125,129,139.576767
0.09776,400,139.7552
10.700162,123,139.816186
10.214164,94,139.857735
10.784692,106,18.101547
0.177818,400,18.811385
10.708986,120,18.881453
10.571073,80,18.923743
10.834598,86,18.969273
0.516174,400,19.177424
-0.329576,400,19.375713
10.573318,88,19.420348
10.725481,108,19.479019
10.70193,100,19.531405
-0.339897,400,20.161516
10.543931,128,20.23006
10.69448,85,20.274554
0.36288,400,20.470195
10.62336,94,20.518723
10.564257,51,20.543241
-0.346176,400,20.748336
10.642526,80,20.785923
0.098608,400,20.972641
-0.042957,400,21.683319
0.304552,400,21.916019
10.284596,83,21.961363
0.603959,400,22.169012
10.80094,135,22.242873
0.390193,400,22.447202
10.9075,168,22.531958
10.671281,107,22.581962
10.536161,129,22.649473
-0.480673,400,23.350565
10.599029,90,23.398676
0.175254,400,23.60002
-0.464685,400,23.794269
10.96246,179,23.884381
-0.160145,400,24.772946
10.604387,84,24.814397
10.765607,153,24.890475
0.426177,400,25.536902
10.540933,90,25.591574
10.637459,102,25.637458
10.557535,84,25.680105
10.513367,105,25.728662
10.583875,93,25.771729
10.782334,132,25.835701
10.794902,179,25.922822
10.88447,182,26.008607
10.60993,83,26.047265
0.451289,400,26.235803
0.410345,400,26.819732
10.50601,76,26.854804
-0.385768,400,27.058969
0.430413,400,27.252018
10.447584,85,27.294686
-0.084667,400,27.480469
0.417387,400,27.672131
-0.302201,400,28.32138
10.810368,148,28.401737
10.885631,192,28.498571
0.059512,400,28.743348
10.767872,89,28.796987
10.694536,84,28.839045
-0.040608,400,29.05132
0.520049,400,29.248475
-0.442224,400,29.966592
10.922243,170,30.066175
-0.519763,400,30.293068
0.092425,400,30.490152
0.420509,400,30.674627
0.014528,400,30.85912
0.006471,400,31.507116
-0.758775,400,31.706758
-0.341761,400,32.526788
-0.332545,400,32.727204
0.412936,400,32.921234
10.703344,116,33.41503
10.984493,93,33.465307
10.325068,83,33.509282
10.754339,84,33.550954
-0.396723,400,33.734505
10.629487,77,33.770235
-0.498761,400,33.956501
10.27761,120,34.011029
0.531082,400,34.201763
0.44342,400,34.785224
10.480698,51,34.809213
0.424318,400,35.011984
10.661084,101,35.062343
-0.329882,400,35.255017
-0.018444,400,35.4568
10.413926,154,35.542429
0.666111,400,35.752629
10.660588,83,36.35851
0.11423,400,36.576037
10.735695,85,36.614753
0.422865,400,36.823175
-0.456126,400,37.021158
0.645985,400,37.222084
10.520012,125,37.279243
0.022328,400,37.931282
0.602418,400,38.198405
10.780506,209,38.303563
0.415423,400,38.508214
10.742325,240,38.627897
10.729655,131,38.691829
10.283176,84,38.733691
0.039954,400,38.944675
10.302468,109,39.428724
10.409979,43,39.452939
0.091316,400,39.666158
10.332413,174,39.759202
0.408943,400,40.399291
-0.165816,400,40.609226
10.234061,111,40.664468
10.371011,171,40.75071
10.383279,45,40.772778
10.351037,124,40.83332
10.308824,121,41.379863
10.506523,46,41.403946
10.315041,219,41.530444
0.129498,400,41.727606
-0.479112,400,41.920914
10.43199,89,41.96611
0.052941,400,42.164709
0.419719,400,42.401186
10.554343,78,43.093954
0.48654,400,43.333722
10.354946,109,43.40377
0.120752,400,43.617819
10.773867,130,43.684217
10.823638,162,43.764853
10.654922,122,43.825285
10.746859,131,43.887436
10.19241,89,43.929404
0.008071,400,44.132771
