#{"t_start": 1754401357.3823576, "env_id": "None"}
r,l,t
10.923182,190,7.238201
10.368752,110,7.292728
0.380969,400,7.490592
10.669203,117,7.543486
-0.381401,400,7.736012
10.728625,118,16.246577
10.530412,84,16.292814
0.185297,400,16.513939
10.591243,77,16.561151
0.302664,400,16.82768
0.04537,400,25.316741
-0.006444,400,25.494768
0.277875,400,25.680159
0.605614,400,25.855777
10.419999,140,25.921486
10.468873,89,33.869582
0.481199,400,34.062766
-0.35089,400,34.2572
-0.170262,400,34.44492
0.418303,400,34.646438
0.412269,400,42.610032
10.389709,87,42.653755
-0.267519,400,42.834656
10.960267,170,42.909277
10.664113,88,42.946195
10.601132,49,51.306784
10.765885,136,51.368649
10.542865,141,51.428113
-0.346618,400,51.614724
0.410497,400,51.785579
0.177912,400,60.196135
0.567141,400,60.406585
10.617937,83,60.454904
0.455182,400,60.698355
10.403829,81,60.761097
10.299475,89,68.768167
-0.362411,400,68.949699
10.320806,139,69.06344
0.047298,400,69.258286
10.601297,77,69.294482
10.72057,80,76.188079
0.578298,400,76.359028
-0.356402,400,76.52942
10.683946,80,76.561141
0.16475,400,76.731181
0.446331,400,84.544411
0.316842,400,84.782209
10.805185,260,84.922854
10.142922,82,84.961009
0.020042,400,85.176317
0.210327,400,93.39686
10.238507,93,93.440245
10.43841,75,93.475129
-0.372811,400,93.666051
10.520499,77,93.697233
10.481462,85,101.440013
10.479012,54,101.464515
0.410376,400,101.643883
-0.453894,400,101.81692
0.398081,400,101.995649
10.862114,165,109.437096
0.176548,400,109.614342
10.985376,165,109.683644
10.813783,263,109.797242
10.306832,83,109.831397
0.537299,400,117.764132
10.676786,80,117.797088
-0.248788,400,117.994649
-0.420419,400,118.167878
10.414043,46,118.187077
10.783036,303,125.959974
10.500086,73,125.993455
10.904258,149,126.060198
10.731682,112,126.108675
10.74832,134,126.168868
-0.952779,400,133.949138
-0.307459,400,134.13603
10.776724,119,134.184796
10.457699,70,134.215151
10.188909,90,134.254051
-0.399234,400,142.204964
0.111997,400,142.388624
10.822812,85,142.432971
0.065433,400,142.616555
10.692857,107,142.667964
10.495909,45,149.913961
10.887645,166,149.98386
0.410223,400,150.182884
0.176513,400,150.372727
-0.727077,400,150.550935
10.829083,81,157.964512
-0.842834,400,158.153018
11.064322,91,158.192229
0.163631,400,158.375134
10.774749,79,158.412159
-0.733292,400,165.98146
10.859675,162,166.050122
0.260288,400,166.229883
10.680217,106,166.273286
0.10797,400,166.457678
10.861461,143,173.794952
10.217804,80,173.831024
0.399164,400,174.010816
0.648128,400,174.190567
0.404014,400,174.37288
0.404363,400,182.018316
0.143398,400,182.196598
10.911061,196,182.285798
10.739219,128,182.339778
10.301929,44,182.359364
10.935747,84,189.643578
-0.020234,400,189.838095
0.539097,400,190.038002
0.188255,400,190.215782
10.332224,42,190.234442
10.750255,125,198.012947
-0.100111,400,198.190406
0.545308,400,198.373906
10.903681,181,198.455122
10.731512,115,198.507326
10.801599,129,208.193866
-0.975474,400,208.390613
10.892296,179,208.474311
-0.397379,400,208.676885
10.492698,68,208.709834
0.075073,400,216.495055
10.357484,157,216.560569
-0.762343,400,216.742452
-0.206708,400,216.94763
-0.834843,400,217.130412
07412,400,28.855335
10.315292,86,28.897034
0.397749,400,29.099501
-0.196139,400,29.306589
10.354142,102,29.369978
0.394333,400,29.594158
-0.310517,400,30.383494
10.810182,152,30.463463
10.893901,187,30.553394
0.108448,400,30.751355
0.359962,400,30.938116
10.691841,83,30.979354
-0.028943,400,31.170448
0.417535,400,31.803854
0.05793,400,32.038991
10.690551,91,32.101622
-1.032844,400,32.306911
0.394741,400,32.508674
