#{"t_start": 1754402590.038509, "env_id": "None"}
r,l,t
0.044274,400,7.796842
10.36703,115,7.831645
0.361913,400,7.966209
10.670941,116,8.00296
-0.390198,400,8.12673
0.134738,400,14.780684
10.729489,118,14.823533
10.529499,88,14.85647
0.184793,400,15.015598
10.598453,74,15.044555
-0.02657,400,21.442091
0.255307,400,21.562556
0.589084,400,21.681853
10.419959,158,21.729795
10.972784,172,21.781571
10.469394,100,27.953031
0.47502,400,28.074855
-0.353601,400,28.206186
-0.173995,400,28.329233
0.419503,400,28.448823
0.408351,400,34.410875
10.393119,90,34.440294
-0.245897,400,34.578923
10.962305,171,34.636203
10.667299,89,34.66521
10.339938,97,40.711198
10.706711,160,40.756461
10.593626,49,40.771905
10.767759,138,40.814195
10.543233,144,40.855926
10.542632,88,46.851366
0.16298,400,46.992231
0.546632,400,47.104915
10.615205,93,47.130395
0.468104,400,47.241921
-0.362386,400,53.121436
0.003087,400,53.285635
0.021775,400,53.415986
10.598531,82,53.442414
0.37265,400,53.589933
94878
-0.214182,400,9.033192
-0.166295,400,9.181839
0.21159,400,9.32392
10.583511,115,9.363393
0.408148,400,9.955495
0.388664,400,10.120223
-0.076806,400,10.270646
0.390227,400,10.409992
-0.240955,400,10.551623
10.763078,84,10.580757
0.1905,400,11.191164
10.157256,89,11.236876
10.752536,138,11.304458
10.35465,93,11.348368
0.472903,400,11.55105
0.439021,400,11.751228
10.846201,173,11.846866
-0.466483,400,12.022974
10.869819,166,12.658059
0.39327,400,12.874861
-0.189759,400,13.022127
10.905884,161,13.082229
10.64057,131,13.127765
0.371751,400,13.275556
10.719713,148,13.327841
-0.558792,400,13.883553
0.404582,400,14.084866
-0.733474,400,14.303131
0.457858,400,14.501062
10.389537,85,14.550399
-0.450011,400,15.167565
10.65169,97,15.205137
10.367744,72,15.236973
10.558362,74,15.277073
0.449487,400,16.034119
0.477381,400,16.193223
-0.457378,400,16.357768
10.672394,110,16.402196
10.701412,118,16.45127
10.693549,113,16.503972
0.119981,400,16.664719
10.53448,47,16.684407
10.903952,155,17.292259
10.697142,123,17.367134
10.565798,80,17.419255
10.807368,86,17.461969
0.512206,400,17.617046
-0.332788,400,17.758363
10.574749,94,17.789515
-0.510011,400,17.92597
-0.479315,400,18.438105
10.543712,137,18.508516
0.280249,400,18.689328
0.402977,400,18.823871
0.311869,400,18.961511
10.55623,53,18.979118
-0.355031,400,19.122161
10.623673,86,19.156471
-0.81373,400,19.709539
10.802767,86,19.768188
10.280602,103,19.814569
0.587467,400,19.968056
-0.367389,400,20.108266
0.406486,400,20.251967
10.911129,175,20.320403
-0.377678,400,20.880604
10.601399,82,20.922027
0.164592,400,21.092476
-0.418078,400,21.230799
0.051187,400,21.852128
10.356259,132,21.901579
10.605658,84,21.940412
10.780031,151,22.000997
0.396483,400,22.551367
10.540558,113,22.606562
10.672034,99,22.654303
10.549209,77,22.683816
10.517664,83,22.712229
10.582914,92,22.742615
10.757357,146,22.792178
10.800462,174,22.852677
-0.006692,400,23.000379
-0.368395,400,23.146155
0.417344,400,23.799785
10.513775,76,23.838473
10.305256,95,23.887261
0.384969,400,24.041308
-0.194028,400,24.172995
10.337167,125,24.2162
0.399682,400,24.355299
-0.330035,400,24.488127
10.457804,111,24.936634
10.804117,153,25.01262
-0.027582,400,25.18662
0.054001,400,25.359801
10.76536,89,25.392409
10.691115,85,25.425181
-0.053445,400,25.573588
0.224202,400,25.717832
-0.460201,400,26.418793
10.947465,166,26.486191
10.671305,96,26.517833
-0.713618,400,26.667273
0.387043,400,26.809448
0.016445,400,26.944145
-0.016584,400,27.581749
10.621941,59,27.609434
-0.353742,400,27.782024
10.583134,65,27.804347
0.656582,400,27.942796
0.37119,400,28.620002
0.3667,400,28.757443
10.903166,187,29.194725
10.97984,97,29.24591
10.328798,90,29.297612
0.298943,400,29.457761
-0.397945,400,29.608875
10.629677,75,29.633751
10.219442,92,29.664841
-0.062508,400,29.802635
0.488883,400,29.966288
0.44616,400,30.676876
-0.425146,400,30.809602
0.382181,400,30.948031
10.673972,97,30.990932
-0.345132,400,31.134187
-0.024645,400,31.264827
10.410726,151,31.669663
0.135923,400,31.839605
10.722348,82,31.865263
0.416948,400,31.99065
-0.485431,400,32.151556
0.607254,400,32.336019
10.52643,156,32.386681
-0.014213,400,32.974117
0.579911,400,33.122037
10.779553,212,33.189019
0.393069,400,33.331387
10.742294,238,33.408599
-0.28085,400,33.541792
10.279173,94,33.94954
0.228524,400,34.147698
0.070259,400,34.28431
0.127673,400,34.832149
10.39089,107,34.869442
10.497991,82,34.895751
10.234939,109,34.932212
0.038566,400,35.066838
10.287874,349,35.616469
10.515327,47,35.644367
10.360658,48,35.672029
0.116931,400,35.826484
-0.470424,400,35.988249
10.437896,89,36.018453
0.058154,400,36.154346
0.443965,400,36.291057
10.577212,70,36.689857
0.453764,400,36.90039
-0.085148,400,37.043917
0.131924,400,37.190874
-0.334839,400,37.384513
10.829658,159,37.457383
10.656162,119,37.506979
-0.327157,400,38.173115
10.637072,71,38.214554
10.525747,97,38.256921
10.426507,160,38.322043
-0.432979,400,38.47631
0.402129,400,38.638374
10.790456,146,38.70115
10.809043,86,38.756123
10.614138,103,38.800354
0.506994,400,39.31811
0.112789,400,39.500819
10.448977,100,39.533077
0.026764,400,39.652923
10.763933,143,39.697232
0.399092,400,39.830666
0.485915,400,39.954889
10.906214,176,40.452104
-0.047827,400,40.646259
10.594968,91,40.677193
10.558695,96,40.884324
0.410148,400,41.035442
-0.481278,400,41.160893
10.727179,129,41.20172
0.402274,400,41.377024
10.699735,133,41.935713
10.983725,97,41.989882
10.671471,99,42.052184
0.214853,400,42.230527
10.897914,149,42.301702
10.651534,73,42.334908
0.388849,400,42.519257
10.891642,159,42.58596
10.605749,95,42.625882
10.621286,89,42.661782
10.634107,84,42.694489
10.662542,156,42.755937
10.462508,81,42.788217
10.192815,102,42.828179
0.391074,400,43.449932
0.182409,400,43.580427
10.93557,168,43.644155
10.69992,92,43.678128
10.666291,84,43.714082
10.76705,88,43.747452
0.409032,400,43.884437
0.452906,400,44.0153
10.507393,78,44.42168
0.404013,400,44.61057
11.021191,100,44.653699
10.702133,84,44.697767
-0.058292,400,44.866107
-0.412479,400,44.993478
10.620727,95,45.027033
10.3481,114,45.066632
10.338243,143,45.112599
10.83958,153,45.164238
10.2866,105,45.205323
10.671283,143,45.644176
10.579072,105,45.696194
10.635849,83,45.732026
0.470919,400,45.891479
10.255468,126,45.936912
10.345167,93,45.966443
10.522459,83,45.991226
0.156236,400,46.138172
-0.384058,400,46.281497
0.419076,400,46.744756
0.083102,400,47.330226
10.771918,88,47.35844
0.386883,400,47.48762
10.741071,167,47.538549
11.110317,99,47.571848
10.609022,138,47.632984
10.838113,147,47.686499
10.82521,141,47.727966
0.012132,400,48.239345
10.56645,57,48.267454
10.78185,135,48.333473
0.38234,400,48.477093
0.036767,400,48.603706
0.391248,400,48.728391
10.366875,90,48.756942
10.810657,86,48.785416
10.413617,174,48.839599
0.097767,400,49.34613
10.500565,94,49.391281
10.619399,71,49.425365
0.09725,400,49.562101
10.142328,82,49.587572
0.389939,400,49.716114
-0.40877,400,49.843064
-0.052292,400,49.969397
0.075259,400,50.55588
10.37979,87,50.58543
-0.229655,400,50.728209
10.219047,127,50.771662
0.128588,400,50.895848
10.786493,210,50.96224
10.514646,48,50.977567
-0.415859,400,51.477661
10.582483,76,51.511037
10.223928,88,51.547877
10.784691,87,51.584992
10.668182,79,51.622147
0.239862,400,51.761965
10.51477,63,51.782016
10.553909,70,51.804279
0.120573,400,51.927809
0.288236,400,52.055207
0.126039,400,52.908703
10.289781,100,53.614232
10.475518,80,53.654258
10.412599,117,53.702722
0.446732,400,53.856288
10.345309,92,53.888648
10.864755,181,53.951622
11.051314,94,53.986597
0.06362,400,54.115012
-0.297598,400,54.243729
-0.826677,400,54.759162
0.124217,400,54.912094
