#{"t_start": 1754394097.031972, "env_id": "None"}
r,l,t
0.130418,400,7.55921
-0.12422,400,7.717742
0.233559,400,7.893562
0.039811,400,8.062909
0.589707,400,8.235411
0.657965,400,16.265641
0.648477,400,16.46514
0.486498,400,16.633067
0.156568,400,16.803754
-0.654271,400,16.978437
0.339948,400,24.631689
0.256899,400,24.798188
0.090611,400,24.969176
0.434269,400,25.142214
-0.178106,400,25.308487
0.01279,400,33.485855
0.161207,400,33.790428
0.151652,400,33.98346
0.552666,400,34.19987
-0.491061,400,34.408358
0.591055,400,42.390876
0.296583,400,42.558882
0.228008,400,42.733163
-0.215417,400,42.90777
0.204265,400,43.092426
-0.439731,400,50.983263
0.308501,400,51.158729
-0.174236,400,51.34401
0.507127,400,51.521028
0.607557,400,51.691839
0.551088,400,59.091727
0.122778,400,59.269743
0.100441,400,59.445608
-0.214671,400,59.629178
-0.368373,400,59.842386
0.424005,400,67.095122
0.632512,400,67.268278
0.23345,400,67.458947
-0.309695,400,67.642265
0.466556,400,67.807445
0.404683,400,74.642683
0.290027,400,74.811107
0.581181,400,74.980179
0.227753,400,75.159465
0.129435,400,75.359016
0.515869,400,82.715241
0.565691,400,82.898931
10.549525,76,82.944812
-0.240126,400,83.127731
0.194738,400,83.307176
-0.151388,400,90.524341
0.513981,400,90.713238
0.503264,400,90.894346
0.572812,400,91.072245
0.303798,400,91.241835
0.264172,400,98.370613
0.207162,400,98.557807
0.36365,400,98.724
0.179397,400,98.890851
0.010137,400,99.060306
0.514679,400,106.30839
0.563562,400,106.474766
-0.075017,400,106.64144
0.214675,400,106.811114
0.321598,400,106.975299
0.588567,400,114.700789
0.57684,400,114.879732
0.380789,400,115.054032
0.32333,400,115.24371
-0.122277,400,115.431581
-0.190141,400,122.873931
0.364376,400,123.072422
0.082712,400,123.274266
0.348482,400,123.456805
0.475317,400,123.631402
0.536473,400,131.593021
0.03954,400,131.812401
-0.248415,400,132.028796
0.428008,400,132.21608
0.572054,400,132.403921
0.495076,400,140.189932
0.237279,400,140.359482
-0.137367,400,140.528229
0.074154,400,140.733608
0.556617,400,140.935968
0.563431,400,147.569299
-0.096145,400,147.740051
0.313355,400,147.906948
-0.113958,400,148.073256
0.505788,400,148.266433
6841
-0.819374,400,29.768903
-0.50476,400,30.582122
0.326846,400,30.830528
-0.188008,400,31.045532
0.446748,400,31.25128
-0.199621,400,31.459905
0.264448,400,31.679109
-0.744485,400,32.61032
0.26116,400,32.907343
0.451227,400,34.48419
