#{"t_start": 1754321892.1878915, "env_id": "None"}
r,l,t
0.332939,400,7.204973
0.00913,400,7.3698
0.190734,400,7.556827
0.468142,400,7.696678
0.495884,400,7.847359
0.641401,400,14.740713
0.661461,400,14.87555
0.641693,400,15.009522
0.089463,400,15.133307
0.238255,400,15.319674
227
-0.730151,400,3.568123
-0.115122,400,3.722077
-0.197547,400,3.866395
0.232707,400,4.01751
0.335855,400,4.19869
-0.387537,400,4.925503
-1.177711,400,5.116094
-0.007401,400,5.284185
0.383912,400,5.456132
-0.703453,400,5.613605
-1.802827,400,6.458445
-0.587487,400,6.622912
-1.405851,400,6.761459
-1.747002,400,6.913718
-1.020154,400,7.070068
0.803435,400,8.610906
-0.495887,400,8.782465
-0.636211,400,8.91195
-0.126423,400,9.064866
-0.413049,400,9.22185
-1.472148,400,9.95049
0.705357,400,10.136408
-1.752381,400,10.27345
-0.805007,400,10.414553
-1.216886,400,10.565793
-0.584714,400,11.237361
-0.962735,400,11.420961
-1.674208,400,11.567434
-0.41469,400,11.699211
-0.141799,400,11.84811
-1.644407,400,12.451727
-1.324995,400,12.657056
-0.781383,400,12.83482
-0.154948,400,13.067159
0.15503,400,13.237887
-0.804241,400,13.413376
-0.046715,400,14.134447
0.106593,400,14.307776
0.846616,400,14.452072
-0.455138,400,14.597263
-0.219108,400,15.665533
-2.286059,400,16.795961
