#{"t_start": 1754319158.8034217, "env_id": "None"}
r,l,t
-0.151081,400,6.412626
-1.076482,400,6.572237
0.095938,400,6.737552
-0.293077,400,6.919364
0.546297,400,7.083071
0.463058,400,13.94383
0.416101,400,14.106168
0.241471,400,14.274656
-0.077575,400,14.437594
10.068581,72,14.468056
0.079928,400,21.315039
0.134922,400,21.483814
0.330922,400,21.666251
-0.142129,400,21.839715
-0.132551,400,22.004332
-0.660647,400,29.631361
-0.581947,400,29.807262
-0.755423,400,29.982613
0.385491,400,30.170743
-0.823968,400,30.343866
0.418368,400,37.684611
0.227281,400,37.867364
0.038612,400,38.042767
-1.274356,400,38.208296
0.065689,400,38.375284
0.385895,400,45.250593
-1.351379,400,45.419825
0.105867,400,45.597397
-0.81681,400,45.768257
0.463347,400,45.936773
0.703146,400,52.705683
-0.207323,400,52.876875
-0.477903,400,53.04258
-0.665126,400,53.207383
-0.552135,400,53.398
0.52411,400,60.162625
0.468715,400,60.337455
0.364989,400,60.504768
0.375592,400,60.66767
-0.295723,400,60.827788
0.443284,400,67.232708
0.357091,400,67.401711
0.749408,400,67.570987
0.207771,400,67.758593
0.171751,400,67.92291
0.856127,400,74.667423
0.810672,400,74.831534
-0.109003,400,74.996074
-0.416938,400,75.16036
0.313989,400,75.347143

-1.106443,400,15.23942
0.236286,400,15.434958
-0.514006,400,15.616842
-0.506768,400,15.82895
-0.374984,400,16.016958
0.303562,400,16.557405
0.355049,400,16.748611
10.125864,69,16.780017
-1.316182,400,16.973536
0.158356,400,17.158699
-0.668114,400,17.344128
-1.047226,400,17.932183
-0.942945,400,18.128992
-0.286276,400,18.314208
0.015678,400,18.494394
-0.107843,400,18.677284
-0.862775,400,19.243337
-0.985756,400,19.438735
0.165003,400,19.619819
0.313905,400,19.799706
0.333355,400,19.983956
0.151839,400,20.565531
-0.341233,400,20.761107
-0.374481,400,20.949461
-0.905047,400,21.133557
-0.063636,400,22.202226
-0.01425,400,22.766502
0.249623,400,23.006784
-0.61244,400,23.201973
-1.111706,400,23.392294
-0.858336,400,23.60785
-0.488698,400,24.260293
0.408891,400,24.485881
-0.378155,400,24.727342
10.10527,91,24.770282
0.23417,400,24.959001
0.289996,400,25.153244
0.188294,400,25.850827
0.218413,400,26.09753
-1.900144,400,26.319044
0.336019,400,26.570902
-2.402025,400,26.829221
-1.002096,400,27.447001
0.256682,400,27.644929
-0.505223,400,27.842122
0.081025,400,28.048878
-0.923124,400,28.235785
-0.638616,400,28.42632
-1.91565,400,29.091805
-0.079807,400,29.288125
0.365886,400,30.397929
-1.372574,400,30.60221
-1.488694,400,30.796208
0.093925,400,31.49544
0.203617,400,31.68243
-0.626747,400,31.867248
-0.028635,400,32.061212
-0.68733,400,32.254724
-0.465063,400,32.82577
-1.181529,400,33.019717
0.356449,400,33.203942
-1.622595,400,33.392967
-0.785708,400,33.599662
-0.273845,400,34.161234
-0.602188,400,34.346402
-0.195238,400,34.535899
0.324152,400,34.750937
0.201904,400,34.93121
0.347627,400,35.528835
0.195366,400,35.794185
0.280799,400,36.017438
0.313834,400,36.236282
0.389229,400,36.446013
-0.410245,400,37.158115
0.178596,400,37.368325
0.286813,400,38.433483
-0.490146,400,38.621233
-0.219698,400,38.805508
-0.624302,400,39.404282
-0.145636,400,39.606117
-1.080203,400,39.790426
0.081574,400,39.976683
-0.325773,400,40.16706
0.365612,400,40.742873
0.297172,400,40.941639
0.394149,400,41.125019
-2.225204,400,41.319762
-0.779237,400,41.508632
10.1357,383,41.686998
0.377802,400,42.254878
-1.078009,400,42.459932
-0.561242,400,42.644555
0.178139,400,42.823593
0.327279,400,43.004869
-0.522939,400,43.576521
0.257298,400,43.766849
-1.016337,400,43.974668
-0.049027,400,44.165747
-0.239848,400,44.348356
0.084635,400,44.933984
-0.851526,400,45.978836
-0.878976,400,46.176873
-0.577267,400,46.357238
0.309459,400,46.541544
0.503686,400,47.121601
-0.407328,400,47.311891
-0.53382,400,47.495032
0.064695,400,47.676529
-0.097654,400,47.880509
-0.891136,400,48.44427
-0.304532,400,48.64105
-0.744944,400,48.821689
-0.417713,400,49.022382
-0.112296,400,49.205912
-0.387042,400,49.776138
0.326009,400,49.96793
0.341339,400,50.164127
0.081413,400,50.345571
0.354937,400,50.533068
0.027149,400,51.077346
0.42291,400,51.273199
0.188366,400,51.455513
0.12613,400,51.638621
0.016926,400,51.823788
-0.480278,400,52.387548
-0.882743,400,53.445083
0.314858,400,53.631968
0.199418,400,53.818143
0.217585,400,53.99875
-0.886004,400,54.178625
0.200434,400,54.744913
-0.686552,400,54.921513
-0.188687,400,55.106671
0.661784,400,55.289874
0.2621,400,55.47614
-0.751474,400,56.04266
-0.055472,400,56.227446
-0.236662,400,56.412645
10.094577,44,56.433025
0.258766,400,56.632199
0.342612,400,56.843562
0.278432,400,57.405835
0.557397,400,57.583752
0.208868,400,57.785733
0.369601,400,57.968256
-0.091699,400,58.151508
-0.737097,400,58.699149
0.31822,400,58.909545
-0.992178,400,59.094891
10.05031,40,59.113245
0.388079,400,59.297083
0.371634,400,59.484582
0.016799,400,60.916653
0.35554,400,61.121998
-0.100374,400,61.309232
0.182246,400,61.500856
-0.366117,400,61.682315
0.350235,400,62.254628
0.057063,400,62.448231
0.364374,400,62.631256
-0.51203,400,62.816171
0.352814,400,63.004298
-1.319377,400,63.576669
-0.580105,400,63.764477
-0.040256,400,63.944971
0.145897,400,64.128225
10.168833,241,64.238333
-0.200991,400,64.443375
0.409309,400,65.000411
-0.565986,400,65.186516
0.375002,400,65.367746
0.381555,400,65.565087
-0.044327,400,65.749117
-0.197688,400,66.313867
0.139972,400,66.50095
-0.235038,400,66.709492
0.632926,400,66.8876
0.421918,400,67.072114
-0.114378,400,68.500752
9.858553,381,68.68528
0.026373,400,68.889788
-0.31823,400,69.068832
0.090383,400,69.255502
0.395399,400,69.806054
0.295824,400,69.995529
10.878805,377,70.15972
-0.50344,400,70.348427
-0.172504,400,70.528286
-0.478885,400,71.096228
-0.548608,400,71.277307
-0.084056,400,71.461561
-0.491575,400,71.642956
-1.150365,400,71.828868
0.209583,400,72.415994
-0.2835,400,72.60342
0.098996,400,72.790238
-0.377977,400,72.977849
0.135117,400,73.17459
0.196721,400,73.726841
0.115841,400,73.920315
-0.478259,400,74.101534
-0.336164,400,74.304151
0.325437,400,74.488622
-0.222752,400,75.526592
