#{"t_start": 1754317842.642356, "env_id": "None"}
r,l,t
-0.11341,400,9.072489
-0.574621,400,9.234998
0.439333,400,9.384834
0.181389,400,9.533746
0.602434,400,9.794078
0.498375,400,19.464643
0.437454,400,19.689702
0.091344,400,19.910102
-0.07631,400,20.136432
10.06827,107,20.21657
0.127798,400,29.682138
0.192531,400,29.844095
0.45707,400,30.037862
-0.137576,400,30.278375
-0.001977,400,30.515606
-0.407665,400,40.1374
-0.550112,400,40.357662
0.381114,400,40.595846
0.136897,400,40.81762
-1.100679,400,41.04429
-0.094977,400,50.750839
-0.123201,400,50.975111
-1.054687,400,51.202683
-0.030064,400,51.423514
-0.327404,400,51.710127
10.005961,52,61.077717
-0.211849,400,61.29596
-0.919298,400,61.514659
0.404827,400,61.751314
0.374249,400,62.013555
0.313832,400,71.893283
-0.338215,400,72.1187
-0.986788,400,72.392014
-0.689462,400,72.6236
-1.025003,400,72.861312
0.547366,400,82.187697
0.492035,400,82.302862
0.515944,400,82.419961
-0.137703,400,82.528886
10.601903,217,82.58613
0.469574,400,87.795138
-0.21183,400,87.969226
0.414461,400,88.136158
-0.300017,400,88.305285
0.149047,400,88.485289
-0.097259,400,95.782806
0.332734,400,95.949732
0.250706,400,96.117562
-0.580589,400,96.296124
-0.455845,400,96.462595
,23.512164
-1.250519,400,24.305562
0.267366,400,24.547438
-0.566694,400,24.792991
-0.365997,400,25.043422
-0.136443,400,25.294653
0.018645,400,26.119558
0.417308,400,26.349309
-1.241572,400,26.61024
-0.626147,400,26.847325
0.040802,400,27.088437
-0.687151,400,28.027076
-0.626467,400,28.267151
-0.225433,400,28.583037
0.049039,400,28.860259
-0.119267,400,29.118951
-1.140299,400,29.91313
-1.072119,400,30.159422
0.297003,400,30.412111
0.08716,400,30.657394
0.38683,400,30.901631
0.224736,400,31.721671
-0.342354,400,31.965227
10.471044,400,32.235416
-1.314748,400,32.442331
0.024303,400,33.752244
-0.012911,400,34.579633
0.353835,400,34.839051
-0.518224,400,35.083228
-1.069913,400,35.334563
-0.89761,400,35.610426
-0.48984,400,36.468028
0.337842,400,36.731513
-0.047223,400,36.979454
9.941033,215,37.112941
0.268212,400,37.360236
0.358837,400,37.611382
0.29994,400,38.525086
0.086212,400,38.784513
-0.852854,400,39.101037
0.310939,400,39.349486
-1.237947,400,39.601997
9.889254,166,39.705794
-1.489564,400,40.533595
0.338548,400,40.792181
-0.595263,400,41.03508
0.208316,400,41.286649
-0.696265,400,41.530454
-0.294215,400,42.34263
0.248931,400,42.584982
0.355575,400,42.825897
-0.720435,400,44.337249
-1.060282,400,44.617647
-0.14884,400,45.377222
0.104959,400,45.623192
-0.74217,400,45.880097
-0.039717,400,46.146631
-0.760041,400,46.39745
-0.670848,400,47.241046
-1.101927,400,47.495358
0.242344,400,47.742224
-1.18218,400,48.002406
-0.206563,400,48.246579
-0.292351,400,49.102106
-0.791469,400,49.353173
-0.134141,400,49.603616
0.291695,400,49.873962
0.008323,400,50.12124
0.348122,400,50.939065
0.197339,400,51.198529
0.207636,400,51.451302
0.344884,400,51.706418
0.343549,400,51.958722
-1.147273,400,52.92888
0.102092,400,53.180398
0.229978,400,53.420792
0.316684,400,54.90806
-1.576858,400,55.206223
-0.663008,400,55.490037
0.344387,400,56.302701
-0.273735,400,56.540283
-1.408727,400,56.786808
0.087682,400,57.064503
-0.055805,400,57.302284
0.204737,400,58.143072
0.322967,400,58.385169
0.467773,400,58.642725
-1.3424,400,58.887462
-0.87779,400,59.162408
-0.603727,400,60.043517
-1.208875,400,60.299766
-0.900435,400,60.541234
0.232336,400,60.788741
0.183967,400,61.018861
-1.163438,400,61.891707
0.210964,400,62.139796
-1.39801,400,62.38761
-0.071248,400,62.638479
-0.955846,400,62.882033
0.115869,400,63.707225
-0.882582,400,63.952537
0.181672,400,65.215861
-0.433185,400,65.463539
0.355935,400,65.727374
0.008953,400,66.640076
-0.851116,400,66.888446
-1.228023,400,67.143
-0.830483,400,67.381596
-0.490928,400,67.621084
-1.17603,400,68.543548
-0.768512,400,68.800458
-0.913733,400,69.044756
10.667979,218,69.194309
-0.365408,400,69.429835
-0.392271,400,69.673939
-0.654975,400,70.70926
-0.518098,400,70.948733
0.35775,400,71.197379
0.016305,400,71.456104
-0.440547,400,71.696912
-0.70885,400,72.546793
0.123599,400,72.79196
0.325887,400,73.04198
0.057761,400,73.282051
0.035997,400,73.521513
9.956601,391,74.42433
-1.251389,400,75.915367
0.26983,400,76.175283
0.164615,400,76.421209
-0.249531,400,76.674478
-0.767601,400,77.516558
-1.059378,400,77.769675
0.056962,400,78.006949
0.120259,400,78.273976
0.25318,400,78.513573
-0.782102,400,79.314059
-0.640357,400,79.568657
10.259325,259,79.719286
-1.348594,400,79.958084
0.252278,400,80.190189
0.388823,400,80.503436
-0.612277,400,81.316651
-0.957852,400,81.565689
-0.31959,400,81.817046
0.351722,400,82.068193
-0.577614,400,82.30799
-1.361395,400,83.199565
0.352503,400,83.441715
-1.443217,400,83.708561
10.024019,66,83.751675
0.367771,400,84.054445
0.412457,400,84.327927
-0.016584,400,85.549653
0.325703,400,85.671104
-0.428051,400,85.795439
0.162227,400,85.923069
-0.825828,400,86.045506
-0.627698,400,86.455305
0.305856,400,86.593693
0.328169,400,86.729065
-0.755461,400,86.859232
0.367347,400,86.992131
-0.897063,400,87.380147
-0.754881,400,87.523718
-0.841736,400,87.64542
0.414282,400,87.779832
-0.852838,400,87.91649
-0.277056,400,88.304743
10.025859,59,88.326925
0.329451,400,88.461324
0.415981,400,88.60207
0.330316,400,88.747838
-0.736611,400,88.921591
0.225842,400,89.607674
-0.439162,400,89.813319
0.088103,400,90.0068
-0.779044,400,90.200479
-0.462914,400,90.42364
-0.200443,400,91.931998
-0.847213,400,92.133253
-0.099629,400,92.329446
-0.853044,400,92.524001
0.054666,400,92.720677
0.34151,400,93.398714
0.339205,400,93.61675
-1.063387,400,93.829399
-0.731114,400,94.058863
-0.420177,400,94.254225
-1.017209,400,94.442491
0.152429,400,95.073973
-0.716253,400,95.266236
0.263286,400,95.465349
-0.717411,400,95.663662
-1.027089,400,95.86888
0.247849,400,96.438963
-0.789463,400,96.627901
-0.318753,400,96.816473
-0.863257,400,97.024255
-0.044712,400,97.234057
-0.216437,400,97.832481
0.313034,400,98.035814
-0.42625,400,98.221093
-0.121775,400,98.415581
0.388692,400,99.47155
