#{"t_start": 1755872471.9110134, "env_id": "None"}
r,l,t,episode_energy,success
-0.36649,400,5.871606,0.18005663624762333,False
0.095916,400,5.995996,0.4906284822099,False
0.119318,400,6.118407,0.26400099359525797,False
-0.507382,400,6.238357,0.5843002864050991,False
-1.322539,400,6.358173,0.4163570629615166,False
0.382148,400,12.719127,0.5343307384582058,False
-0.667802,400,12.838585,0.6663291259570554,False
-0.398645,400,12.959895,0.11037717550046251,False
-0.030681,400,13.082407,0.6295370906436252,False
-0.03046,400,13.20186,0.38945701297218827,False
-0.33333,400,19.514577,0.26065205773097627,False
-0.516948,400,19.635822,0.05957367944215098,False
-0.686494,400,19.758243,0.8902142837327038,False
-0.451937,400,19.893672,1.107981839714095,False
-0.775684,400,20.013959,0.18392533950100176,False
0.103924,400,26.259258,0.8893988621231028,False
10.200944,156,26.311344,0.4180412800251503,True
-0.555248,400,26.434207,0.8687070966534981,False
0.195335,400,26.558816,0.5712565044034129,False
-1.091224,400,26.683143,0.8902059057602247,False
0.02441,400,33.003492,0.5066423554232762,False
0.221641,400,33.126764,0.6008337695798683,False
-0.939666,400,33.25028,1.4864808555552387,False
-0.928052,400,33.369686,0.6287199484623561,False
0.137657,400,33.489495,0.517619564972618,False
0.132274,400,39.819091,1.2434792197351847,False
10.214064,113,39.851947,0.7348614296270051,True
-0.069454,400,39.975594,1.1839839105710421,False
0.159463,400,40.098081,1.4037230497761186,False
0.020019,400,40.217637,1.3120479535943987,False
0.002183,400,46.553237,1.5597291744598414,False
-1.276977,400,46.710485,0.717897534391292,False
-0.011986,400,46.843302,1.6876605307326453,False
-0.635351,400,46.971356,1.2800564554833551,False
-0.418325,400,47.093992,1.2263907771388647,False
-0.444547,400,53.439878,1.3275877268313243,False
10.64962,195,53.497599,0.6947603051800222,True
-1.504328,400,53.617657,0.6095606213738508,False
-1.195285,400,53.738886,1.0284582497199577,False
-0.049154,400,53.860496,1.9110719240436145,False
-0.037115,400,59.609009,2.2641096175890953,False
-0.63785,400,59.731308,1.4319744058835653,False
-1.436647,400,59.865,1.8183507969017372,False
-0.562733,400,59.986241,1.8216333414216352,False
-0.471338,400,60.1117,2.189275565106416,False
-0.016798,400,66.421021,2.2374966690892966,False
-0.095227,400,66.54408,2.268259537250823,False
-0.415712,400,66.665952,2.0691897927183027,False
-1.231848,400,66.787489,1.5441030378511054,False
-0.030903,400,66.909936,2.32693687027413,False
-0.089283,400,73.272079,2.101920164950596,False
-1.451093,400,73.394682,1.9234295628306748,False
-1.03978,400,73.519038,1.4081076139188777,False
-1.340114,400,73.639149,1.588949279828741,False
-0.726401,400,73.762193,1.4553505445353683,False
10.217585,101,79.955027,0.6874920419351817,True
-0.21112,400,80.076921,1.6600823525478683,False
-0.575241,400,80.199384,1.433901497802186,False
