#{"t_start": 1754404871.845997, "env_id": "None"}
r,l,t
0.041043,400,7.475891
10.368221,114,7.507397
0.36902,400,7.624746
10.66756,119,7.668491
-0.407768,400,7.823749
0.143971,400,16.298586
10.726228,121,16.335442
10.530288,87,16.362566
0.186476,400,16.482326
10.595735,75,16.504257
0.44667,400,24.157134
0.518672,400,24.311008
10.527134,77,24.33554
-0.358967,400,24.474036
10.654824,85,24.5021
10.608128,79,32.26466
-0.682318,400,32.430299
0.410219,400,32.578889
10.288242,93,32.615576
10.169217,99,32.655344
0.204631,400,41.165974
0.413179,400,41.302166
10.387943,83,41.329861
-0.36344,400,41.451598
10.946844,165,41.509119
5.10554
0.402281,400,5.27753
10.852477,171,5.352695
0.158927,400,5.523524
10.559709,103,5.575405
-0.018684,400,6.551406
-0.945299,400,6.81233
0.388595,400,6.991004
0.151208,400,7.162944
-0.454221,400,7.309328
10.30034,44,7.325882
10.482084,87,7.354534
0.218761,400,8.912659
0.047904,400,9.101078
10.644948,86,9.131119
10.14233,89,9.159128
-0.109214,400,9.292902
10.71026,82,9.322473
10.58782,138,9.370645
0.412871,400,9.506049
0.293351,400,10.431129
0.405204,400,10.634116
10.855534,215,10.717965
0.380236,400,10.87776
-0.269637,400,11.018716
10.774052,87,11.052367
0.218793,400,11.20487
0.65549,400,12.209474
10.154994,89,12.259243
-0.390787,400,12.47502
10.353736,103,12.520444
0.4467,400,12.682188
0.469357,400,12.849098
10.847157,169,12.926846
10.76621,135,12.983031
10.879229,172,13.899718
0.413332,400,14.124433
-0.186697,400,14.341998
10.938026,164,14.412668
10.63417,106,14.456213
0.382805,400,14.671969
10.718603,150,14.744489
-0.386749,400,15.66472
0.412518,400,15.841929
-0.689088,400,15.973304
0.54218,400,16.109645
10.387984,83,16.139314
-0.424235,400,16.609125
10.65626,96,16.642635
10.36693,71,16.665968
-0.335771,400,17.487511
0.481675,400,17.637552
-0.417738,400,17.766135
10.702251,106,17.804863
10.695986,85,17.836175
10.67462,116,17.876334
0.117237,400,18.016731
10.52924,46,18.034342
10.890622,172,18.089311
10.745407,165,18.784719
10.696128,123,18.840892
10.549444,79,18.878698
10.826834,84,18.914716
0.51671,400,19.058569
-0.33417,400,19.187194
10.575678,104,19.220206
10.720046,118,19.257408
10.683792,107,19.293526
10.934181,171,19.34752
0.077893,400,20.166332
10.542718,128,20.227694
0.253734,400,20.391022
0.409813,400,20.522477
10.621898,105,20.559249
-0.713747,400,20.692814
-0.351297,400,20.859706
-0.678996,400,21.85108
10.578764,66,21.888627
0.412371,400,22.071477
10.917248,175,22.137075
0.382984,400,22.314427
0.381041,400,22.485812
10.443072,83,22.520707
10.503618,47,22.537708
0.37771,400,23.492029
10.52129,118,23.569876
10.755408,143,23.636625
-0.110559,400,23.796279
-0.229655,400,23.969212
10.55231,121,24.556125
10.564305,73,24.598802
-0.382931,400,24.750886
0.483931,400,25.576567
0.388204,400,25.784139
10.432613,79,25.815564
10.269677,112,25.856204
10.266191,86,25.887833
10.453971,85,25.917652
10.808449,164,25.977401
0.051886,400,26.110551
10.840865,151,26.157097
0.105382,400,27.003667
0.456156,400,27.188619
-0.34689,400,27.326663
10.36389,46,27.343759
0.061858,400,27.476811
0.354568,400,27.625643
10.854041,226,27.700398
10.85904,182,28.477614
10.98683,186,28.580611
10.532914,76,28.628201
0.440593,400,28.783553
-0.085355,400,28.913852
0.113424,400,29.085049
10.116745,78,29.116543
10.593447,74,29.149009
0.033974,400,30.235713
0.406244,400,30.446468
10.434163,87,30.475953
-0.493878,400,30.607032
10.586515,112,30.643519
10.663209,96,30.680044
