#{"t_start": 1754393351.533828, "env_id": "None"}
r,l,t
0.147103,400,5.157432
-0.086638,400,5.267081
-0.021696,400,5.378973
0.027721,400,5.483991
0.514723,400,5.591384
0.438921,400,11.018147
0.020037,400,11.136702
0.405711,400,11.252807
0.047316,400,11.371504
-0.758481,400,11.504189
0.329821,400,16.722953
0.245394,400,16.852808
0.485577,400,16.983858
0.399063,400,17.091964
-0.207286,400,17.200116
-0.063556,400,22.779408
0.093607,400,22.886046
0.083748,400,22.992292
0.512782,400,23.100593
-0.529776,400,23.207713
0.543691,400,28.426099
0.230772,400,28.535673
0.164493,400,28.645999
10.322397,108,28.674797
0.166045,400,28.795774
0.463921,400,34.14543
-0.806399,400,34.265021
0.111815,400,34.373518
-0.515129,400,34.48306
0.441146,400,34.596145
0.450398,400,39.884416
0.055095,400,40.020555
-0.254825,400,40.146073
-0.364066,400,40.270654
-0.649792,400,40.391721
0.532113,400,45.845836
0.34916,400,45.953899
0.529425,400,46.059603
-0.054585,400,46.184651
-0.479047,400,46.311105
22,400,9.299348
-0.614208,400,9.459712
0.130978,400,9.608139
-0.460625,400,9.746788
-0.741809,400,9.883044
-0.255895,400,10.497224
0.103436,400,10.634982
-0.706796,400,10.767207
0.349273,400,10.904521
-0.353951,400,11.644763
-0.485469,400,12.146652
0.581743,400,12.291941
0.154732,400,12.422504
0.062837,400,12.545349
-0.07583,400,12.66368
0.152743,400,13.11641
0.318674,400,13.264706
-0.373135,400,13.383212
10.248211,197,13.446829
0.589574,400,13.568987
-0.19319,400,14.013919
-0.832457,400,14.18166
-0.231339,400,14.313139
0.241863,400,14.438251
0.064723,400,14.561285
-0.505554,400,14.694148
-1.716195,400,15.191195
-0.168278,400,15.328463
-0.265463,400,15.485616
0.207441,400,15.65581
0.439139,400,15.786695
-0.165677,400,16.301593
-0.023965,400,16.445211
-0.294954,400,16.560712
-0.707233,400,17.280088
-0.743086,400,17.404011
0.085657,400,17.858634
0.369367,400,18.010983
-0.170819,400,18.132974
-0.681248,400,18.255838
-0.756302,400,18.373962
-0.511607,400,18.877863
-0.344181,400,19.049725
-0.157595,400,19.184611
-0.887314,400,19.329605
0.182441,400,19.469365
0.174583,400,20.031816
0.162926,400,20.217194
-0.383107,400,20.361573
0.142364,400,20.504094
-1.492217,400,20.643131
10.289796,79,20.667737
-1.176788,400,21.213896
0.168423,400,21.386417
10.371726,205,21.468405
0.290249,400,21.599505
-0.451207,400,21.729069
0.055361,400,21.859177
-1.018095,400,22.468102
-0.122649,400,22.592301
0.319635,400,23.249993
-0.860905,400,23.39583
-1.109487,400,23.519935
10.838061,243,23.923819
-0.022035,400,24.08339
10.283617,85,24.109075
0.101826,400,24.227056
-1.130742,400,24.343293
-0.185449,400,24.496393
-1.04341,400,25.039086
-0.493113,400,25.212203
0.341179,400,25.328319
-0.147277,400,25.448468
0.106523,400,25.581332
-0.374013,400,26.049072
-0.289602,400,26.211701
-0.373735,400,26.328696
0.273543,400,26.447171
0.245399,400,26.565857
0.296383,400,27.027877
0.230464,400,27.203974
0.113718,400,27.318983
0.266929,400,27.451524
0.359311,400,27.571301
-0.242267,400,28.034351
0.2731,400,28.195799
0.297989,400,28.814656
-0.299252,400,28.97208
-0.035762,400,29.122837
-0.114264,400,29.642813
-0.212524,400,29.823755
-0.742338,400,29.981673
0.126318,400,30.09872
0.181354,400,30.221219
0.143317,400,30.344868
-0.502243,400,30.867492
0.2378,400,31.019375
0.410127,400,31.139146
-0.61856,400,31.25877
-0.530207,400,31.380626
-0.642112,400,31.869473
-0.768867,400,32.016127
-0.49349,400,32.144412
0.239157,400,32.262385
0.147265,400,32.382357
-0.620202,400,32.891656
0.146838,400,33.03427
-0.70318,400,33.160217
-0.02821,400,33.281013
-0.922541,400,33.399523
-0.089475,400,33.893207
-0.464058,400,34.611649
-0.552077,400,34.741904
-0.654242,400,34.863199
0.239076,400,34.981666
0.131954,400,35.457103
-0.086501,400,35.624551
-0.241189,400,35.741599
0.048805,400,35.860189
-0.142468,400,35.982511
10.39714,86,36.00924
-0.00035,400,36.49079
-0.391643,400,36.64851
-0.421141,400,36.765366
-0.341981,400,36.882499
0.093761,400,37.003722
-0.288529,400,37.478124
0.307012,400,37.647938
0.363024,400,37.766889
0.246691,400,37.886021
0.285385,400,38.004003
0.028164,400,38.440975
0.209662,400,38.620254
0.335512,400,38.738707
0.044554,400,38.877303
-0.105895,400,39.024832
-0.441098,400,39.583069
-0.309596,400,40.44761
0.163336,400,40.581085
0.229056,400,40.74151
0.117025,400,40.879262
-0.637066,400,41.375776
10.420104,113,41.424472
-0.261604,400,41.606323
0.153665,400,41.73533
0.132447,400,41.883878
-0.875517,400,42.014916
0.047888,400,42.515645
-0.15091,400,42.695729
-0.008921,400,42.812024
-0.836855,400,42.939691
0.253536,400,43.06471
0.243351,400,43.508328
0.102152,400,43.676493
-0.20532,400,43.800338
0.323476,400,43.9225
-0.246766,400,44.056231
-0.909543,400,44.174514
0.25102,400,44.675963
0.343303,400,44.807141
-1.128884,400,44.947413
-0.963793,400,45.132665
0.346009,400,45.252925
0.286773,400,46.394019
0.331418,400,46.515669
-0.404479,400,46.634583
0.474161,400,46.754055
-0.01566,400,46.87202
0.120716,400,47.381759
0.187987,400,47.523556
0.385294,400,47.64325
-0.758733,400,47.763307
0.539334,400,47.88094
-0.5448,400,48.375907
-0.818033,400,48.538949
10.304616,98,48.570245
0.382211,400,48.688194
-0.969964,400,48.812674
0.103174,400,48.954401
0.361838,400,49.64531
