#{"t_start": 1754318541.2069097, "env_id": "None"}
r,l,t
0.005224,400,6.67442
-0.03354,400,6.839403
0.182752,400,7.013016
-0.039537,400,7.178089
0.241358,400,7.347674
0.374302,400,14.522901
0.43287,400,14.688062
0.388053,400,14.854143
0.013822,400,15.02176
-0.073441,400,15.184679
0.640504,400,22.352232
-0.076012,400,22.534974
-0.039962,400,22.695816
0.25171,400,22.862276
-0.116079,400,23.033433
0.249986,400,30.000622
0.192467,400,30.166043
0.504222,400,30.335847
0.023131,400,30.503316
0.050551,400,30.665753
-1.057033,400,37.515063
0.493986,400,37.683087
-0.499151,400,37.84785
-0.183074,400,38.017685
0.143044,400,38.18645
-0.144825,400,45.396825
-0.23154,400,45.557033
-0.613131,400,45.719853
-0.377427,400,45.883455
-0.504313,400,46.051567
-0.209651,400,53.305677
-1.201249,400,53.468975
0.405017,400,53.632235
-0.01846,400,53.818805
0.468993,400,53.991786
0.415978,400,60.919068
0.075171,400,61.100683
-0.386158,400,61.329513
0.297192,400,61.496583
-1.009978,400,61.68229
-0.435591,400,68.246638
-0.090335,400,68.408427
-0.332338,400,68.56797
-0.011901,400,68.7494
-0.09094,400,68.94606
0.338788,400,76.047627
0.001633,400,76.210849
-0.542304,400,76.380554
-0.732019,400,76.545721
0.465749,400,76.709459
9879
-1.719491,400,15.924225
0.32531,400,16.117891
-0.225054,400,16.311953
0.311504,400,16.52204
-0.053743,400,16.702232
0.016558,400,17.257757
0.409494,400,17.443446
10.110681,134,17.510487
-0.600957,400,17.704543
0.540646,400,17.888466
-0.575748,400,18.072609
-1.044662,400,18.73211
-0.927572,400,18.955434
-0.637068,400,19.154287
-0.276533,400,19.347799
-1.051823,400,19.539415
-0.747833,400,20.1524
-0.535663,400,20.352959
0.200994,400,20.544666
0.735258,400,20.733598
0.290648,400,20.936253
-0.609909,400,21.626639
-0.346093,400,21.833959
-0.348853,400,22.039032
-1.974108,400,23.067662
-0.276449,400,23.263286
-0.07674,400,23.817461
0.168539,400,24.016285
-0.919368,400,24.216176
-1.829455,400,24.402429
-0.886271,400,24.583132
-0.925197,400,25.138557
0.275033,400,25.340381
-0.492775,400,25.52357
-1.285588,400,25.70922
0.320676,400,25.89369
0.754008,400,26.45798
0.114283,400,26.663098
-1.569848,400,26.842892
-0.225308,400,27.032428
-1.460255,400,27.214912
9.94578,110,27.263834
-1.217156,400,27.839432
0.383801,400,28.040232
-0.588842,400,28.223679
0.486522,400,28.406821
10.400563,246,28.531979
10.677189,366,28.78295
-0.801792,400,29.412827
-0.444333,400,29.612919
0.312469,400,29.821996
-0.601868,400,30.856039
-1.112767,400,31.041623
-0.12583,400,31.630005
0.084898,400,31.830189
-0.773892,400,32.022585
-0.155893,400,32.206558
-0.6133,400,32.38608
-0.58413,400,32.954786
-1.058513,400,33.152721
-0.454773,400,33.335369
-0.096711,400,33.516439
-0.056221,400,33.699862
-0.408673,400,34.287867
-0.896708,400,34.486708
0.026031,400,34.669167
0.327053,400,34.854249
0.017866,400,35.041944
0.320395,400,35.580967
0.062455,400,35.780001
0.266029,400,35.962158
0.342936,400,36.149053
0.194495,400,36.34189
-1.306349,400,36.527578
-1.21433,400,37.137454
-1.254014,400,37.332621
0.24978,400,38.376822
-0.889277,400,38.581291
-0.665716,400,38.767512
-0.508399,400,39.429933
-1.064811,400,39.651006
-1.329724,400,39.837904
0.173309,400,40.029346
0.274911,400,40.222261
-0.686338,400,40.857095
0.095166,400,41.060478
-0.721036,400,41.251814
-1.217713,400,41.445925
0.143242,400,41.640839
0.177941,400,42.308343
-1.405833,400,42.50492
-0.871584,400,42.692038
-0.981827,400,42.896261
-0.191326,400,43.075361
0.062865,400,43.643717
-1.526982,400,43.839293
-0.587647,400,44.052232
10.022815,113,44.104779
-0.463895,400,44.290485
0.301359,400,44.478127
0.246857,400,45.079559
-0.873008,400,46.104779
-0.269362,400,46.301856
0.246663,400,46.484213
0.155383,400,46.665258
-0.041505,400,47.274502
0.199691,400,47.467482
