#{"t_start": 1754320751.9481971, "env_id": "None"}
r,l,t
0.012371,400,6.256909
-0.025879,400,6.385099
-0.038738,400,6.536943
-0.013494,400,6.663995
0.029191,400,6.792134
0.219228,400,13.514265
0.203911,400,13.634195
0.000414,400,13.755146
0.082419,400,13.877496
0.021137,400,13.996594
0.311177,400,20.024838
0.349873,400,20.156199
0.515698,400,20.290474
0.218787,400,20.419416
0.062537,400,20.54936
0.059882,400,26.858604
0.022576,400,26.979304
0.621928,400,27.098458
0.106677,400,27.222638
-0.022484,400,27.351975
0.118361,400,33.565758
0.013074,400,33.688163
10.141726,264,33.768525
0.094756,400,33.89487
-0.132559,400,34.014712
-1.106073,400,40.496713
-0.126153,400,40.623053
-0.760478,400,40.766338
0.517474,400,40.923033
0.476543,400,41.049325
0.276573,400,48.515735
-0.246682,400,48.694214
-0.862994,400,48.834828
-0.604166,400,48.958685
-0.907325,400,49.074561
1.171233,400,10.569984
-0.314599,400,10.707856
-0.772267,400,10.847941
-0.258111,400,11.001428
0.422782,400,11.577311
0.277474,400,11.775062
-0.653302,400,11.914335
0.032487,400,12.06637
-0.626061,400,12.219269
-0.749365,400,12.376471
-0.991833,400,12.950046
0.16738,400,13.096234
-1.568672,400,13.265569
-0.490189,400,13.402458
-1.148619,400,14.158751
-2.288077,400,14.784866
0.191294,400,14.951443
-1.177516,400,15.0936
-0.244562,400,15.228461
-0.110754,400,15.379201
-0.048816,400,15.946155
0.279872,400,16.103702
-1.28321,400,16.243983
-0.311201,400,16.383854
0.203026,400,16.533897
-0.695884,400,17.075044
9.885862,354,17.219945
-0.413076,400,17.35394
-0.903722,400,17.492796
-0.352997,400,17.64377
-0.85226,400,18.18365
-0.814143,400,18.37927
0.143004,400,18.517633
-0.465744,400,18.663964
-0.21847,400,18.822006
0.120464,400,19.398064
-0.712279,400,19.594434
-0.502329,400,19.732108
-1.211357,400,19.888478
0.036145,400,20.697352
-0.045697,400,21.282074
0.224894,400,21.48835
-0.569147,400,21.626799
-0.937515,400,21.770902
-1.483455,400,21.911612
-0.093207,400,22.070689
-0.328503,400,22.679339
0.171576,400,22.820752
-0.464116,400,22.963927
-1.214508,400,23.122715
10.872088,400,23.279247
0.287009,400,23.859883
-0.509385,400,24.014998
-0.415974,400,24.171485
-0.399661,400,24.346712
-1.403315,400,24.481974
-1.579738,400,25.081922
0.332838,400,25.272594
-0.534413,400,25.445339
-0.104582,400,25.60024
-0.881082,400,25.751592
-0.215139,400,26.389052
0.193522,400,26.575689
0.315289,400,26.728063
-0.691778,400,27.508925
-1.569099,400,27.648244
-0.274228,400,28.186786
0.31073,400,28.36018
-0.524595,400,28.504966
0.010742,400,28.654595
-1.182122,400,28.807495
-0.331605,400,29.389712
-0.923127,400,29.581976
0.190212,400,29.720745
-0.581414,400,29.874194
0.096891,400,30.021582
-0.598757,400,30.602638
-1.008863,400,30.79711
0.054115,400,30.948727
0.071449,400,31.094614
0.020977,400,31.235516
0.740435,400,31.809355
0.837094,400,32.021927
0.655078,400,32.163904
0.657126,400,32.305484
0.015594,400,32.45392
-0.650819,400,33.087667
0.305277,400,33.299756
-0.024018,400,33.441463
0.304361,400,34.166965
-0.581906,400,34.310163
-1.082226,400,34.445529
0.178643,400,35.021596
-0.389725,400,35.169718
-1.389361,400,35.350746
-0.721896,400,35.5133
0.031115,400,35.664081
0.165179,400,36.243205
0.622567,400,36.405646
0.539548,400,36.54418
-2.418934,400,36.685224
-2.035648,400,36.829674
-0.866811,400,37.650079
-1.178436,400,37.830518
-0.668428,400,37.983368
0.247951,400,38.149464
0.060116,400,38.31838
-0.610348,400,38.966452
0.141992,400,39.150943
-1.384062,400,39.315241
-0.150368,400,39.483757
-1.717508,400,39.638621
0.137574,400,40.195199
-0.794346,400,40.368467
0.069823,400,41.200281
-1.378232,400,41.357601
0.379393,400,41.496885
-0.309255,400,42.159395
-0.028421,400,42.3514
-0.793872,400,42.477592
0.253248,400,42.605982
0.373173,400,42.74382
-1.909383,400,43.500987
-0.614749,400,43.740976
-1.026337,400,43.962892
0.266238,400,44.210442
0.236631,400,44.41534
-0.311591,400,45.375219
0.34689,400,45.58937
0.545237,400,45.73402
0.208355,400,45.893417
-0.025025,400,46.037858
0.082641,400,46.187067
0.355537,400,46.928567
0.677266,400,47.081943
0.258888,400,47.240996
-0.133832,400,47.386867
-0.181179,400,47.533821
-0.690448,400,48.338162
10.021609,69,49.097757
0.176998,400,49.237668
0.197941,400,49.381774
-0.253459,400,49.520777
-0.842554,400,49.650133
-0.482864,400,50.327294
-0.645426,400,50.475701
-1.030988,400,50.606
0.015495,400,50.736064
0.244708,400,50.887233
-0.842966,400,51.378132
-0.277763,400,51.530504
-0.478077,400,51.660515
10.025689,78,51.685611
-0.27367,400,51.814727
0.523611,400,51.949934
-0.078389,400,52.47458
-0.568651,400,52.622545
-0.616912,400,52.756334
0.113286,400,52.911628
-0.399542,400,53.074285
9.90857,153,53.643924
0.175505,400,53.845963
-1.400461,400,53.994761
-2.094997,400,54.148692
0.404027,400,54.293355
0.173224,400,54.516615
