#{"t_start": 1754391177.306468, "env_id": "None"}
r,l,t
0.007179,400,7.014678
0.03648,400,7.176893
-0.139877,400,7.347011
0.021569,400,7.512278
-0.053919,400,7.682606
0.355678,400,14.830408
0.285642,400,14.996129
0.421946,400,15.157958
0.145788,400,15.319351
-0.259208,400,15.487541
0.458798,400,22.37116
0.350489,400,22.548895
0.182323,400,22.724115
0.529399,400,22.898806
-0.085531,400,23.071485
-0.000538,400,30.801163
0.151534,400,30.982483
0.14002,400,31.173218
0.579095,400,31.381424
-0.504418,400,31.574166
0.538532,400,38.787811
0.20856,400,38.962308
0.136564,400,39.148762
-0.312507,400,39.318384
0.138829,400,39.496883
0.442607,400,46.541503
-0.870361,400,46.709461
0.056704,400,46.885809
-0.568727,400,47.04725
0.378228,400,47.21108
0.449641,400,54.047139
-0.000231,400,54.217938
-0.317598,400,54.388839
-0.421205,400,54.566358
-0.711551,400,54.733447
0.296285,400,61.456853
0.518971,400,61.622604
-0.014608,400,61.788666
-0.46365,400,61.949929
0.340753,400,62.126117
0.253111,400,71.365648
-0.009652,400,71.615797
0.467445,400,71.930506
-0.103556,400,72.267457
-0.03519,400,72.589853
-0.497646,400,80.600729
0.390619,400,80.778199
0.38065,400,80.954131
10.544823,104,80.998408
-0.630326,400,81.197218
0.028092,400,88.842595
-0.661991,400,89.044618
0.401702,400,89.221507
0.346802,400,89.397516
0.472798,400,89.570045
0.38332,400,97.034422
0.111502,400,97.210974
-0.052417,400,97.387044
0.225647,400,97.576145
-0.094247,400,97.767592
0.469312,400,105.048855
-0.239165,400,105.226577
0.060357,400,105.400133
0.0512,400,105.589514
0.309653,400,105.777258
0.540309,400,113.029671
0.503736,400,113.197508
0.250596,400,113.365641
0.185621,400,113.53285
-1.0584,400,113.696971
-0.331614,400,121.472947
-0.296716,400,121.690242
0.011635,400,121.868325
-0.058008,400,122.100692
-0.054851,400,122.325119
0.306899,400,129.721238
-0.664367,400,129.930213
-0.307449,400,130.13008
0.154069,400,130.318691
0.458019,400,130.515734
0.388151,400,138.008094
0.116586,400,138.177088
-0.606791,400,138.345135
-0.066767,400,138.521366
0.437702,400,138.691877
0.437645,400,147.579474
-0.616306,400,147.743997
0.208412,400,147.879524
-0.837844,400,148.009525
0.403479,400,148.132097
-0.317936,400,153.885383
0.047241,400,154.068843
0.522579,400,154.246643
-0.033513,400,154.445185
-0.716198,400,154.620294
-0.347997,400,161.851908
-0.04761,400,162.033469
-1.304404,400,162.22617
-0.044203,400,162.408929
0.452909,400,162.5909
0.119676,400,170.444654
-0.585261,400,170.6256
-0.611455,400,170.806483
0.204642,400,170.993863
-0.044849,400,171.214737

-0.19228,400,35.47955
0.060536,400,35.660635
-0.809024,400,35.862245
0.081179,400,36.576294
-0.369725,400,36.765551
-0.042302,400,36.963677
-0.337704,400,37.168743
-0.455244,400,37.362805
-0.519221,400,37.936453
-0.072542,400,38.130568
-0.330906,400,38.32501
0.092534,400,38.527878
0.305537,400,38.728518
0.392989,400,39.337141
-0.100863,400,39.537763
-0.273665,400,39.728276
0.325057,400,39.925438
0.348474,400,40.11524
-0.490893,400,40.702691
0.075952,400,40.903131
0.183816,400,41.992793
-0.187902,400,42.187345
10.348156,368,42.359369
-0.065961,400,42.93314
-0.225904,400,43.129894
-0.683503,400,43.315062
-0.274714,400,43.507824
-0.089992,400,43.716837
0.299478,400,44.272333
-0.041636,400,44.464869
0.247633,400,44.653065
-0.609724,400,44.871609
-0.675127,400,45.07269
-0.902954,400,45.667292
-0.718316,400,45.871468
-0.517328,400,46.075357
0.051552,400,46.263054
0.339329,400,46.453607
-0.243902,400,46.640423
-0.487473,400,47.282163
0.627153,400,47.475115
-0.649851,400,47.67178
-0.301833,400,47.877857
-0.60353,400,48.076888
-0.210431,400,48.654593
-1.329108,400,49.680408
-0.590215,400,49.86815
-0.922217,400,50.048366
-0.165404,400,50.227801
0.30615,400,50.807448
-0.189032,400,50.990666
10.601886,133,51.049591
0.099656,400,51.237491
-0.231957,400,51.428608
-1.155629,400,51.610741
-0.06407,400,52.168654
-0.413228,400,52.35785
-0.566761,400,52.553059
-0.462365,400,52.736284
-0.001019,400,52.924464
-0.25221,400,53.496201
0.299459,400,53.702299
0.267397,400,53.887124
0.084686,400,54.064552
0.228111,400,54.244536
-0.882578,400,54.814024
0.152482,400,55.004315
-0.004776,400,55.199402
-0.583147,400,55.421342
-0.268448,400,55.652668
-0.550968,400,56.217309
-0.219559,400,57.265763
-0.321612,400,57.445289
0.099863,400,57.626626
0.166676,400,57.803733
-0.264063,400,58.386826
-0.188052,400,58.581121
-0.353819,400,58.762004
-0.304424,400,58.950593
0.094549,400,59.150404
-0.979644,400,59.688771
-0.228986,400,59.890718
-0.327611,400,60.083145
-0.832842,400,60.2745
0.342664,400,60.459408
-0.103719,400,60.998135
0.133408,400,61.202715
-0.185344,400,61.387381
0.443538,400,61.570358
-0.038557,400,61.748338
-0.978292,400,62.308808
0.224777,400,62.529087
10.099177,56,62.562191
-1.054661,400,62.745872
0.273881,400,62.928707
0.265362,400,63.111086
0.258336,400,63.648288
0.205403,400,64.683469
-0.240805,400,64.874812
0.432877,400,65.058768
-0.018006,400,65.249494
0.060807,400,65.439047
-0.752584,400,66.007452
0.305076,400,66.240264
0.264765,400,66.632512
-0.559365,400,66.947571
-0.153285,400,67.336129
-0.96104,400,68.155854
-0.431294,400,68.417845
-0.646917,400,68.677798
0.262558,400,69.032909
-1.203445,400,69.279189
-0.172046,400,70.191565
-0.503279,400,70.486966
0.167952,400,70.829207
0.310407,400,71.140748
0.35614,400,71.448544
-0.855911,400,72.352341
-0.325982,400,72.620761
-0.152697,400,72.878948
-0.223332,400,73.145288
0.1709,400,73.445447
-0.4384,400,75.975546
-0.342147,400,76.227236
-0.075308,400,76.419707
-0.591147,400,76.631383
-0.018829,400,76.847956
0.084479,400,77.396677
0.194568,400,77.61061
-0.0141,400,77.846975
-0.702322,400,78.060207
-0.561544,400,78.262996
-0.610835,400,78.995178
-0.222531,400,79.235728
10.431921,162,79.31211
-0.853162,400,79.513424
-1.044011,400,79.719045
0.114898,400,79.925061
0.342414,400,80.592768
-0.535937,400,80.8178
-0.226226,400,81.022655
-0.057695,400,81.234628
0.054102,400,81.449611
0.126885,400,82.057646
0.310782,400,82.257509
-0.277735,400,82.470606
-1.288138,400,82.662762
0.351254,400,83.651331
-0.874082,400,84.247569
-0.8279,400,84.452461
-0.557617,400,84.649658
0.19581,400,84.866107
-0.52907,400,85.062313
-0.37288,400,85.678117
0.1215,400,85.910814
-0.094866,400,86.146132
0.331869,400,86.369455
0.086923,400,86.577916
0.287253,400,87.315583
-0.290992,400,87.580016
0.330919,400,87.776322
0.216792,400,88.00508
0.215339,400,88.21024
-0.678691,400,88.417287
-0.197656,400,89.015956
10.09581,62,89.053002
0.280225,400,89.265419
-0.996123,400,89.468895
-0.304748,400,89.664473
-1.198977,400,89.870002
0.454445,400,90.554754
-0.337559,400,90.755013
-0.411042,400,90.941518
0.268603,400,92.054377
0.244752,400,92.249506
0.230633,400,92.867981
0.30437,400,93.071014
0.044755,400,93.268181
0.151995,400,93.4627
-0.243765,400,93.685611
-0.018144,400,94.285596
-0.454096,400,94.477991
0.029177,400,94.692645
0.027243,400,94.892582
-0.058176,400,95.095845
-0.075781,400,95.713466
0.122468,400,95.925447
-0.440547,400,96.126155
-0.220865,400,96.332045
0.316618,400,96.538524
0.175248,400,97.141773
-2.0126,400,97.339962
0.329861,400,97.5506
-0.209255,400,97.755134
-0.333475,400,97.961601
0.385838,400,98.676478
-1.700694,400,98.911446
0.139675,400,99.112552
-0.394915,400,100.257629
-0.580968,400,100.464658
0.284922,400,101.052946
-0.21138,400,101.255904
-0.046765,400,101.474142
0.00254,400,101.67579
