#{"t_start": 1754401928.4047542, "env_id": "None"}
r,l,t
10.493843,80,6.7859
0.337316,400,6.930329
0.053472,400,7.111343
10.366962,115,7.152923
0.339613,400,7.329111
10.728379,120,14.983249
10.531149,90,15.019267
0.188094,400,15.164702
10.595705,76,15.199543
0.29043,400,15.391247
0.062087,400,22.525998
0.247914,400,22.676919
0.607846,400,22.803417
10.419728,154,22.853308
10.973157,175,22.911732
0.690633,400,29.305021
0.410511,400,29.469704
10.466097,99,29.502146
0.487148,400,29.643857
-0.338438,400,29.775461
0.405518,400,36.404449
10.395714,87,36.432273
-0.228148,400,36.622703
10.960389,176,36.70048
10.662715,90,36.734243
10.766645,139,43.094341
10.541953,141,43.139927
-0.349543,400,43.270295
0.405497,400,43.400307
10.706224,121,43.439417
0.571678,400,50.387645
10.616528,86,50.420939
0.435897,400,50.6594
10.406573,82,50.705816
0.426377,400,50.927507
10.299648,87,57.718719
-0.360345,400,57.876185
-0.000329,400,57.998231
0.032153,400,58.122762
10.605963,77,58.147582
-0.379346,400,64.90828
10.721446,80,64.988019
0.577605,400,65.210895
10.782905,170,65.280034
10.674617,79,65.313787
10.392931,76,72.904396
-0.686884,400,73.059073
0.555357,400,73.189409
0.284095,400,73.320098
0.044583,400,73.454545
0.148411,400,80.149939
10.237165,83,80.176765
10.439113,71,80.200749
10.699576,153,80.249652
10.514925,73,80.269991
2978
10.848123,170,11.748066
10.768447,127,11.802369
10.848867,176,11.869921
0.372757,400,12.646995
0.414866,400,12.899005
-0.190651,400,13.089788
10.925767,162,13.176126
10.62502,118,13.23446
10.714559,86,13.276103
10.725903,176,13.357248
-0.021773,400,13.553182
10.823028,93,14.149062
0.394593,400,14.396237
10.541014,50,14.419022
0.399746,400,14.600904
10.395967,67,14.631281
-0.502189,400,14.838528
0.061466,400,15.533514
10.36568,85,15.571745
10.560825,71,15.600446
0.465555,400,16.267464
0.477231,400,16.424231
-0.39256,400,16.557353
10.673423,109,16.593961
10.697166,84,16.622853
-0.550657,400,16.800869
0.114721,400,17.525359
-0.476819,400,17.736986
10.564603,86,17.769305
10.837941,86,17.803055
0.493603,400,18.01249
-0.326711,400,18.197688
10.575025,90,18.247681
10.725718,111,18.296523
10.703301,106,18.335953
10.938276,182,18.39682
0.080021,400,18.999232
10.55095,129,19.066457
10.691596,91,19.106881
0.413098,400,19.306718
10.623076,128,19.375172
-0.631717,400,19.536247
-0.35443,400,19.678024
10.617164,90,19.708726
-0.789735,400,20.307378
10.808159,85,20.36553
10.282349,101,20.431446
0.597969,400,20.615866
-0.297313,400,20.795271
0.405682,400,21.022875
-0.479474,400,21.247606
10.653455,111,21.898939
10.600732,81,21.946642
0.177384,400,22.133892
-0.450672,400,22.282863
0.042013,400,22.957021
-0.116568,400,23.103205
-0.721853,400,23.70534
10.534968,124,23.77639
10.67316,94,23.828818
10.560817,70,23.85881
10.511672,114,23.899836
10.583822,92,23.938127
10.757411,139,23.995859
10.797776,173,24.065553
0.00891,400,24.211372
10.597652,91,24.246366
0.390462,400,24.390763
0.374669,400,25.07947
10.504069,79,25.125093
10.320393,81,25.166181
0.422536,400,25.343308
10.461003,75,25.377013
-0.104246,400,25.562349
0.395445,400,25.715972
-0.310248,400,25.851403
10.460847,112,26.320128
10.803058,153,26.396072
10.926205,182,26.486054
0.054069,400,26.61839
10.768784,90,26.647889
10.693637,84,26.678642
-0.051779,400,26.813235
0.30617,400,26.953809
-0.445144,400,27.56269
10.956838,181,27.658355
-0.509585,400,27.817107
-0.791663,400,27.964909
0.412579,400,28.110164
0.00794,400,28.264877
-0.009999,400,28.855649
10.613888,67,28.889888
-0.352532,400,29.044366
-0.758306,400,29.814435
0.369385,400,29.987046
-0.49813,400,30.13573
0.418503,400,30.837852
10.979108,91,30.885601
10.334535,75,30.91555
10.745416,85,30.946457
10.383817,87,30.978918
