#{"t_start": 1754391851.8507411, "env_id": "None"}
r,l,t
-0.018088,400,5.674077
0.203629,400,5.793143
0.046323,400,5.924204
0.043829,400,6.064767
-0.081677,400,6.203726
0.630011,400,12.357301
0.62732,400,12.497494
0.487155,400,12.6324
0.114289,400,12.772459
-0.637557,400,12.914127
0.322185,400,19.255048
0.124612,400,19.376502
0.47536,400,19.497721
-0.116907,400,19.623285
0.214049,400,19.736999
0.235395,400,25.489498
0.223471,400,25.616609
0.603017,400,25.75264
-0.423221,400,25.889478
-0.70168,400,26.013354
0.644872,400,32.038451
0.340293,400,32.17916
0.26738,400,32.322835
-0.182936,400,32.47747
0.244294,400,32.608374
0.56663,400,38.587108
-0.82047,400,38.712301
0.163393,400,38.838315
-0.485012,400,38.961429
0.517211,400,39.097273
0.583617,400,45.289225
0.283282,400,45.444324
-0.231062,400,45.575352
-0.493652,400,45.71988
-1.122581,400,45.917305
0.638227,400,52.270856
0.452035,400,52.428804
0.663754,400,52.59884
0.094344,400,52.752663
-0.612467,400,52.914944
0.38302,400,58.687255
0.138787,400,58.811957
0.605761,400,58.932631
0.036454,400,59.065625
0.504117,400,59.228411
0.46933,400,65.825902
0.576924,400,65.961761
10.551829,115,65.992159
-1.125496,400,66.115873
0.367752,400,66.252756
10.208213,219,72.07807
0.441943,400,72.195891
0.447648,400,72.310625
0.580426,400,72.434624
0.286383,400,72.539581
0.25632,400,78.274733
0.114551,400,78.393836
0.38463,400,78.512323
0.074026,400,78.632729
-0.744257,400,78.753886
0.555056,400,84.694382
0.495111,400,84.850577
10.642223,321,84.952254
0.278377,400,85.10209
0.27153,400,85.225024
0.526091,400,91.394359
0.555991,400,91.511786
0.441102,400,91.63107
0.343475,400,91.742397
-1.01607,400,91.847785
-1.253549,400,98.001148
-0.873651,400,98.127217
-0.114268,400,98.255455
-0.220099,400,98.379208
0.166671,400,98.505726
-0.018121,400,104.879984
0.463804,400,105.007407
-1.172357,400,105.153006
10.488046,240,105.237915
0.054153,400,105.352664
0.501898,400,111.587547
0.242104,400,111.706175
10.234623,172,111.752947
0.310287,400,111.876406
0.640751,400,111.997097
0.590583,400,121.133801
0.57783,400,121.371411
-0.874858,400,121.580041
0.316225,400,121.790877
-0.985616,400,122.031812
0.206396,400,131.26799
0.587625,400,131.518072
-0.210619,400,131.755395
-0.877687,400,132.000533
-1.115867,400,132.224877
0.0291,400,141.767128
-1.050908,400,142.008506
-0.60595,400,142.245076
0.635628,400,142.502068
-1.329345,400,142.756635
0.201416,400,151.007352
-0.798404,400,151.135797
-1.591474,400,151.300904
0.34957,400,151.500804
10.59951,364,151.637593
-1.06816,400,156.810652
0.224453,400,156.911317
0.586948,400,157.014616
0.560968,400,157.116267
0.401758,400,157.2161
-1.199159,400,161.939726
-0.147206,400,162.045354
0.666925,400,162.146785
-0.711934,400,162.252017
0.548639,400,162.358685
-0.807734,400,167.078855
0.417275,400,167.185973
-0.885521,400,167.330359
0.141281,400,167.47242
-0.699531,400,167.607687
59396
0.335537,400,31.011023
-0.184128,400,31.674163
10.572958,400,31.83658
0.269295,400,32.695672
10.140774,364,32.829042
10.472031,281,32.938275
0.014321,400,33.495428
-0.029436,400,33.685864
-1.798157,400,33.807343
0.395614,400,33.937465
-0.115916,400,34.087383
0.25616,400,34.235836
-0.753506,400,34.845209
0.229456,400,34.982287
0.331276,400,35.123467
-0.829033,400,35.256407
-0.867618,400,35.394443
-1.65334,400,35.967238
-0.656975,400,36.120256
-1.18822,400,36.259058
-0.009089,400,36.404239
0.190144,400,36.543905
-1.409409,400,37.120776
0.173722,400,37.278726
-1.140209,400,37.412427
-0.122857,400,37.56548
-0.756706,400,37.708183
-0.093539,400,38.322868
-0.789617,400,39.125442
10.09053,291,39.245817
-0.854835,400,39.378402
0.369524,400,39.518394
0.291829,400,40.038999
-0.73476,400,40.239685
-0.755829,400,40.396257
0.15528,400,40.558309
-0.688848,400,40.713954
-1.012824,400,41.267994
-0.369762,400,41.494838
-1.006891,400,41.633521
