#{"t_start": 1754319772.147834, "env_id": "None"}
r,l,t
-0.117303,400,4.341361
-0.379283,400,4.455582
0.446818,400,4.565929
0.014424,400,4.676524
0.612739,400,4.790892
0.459671,400,9.405322
0.393021,400,9.520222
0.095115,400,9.629793
-0.064831,400,9.742513
10.065536,108,9.772096
0.141789,400,14.394962
0.201397,400,14.509147
0.432493,400,14.622834
-0.117698,400,14.746869
-0.139203,400,14.856445
0.008615,400,19.549649
-0.189813,400,19.66565
0.394636,400,19.775517
-0.124092,400,19.887476
-0.336463,400,19.996987
0.395715,400,24.633341
1.039178,400,24.745519
11.003291,400,24.853687
-0.068314,400,24.964338
-0.036571,400,25.073925
-0.485871,400,29.726834
0.8189,400,29.834767
-0.21558,400,29.949428
0.318784,400,30.067637
0.362899,400,30.184512
0.265175,400,34.846574
-0.175674,400,34.958899
-0.278245,400,35.068476
0.2048,400,35.185933
0.149231,400,35.293904
0.390344,400,39.978202
0.267168,400,40.091679
0.373485,400,40.204354
0.73624,400,40.314466
0.275018,400,40.425232
0.277576,400,44.741044
0.471095,400,44.850144
0.29016,400,44.968598
0.352662,400,45.07966
0.103062,400,45.195623
0.063029,400,49.900945
0.274209,400,50.01032
0.555233,400,50.122885
-0.199952,400,50.235237
10.424077,193,50.286942
4965,400,10.290112
0.240473,400,10.430348
-0.395906,400,10.549096
-0.43499,400,10.674586
-0.158602,400,10.796719
-0.00704,400,11.18707
0.401971,400,11.322142
-1.23423,400,11.452941
-0.606965,400,11.573019
0.142731,400,11.698055
-0.69362,400,12.077329
-0.804517,400,12.219057
-0.222695,400,12.336954
0.040981,400,12.46072
-0.139026,400,12.590796
-1.032913,400,12.987654
-1.062963,400,13.132931
0.300287,400,13.250368
0.160893,400,13.372074
0.338417,400,13.497321
0.2319,400,13.902054
-0.339685,400,14.041135
-0.54949,400,14.168697
-1.29304,400,14.291583
0.030109,400,15.003369
-0.001805,400,15.392017
0.317463,400,15.539408
-0.509532,400,15.662781
-1.052779,400,15.784206
-1.001545,400,15.917101
-0.479072,400,16.285917
0.387187,400,16.436617
-0.226197,400,16.563868
-1.256277,400,16.685259
0.315105,400,16.804728
0.30729,400,16.942926
0.27184,400,17.351069
0.1922,400,17.479107
-0.734011,400,17.603973
0.311002,400,17.730039
-1.534069,400,17.851618
-1.311785,400,18.278557
0.354877,400,18.409079
-0.521582,400,18.537519
0.242363,400,18.661047
-0.838476,400,18.78568
0.269031,400,19.189097
0.712456,400,19.321178
0.348487,400,19.445624
-0.63686,400,20.140553
-1.311795,400,20.267764
0.039592,400,20.655777
0.170096,400,20.791106
-0.241667,400,20.914961
-0.010831,400,21.039224
-0.657184,400,21.163493
10.391725,267,21.508968
10.229699,161,21.56629
0.299826,400,21.708246
0.048585,400,21.824289
0.095732,400,21.945936
-0.328783,400,22.072145
-0.498973,400,22.469564
0.011582,400,22.612361
-0.289992,400,22.734904
0.265224,400,22.857436
0.042276,400,22.98249
0.339194,400,23.350705
0.162481,400,23.492851
0.237108,400,23.617492
0.311397,400,23.740277
0.320285,400,23.863533
0.08812,400,24.264791
0.153345,400,24.40768
0.220412,400,25.095964
-0.413221,400,25.219924
0.244781,400,25.341594
-0.37503,400,25.724499
-0.11285,400,25.877484
-1.295187,400,26.00345
0.10907,400,26.125913
0.093004,400,26.250191
0.32432,400,26.373712
-0.378681,400,26.779853
0.296584,400,26.916987
0.428274,400,27.038261
-1.14889,400,27.165844
-0.749644,400,27.293916
10.288764,253,27.648678
-0.685219,400,27.787968
-0.205559,400,27.908311
0.198639,400,28.035408
0.260812,400,28.161366
-0.307679,400,28.546961
0.284307,400,28.683176
-1.027853,400,28.805932
-0.122426,400,28.930232
-0.503747,400,29.062557
0.03615,400,29.445764
-0.175904,400,29.58528
0.225454,400,30.285964
-0.147907,400,30.415243
0.315275,400,30.542506
0.220209,400,30.915312
0.4951,400,31.062821
-0.090952,400,31.192693
0.526496,400,31.317981
-0.097838,400,31.439521
-0.595604,400,31.565333
0.090488,400,31.948065
-0.048996,400,32.076084
-0.347237,400,32.195454
-0.211999,400,32.328866
-0.102006,400,32.448425
-0.333354,400,32.853182
0.322094,400,32.98268
0.298156,400,33.105145
0.290937,400,33.227116
0.264209,400,33.35613
-0.464745,400,33.772698
0.183502,400,33.914258
0.290082,400,34.039193
-0.002766,400,34.165017
-0.048629,400,34.291066
-0.370884,400,34.68916
-0.571447,400,35.399277
0.250738,400,35.526302
0.105311,400,35.659153
0.54674,400,35.779168
-0.454622,400,36.173588
-0.275663,400,36.309373
-0.201215,400,36.431921
0.198844,400,36.555479
0.154046,400,36.69045
10.17559,364,37.052693
0.019042,400,37.207374
0.028007,400,37.329246
