#{"t_start": 1754400674.0639014, "env_id": "None"}
r,l,t
10.923282,190,7.943758
10.368486,110,7.999262
0.381775,400,8.213077
10.669244,117,8.336
-0.381902,400,8.558969
10.727542,118,17.229689
10.530803,83,17.293875
0.18452,400,17.602472
10.593433,77,17.647893
0.306944,400,17.898976
0.053614,400,26.352277
0.073385,400,26.629941
0.265757,400,26.844061
0.611208,400,27.093471
10.420059,141,27.174234
0.689653,400,35.184289
0.415725,400,35.358151
10.468547,86,35.400538
0.501446,400,35.598312
-0.340672,400,35.799284
0.213376,400,43.802656
0.419659,400,44.010726
10.391524,82,44.044033
-0.252076,400,44.232367
10.95441,171,44.303818
10.33686,92,51.846119
10.700399,154,51.917085
10.595882,48,51.938359
10.761274,138,52.004573
10.542109,134,52.063611
0.57259,400,60.892484
10.614307,88,60.956274
0.450151,400,61.234237
10.39867,86,61.285122
0.414686,400,61.575231
10.294721,90,70.854658
-0.360782,400,71.074191
10.326955,122,71.119564
0.024242,400,71.242738
0.082753,400,71.366414
10.678856,82,77.233704
0.136217,400,77.421057
10.524969,133,77.478248
10.950551,165,77.547504
10.925036,162,77.616681
-0.723084,400,84.904648
0.447269,400,85.086057
0.299937,400,85.252896
0.036002,400,85.418178
10.138974,81,85.451228
0.181791,400,93.128526
10.23749,95,93.168049
10.430974,89,93.204307
10.694388,143,93.265404
10.515834,86,93.299559
0.414803,400,100.738084
-0.335748,400,100.914405
0.409778,400,101.089118
0.622434,400,101.277089
10.623156,136,101.337585
10.915698,158,108.704996
-0.419128,400,108.878543
0.139758,400,109.063015
10.99286,172,109.16013
0.043986,400,109.352771
10.927876,168,116.860446
0.432658,400,117.029266
-0.141667,400,117.215107
10.289793,149,117.277012
0.197379,400,117.443222
10.61331,80,124.675389
0.089479,400,124.862794
10.491448,82,124.914269
10.911099,154,124.98447
10.731263,124,125.045903
-0.880327,400,135.378852
-0.318355,400,135.617803
10.783063,128,135.690963
10.45353,80,135.736219
10.187991,95,135.786982
0.133805,400,146.030789
10.823737,99,146.081443
0.058253,400,146.290763
10.702827,120,146.340151
10.208683,106,146.387185
.78448
10.783319,107,19.856725
0.180164,400,20.591246
10.709496,120,20.655585
10.566686,79,20.696832
10.835319,86,20.744797
0.515909,400,20.98627
-0.331576,400,21.217004
10.574153,88,21.259805
10.725411,108,21.314
10.701943,100,21.369875
-0.340028,400,22.080089
10.543645,128,22.156346
10.694867,85,22.207358
0.36224,400,22.41543
10.621884,93,22.463901
10.556851,50,22.488892
-0.346159,400,22.718988
