#{"t_start": 1754402292.4608471, "env_id": "None"}
r,l,t
0.035559,400,5.898267
10.367069,115,5.93515
0.359934,400,6.064523
10.670991,116,6.101143
-0.390103,400,6.23045
0.1389,400,12.562172
10.729168,119,12.601565
10.530168,86,12.626129
0.186388,400,12.757478
10.596079,76,12.780727
10.522772,79,18.980722
-0.329081,400,19.112016
10.650419,84,19.136657
10.572347,126,19.183493
10.556975,61,19.205891
10.289838,96,26.957223
10.167951,104,26.992492
0.143292,400,27.141813
10.397223,121,27.180425
0.451106,400,27.312654
0.214902,400,33.847816
0.406748,400,33.989018
10.391949,91,34.019008
-0.234236,400,34.15122
10.957386,172,34.207809
10.31694,103,40.512365
10.349573,92,40.542757
10.385451,126,40.586256
10.131614,82,40.612592
0.532691,400,40.74413
0.465367,400,47.174953
10.375891,160,47.237696
0.632322,400,47.367077
10.982902,176,47.42264
0.409713,400,47.555711
471,127,5.701801
10.298294,47,5.717745
10.483857,86,5.749317
0.237036,400,6.805658
0.050789,400,7.009019
10.646283,86,7.040677
-0.213979,400,7.178301
-0.166649,400,7.321513
0.211016,400,7.464744
10.585732,116,7.506072
0.410112,400,8.123524
0.379539,400,8.281469
-0.073725,400,8.427592
0.391723,400,8.571135
-0.251639,400,8.71034
10.767655,84,8.741897
0.193219,400,9.377107
10.157636,89,9.420637
-0.467658,400,9.564802
10.353106,107,9.604914
0.385743,400,9.754096
0.456975,400,9.907533
10.851501,168,9.96665
10.776155,133,10.023062
10.880578,170,10.555893
0.380101,400,10.747
-0.190692,400,10.889048
10.930169,160,10.94845
10.630855,117,10.99008
0.382466,400,11.138613
10.714195,135,11.190839
-0.043001,400,11.822884
0.400459,400,12.020436
-0.578996,400,12.157198
0.404594,400,12.306037
10.389082,98,12.342581
-0.448999,400,12.885634
10.65637,94,12.917267
10.367245,70,12.94388
-0.299529,400,13.544484
0.472782,400,13.714615
-0.413163,400,13.863651
10.680842,106,13.900138
10.70117,85,13.932227
10.685659,117,13.974367
0.114355,400,14.118299
10.52838,50,14.136346
10.899091,157,14.190368
10.752442,158,14.66972
-0.487948,400,14.876691
10.567179,94,14.907478
10.836093,83,14.938372
0.506901,400,15.088676
-0.327936,400,15.237749
10.576933,84,15.272357
10.679199,119,15.329164
10.704253,112,15.411052
10.92673,173,15.472255
0.067378,400,16.134213
10.549252,131,16.191046
0.275046,400,16.335154
0.390556,400,16.476251
10.623671,102,16.514527
-0.832011,400,16.656754
-0.360183,400,17.257874
-0.766261,400,17.443754
0.470086,400,17.587766
-0.076439,400,17.730839
0.41588,400,17.87717
0.389437,400,18.472463
10.53063,80,18.516033
10.774681,159,18.597722
10.281639,114,18.648371
-0.159474,400,18.792033
10.573509,115,18.839419
10.830525,88,18.869484
0.496279,400,19.279952
0.494662,400,19.427752
0.387448,400,20.027856
0.395687,400,20.212833
0.075136,400,20.386648
10.273471,115,20.432861
10.273018,98,20.467396
10.448344,94,20.506991
10.824057,161,20.588325
0.049126,400,20.76459
-0.341898,400,21.602369
0.426452,400,21.864537
10.766304,147,21.93946
10.363872,45,21.962362
0.057358,400,22.14749
-0.451214,400,22.3462
10.844704,223,22.450783
10.858502,178,22.538259
0.021661,400,23.370369
10.72528,122,23.427835
10.68441,84,23.467827
0.470009,400,23.67311
0.399306,400,23.891134
10.739049,138,23.957403
10.63585,53,23.983487
0.103541,400,24.179554
0.407391,400,24.966564
0.425291,400,25.141238
10.431773,103,25.182774
-0.497965,400,25.354053
10.592863,86,25.391179
10.681202,99,25.434566
10.286569,211,25.533393
10.702218,109,25.584204
10.748934,118,25.632693
0.421146,400,26.540302
10.927509,166,26.638713
-0.061927,400,26.814355
10.624409,87,26.84808
10.632109,82,26.879607
10.581385,65,26.901767
0.38917,400,27.479612
10.758937,113,27.528552
10.65228,91,27.564713
10.921572,175,27.631029
-0.77554,400,28.274195
10.979957,94,28.32238
10.335283,87,28.372389
10.750229,82,28.41303
-0.393147,400,28.555335
10.642406,71,28.58275
-0.514444,400,28.728251
-0.057539,400,28.87624
0.504832,400,29.529534
10.476413,48,29.553388
0.417251,400,29.757799
10.683158,99,29.799059
10.800548,138,29.859118
-0.038055,400,30.029458
10.407031,154,30.088273
0.622738,400,30.238706
10.627326,95,30.277766
-0.311416,400,30.853528
0.148386,400,31.047551
0.14796,400,31.18736
0.427238,400,31.331358
10.681673,125,31.379387
0.600082,400,31.531588
10.487466,123,31.583274
0.004876,400,32.206362
0.576962,400,32.370735
10.782327,211,32.450968
0.41657,400,32.618718
10.736011,248,32.725874
-0.287052,400,32.88088
10.27994,92,32.910938
0.054639,400,33.542156
10.327325,313,33.652649
0.092356,400,34.330773
10.35249,104,34.366217
10.394313,99,34.403814
10.50229,80,34.431101
10.238286,108,34.471436
0.053751,400,34.614074
10.330127,250,35.169374
10.522279,48,35.197729
10.360732,46,35.223458
0.111281,400,35.399778
-0.456406,400,35.589957
-0.244083,400,35.741917
0.088165,400,35.89186
0.515442,400,36.496578
0.457856,400,36.679864
10.345009,142,36.730585
-0.536553,400,36.875183
10.765283,133,36.922262
10.827786,163,36.984041
10.659849,149,37.040859
10.749772,130,37.097219
10.184109,88,37.138617
-0.012635,400,37.733113
10.606651,79,37.778275
10.521692,106,37.833034
10.430232,171,37.913159
-0.432441,400,38.053794
0.398334,400,38.222718
-0.282249,400,38.370601
10.814103,91,38.403657
10.610693,86,38.433052
0.520312,400,39.030071
0.120057,400,39.214886
10.438409,127,39.267802
10.248934,139,39.329156
10.746923,133,39.380555
0.398355,400,39.526164
0.486562,400,39.671224
10.898091,166,39.729592
10.280301,85,39.76234
10.738149,142,40.263578
10.619097,101,40.312605
0.413681,400,40.774077
-0.036905,400,40.92128
10.634401,102,40.957822
-0.447809,400,41.103093
0.103081,400,41.250943
0.134763,400,41.89825
10.670045,111,41.953212
10.860779,185,42.021173
-0.804823,400,42.16566
0.63037,400,42.310505
-0.189079,400,42.457485
-0.419052,400,43.075557
10.653808,87,43.122172
10.476288,85,43.16913
10.486203,47,43.196882
-0.408887,400,43.341881
10.586972,48,43.360203
0.089383,400,43.511434
-0.066213,400,43.658483
10.892185,182,43.723328
10.455346,145,43.783684
0.455789,400,44.425199
-0.397809,400,44.587205
0.398591,400,44.733444
0.110083,400,44.884481
-0.03457,400,45.049289
0.16599,400,45.659928
10.353465,100,45.713775
10.675428,86,45.752208
10.563889,123,45.798468
10.723366,112,45.838537
0.401859,400,45.99951
10.599837,94,46.039177
-0.468673,400,46.202766
0.375617,400,46.362798
-0.027417,400,47.000886
0.112616,400,47.700622
0.089695,400,47.847755
0.38418,400,47.994181
-0.381075,400,48.145689
0.39684,400,48.803825
10.646689,95,48.859114
-0.240797,400,49.006215
10.481837,145,49.061584
0.457806,400,49.205703
0.325765,400,49.351383
