#{"t_start": 1754403549.3550348, "env_id": "None"}
r,l,t
0.307726,400,9.57445
0.043002,400,9.773497
-0.049668,400,9.948497
0.418891,400,10.124601
10.670059,119,10.176113
0.127979,400,22.883999
10.720981,120,22.937248
0.227068,400,23.083307
0.17551,400,23.235945
10.590157,81,23.268938
0.560625,400,32.445982
10.538801,76,32.479027
-0.244321,400,32.660382
0.338757,400,32.841649
10.579777,104,32.888202
10.628194,71,42.701507
10.57772,64,42.729294
0.423212,400,42.905526
10.288724,91,42.94808
10.171274,103,42.994174
0.429935,400,52.941002
10.393662,76,52.972363
-0.251666,400,53.140899
10.955117,175,53.217307
10.647567,96,53.259912
0.409715,400,63.449836
10.315684,92,63.491096
10.342879,85,63.528039
10.382858,108,63.5733
10.127428,86,63.609861
0.507555,400,74.921149
0.038225,400,75.184764
0.684495,400,75.476934
10.983619,171,75.582404
0.414836,400,75.780873
0.160349,400,85.916875
10.485139,48,85.936883
0.430244,400,86.108041
0.399056,400,86.293736
0.098791,400,86.479025
10.334487,147,95.507158
0.667666,400,95.684902
-0.542733,400,95.863888
10.578192,62,95.888982
10.493812,72,95.919122
10.32223,199,105.337564
0.390983,400,105.530251
10.524478,47,105.553086
0.434289,400,105.726932
10.979878,171,105.801994
8,145,15.214285
10.778954,84,15.294935
0.190324,400,16.747583
10.155213,85,16.824153
10.758397,138,16.939218
10.352845,88,16.998876
0.394888,400,17.277262
0.502791,400,17.546728
10.833585,176,17.668175
-0.465766,400,17.927758
10.849469,183,18.046642
0.402596,400,19.480098
0.408681,400,19.750964
-0.177476,400,20.021848
10.937888,170,20.131478
-0.171579,400,20.409784
10.700341,85,20.469874
10.718835,154,20.568573
0.224361,400,21.932248
0.417972,400,22.22538
10.564543,52,22.26565
0.384384,400,22.516751
-0.080546,400,22.718358
-0.430399,400,23.417376
10.660618,96,23.452554
-0.180593,400,24.561116
0.535164,400,24.743522
10.667851,107,24.788906
10.69447,101,24.832948
0.440669,400,24.983388
10.678221,123,25.034358
0.114963,400,25.189065
10.533674,51,25.211111
10.855373,264,26.12202
10.695836,127,26.18904
0.202168,400,26.364962
10.832262,85,26.398409
0.570856,400,26.549747
-0.319757,400,26.709532
0.261928,400,26.87141
-0.466427,400,27.972002
10.545922,126,28.038431
10.688716,94,28.087583
0.471704,400,28.283159
10.61091,133,28.345844
-0.676971,400,28.538161
-0.356713,400,28.727792
-0.808974,400,29.710819
-0.541319,400,29.917249
0.535249,400,30.134926
10.87269,180,30.222482
0.402728,400,30.422826
0.450779,400,30.618702
-0.231429,400,31.734529
10.532113,79,31.772304
10.771049,153,31.84604
-0.142317,400,32.05444
10.848342,148,32.131343
10.570029,132,32.198402
0.459685,400,33.050959
10.758579,133,33.119246
0.54437,400,34.186107
0.428933,400,34.404471
0.079064,400,34.612943
10.274925,95,34.66783
10.257502,84,34.710129
10.445823,79,34.750126
10.797661,169,34.839068
10.60979,83,34.881941
-0.382268,400,35.082648
0.157196,400,36.155119
0.476748,400,36.368278
-0.348947,400,36.566277
10.331064,158,36.642591
0.058174,400,36.84053
0.206145,400,37.044831
10.847349,222,37.97256
-0.024122,400,38.196098
10.543536,97,38.241918
0.442657,400,38.438476
-0.082654,400,38.633887
10.296989,139,38.699052
10.116316,79,38.736928
-0.773126,400,38.930213
10.485247,61,40.006379
0.405294,400,40.262273
0.01323,400,40.527063
-0.483951,400,40.742023
10.590883,98,40.792647
10.673729,104,40.842921
10.300046,161,40.921731
10.689796,103,40.975736
10.739311,109,41.039721
0.410887,400,42.170752
10.922693,169,42.265523
-0.067352,400,42.497823
-0.358558,400,43.024365
10.389052,45,43.048381
10.813166,91,43.093323
10.743027,144,43.168087
10.749439,118,43.223718
10.642268,94,43.272063
10.921069,178,43.355997
-0.787262,400,44.641356
0.731594,400,44.899335
10.335739,82,44.941297
10.749522,85,44.984138
-0.396193,400,45.1903
10.632891,73,45.231643
-0.52767,400,45.44978
-0.064295,400,45.649437
0.549379,400,46.851816
-0.575335,400,47.093166
0.37665,400,47.307801
10.684481,99,47.354899
10.812449,142,47.428554
-0.016121,400,47.632905
10.423428,146,47.705946
0.749122,400,48.866293
0.121788,400,49.06365
10.714554,81,49.104053
0.462413,400,49.300416
10.687979,121,49.367306
0.693958,400,49.560206
10.515026,114,49.615998
0.016164,400,50.594034
0.631577,400,50.800861
-0.162693,400,50.993684
0.434111,400,51.186866
10.726901,261,51.30677
10.734095,138,51.372117
10.275119,95,51.418713
0.074963,400,52.415746
10.391283,47,52.443961
0.113949,400,52.665532
0.139861,400,53.369666
-0.049306,400,53.563855
-0.168829,400,53.78707
10.239368,98,53.833521
0.001843,400,55.019134
10.505918,46,55.045213
0.181291,400,55.23641
0.128453,400,55.43727
-0.45217,400,55.734623
-0.240315,400,55.978575
10.916017,202,57.15742
0.421535,400,57.369429
10.34972,125,57.429276
10.461265,47,57.45717
10.763638,135,57.523608
10.825223,167,57.607943
10.66088,121,57.668757
10.75217,132,57.734471
10.182704,89,57.776922
10.209945,121,57.840291
-0.620867,400,58.033175
10.766567,150,58.107018
-0.383154,400,59.164901
10.644399,61,59.200282
10.516721,74,59.251396
10.427148,127,59.344094
-0.437188,400,59.533191
0.423096,400,59.729823
10.800296,144,59.807981
10.818146,84,59.857721
10.607958,93,59.907016
0.554697,400,61.034703
10.288974,43,61.061948
10.451622,73,61.114354
0.062656,400,61.339694
10.77174,164,61.425145
0.410452,400,61.647292
0.542483,400,61.846105
10.907618,181,61.937259
10.267616,139,62.0049
10.749377,152,62.079728
-0.853942,400,63.140344
-0.353254,400,63.716969
0.411076,400,63.923173
10.889563,175,64.008039
10.6346,99,64.056843
-0.45623,400,64.254597
0.139776,400,65.324811
10.69571,101,65.399933
10.839211,194,65.515322
10.656591,58,65.548577
0.736173,400,65.753263
0.504973,400,65.960612
-0.387739,400,66.295149
