#{"t_start": 1754400463.2675533, "env_id": "None"}
r,l,t
10.494098,84,6.85819
0.332999,400,7.030663
0.045466,400,7.215526
10.36837,121,7.270254
0.339182,400,7.449597
0.147173,400,14.918687
10.720538,117,14.968846
10.530853,88,15.007096
0.18659,400,15.182016
-0.719799,400,15.356294
0.289841,400,22.752518
0.594095,400,22.937632
10.419135,122,22.991452
10.954386,172,23.067511
0.199717,400,23.244622
10.978154,96,30.441028
0.412905,400,30.62082
10.465616,84,30.658252
0.46618,400,30.848769
-0.351148,400,31.043312
-0.164002,400,38.460701
-0.435344,400,38.632314
10.942049,161,38.711177
10.623945,101,38.762222
10.351469,89,38.804076
0.415912,400,45.808331
10.309674,91,45.846106
-0.266046,400,46.01364
10.386346,102,46.05751
10.119278,85,46.090181
0.135588,400,53.521799
0.163033,400,53.706401
10.275852,47,53.726949
0.55602,400,53.900925
0.307759,400,54.088336
10.759455,85,61.936268
10.646472,90,61.975621
0.52413,400,62.164727
10.195385,98,62.208946
-0.402229,400,62.381358
10.482884,74,69.054606
10.780219,126,69.109008
10.701948,79,69.143787
0.553048,400,69.314417
10.766158,144,69.378739
10.790151,132,76.957916
10.382781,74,77.005077
-0.855453,400,77.231002
0.406636,400,77.462009
10.423841,217,77.576053
10.306824,131,84.923202
10.227927,90,84.969142
-0.085849,400,85.212192
10.687241,123,85.284208
10.506785,74,85.321181
10.479892,73,92.542959
-0.558454,400,92.718425
0.406145,400,92.910076
10.688166,115,92.968529
0.415133,400,93.175111
10.570565,74,100.640909
10.714387,77,100.672635
10.812679,150,100.736159
0.428635,400,100.926454
10.37247,69,100.954558
10.882391,82,108.457368
10.785061,130,108.516175
-0.36567,400,108.717764
-0.094543,400,108.892961
0.412943,400,109.060341
10.488606,69,116.178979
10.883305,154,116.248065
10.729672,114,116.303006
10.740052,139,116.372318
10.446891,43,116.39853
10.468713,46,123.59141
-0.319117,400,123.775154
10.77757,127,123.828715
-0.025961,400,124.003824
10.1856,90,124.044621
-0.352469,400,131.842502
0.127821,400,132.046043
10.789608,146,132.118701
0.009193,400,132.318097
10.694174,114,132.37436
10.507271,44,139.655233
10.877712,179,139.736027
0.423247,400,139.930298
0.133167,400,140.117551
-0.774127,400,140.284759
10.834567,80,147.85043
-0.913864,400,148.048075
11.062947,88,148.096925
0.147007,400,148.302791
10.783398,79,148.339732
10.859619,167,155.993094
10.549477,71,156.026356
10.686581,117,156.077821
0.059569,400,156.258145
0.426683,400,156.566105
10.866695,148,164.974579
-0.228479,400,165.155965
0.419825,400,165.35985
0.683366,400,165.547176
