#{"t_start": 1755854348.9920523, "env_id": "None"}
r,l,t,episode_energy,success
0.156111,400,10.101998,0.6932314178331415,False
-0.349026,400,10.298325,0.5428604069585109,False
-1.043263,400,10.516226,0.37799087460053726,False
-0.007914,400,10.702813,0.5711252796023233,False
0.096909,400,10.902572,0.6319499241778578,False
10.636026,349,20.349001,1.1877795161256282,True
-0.385363,400,20.534603,1.2102537953471617,False
-0.590578,400,20.721092,1.3521858461842728,False
-1.142049,400,20.920045,1.5398641705623992,False
-0.553511,400,21.113059,1.4492004078501646,False
-1.779851,400,30.859232,1.8053013545900194,False
-0.103264,400,31.070582,1.5492717757003953,False
-0.709059,400,31.264785,1.1667573278183068,False
-0.891345,400,31.454295,1.1771911668114554,False
-1.473123,400,31.65047,1.5165987310629054,False
-1.115036,400,42.397141,1.0165723366275952,False
-0.034704,400,42.637565,1.8994911445046732,False
-0.381012,400,42.848003,1.3090481399317357,False
-0.199776,400,43.060603,1.8458752921752013,False
-0.605058,400,43.274567,1.4562104096015216,False
-0.699831,400,53.341289,1.2328229147138319,False
10.346925,125,53.409546,0.5564300136862742,True
-0.796011,400,53.612368,0.5346238615341755,False
0.004804,400,53.824744,1.6314553269105003,False
10.267452,119,53.893206,0.5097618692371318,True
-1.479023,400,63.16995,1.2177195082004573,False
-0.904145,400,63.374191,1.1121018534895966,False
-0.667029,400,63.564773,1.192012826695001,False
-0.253832,400,63.798178,1.6640865915456429,False
-0.71866,400,63.984618,1.1711247190028906,False
-0.078972,400,73.621422,1.3936945389148654,False
-0.440337,400,73.845947,1.2050576497449892,False
-1.383837,400,74.031732,1.1528189858315057,False
-0.141522,400,74.216026,1.0931282954420634,False
-0.683655,400,74.400943,0.8180516209637193,False
-0.098123,400,84.178029,1.3945838988395363,False
-0.4144,400,84.412934,1.2474047092969,False
-0.016891,400,84.655181,1.0464022944442315,False
10.07304,120,84.729185,0.7608158254045546,True
-0.790594,400,84.945636,0.6925249150815014,False
-0.715973,400,93.279978,0.35323293627548313,False
-0.283953,400,93.469954,0.8261529323311155,False
-0.009069,400,93.651674,0.686177152149567,False
-0.023629,400,93.841237,0.8140413297520401,False
0.190896,400,94.02243,2.215577470823807,False
0.200715,400,102.032576,0.6436561019482089,False
11.004689,216,102.135489,0.8547265506931242,True
0.16978,400,102.334769,1.380762448857749,False
10.273193,328,102.487736,0.6984841038735154,True
-0.876561,400,102.687996,1.3969386281316596,False
0.177207,400,110.88772,0.8560615082958026,False
-1.030655,400,111.070416,0.3075054697813967,False
-0.921982,400,111.254074,0.4368656484717264,False
0.038063,400,111.439878,0.6544512121903372,False
-0.070899,400,111.621612,0.44645965020399514,False
9.973118,138,121.302135,0.30488170567869777,True
0.107356,400,121.520699,0.7163013563865004,False
-1.114521,400,121.740232,1.0606009079572956,False
-0.162525,400,121.964661,0.6754682920948972,False
-0.076401,400,122.192683,0.550050361035017,False
0.214409,400,132.18318,0.7956699990377516,False
0.077813,400,132.436808,0.5220944112566874,False
-0.179051,400,132.694547,0.7360842171300614,False
-0.067468,400,132.9447,0.6477897091165831,False
-0.662227,400,133.201172,0.44240240660792246,False
-0.205535,400,143.328732,0.7260115927091878,False
-0.128798,400,143.566876,0.362380297821637,False
0.201595,400,143.789214,0.7228376651090245,False
10.947524,212,143.896117,0.741188230468878,True
0.135796,400,144.114421,0.9285031471776839,False
-0.130481,400,153.737478,0.6408795241222347,False
0.074475,400,153.966733,0.5691721182230995,False
-1.165262,400,154.236949,0.5613357337111308,False
-0.399594,400,154.497703,0.3809064436133431,False
0.080911,400,154.716522,0.5596113628051539,False
0.472919,400,165.208368,0.33273439429107565,False
0.127124,400,165.464078,0.5207786808053014,False
-0.813246,400,165.728453,0.5579346841995247,False
-0.84604,400,165.954269,0.4929976404678088,False
-0.250084,400,166.200155,0.2806168044647819,False
0.089962,400,175.846554,0.644227251904492,False
0.088277,400,176.093894,0.5410121353989593,False
0.108505,400,176.322747,0.6158708871189593,False
0.250691,400,176.578372,0.6166559820236462,False
10.238174,249,176.760504,0.41096274396599813,True
0.085748,400,186.037321,0.9364651115345437,False
0.073407,400,186.230079,1.189640885309453,False
-0.241139,400,186.41795,0.5723711596130039,False
0.016853,400,186.606149,0.6642835662583046,False
-0.368496,400,186.793306,0.6687543611478666,False
0.091686,400,194.889527,0.8707710176111716,False
-0.699064,400,195.079134,0.10265388108450878,False
0.265882,400,195.271133,0.5483300537157398,False
-0.117243,400,195.452832,0.501758520342842,False
-0.016482,400,195.64435,0.5657971288955089,False
0.023743,400,203.641226,0.30621735087680063,False
-0.553362,400,203.82435,0.4912558987984413,False
0.213671,400,204.005534,0.8221824782962746,False
-0.533894,400,204.19207,0.44491033429656024,False
-0.00772,400,204.374563,0.5542293832041338,False
-0.134125,400,212.533306,0.3268902846085963,False
-0.083868,400,212.716902,0.20385232766894007,False
0.186512,400,212.899688,0.37735261861571545,False
-0.091729,400,213.087704,0.5006233753829981,False
0.100265,400,213.276977,0.7361473136199742,False
-0.211761,400,221.326737,0.9547202321180177,False
-0.430011,400,221.513937,0.08172135002769677,False
10.021681,223,221.621566,0.11601760783224863,True
0.341032,400,221.806792,0.35349781953763354,False
10.427224,299,221.945226,0.3122317792081855,True
0.208408,400,229.978074,0.8319308011919594,False
-0.763395,400,230.171296,0.7115224523619413,False
0.459467,400,230.350984,0.44649237120759017,False
-0.718828,400,230.538153,0.5163959803366487,False
0.350657,400,230.733708,0.6590783567807434,False
0.195655,400,238.771325,1.1341993611902188,False
0.450289,400,238.951951,0.6470756812232671,False
0.491441,400,239.139731,0.781305663443294,False
0.207911,400,239.343729,1.0997156049209922,False
0.198328,400,239.525826,1.0929230503071463,False
-0.546391,400,247.467407,0.12908760536524577,False
0.073366,400,247.658918,1.0471438345179247,False
0.37081,400,247.841694,0.5869335456730156,False
10.366965,164,247.919554,0.32165398336035556,True
0.212755,400,248.125929,1.0948838048159228,False
0.235183,400,255.739033,1.009300450847026,False
-0.343168,400,255.918255,0.17227523128716424,False
-0.00228,400,256.105412,0.4353182844070514,False
0.4159,400,256.292028,0.5990723129271875,False
10.509779,113,256.342918,0.8986955619894428,True
0.208776,400,264.37672,0.5141165432297798,False
-0.33047,400,264.574972,0.21788549381299405,False
-0.199985,400,264.760879,0.21410161858959156,False
0.153738,400,264.946157,0.5944093191459562,False
0.227722,400,265.141052,1.0688575336057138,False
0.192142,400,273.136674,1.2761176607793911,False
-0.562618,400,273.3184,0.5403857245197212,False
0.162326,400,273.507288,0.6441389727919519,False
10.368993,102,273.555959,0.7552408392035477,True
0.645467,400,273.737866,0.8731870310608767,False
0.352104,400,281.707327,0.945165472435458,False
0.533247,400,281.890508,1.0862569782600477,False
0.187181,400,282.081188,0.822645831403035,False
-0.23778,400,282.262955,0.6976234941901774,False
0.351915,400,282.442155,0.7704836313831448,False
-0.709401,400,290.454163,0.33698097963681867,False
-0.034797,400,290.640104,1.2236773636588778,False
0.150359,400,290.81994,2.0508802347256117,False
0.040724,400,291.00469,1.7144254686251028,False
0.186477,400,291.18696,2.0710406219573305,False
-0.238671,400,299.197994,1.0766877893062072,False
0.194323,400,299.379683,2.6768877219941305,False
-0.810249,400,299.570196,0.732865483673639,False
0.191907,400,299.753155,1.7956073134480526,False
0.154854,400,299.934496,2.088839962220434,False
0.421335,400,307.92002,1.4580306207290261,False
0.036087,400,308.105676,1.4308292862896395,False
0.205026,400,308.285977,2.4109045695200018,False
0.209802,400,308.471562,2.323286204108178,False
10.551501,254,308.589843,1.1663726506183114,True
0.514417,400,316.671482,1.1226515799163135,False
-0.439814,400,316.854189,0.6430160489363137,False
10.494432,157,316.929717,0.8820633302591739,True
0.387219,400,317.113559,0.9318681805886654,False
10.008843,56,317.137955,0.574474955493766,True
0.185388,400,326.729454,1.0615207479348137,False
0.522953,400,326.964042,0.8352568761269198,False
0.52334,400,327.36272,0.8297381369053024,False
0.246818,400,327.629997,0.9989559007881125,False
0.488643,400,327.850868,1.159740291174019,False
0.263078,400,335.804852,0.974905869549781,False
0.493934,400,335.935602,0.9892451074686642,False
10.394982,125,335.977561,0.7412979579765355,True
0.209406,400,336.113794,2.032624901077983,False
-0.459396,400,336.241368,0.4731374346902718,False
0.168921,400,344.149504,1.124740288126886,False
-0.029173,400,344.273183,1.4411041373425384,False
0.380433,400,344.416225,0.8861908713856211,False
0.129321,400,344.555085,2.4424563680629348,False
-0.153203,400,344.681274,1.5714414148744593,False
-0.551879,400,352.01351,0.7277038429175527,False
0.192269,400,352.190939,3.006339689922422,False
10.182462,110,352.225741,0.4451421467578154,True
-0.051163,400,352.356977,1.868582652038069,False
-0.598618,400,352.481599,0.3595168965756096,False
0.01651,400,364.505245,3.3022814127165088,False
10.169245,101,364.564321,0.5212298094727785,True
0.568284,400,364.87365,1.400581566753225,False
-0.512607,400,365.139153,1.4146738157829235,False
0.025087,400,365.411699,3.196499388283531,False
0.49701,400,377.162262,1.371914979370923,False
-0.305023,400,377.393877,1.1041028221081217,False
0.053488,400,377.635784,3.22286578861017,False
0.132875,400,377.871619,2.3510536878731427,False
0.144994,400,378.124482,3.039035497893801,False
-0.038171,400,389.511157,1.4723612498854897,False
10.12545,65,389.549334,0.5463934549988425,True
0.179027,400,389.798134,2.7206550399320406,False
0.080922,400,390.04324,3.9357388620952,False
0.066279,400,390.305202,1.0890273865229108,False
0.177215,400,401.422991,4.215929683909357,False
0.223809,400,401.675931,2.9893431601231066,False
-0.357563,400,401.934294,1.0368952943598715,False
-0.836591,400,402.171728,0.6246607411585383,False
-0.040828,400,402.418289,1.0169695133310734,False
0.429746,400,413.538627,1.3940105445540865,False
0.179995,400,413.774188,3.8817822881079715,False
-0.39811,400,414.009469,0.8929092909891782,False
-0.624455,400,414.244602,1.0541256646822221,False
-0.153054,400,414.472791,1.3704655239219599,False
-0.0491,400,424.396642,1.1091962760828808,False
0.177644,400,424.640011,1.3969352205607837,False
-0.602867,400,424.890121,0.8483871192524857,False
10.418201,205,425.009316,1.3165501067131842,True
0.200144,400,425.249292,1.5192254507887266,False
0.319775,400,436.166632,1.4945668357590947,False
10.460917,80,436.21628,1.9400101731475015,True
0.075534,400,436.503511,1.4579178993498254,False
0.13127,400,436.624725,1.3830504965558998,False
-0.736856,400,436.749984,0.5129106624400593,False
0.070889,400,442.767293,1.7296846924163245,False
0.540513,400,442.902193,1.3041043233292053,False
9.657289,244,442.994354,1.050986470531353,True
10.141115,64,443.017025,0.519994563586962,True
0.533631,400,443.156922,1.2756413321884563,False
0.41223,400,449.538854,0.9667718770597848,False
0.538078,400,449.705752,1.0568653693157057,False
-0.498134,400,449.832926,0.6250804296758328,False
-0.411978,400,449.969679,0.661097307193017,False
-0.514675,400,450.108471,0.6122632879977438,False
-0.249774,400,455.800004,1.9726748715346945,False
-0.67757,400,455.949993,0.4963562042186682,False
-0.024823,400,456.10366,0.8349871510851241,False
-0.289741,400,456.266526,2.260966220523163,False
-0.303331,400,456.446316,2.134359408508614,False
10.225084,56,462.850588,2.681445014817805,True
0.303173,400,462.982411,1.3240421801754567,False
0.333672,400,463.111004,1.2132145676681823,False
-0.281541,400,463.245342,3.6633264954206592,False
-0.217951,400,463.373952,0.7324162938486201,False
-0.177239,400,469.89611,2.688579159409128,False
0.565407,400,470.028037,1.2805452357865532,False
