#{"t_start": 1754318712.7616546, "env_id": "None"}
r,l,t
0.031401,400,6.64836
-0.965659,400,6.827171
0.353709,400,6.989221
0.356841,400,7.14882
0.535656,400,7.316615
0.475281,400,14.463957
0.395147,400,14.628207
0.049951,400,14.796507
-0.230387,400,14.958251
10.063268,123,15.010412
0.078672,400,22.260939
-0.089629,400,22.426145
-0.015404,400,22.592244
0.427602,400,22.760613
-0.412028,400,22.925162
10.710632,257,29.864133
-0.120732,400,30.036617
0.460996,400,30.201853
0.390661,400,30.371393
-0.287941,400,30.533969
-0.903824,400,37.427236
0.439397,400,37.601011
-0.751677,400,37.768181
-0.153171,400,37.925598
0.620994,400,38.157554
0.161442,400,45.156813
0.022613,400,45.371081
-0.301735,400,45.548781
-0.336603,400,45.71171
0.670136,400,45.880734
0.031324,400,53.092911
10.06427,69,53.120423
0.44264,400,53.2903
0.145707,400,53.45571
0.469633,400,53.627445
0.2559,400,60.655358
0.178302,400,60.857795
0.45404,400,61.021697
-0.155889,400,61.188019
10.444736,400,61.352838
-0.019827,400,67.874259
0.021602,400,68.05472
0.272635,400,68.228706
0.00476,400,68.401981
0.162494,400,68.592019
0.338738,400,75.500502
0.376362,400,75.670191
0.077657,400,75.843312
0.081654,400,76.01771
-0.262293,400,76.181155
15.150665
-1.69289,400,15.761049
-0.021365,400,15.953872
-0.125507,400,16.143671
-0.610279,400,16.331914
-0.900889,400,16.516226
-0.172044,400,17.105757
0.288424,400,17.301692
-1.703046,400,17.48527
-1.28574,400,17.666687
0.377011,400,17.853913
-0.60476,400,18.587636
-1.963939,400,18.824666
-0.850794,400,19.029204
-0.166828,400,19.221018
-0.380326,400,19.412059
-0.883507,400,20.062134
-1.745171,400,20.275989
0.100575,400,20.467975
0.063707,400,20.658469
0.247071,400,20.848989
0.286595,400,21.046327
-0.958677,400,21.645635
-0.479083,400,21.841158
10.355566,278,21.972065
-1.735021,400,23.005279
-0.229279,400,23.188913
-0.131696,400,23.749211
0.369508,400,23.939051
-1.86098,400,24.123332
-0.942364,400,24.308241
-1.410198,400,24.499147
-0.68102,400,25.132651
0.290735,400,25.356332
-0.526074,400,25.562059
-1.556979,400,25.748575
0.257937,400,25.928372
0.258401,400,26.499991
0.338996,400,26.706515
-0.642847,400,26.892485
0.3637,400,27.076038
-0.578013,400,27.261328
-1.13399,400,27.866554
0.331311,400,28.087689
-0.933116,400,28.288378
0.236204,400,28.475581
10.155662,184,28.559779
-1.093032,400,28.781868
-1.313108,400,29.338202
-0.530729,400,29.529104
0.314001,400,29.710257
-0.070504,400,30.700357
-1.51955,400,30.884887
-0.008219,400,31.466312
0.114154,400,31.664716
9.874953,400,31.853531
-0.10231,400,32.053591
-1.026931,400,32.232674
-0.274337,400,32.81552
-1.535798,400,33.009756
0.281744,400,33.202883
-0.507532,400,33.386298
0.040603,400,33.568663
-0.262413,400,34.127078
-1.405701,400,34.33611
-0.177567,400,34.520697
0.276866,400,34.709977
-0.191027,400,34.896668
0.34944,400,35.467867
0.180119,400,35.667828
0.335485,400,35.85616
0.418474,400,36.045214
0.296433,400,36.251383
-0.678119,400,36.451545
-1.079507,400,37.036404
10.086107,133,37.0991
0.34227,400,38.199182
-0.747429,400,38.395644
-1.016152,400,38.603649
-0.603594,400,39.219659
10.31349,137,39.28716
10.084985,62,39.321091
0.282608,400,39.524818
0.306302,400,39.725201
-1.01847,400,39.918285
0.262842,400,40.103412
0.322305,400,40.711443
0.269871,400,40.917438
-0.511497,400,41.112148
-0.563543,400,41.300487
0.236703,400,41.48697
0.114627,400,42.069585
10.012205,106,42.125722
-0.387436,400,42.316293
-0.275265,400,42.498914
-0.157989,400,42.683586
0.139922,400,42.872343
-0.048531,400,43.443933
-1.398307,400,43.636194
