#{"t_start": 1754318883.6662488, "env_id": "None"}
r,l,t
-0.115744,400,6.65244
-0.481717,400,6.814583
0.452153,400,6.977441
0.10214,400,7.141544
0.60559,400,7.313776
0.508919,400,14.622865
0.449693,400,14.78895
0.157113,400,14.952565
-0.050651,400,15.124234
10.065804,94,15.173651
0.102209,400,22.405513
0.157574,400,22.569474
0.41795,400,22.748442
-0.153087,400,22.967802
-0.048588,400,23.135273
-0.242618,400,30.2119
-0.395126,400,30.382175
0.377455,400,30.552854
-0.604397,400,30.725363
0.157868,400,30.889266
0.699683,400,37.792463
0.518225,400,37.98663
0.020729,400,38.190981
-0.064401,400,38.396362
-0.352272,400,38.584875
-0.431336,400,45.701628
0.396192,400,45.866154
-0.400129,400,46.048248
0.383377,400,46.215753
0.367061,400,46.384412
0.746187,400,53.550287
-0.118241,400,53.733404
-0.228519,400,53.906858
0.007745,400,54.07206
-0.048994,400,54.233443
66791
-0.945298,400,11.174917
-0.44565,400,11.365697
-0.70145,400,11.553524
0.381485,400,11.735185
0.294725,400,12.334414
0.356009,400,12.533783
-0.464939,400,12.721021
0.063023,400,12.913806
-0.611679,400,13.121244
-0.128973,400,13.313664
-0.631012,400,13.908747
0.202767,400,14.104249
-1.05711,400,14.286156
0.282534,400,14.468009
-0.741346,400,15.395149
-1.191232,400,15.926897
0.24399,400,16.114398
-0.522409,400,16.31663
-0.46979,400,16.496769
-0.216029,400,16.674361
0.020679,400,17.240186
0.413492,400,17.460703
-1.231655,400,17.69048
-0.615214,400,17.88319
0.172431,400,18.07323
-0.705333,400,18.761848
-0.45927,400,18.975135
-0.2322,400,19.182723
0.040181,400,19.371745
-0.16436,400,19.584775
-1.113168,400,20.232065
-1.044307,400,20.432656
0.293791,400,20.626748
0.091367,400,20.826351
0.349029,400,21.013466
0.214661,400,21.622208
-0.364523,400,21.837377
-0.409592,400,22.036267
-1.162014,400,22.238442
0.026731,400,23.337914
0.002654,400,23.916415
0.314195,400,24.123982
-0.632328,400,24.310955
-1.037949,400,24.497045
-0.881498,400,24.677744
-0.519681,400,25.239928
0.411166,400,25.417744
-0.093021,400,25.596331
-1.138646,400,25.776933
0.311882,400,25.956178
0.283807,400,26.146705
0.267184,400,26.72992
0.141479,400,26.910151
-0.823272,400,27.090421
0.291366,400,27.285812
-1.370604,400,27.486942
-0.923982,400,28.277547
0.333372,400,28.486866
-0.553125,400,28.684048
0.222732,400,28.880922
-0.708146,400,29.065002
0.217215,400,29.685563
0.553673,400,29.874934
0.33368,400,30.058559
-0.490637,400,31.09834
-0.940275,400,31.284438
-0.001938,400,31.862354
0.159058,400,32.05811
-0.620561,400,32.242677
-0.057234,400,32.439076
-0.64845,400,32.616668
-0.25406,400,33.232557
-0.989033,400,33.416912
0.280596,400,33.59773
-1.131956,400,33.781984
0.024495,400,33.993516
-0.350668,400,34.558562
-0.629124,400,34.750941
-0.274611,400,34.935843
0.289819,400,35.135
0.064756,400,35.31276
0.336926,400,35.863567
0.141162,400,36.062249
0.198373,400,36.255641
0.258545,400,36.441756
0.339748,400,36.630765
-0.240984,400,37.200818
0.138246,400,37.390465
0.204034,400,37.615208
0.308998,400,38.799946
0.022522,400,38.98638
-0.363583,400,39.176115
0.299764,400,39.831015
-0.251189,400,40.021774
-1.436238,400,40.217558
0.098089,400,40.410278
0.534292,400,40.607002
0.244436,400,41.291741
0.301941,400,41.482846
0.400018,400,41.681373
-0.9192,400,41.864154
-0.644527,400,42.062568
-0.390252,400,42.656809
-0.883917,400,42.856076
-0.472118,400,43.03749
0.176476,400,43.223716
0.25867,400,43.41118
-0.226767,400,44.010156
0.288818,400,44.208506
-0.491273,400,44.405824
-0.142721,400,44.5903
-1.452272,400,44.774961
0.087126,400,45.359854
-0.222787,400,45.548703
0.225799,400,46.591826
-0.925408,400,46.775851
0.302145,400,46.959962
0.523486,400,47.544085
-0.335099,400,47.76415
-0.380301,400,47.994889
-0.009242,400,48.201513
-0.112265,400,48.399447
-0.479106,400,49.028093
0.086309,400,49.236523
-0.656903,400,49.4461
-0.426,400,49.633239
0.253063,400,49.823609
-0.346366,400,50.460535
0.323223,400,50.663541
0.364321,400,50.853721
0.326665,400,51.039757
0.376921,400,51.220782
0.0238,400,51.797518
0.19519,400,51.999605
0.271389,400,52.186491
0.141259,400,52.366033
-0.008082,400,52.549994
-0.468478,400,52.750662
0.347503,400,53.398777
-0.809577,400,54.44431
0.348642,400,54.629342
0.183671,400,54.831433
0.522561,400,55.017558
-0.387884,400,55.585582
-0.41905,400,55.775051
-0.219767,400,55.978171
0.427463,400,56.163725
0.249439,400,56.354842
-0.043567,400,56.919836
0.030705,400,57.127859
-0.275094,400,57.315094
-0.893718,400,57.50632
0.334784,400,57.705127
0.294232,400,58.348676
-0.020135,400,58.557699
0.313102,400,58.75603
0.25849,400,58.945537
0.57673,400,59.169254
9.8357,292,59.682868
0.402609,400,59.881267
-0.4455,400,60.069136
10.050651,55,60.094393
0.408487,400,60.300941
