#{"t_start": 1754319239.3898413, "env_id": "None"}
r,l,t
0.032681,400,6.811085
-1.112581,400,6.977884
0.515247,400,7.137223
0.374435,400,7.300724
0.454846,400,7.467429
0.515221,400,14.832158
0.489112,400,14.999231
0.419187,400,15.163069
0.054264,400,15.327164
-0.294066,400,15.489681
0.420624,400,22.793393
0.468254,400,22.958109
-1.186598,400,23.124549
0.459072,400,23.293249
-1.32403,400,23.469157
-0.09824,400,30.770285
-0.116319,400,30.939571
0.098461,400,31.125638
-0.314427,400,31.291632
0.242385,400,31.458167
-1.120505,400,38.708421
-0.13908,400,38.880583
-0.881256,400,39.048381
-0.837258,400,39.214673
0.364098,400,39.379603
0.570739,400,46.923577
-0.786926,400,47.130919
0.183008,400,47.310543
0.493294,400,47.497517
0.566315,400,47.699045
0.189656,400,55.407431
9.987634,144,55.465451
-0.041983,400,55.635229
0.397622,400,55.800291
-0.34842,400,55.964546
0.212035,400,63.858082
-0.221702,400,64.038713
0.095426,400,64.217255
-0.228519,400,64.387712
0.243292,400,64.554469
0.162257,400,71.451802
-0.000852,400,71.613427
10.229555,118,71.662051
0.572939,400,71.84378
-0.555059,400,72.015831
0.069909,400,79.383229
0.519362,400,79.551781
-0.855574,400,79.723572
0.542654,400,79.889092
-1.382543,400,80.044225
.089109,53,15.66244
-0.145784,400,16.302919
-1.921361,400,16.493968
-1.393014,400,16.67954
-1.866455,400,16.881299
-0.073468,400,17.064895
-0.243154,400,17.733482
-0.732582,400,17.93374
-0.786723,400,18.123989
0.167266,400,18.301939
0.010239,400,18.484761
-0.373893,400,19.171957
-0.547,400,19.362258
-1.241831,400,19.546308
-0.682144,400,19.728647
0.107165,400,19.908658
0.204774,400,20.588637
-1.298344,400,20.781242
-0.177962,400,20.961768
-0.963393,400,21.165627
-0.653222,400,21.344975
0.327804,400,22.010609
-0.013753,400,22.214863
0.159478,400,22.409482
-0.044062,400,22.590773
-1.152229,400,23.624054
-0.297139,400,23.810206
-0.158218,400,24.50223
-0.161621,400,24.685638
-0.072363,400,24.870013
-0.25607,400,25.053665
11.048803,309,25.19611
0.286685,400,25.883647
