#{"t_start": 1754403910.4724627, "env_id": "None"}
r,l,t
0.039499,400,6.260362
10.367174,115,6.293905
0.382125,400,6.413534
10.670615,117,6.446168
-0.402105,400,6.561462
0.127745,400,13.346223
10.727806,119,13.382166
10.529588,87,13.408498
0.187713,400,13.524655
10.589706,80,13.551439
10.649934,83,20.225062
0.366661,400,20.335592
10.55355,63,20.353127
10.773123,134,20.390754
0.508678,400,20.502513
0.419252,400,27.538649
10.287649,91,27.564616
10.170779,98,27.592122
0.140775,400,27.718209
10.395871,101,27.750528
0.411057,400,36.713617
10.384803,84,36.746947
-0.273973,400,36.914601
10.951353,170,36.982485
10.643234,96,37.027102
0.031446,400,45.577265
10.333989,87,45.604184
10.699187,153,45.653753
10.586665,47,45.670423
10.758967,141,45.722913
10.532198,78,54.612832
0.153185,400,54.776382
,400,5.79294
0.410286,400,5.936119
0.155247,400,6.061871
10.672069,126,6.103334
10.296512,44,6.116904
10.482464,86,6.142771
0.229346,400,7.348171
0.025173,400,7.521354
10.647117,85,7.54725
-0.211838,400,7.669265
-0.152218,400,7.790238
0.213274,400,7.912597
10.583992,117,7.951859
0.405302,400,8.744002
0.383721,400,8.895737
-0.0861,400,9.019665
0.390059,400,9.148903
-0.252985,400,9.290614
10.758366,84,9.315704
0.187532,400,10.120713
10.156668,89,10.160075
10.753256,136,10.210175
10.35536,92,10.239491
0.47038,400,10.375884
0.431103,400,10.503683
10.845452,173,10.558399
-0.456281,400,10.682687
10.876736,167,11.372092
0.383112,400,11.557743
-0.19104,400,11.683207
-0.201131,400,11.811067
10.614987,103,11.845147
10.71983,84,11.875746
10.725341,167,11.929192
-0.71291,400,12.698535
0.393627,400,12.887099
-0.788871,400,13.013783
0.408032,400,13.139305
10.385535,119,13.176233
-0.023557,400,13.641833
10.682899,94,13.672044
10.366493,82,13.696437
-0.36412,400,14.472892
0.483936,400,14.626466
-0.413356,400,14.768116
10.707808,104,14.800776
10.67984,80,14.825924
10.669278,123,14.8641
0.101233,400,14.991836
10.541923,47,15.006433
10.939257,97,15.036815
10.77085,138,15.681033
10.68176,135,15.743797
0.154364,400,15.926574
10.832153,86,15.953688
0.506193,400,16.07931
-0.326565,400,16.217046
10.572179,90,16.256484
10.695316,118,16.297578
10.710463,111,16.33266
10.896038,161,16.381798
0.05544,400,17.154938
10.542392,111,17.202364
10.676276,96,17.24326
0.409014,400,17.371439
10.615729,123,17.409771
-0.640009,400,17.536019
-0.354595,400,17.661361
-0.866596,400,18.432791
-0.534023,400,18.603356
0.4709,400,18.73076
-0.098545,400,18.861221
0.411872,400,18.986072
0.391803,400,19.758046
10.516346,79,19.79363
10.769702,164,19.871186
10.272387,122,19.923263
10.869125,154,19.974002
10.560929,104,20.006975
