#{"t_start": 1755680841.1971016, "env_id": "None"}
r,l,t,episode_energy,success
-0.008585,400,7.919436,1.0671415122416095,False
0.066408,400,8.105939,1.0916970837946525,False
-1.182243,400,8.303472,1.087131473739063,False
-0.017293,400,8.479485,1.044075562530069,False
-0.645084,400,8.657984,1.1049670104408924,False
-0.168123,400,17.068992,1.6041711063882023,False
-0.545801,400,17.249226,1.3913144095026364,False
-0.552633,400,17.436465,1.3881159577915985,False
0.067986,400,17.613796,1.8610405821069553,False
0.050894,400,17.788677,1.6764143668418403,False
-0.503191,400,25.734612,1.5626527473436322,False
0.046837,400,25.909271,1.8190829200715541,False
-1.056325,400,26.085404,1.1107460383189984,False
0.070019,400,26.264333,1.9567529547571458,False
-0.297511,400,26.461178,1.2530239745390002,False
-0.346578,400,35.151923,0.9431607694820673,False
-0.334967,400,35.340946,1.4714001901050966,False
-0.009036,400,35.52175,1.1346883749509382,False
-0.052569,400,35.703861,1.7173344325861208,False
0.020579,400,35.897015,1.7720485261519685,False
-1.715507,400,44.585596,1.8610858929786769,False
-0.934724,400,44.769852,2.0541923627504843,False
0.146327,400,44.991232,1.2915164331641695,False
0.048684,400,45.202897,1.6437233343851434,False
0.069851,400,45.400145,1.765565088510754,False
-0.485089,400,53.993855,2.889506709446562,False
-1.053383,400,54.196853,1.7647723831631026,False
0.091729,400,54.381745,1.5119954287536812,False
-0.639674,400,54.569637,2.8218131814152634,False
0.160931,400,54.759803,1.8073211640428744,False
-0.015209,400,62.905625,2.306680084507346,False
-0.773673,400,63.079181,3.277333832707691,False
0.162785,400,63.25699,2.137559919508129,False
-1.3956,400,63.435466,2.158443113403274,False
0.023442,400,63.611949,1.9297005099714646,False
-0.018348,400,71.601315,2.785756653895766,False
-0.016399,400,71.846912,2.5542873214445265,False
-1.185497,400,72.125366,2.214699825895877,False
-0.191648,400,72.355077,3.398558431541064,False
-0.431713,400,72.53561,3.0897285488100055,False
-0.19738,400,80.262368,1.2751963355793856,False
-0.338429,400,80.469517,3.1635902676011702,False
-1.035204,400,80.658662,1.7620353472121775,False
-0.273107,400,80.84859,2.5501476288019282,False
-0.018766,400,81.0366,2.0592643182495953,False
-1.09166,400,89.346043,0.9167715206843018,False
-1.550419,400,89.522405,3.266404347155882,False
