#{"t_start": 1754402110.2115252, "env_id": "None"}
r,l,t
10.922373,192,6.635521
10.368856,113,6.68301
0.378624,400,6.835416
-0.565712,400,6.978009
-0.360252,400,7.110168
0.150118,400,13.403402
10.72745,119,13.442117
10.527203,88,13.471049
0.184968,400,13.603905
10.585113,81,13.632776
0.271494,400,20.455512
0.578151,400,20.619689
10.418599,158,20.682051
10.967739,177,20.747695
0.198608,400,20.89394
0.628635,400,27.885706
0.397282,400,28.030897
10.467065,90,28.058269
0.455103,400,28.187105
-0.338336,400,28.31247
-0.172317,400,35.051947
-0.22852,400,35.205084
10.949983,170,35.26972
10.62762,103,35.303583
10.355392,94,35.334433
0.021594,400,42.885919
10.328112,91,42.915379
10.699284,162,42.980944
10.591922,47,42.999901
10.760694,142,43.05789
0.143768,400,50.131212
0.160573,400,50.300535
0.536641,400,50.517826
0.274338,400,50.667859
0.500937,400,50.948895
662,93,6.558591
0.250128,400,7.717513
0.088331,400,7.902458
10.648589,86,7.933424
-0.199367,400,8.071775
-0.184988,400,8.211504
0.204651,400,8.35902
10.588449,121,8.405077
0.415549,400,8.996862
0.381839,400,9.159371
-0.043008,400,9.304179
0.397515,400,9.452842
-0.235644,400,9.622399
10.746918,83,9.652144
10.228573,367,10.219943
10.158225,87,10.265057
10.752629,124,10.313886
10.354388,85,10.343097
0.494416,400,10.481852
0.457475,400,10.635283
10.847419,169,10.708175
10.753002,132,10.757903
10.851066,181,10.819455
0.383774,400,11.482008
0.394233,400,11.657495
-0.192918,400,11.822016
10.933689,172,11.882551
10.639478,164,11.944113
0.350731,400,12.093225
10.710467,146,12.143428
10.457164,47,12.16058
0.461148,400,12.791824
0.395836,400,12.96521
10.558806,49,12.984911
0.440846,400,13.133919
10.384444,95,13.168377
-0.317953,400,13.682739
-0.642555,400,14.26578
0.472832,400,14.476808
-0.288995,400,14.621681
10.690857,100,14.660583
10.696083,104,14.697812
-0.481885,400,14.844524
0.113115,400,14.993561
-0.7673,400,15.642078
10.693101,125,15.710771
0.134533,400,15.873721
10.815645,85,15.907455
0.494099,400,16.19612
-0.322897,400,16.387278
10.580197,85,16.421929
10.719605,115,16.466415
10.698419,111,16.511146
10.916662,179,17.109676
10.538449,116,17.171662
10.692805,95,17.220901
0.361279,400,17.412419
10.621294,121,17.45534
-0.755117,400,17.593813
-0.352435,400,17.742433
10.646348,83,17.772483
-1.034632,400,17.910405
10.222252,86,18.3515
0.284532,400,18.555452
10.285773,80,18.58562
0.581169,400,18.723141
10.804758,145,18.803025
0.375648,400,18.960591
10.89476,175,19.026613
-0.325569,400,19.70997
10.574079,89,19.761588
0.212963,400,19.987318
-0.434339,400,20.142441
0.058502,400,20.320703
-0.098641,400,21.070415
10.605206,86,21.10519
10.75978,159,21.161824
0.406193,400,21.782362
10.541001,86,21.831379
10.639034,104,21.87509
10.550548,95,21.908251
10.513907,106,21.945688
10.589297,93,21.983382
10.779218,136,22.035175
10.79242,185,22.101296
0.049527,400,22.246891
10.596004,86,22.280349
0.361847,400,22.428584
0.381747,400,23.130395
10.521693,82,23.168184
-0.393996,400,23.331424
0.388942,400,23.589066
-0.204885,400,23.758172
10.345954,127,23.812287
0.409569,400,24.649179
10.824086,159,24.750833
0.010614,400,24.9802
0.070609,400,25.196579
10.775548,86,25.246531
10.680555,84,25.28396
-0.051885,400,25.44805
0.21434,400,25.619932
-0.464233,400,26.279002
-0.039446,400,26.432182
10.60688,118,26.476542
-0.819608,400,26.622211
0.419537,400,26.764786
0.011764,400,27.331772
-0.886289,400,27.541889
-0.349909,400,27.680445
-0.790273,400,28.393449
0.391991,400,28.549893
-0.395074,400,29.079513
10.984331,97,29.132134
-0.359154,400,29.330381
10.750738,88,29.365779
-0.403727,400,29.514863
-0.704148,400,29.709466
-0.502597,400,29.855645
10.275841,139,29.904444
0.473213,400,30.560659
10.483523,50,30.60138
0.450446,400,30.779213
-0.652528,400,30.927859
10.80755,147,30.982843
-0.036154,400,31.186001
10.395276,107,31.226101
0.610951,400,31.852477
0.146582,400,32.034668
10.717146,83,32.06441
0.397062,400,32.217632
10.683297,125,32.268083
0.571127,400,32.430987
10.52467,144,32.512361
10.256386,130,32.56224
0.344154,400,33.238663
0.539335,400,33.420416
10.789456,209,33.498662
0.386562,400,33.641042
10.742784,244,33.73139
10.725838,140,33.785345
10.269127,79,33.812964
0.057544,400,34.459326
10.402894,43,34.490763
0.083721,400,34.737131
10.310777,187,34.82256
0.383044,400,35.416672
-0.188747,400,35.565428
10.222344,107,35.610873
10.379516,157,35.683747
10.37924,44,35.703736
10.359024,105,35.752178
10.311232,118,35.809257
0.0262,400,36.532935
10.524052,46,36.558523
10.358306,44,36.592089
0.117685,400,36.808286
-0.458684,400,37.032331
-0.249421,400,37.214256
0.056849,400,37.372479
0.395833,400,38.217074
0.444694,400,38.370151
10.358554,130,38.420375
10.46575,46,38.439069
10.760481,135,38.49237
10.821228,165,38.56112
10.653434,130,38.618255
10.734418,138,38.680951
10.183825,85,38.739129
0.000226,400,38.905254
10.438083,52,38.925235
10.752532,169,39.483006
-0.695094,400,39.685985
10.519139,96,39.726503
10.436727,138,39.781095
-0.433918,400,39.944967
0.33028,400,40.138952
10.777713,144,40.237357
10.816015,87,40.273002
10.59503,86,40.311023
0.50685,400,41.123256
10.276783,74,41.166508
10.451498,101,41.212615
10.25699,125,41.262853
-0.233871,400,41.481057
0.375937,400,41.64557
0.440109,400,41.843441
10.898411,175,41.922599
0.10502,400,42.634455
10.352572,118,42.69464
0.106381,400,43.225033
-0.383558,400,43.421596
0.366467,400,43.60618
10.676776,127,43.661264
10.739595,122,43.715271
0.344176,400,44.452024
10.989612,94,44.501797
10.641048,108,44.56176
0.232233,400,44.709265
-0.225549,400,44.87244
10.638808,81,44.903773
0.380429,400,45.069323
10.866447,162,45.145761
0.16042,400,45.813105
10.305835,96,45.878582
10.917889,176,45.958689
0.267872,400,46.129858
10.6296,93,46.17185
10.749925,89,46.213849
0.361207,400,46.423638
0.419857,400,46.570959
0.154589,400,47.232526
0.374584,400,47.451839
11.018149,95,47.496029
0.096403,400,47.642148
10.883458,208,47.714429
10.836792,149,47.763135
0.162766,400,47.906177
10.347688,106,47.943407
10.356586,79,47.9715
10.82377,158,48.458538
10.5904,82,48.503523
0.200136,400,48.721295
0.445322,400,48.872116
10.254968,124,48.918463
-0.301357,400,49.061404
-0.020351,400,49.235308
0.129192,400,49.866773
0.064786,400,51.107977
10.785541,92,51.145089
0.375758,400,51.348052
10.735652,149,51.456344
11.095489,100,51.496039
10.58491,131,51.545678
10.823125,140,51.606819
-0.261714,400,52.458471
10.570293,50,52.496056
10.750249,147,52.615284
0.366787,400,52.850195
0.048905,400,53.043465
0.364692,400,53.222826
-0.245627,400,53.386471
10.813727,89,53.429302
10.425962,150,53.97719
10.500723,95,54.035359
-0.673831,400,54.25828
10.304716,158,54.324724
10.139923,68,54.352895
0.423274,400,54.509486
-0.409594,400,54.687807
10.209699,71,54.75718
10.263398,57,54.794197
-0.260285,400,55.584123
