#{"t_start": 1754319630.8810444, "env_id": "None"}
r,l,t
-0.195417,400,6.415088
-1.026702,400,6.581098
0.362272,400,6.739434
0.161922,400,6.906098
0.537669,400,7.065756
0.532786,400,13.909626
0.428439,400,14.07278
0.170464,400,14.240608
-0.148731,400,14.406834
10.057706,84,14.441311
0.049495,400,21.249384
0.134144,400,21.418541
0.486203,400,21.591298
-0.267524,400,21.764783
0.032187,400,21.930124
-0.44228,400,28.718308
-0.3693,400,28.888816
-0.501328,400,29.054814
0.57421,400,29.223548
-0.434157,400,29.41217
0.595147,400,36.269825
0.080097,400,36.434484
-0.062734,400,36.599792
-1.003134,400,36.764937
0.017756,400,36.927408
-0.717743,400,43.727167
0.448238,400,43.892274
-0.283783,400,44.061327
0.560526,400,44.228894
0.368103,400,44.395043
0.503545,400,51.524854
0.074638,400,51.901443
-0.459305,400,52.238719
-0.507369,400,52.555773
-0.298669,400,52.876419
0.701624,400,59.45092
0.546294,400,59.579143
0.344739,400,59.692889
0.172778,400,59.815844
0.680982,400,59.950199
0.653044,400,65.195776
-0.221172,400,65.313421
0.305502,400,65.424409
-0.447029,400,65.53837
0.079307,400,65.660336
-0.28043,400,70.650576
0.543939,400,70.768906
0.587678,400,70.884627
-0.274516,400,70.994697
-0.989353,400,71.104346
5
-1.233169,400,15.23138
0.249427,400,15.423014
-0.407831,400,15.607784
-0.459995,400,15.792772
-0.122407,400,15.978107
0.027483,400,16.558264
0.362586,400,16.748187
-1.247703,400,16.932901
-0.636965,400,17.11892
0.027006,400,17.31753
-0.674216,400,17.866327
-1.409617,400,18.051054
-0.214219,400,18.236687
0.076201,400,18.439713
-0.058716,400,18.628341
-0.877179,400,19.197448
-0.813613,400,19.399755
0.289764,400,19.593685
0.165585,400,19.77888
0.312863,400,19.965647
0.244716,400,20.541831
-0.26172,400,20.733029
-0.285591,400,20.915977
-0.482242,400,21.094497
-0.119928,400,22.130916
-0.053897,400,22.6912
0.283113,400,22.896821
-0.602149,400,23.082373
10.261874,106,23.13468
-1.088298,400,23.315403
-1.134808,400,23.499754
0.175346,400,24.068337
0.343995,400,24.265911
-0.0885,400,24.44749
-1.0296,400,24.632709
0.293266,400,24.818794
0.272118,400,25.396968
0.080577,400,25.597628
-0.903886,400,25.782221
0.313928,400,25.977192
-1.691256,400,26.173526
-1.783101,400,26.715001
0.365468,400,26.917506
-0.349598,400,27.103611
0.194435,400,27.307634
-0.544422,400,27.486593
-0.289469,400,27.672612
-1.28694,400,28.240627
-0.09707,400,28.427599
0.065236,400,29.47958
-1.272483,400,29.684704
-0.851498,400,29.867833
-0.03006,400,30.461885
0.18255,400,30.64932
-0.650914,400,30.831952
-0.09061,400,31.016362
-0.513499,400,31.196876
-0.422822,400,31.770115
-1.077728,400,31.957906
0.319537,400,32.143838
-0.501556,400,32.332572
-0.050279,400,32.515302
-0.297011,400,33.101994
-0.738925,400,33.290299
-0.215268,400,33.468121
0.4294,400,33.654973
-0.049342,400,33.864011
0.251413,400,34.442548
0.208337,400,34.636037
0.227002,400,34.824938
0.438267,400,35.020755
0.331958,400,35.208411
-0.475172,400,35.768161
0.141075,400,35.976993
0.122327,400,37.001897
-0.390112,400,37.196975
-0.241915,400,37.377367
-0.65893,400,37.931983
-0.154595,400,38.143274
10.154325,88,38.192314
0.01612,400,38.374492
-0.009266,400,38.559195
0.253105,400,38.741706
-0.26545,400,39.311797
0.436456,400,39.50776
0.421234,400,39.692753
-1.424141,400,39.879461
-0.91209,400,40.062381
-0.877934,400,40.643271
-0.952037,400,40.836383
-0.287141,400,41.022218
-0.092211,400,41.209117
0.395994,400,41.388857
-0.520834,400,41.941666
0.124316,400,42.137062
-0.682843,400,42.320519
-0.082338,400,42.512029
-1.022104,400,42.709593
0.174579,400,43.257188
-0.446912,400,43.461434
0.185447,400,44.505669
-0.650592,400,44.688528
0.299177,400,44.888143
0.290232,400,45.074943
-0.806165,400,45.651307
-0.068319,400,45.851415
-0.341468,400,46.040495
0.199275,400,46.225154
0.02644,400,46.408119
-1.049728,400,46.981883
-0.025726,400,47.164145
-0.208767,400,47.350259
-0.113394,400,47.53197
0.274642,400,47.713584
-0.412624,400,48.293256
0.297907,400,48.507286
0.331261,400,48.701336
0.25539,400,48.905528
0.350458,400,49.109702
0.363441,400,49.774656
0.377608,400,49.980631
0.251677,400,50.192938
0.388252,400,50.389645
0.130915,400,50.582314
-0.244546,400,51.21931
-1.029189,400,53.016782
0.331391,400,53.289049
0.39336,400,53.569321
0.604273,400,53.777839
-0.658848,400,54.458721
-0.260269,400,54.678664
0.289707,400,54.871802
0.65833,400,55.083638
0.449612,400,55.282371
-0.623913,400,55.966601
0.13258,400,56.182957
0.120016,400,56.386692
10.097059,44,56.410531
0.567338,400,56.614369
0.434367,400,56.784579
0.454882,400,57.245728
-0.472891,400,57.406421
-0.044383,400,57.53712
0.287252,400,57.669976
-0.05298,400,57.814301
-0.914055,400,58.278884
0.384801,400,58.446456
-0.948711,400,58.578637
10.048214,54,58.597042
0.398482,400,58.722534
0.637649,400,58.853917
0.312897,400,59.277798
0.414316,400,60.07325
0.278259,400,60.261554
0.270842,400,60.40026
0.242971,400,60.555784
0.133799,400,60.729674
-1.353272,400,61.337223
-0.003391,400,61.480754
0.410321,400,61.613213
-0.323077,400,61.802464
0.702277,400,61.959896
-1.391061,400,62.563046
-1.257674,400,62.717879
-0.853648,400,62.849792
0.341135,400,62.976419
-0.217833,400,63.104226
0.406261,400,63.548816
-0.90918,400,63.699314
0.385624,400,63.829988
0.375109,400,63.968113
0.285914,400,64.099481
-1.241412,400,64.502867
-0.315068,400,64.658342
0.367692,400,64.780479
-0.298829,400,64.914474
0.450361,400,65.05167
-0.4433,400,66.088135
-1.270353,400,66.235503
0.052165,400,66.360507
-0.436619,400,66.485136
-0.210429,400,66.606251
0.425201,400,67.014601
0.769098,400,67.15479
0.299431,400,67.281327
-0.506302,400,67.404576
-1.326253,400,67.526271
-0.446287,400,67.93624
-0.678816,400,68.078281
-1.014603,400,68.199048
10.219784,192,68.262397
-1.490434,400,68.390598
0.352745,400,68.52835
0.209804,400,68.992602
-1.074528,400,69.142247
-0.575452,400,69.27185
-0.389316,400,69.402813
0.030959,400,69.539517
10.492421,320,69.952029
0.279649,400,70.117929
-0.915857,400,70.255573
-0.776264,400,70.392844
0.387428,400,71.12179
