#{"t_start": 1754402173.4635713, "env_id": "None"}
r,l,t
0.341652,400,6.352723
0.032733,400,6.5358
10.368491,115,6.568744
0.368294,400,6.700693
10.668714,118,6.742067
10.718529,118,13.804846
10.530817,86,13.834321
0.184525,400,13.98239
-0.727572,400,14.12008
10.3964,47,14.13472
10.528195,77,21.099732
10.866114,185,21.157741
10.654069,85,21.186655
10.577333,120,21.243184
10.545647,67,21.276539
-0.715027,400,29.555408
0.415228,400,29.717785
10.290505,94,29.757463
10.169683,100,29.79287
0.156374,400,29.948177
0.223011,400,36.745312
0.413063,400,36.875955
10.390547,83,36.90141
10.717757,138,36.940452
10.944852,165,36.990528
10.345537,80,43.398768
10.385613,109,43.434666
10.128312,76,43.461078
0.553882,400,43.617549
0.41033,400,43.780884
0.469861,400,50.453737
10.38656,126,50.496146
0.676981,400,50.618237
10.960748,178,50.66881
0.411775,400,50.78851
0.165688,400,56.482163
10.497558,45,56.496477
0.479959,400,56.639964
0.419377,400,56.796758
0.137814,400,56.918721
10.95771,172,62.880679
10.330079,47,62.895522
0.713307,400,63.029301
-0.51904,400,63.160398
-0.732668,400,63.281157
10.274707,239,69.756966
0.398297,400,69.895215
10.519475,45,69.911477
0.438174,400,70.065749
10.96772,173,70.128818
10.303326,128,76.370446
10.234352,85,76.398002
-0.094851,400,76.540569
10.685533,129,76.585303
0.12554,400,76.722173
10.466125,85,82.904861
-0.451551,400,83.032521
0.398817,400,83.170313
10.687095,118,83.210053
0.394246,400,83.343346
10.893568,158,90.154341
10.855146,162,90.22294
0.119944,400,90.359216
10.969052,173,90.416611
0.129686,400,90.589648
10.881161,85,96.811252
10.788852,133,96.884228
-0.371687,400,97.044674
-0.061139,400,97.190781
0.383324,400,97.321517
0.216454,400,105.415515
0.656825,400,105.552053
0.099106,400,105.690913
10.891514,157,105.74877
10.723909,117,105.801043
10.271495,102,113.017029
-0.129995,400,113.164015
10.471983,45,113.179714
-0.30766,400,113.314632
10.773363,130,113.364833
62,96,15.178191
10.686745,116,15.222123
0.11931,400,15.414354
10.537935,48,15.434979
10.945587,102,15.474269
10.763823,130,15.520757
-0.794713,400,16.21192
10.696215,124,16.276716
10.561482,81,16.317963
10.82535,85,16.362848
0.513071,400,16.525702
-0.319164,400,16.664672
10.572382,84,16.696846
10.672574,122,16.738167
-0.787591,400,16.886329
10.90686,161,16.958203
0.070302,400,17.873683
10.546012,114,17.930705
10.695176,90,17.964977
0.404243,400,18.135611
10.626362,122,18.192545
-0.703906,400,18.3693
-0.354962,400,18.544042
-0.712642,400,19.219448
10.591447,59,19.251492
0.47274,400,19.469804
-0.054003,400,19.609896
0.396623,400,19.766078
0.413481,400,19.941836
-0.235522,400,20.644973
10.525107,97,20.693615
10.787687,171,20.767208
-0.097658,400,20.897935
10.8611,157,20.958387
10.574756,116,21.00561
10.829894,92,21.047545
0.511185,400,21.437968
0.510297,400,21.659741
0.400384,400,22.449246
0.395829,400,22.601906
10.423332,147,22.665306
-0.154158,400,22.930313
10.279026,94,22.974731
10.452979,74,23.016905
10.814504,165,23.097039
10.610497,80,23.134384
10.837402,146,23.203878
0.099651,400,23.976794
0.420487,400,24.168036
10.766181,139,24.223553
10.339494,149,24.290891
0.070449,400,24.507331
-0.412702,400,24.733013
-0.031099,400,25.538184
-0.016174,400,25.848597
-0.560283,400,26.093054
0.434474,400,26.292254
-0.072923,400,26.531874
