#{"t_start": 1754392345.8249183, "env_id": "None"}
r,l,t
0.233959,400,4.589744
0.003823,400,4.693856
0.001177,400,4.801003
0.12482,400,4.905794
0.589613,400,5.01352
0.531224,400,10.414849
0.509123,400,10.525086
0.341228,400,10.633649
0.166682,400,10.739506
-0.782629,400,10.844579
0.314671,400,15.954727
0.227338,400,16.10593
0.060569,400,16.211527
0.404663,400,16.327685
-0.199073,400,16.451275
0.080307,400,21.410012
0.067017,400,21.525717
0.505781,400,21.629965
-0.532007,400,21.737998
-0.831036,400,21.855617
0.494242,400,27.159763
0.207289,400,27.282808
0.152538,400,27.412517
-0.281652,400,27.531171
0.147081,400,27.647376
-0.851471,400,32.762219
0.370834,400,32.878783
-0.30566,400,32.98655
0.433928,400,33.109572
0.44003,400,33.217567
10.418586,68,38.606675
0.32824,400,38.730451
0.087906,400,38.849944
-0.30356,400,38.968742
-0.426614,400,39.102807
0.496057,400,44.328692
0.54994,400,44.442183
0.493131,400,44.551355
-0.428619,400,44.65832
-0.51522,400,44.796572
-0.033042,400,49.850857
0.582256,400,49.973353
0.132739,400,50.108525
0.452415,400,50.227082
0.005359,400,50.337193
-0.917599,400,55.606126
0.34957,400,55.72978
0.40126,400,55.838354
10.530217,65,55.857174
-0.772432,400,56.031574
-0.69121,400,61.516569
0.372739,400,61.62747
0.335742,400,61.738664
0.478355,400,61.846525
0.702789,400,61.954498
0.417999,400,67.480546
0.534278,400,67.603786
-0.366808,400,67.738518
0.705197,400,67.85859
-0.732056,400,67.979209
0.327035,400,73.458251
-0.578845,400,73.571131
0.31583,400,73.676614
0.211286,400,73.799415
0.759105,400,73.97246
0.481288,400,79.785139
0.475401,400,79.892291
0.894783,400,80.004178
0.670725,400,80.112293
10.209377,97,80.138477
10.339592,68,85.453312
-0.323497,400,85.594314
0.223994,400,85.748884
0.048373,400,85.903033
-0.440836,400,86.0375
-0.643491,400,91.329395
0.395764,400,91.46787
10.200219,86,91.491894
-0.798304,400,91.613877
0.188774,400,91.726159
7.392823
10.214475,199,17.454792
-0.560825,400,17.58057
0.284383,400,18.042007
0.337293,400,18.185218
-0.08137,400,18.302091
-0.488712,400,18.418788
0.251489,400,18.540452
0.275738,400,18.981125
0.234692,400,19.155976
-0.481593,400,19.288703
0.297559,400,19.406314
-0.946519,400,19.524859
-0.692134,400,19.971338
0.273676,400,20.141824
-0.195486,400,20.262987
0.296723,400,20.379701
-0.28921,400,20.500415
0.017528,400,20.942509
0.050906,400,21.114623
0.214935,400,21.235539
-0.273599,400,21.922765
-0.756166,400,22.045251
0.098202,400,22.469626
0.074992,400,22.637768
-0.930722,400,22.767435
0.088727,400,22.889418
-1.402296,400,23.039429
-0.12926,400,23.159082
-1.070809,400,23.681762
-0.539544,400,23.811612
0.192935,400,23.928376
-0.1631,400,24.076522
0.013335,400,24.208983
-0.720418,400,24.656126
-0.045902,400,24.796228
-0.337691,400,24.91169
0.306757,400,25.032131
0.299659,400,25.163113
0.135733,400,25.676052
0.325331,400,25.830564
0.358127,400,25.989511
0.248535,400,26.132612
0.331839,400,26.292025
-0.094546,400,26.79845
0.24778,400,26.96197
0.316426,400,27.721485
-0.200993,400,27.85369
0.147765,400,27.986841
-0.064924,400,28.501868
10.281627,400,28.669392
-0.731634,400,28.800085
0.232547,400,28.928516
0.161095,400,29.050846
0.178296,400,29.554576
0.189236,400,29.723477
0.273959,400,29.841122
10.285804,66,29.860823
-0.308035,400,29.98239
-0.824973,400,30.111084
0.242095,400,30.551918
10.205908,92,30.591952
-0.445061,400,30.748007
0.352347,400,30.868079
0.439744,400,30.986471
-0.290449,400,31.109626
-0.452375,400,31.543612
-0.247186,400,31.700713
-0.588807,400,31.821303
0.136839,400,31.939941
-0.954734,400,32.059611
0.296685,400,32.483713
-0.055472,400,32.640667
-0.098713,400,33.334172
-0.829835,400,33.452288
0.253906,400,33.572083
10.807276,349,33.999877
-0.021628,400,34.164739
10.000494,395,34.297426
0.114986,400,34.413003
-0.09441,400,34.544315
-0.286681,400,34.669543
0.399336,400,35.15951
-0.107228,400,35.2897
-0.20242,400,35.426066
-0.259579,400,35.60271
-0.033108,400,35.736256
-0.528124,400,36.361379
0.330482,400,36.521688
0.270338,400,36.651747
0.243792,400,36.78411
0.264972,400,36.909873
-0.126822,400,37.438465
0.209174,400,37.589426
0.348629,400,37.7188
0.397697,400,37.85065
0.062626,400,37.977968
10.415992,135,38.02465
0.262306,400,39.120091
0.095719,400,39.246705
0.27737,400,39.380023
0.165671,400,39.499695
-0.215915,400,39.669439
-0.896617,400,40.180768
-0.204563,400,40.320432
-0.019975,400,40.478613
10.643181,369,40.596628
0.486948,400,40.723175
-0.85604,400,41.182447
-0.131775,400,41.332181
-0.107755,400,41.455828
-0.839097,400,41.589026
0.242506,400,41.711744
0.176228,400,42.15782
0.064429,400,42.312618
10.266106,382,42.423503
0.407178,400,42.547004
-0.387177,400,42.679892
-0.974354,400,43.115721
0.289841,400,43.287449
10.115447,41,43.301555
-0.989611,400,43.44229
0.273593,400,43.566545
0.338638,400,43.701899
-0.41759,400,44.811258
0.269714,400,44.970676
-0.29712,400,45.101583
10.579169,279,45.193838
0.086164,400,45.33254
0.184178,400,45.47562
-0.713986,400,46.069456
0.13533,400,46.194202
0.33498,400,46.3386
-0.81605,400,46.473033
0.216398,400,46.59077
-0.523882,400,47.070014
-0.882144,400,47.208435
-0.595356,400,47.327247
0.23417,400,47.44936
-1.158547,400,47.570415
10.44578,174,47.946012
-0.637053,400,48.134819
0.334577,400,48.259568
0.28645,400,48.396199
0.292449,400,48.597242
-0.818054,400,48.730828
0.260966,400,49.194121
-0.269,400,49.357279
