#{"t_start": 1754392570.9309733, "env_id": "None"}
r,l,t
-0.039356,400,5.180717
-0.089876,400,5.316858
-0.131266,400,5.428695
-0.057661,400,5.539025
-0.09111,400,5.687789
-0.096804,400,11.413705
-0.090038,400,11.535659
-0.157524,400,11.658411
-0.010627,400,11.766756
-0.113343,400,11.878193
0.002128,400,17.264027
0.035957,400,17.379528
0.045488,400,17.487673
0.024207,400,17.599479
-0.132635,400,17.723927
-0.093116,400,23.515675
-0.094115,400,23.625344
0.209993,400,23.734296
0.028295,400,23.844763
-0.184745,400,23.952598
0.198035,400,29.534336
0.070794,400,29.647533
-0.086437,400,29.768431
0.189397,400,29.880111
0.267291,400,29.994189
-0.678694,400,35.248446
0.174807,400,35.35396
-0.542126,400,35.464828
0.426914,400,35.569458
0.589691,400,35.68401
0.51333,400,41.323151
0.018266,400,41.446038
-0.453288,400,41.578043
-0.147747,400,41.710428
-0.456723,400,41.81917
0.285329,400,47.153069
0.473137,400,47.260562
0.181374,400,47.369651
-0.522402,400,47.483346
-0.329726,400,47.598521
0.32752,400,52.989712
0.10966,400,53.099787
0.52738,400,53.207467
0.013692,400,53.314335
0.024427,400,53.432988
5709
0.098812,400,11.004665
-0.693071,400,11.156887
-0.09307,400,11.299203
-0.848918,400,12.024976
-0.946504,400,12.524303
0.213741,400,12.667591
-0.393237,400,12.785173
-0.064854,400,12.92372
0.026004,400,13.041327
-0.258237,400,13.566998
0.323652,400,13.715829
-0.368159,400,13.838811
-0.791246,400,13.962849
0.412922,400,14.083311
-0.330077,400,14.577683
10.313242,321,14.708803
0.009346,400,14.827484
-0.861787,400,14.952091
0.012167,400,15.07266
-0.258625,400,15.567755
-0.925688,400,15.742264
-0.522451,400,15.871305
0.074001,400,16.012783
0.06945,400,16.157456
-0.556068,400,16.707036
-1.120013,400,16.876358
-0.483148,400,17.002684
-0.801318,400,17.126639
0.047447,400,17.840097
0.075734,400,17.958188
0.020309,400,18.530915
-0.089283,400,18.738132
-0.099002,400,18.913716
-1.352097,400,19.052458
-0.834758,400,19.205625
-0.499493,400,19.757271
0.304588,400,19.919539
-0.10176,400,20.052203
-0.796067,400,20.189733
-0.500131,400,20.326151
-0.375522,400,20.909706
0.129186,400,21.076883
-0.492158,400,21.232877
-0.493272,400,21.369528
-1.06609,400,21.505559
-0.673367,400,22.057421
0.337341,400,22.210434
-0.410703,400,22.331238
-0.042965,400,22.464986
-0.21463,400,22.612312
-0.196284,400,23.098548
0.009367,400,23.270704
-0.211475,400,23.391868
-0.59788,400,24.0716
-0.606696,400,24.200028
-0.453168,400,24.677809
0.396618,400,24.848336
10.273388,81,24.88115
0.06513,400,25.010268
-0.780121,400,25.136391
-0.358265,400,25.256656
-0.43646,400,25.829211
-0.367407,400,26.019225
0.248362,400,26.143754
-0.961474,400,26.269623
0.159679,400,26.395552
-0.470359,400,26.898069
-0.043908,400,27.065403
-0.254314,400,27.185779
0.120314,400,27.303027
0.193225,400,27.424701
0.568998,400,27.91042
0.00584,400,28.096894
0.184788,400,28.24565
0.507356,400,28.407443
-0.09703,400,28.554219
-0.464348,400,29.083149
10.441057,372,29.302558
-0.467681,400,29.427523
0.429343,400,30.143872
-0.161943,400,30.274831
-0.093579,400,30.397553
