#{"t_start": 1754319421.6645951, "env_id": "None"}
r,l,t
0.119665,400,6.920345
-0.174659,400,7.083353
0.519899,400,7.246747
0.40164,400,7.427333
0.456331,400,7.592662
0.387437,400,14.977176
0.415388,400,15.153124
0.411833,400,15.317973
-0.423248,400,15.481741
-0.175773,400,15.644615
-0.917782,400,23.030723
0.41802,400,23.198366
0.409012,400,23.360371
-1.140305,400,23.526175
0.40086,400,23.691863
-0.170466,400,31.084831
0.86173,400,31.25046
-0.088779,400,31.416509
0.908763,400,31.605355
-0.122347,400,31.770896
-0.552283,400,39.135095
-0.193076,400,39.310723
-0.20379,400,39.47809
-0.703889,400,39.645191
0.316627,400,39.810735
-0.555935,400,47.302651
0.533639,400,47.466536
-0.682087,400,47.631605
0.126428,400,47.800544
0.602936,400,47.971528
-0.653991,400,57.28246
-0.14189,400,57.619231
-0.938271,400,57.931856
0.228323,400,58.200993
0.387048,400,58.471194
11.182281
-1.01127,400,11.380851
-0.915558,400,11.564598
-0.432165,400,11.749302
-0.421851,400,11.934917
-1.875656,400,12.607669
-1.853728,400,12.81239
0.212474,400,13.015433
0.048587,400,13.196315
0.047049,400,13.372809
-1.734735,400,13.553725
0.228698,400,14.262604
0.051846,400,14.453196
0.362759,400,14.636811
-0.641471,400,14.818467
-0.030921,400,15.850932
-1.619322,400,16.551153
-2.012391,400,16.742757
-0.773501,400,16.928562
10.056871,68,16.960527
0.185074,400,17.14596
-0.122952,400,17.348275
0.304457,400,18.022565
-0.428279,400,18.209273
-0.992122,400,18.414095
0.21727,400,18.599065
0.088876,400,18.779663
0.316886,400,19.460911
-0.565298,400,19.646307
-1.070127,400,19.827792
-0.614956,400,20.012972
0.245873,400,20.197845
0.289018,400,20.890369
-1.220246,400,21.077934
0.260405,400,21.261881
-0.69752,400,21.445892
-0.982406,400,21.646427
0.175609,400,22.337202
-0.018563,400,22.531723
0.355155,400,22.722637
-0.085286,400,23.747422
-1.312099,400,23.940142
-0.222764,400,24.612297
0.427519,400,24.808787
0.099644,400,25.011389
0.128118,400,25.199539
0.207295,400,25.380242
0.270608,400,26.057796
-2.213374,400,26.252677
0.266775,400,26.43954
0.249712,400,26.618098
-1.158707,400,26.797646
0.181608,400,27.485836
0.282047,400,27.686659
-1.53213,400,27.870827
-1.270281,400,28.047027
-0.257218,400,28.24236
-0.538437,400,28.915277
-1.373919,400,29.117996
-1.341067,400,29.308416
-0.822056,400,29.495586
-0.303302,400,29.681243
-0.202195,400,29.863075
0.37957,400,30.596015
0.166537,400,30.779911
-0.674008,400,31.822241
-0.072273,400,32.008397
-0.121159,400,32.194257
0.23513,400,32.917631
0.305495,400,33.108821
0.189902,400,33.288933
-0.31161,400,33.472543
-0.090616,400,33.667456
0.261957,400,34.354039
-1.35587,400,34.535573
0.314763,400,34.72334
-0.749686,400,34.921111
0.639943,400,35.101195
0.330637,400,35.762199
-1.182522,400,35.958323
-0.32998,400,36.146498
-0.839958,400,36.324194
-0.273998,400,36.503707
0.436968,400,37.19757
0.311798,400,37.393743
-0.006888,400,37.573254
0.449133,400,37.758262
-0.707829,400,37.936761
-0.451364,400,38.629073
-1.446249,400,38.823701
-0.113565,400,39.866367
0.386088,400,40.050864
-0.957197,400,40.247028
0.399223,400,40.929048
0.253803,400,41.140778
0.289736,400,41.327897
-1.335815,400,41.528484
-0.560168,400,41.711492
0.040909,400,42.399412
-0.066981,400,42.612211
0.367347,400,42.801313
-0.549942,400,42.983869
0.332763,400,43.169748
-1.033048,400,43.355024
0.436774,400,44.07335
-0.011101,400,44.253731
-0.796676,400,44.434402
-0.346686,400,44.622928
0.264226,400,44.82798
-0.181877,400,45.520674
0.253343,400,45.707806
-0.903984,400,45.910365
-0.690363,400,46.09109
-0.815843,400,46.278817
0.416767,400,46.988676
0.479739,400,48.02489
-0.126333,400,48.219159
0.318585,400,48.400431
-0.968216,400,48.589586
-0.254309,400,49.270419
9.812005,362,49.442895
-0.723023,400,49.623188
0.399908,400,49.804243
-0.697413,400,49.987327
0.185139,400,50.794404
-0.063923,400,51.001499
-0.746656,400,51.19914
0.141816,400,51.422699
-0.31816,400,51.611485
-1.160345,400,53.078024
0.285287,400,53.296284
0.250736,400,53.513737
-0.587212,400,53.737915
0.430023,400,53.963005
-0.422671,400,54.756581
0.207148,400,54.97303
-0.665634,400,55.17881
0.375523,400,55.368345
0.617495,400,55.577051
0.392221,400,55.778092
-0.645403,400,58.529881
-1.20786,400,58.853831
-0.472814,400,59.191387
-0.359735,400,59.514488
-1.55758,400,59.795275
-1.705817,400,60.983761
0.265443,400,61.247993
0.169131,400,61.550792
