#{"t_start": 1754403491.9086034, "env_id": "None"}
r,l,t
0.04179,400,8.669917
10.366294,114,8.717153
0.381711,400,8.895492
-0.567799,400,9.070867
-0.393649,400,9.255629
10.726522,117,18.797489
10.530023,91,18.835172
0.190912,400,19.012974
10.590774,79,19.048999
0.316073,400,19.227459
0.035862,400,28.849263
0.273321,400,29.033396
0.583171,400,29.218137
10.420302,160,29.306038
10.966537,172,29.383505
10.469583,104,39.491599
0.487851,400,39.676371
-0.3409,400,39.851046
-0.174983,400,40.04511
0.42168,400,40.226169
0.225411,400,49.881822
,4.335871
0.385075,400,4.542561
0.422669,400,4.742148
10.553294,148,4.833435
10.314576,135,5.66927
-0.414543,400,5.893428
0.392963,400,6.109515
10.844489,177,6.19802
0.195566,400,6.403241
10.585587,129,6.465846
-0.062173,400,6.660118
0.327865,400,7.725069
0.176418,400,7.928357
0.415181,400,8.130138
0.158136,400,8.362603
10.668463,129,8.432808
10.299666,44,8.45334
10.485227,86,8.496564
0.261437,400,10.332174
0.031911,400,10.562238
10.645726,86,10.607965
-0.210035,400,10.815423
-0.053222,400,11.02008
0.211093,400,11.229287
10.586815,112,11.287372
0.4157,400,12.417091
0.385958,400,12.626359
-0.075413,400,12.842969
0.392799,400,13.043049
-0.264899,400,13.243774
10.766261,84,13.284105
0.199229,400,14.336132
10.157995,89,14.382361
10.756212,132,14.449188
10.352981,91,14.495095
0.393407,400,14.698883
0.456182,400,14.909671
10.845434,171,14.999052
-0.483907,400,15.19576
10.859246,167,16.133864
0.40981,400,16.348021
-0.183678,400,16.543713
10.906249,162,16.621702
10.638337,126,16.682115
0.386337,400,16.880404
10.696986,125,16.945118
0.035926,400,17.970529
0.396737,400,18.180468
10.548571,51,18.212072
0.40611,400,18.430467
10.391884,66,18.464174
-0.494424,400,18.676556
0.070189,400,19.392986
10.366684,86,19.437393
10.560423,69,19.471804
0.465594,400,20.639304
0.466805,400,20.840931
-0.413543,400,21.042813
-0.723753,400,21.238781
10.691868,119,21.299154
10.680304,117,21.356871
0.117539,400,22.388714
10.695504,124,22.456077
10.565298,81,22.501265
10.817195,86,22.551463
0.502348,400,22.76386
-0.329108,400,22.962251
10.572477,99,23.010914
-0.521464,400,23.223401
-0.440167,400,24.277937
10.550262,149,24.358676
0.281968,400,24.569515
0.389365,400,24.772337
10.613591,89,24.824977
10.564055,50,24.85828
-0.342033,400,25.063222
10.64213,79,25.102834
-0.539035,400,25.299119
-0.029192,400,26.322858
0.2959,400,26.529866
-0.190083,400,26.734172
0.572661,400,26.93259
-0.368089,400,27.14924
0.413619,400,28.156275
10.596075,83,28.208917
0.199483,400,28.41637
-0.400254,400,28.615201
0.031694,400,29.544621
10.357292,132,29.610664
10.59045,91,29.655491
10.784747,145,29.728794
0.399822,400,30.802924
10.539608,101,30.861105
-0.669055,400,31.067067
10.557966,72,31.103044
10.510701,102,31.157227
10.57994,90,31.207496
10.782769,132,31.284124
-0.142125,400,31.531131
10.889017,190,31.651661
-0.32409,400,32.870379
10.514123,82,32.924675
-0.384804,400,33.14573
0.407028,400,33.393974
-0.190989,400,33.610819
10.341551,143,33.683031
0.414443,400,33.903266
-0.303875,400,34.999968
10.82351,153,35.077998
-0.019893,400,35.284101
0.119452,400,35.485999
0.364543,400,35.687858
10.692911,86,35.729882
-0.055676,400,36.842395
10.912904,174,36.952332
-0.535186,400,37.16913
-0.731415,400,37.375291
0.415598,400,37.574901
0.018784,400,37.787983
0.01235,400,38.979199
10.620647,61,39.014913
-0.358858,400,39.241994
10.594068,61,39.275558
10.974295,105,39.334652
0.394378,400,40.349591
0.387113,400,40.578895
10.87389,189,40.673297
10.294212,118,40.739677
10.800074,167,41.666009
0.642092,400,41.900394
10.32341,103,41.952883
10.749133,86,41.994357
-0.393931,400,42.20665
10.641297,70,42.24363
10.22406,92,42.294362
-0.041852,400,42.500191
0.50922,400,42.74934
0.408548,400,43.986225
10.475425,48,44.011688
0.422513,400,44.252633
-0.386394,400,44.475634
-0.348335,400,44.722392
-0.022707,400,44.962934
10.408401,131,45.881335
0.157555,400,46.088426
10.730568,82,46.129195
0.429354,400,46.331168
-0.48239,400,46.532297
0.599661,400,46.721284
10.525977,158,46.796646
0.003262,400,47.717307
0.579531,400,47.901518
10.766556,222,48.0014
0.379667,400,48.188091
10.745292,240,48.321155
10.726824,139,48.383534
10.277087,98,48.428339
0.071101,400,49.390635
10.284487,400,49.589557
