#{"t_start": 1754320704.467941, "env_id": "None"}
r,l,t
0.173365,400,6.005126
-0.140682,400,6.130044
0.036431,400,6.279703
0.29849,400,6.405296
0.323066,400,6.532088
0.618072,400,13.138068
0.64645,400,13.268518
0.501661,400,13.395086
-0.093211,400,13.516141
0.103045,400,13.648137
0.541452,400,20.389829
0.606833,400,20.512027
10.108692,132,20.551253
0.599262,400,20.685437
-1.031412,400,20.812612
0.638747,400,27.412367
0.495865,400,27.547158
0.74506,400,27.676515
0.22469,400,27.803007
0.287975,400,27.929415
-0.084008,400,34.564041
-0.307433,400,34.690744
-0.495655,400,34.816074
0.376859,400,34.967162
-0.014628,400,35.110015
.238549
-0.51009,400,7.429336
-0.637906,400,7.57561
0.098373,400,7.721204
-0.405535,400,7.868401
-1.50097,400,8.601772
0.475375,400,8.79675
-1.662726,400,8.937115
-0.895744,400,9.081882
-1.231608,400,9.222603
-0.706127,400,9.920794
-1.019876,400,10.121409
-1.721571,400,10.260052
-0.417926,400,10.394777
-0.074282,400,10.526777
-1.61045,400,11.177935
-1.387537,400,11.374635
-0.682926,400,11.512885
-0.124251,400,11.653094
0.133384,400,11.795533
-0.986797,400,11.933493
-0.052627,400,12.595195
-0.014285,400,12.738931
0.714557,400,12.885133
-0.621188,400,13.025936
-0.556096,400,13.803145
-2.291343,400,14.499021
-1.921254,400,14.667342
-0.949125,400,14.814391
-1.859226,400,14.970564
-0.206964,400,15.11592
0.295045,400,15.835115
-0.506085,400,15.998558
-0.871853,400,16.195482
0.240705,400,16.34128
0.043364,400,16.48243
0.222186,400,17.188332
-0.779987,400,17.374122
-1.085979,400,17.511986
-0.883758,400,17.659721
0.110011,400,17.803636
-0.363989,400,18.498746
-1.63542,400,18.674537
-0.479546,400,18.820157
-0.942971,400,18.959713
0.091195,400,19.102264
0.267894,400,19.804259
0.198149,400,19.981173
0.38899,400,20.127742
0.163378,400,20.273939
-1.127798,400,20.969266
-0.253508,400,21.628478
0.03662,400,21.82771
-0.111105,400,21.965771
-0.102171,400,22.101841
0.774246,400,22.229347
-0.328886,400,22.880776
-2.319823,400,23.089355
0.060347,400,23.222148
-0.090084,400,23.360185
-0.448548,400,23.494577
-0.030547,400,23.628408
-0.049756,400,24.352252
0.154565,400,24.505519
-1.016042,400,24.649771
-0.788716,400,24.790787
-0.248383,400,24.928324
-0.855585,400,25.667094
-0.732226,400,25.823554
-0.546804,400,25.966526
-0.912401,400,26.105751
-0.86018,400,26.24533
10.609263,390,26.972424
0.298837,400,27.13351
0.065345,400,27.276785
-0.386845,400,28.089114
-0.103757,400,28.232382
-0.300418,400,29.02716
0.320301,400,29.203417
0.109105,400,29.34373
-0.427855,400,29.482992
-0.453788,400,29.628065
0.145362,400,30.369394
-1.258417,400,30.538963
-0.106458,400,30.686698
-1.252702,400,30.84316
-0.452904,400,30.979867
0.190989,400,31.627963
-0.993865,400,31.811527
-0.049779,400,31.953918
-0.659277,400,32.081761
-0.555473,400,32.212852
0.714664,400,32.845496
0.428158,400,33.044142
10.933245,370,33.166128
-1.16682,400,33.301691
-0.092737,400,33.434313
-1.545781,400,34.1047
-1.570167,400,34.297081
-0.47622,400,34.435898
-1.036222,400,35.27928
-0.772949,400,35.416594
0.506037,400,35.563971
-0.00406,400,36.319402
0.0286,400,36.496473
0.431698,400,36.65138
-2.440585,400,36.800183
-0.914888,400,36.951217
-0.256656,400,37.802077
-0.543318,400,37.953192
0.188489,400,38.108807
-1.646451,400,38.263908
0.170505,400,38.415322
-0.794107,400,39.276485
-0.153487,400,39.416798
-0.995958,400,39.56456
-0.226819,400,39.719871
