#{"t_start": 1754392220.120719, "env_id": "None"}
r,l,t
0.124555,400,8.289087
-0.123464,400,8.490601
0.201673,400,8.692584
0.048073,400,8.90195
0.589883,400,9.125439
0.545557,400,17.907512
0.538738,400,18.111989
0.36584,400,18.315166
0.036201,400,18.521168
-0.771276,400,18.72527
0.160876,400,27.413636
-0.007177,400,27.61637
0.33102,400,27.836846
-0.270646,400,28.040349
0.000947,400,28.244579
0.076609,400,34.181457
0.068521,400,34.306429
0.487116,400,34.429574
-0.55293,400,34.548162
-0.850652,400,34.665414
0.51364,400,39.159646
0.214758,400,39.261934
0.152418,400,39.366182
-0.289353,400,39.472812
0.129284,400,39.57908
-0.671916,400,44.459388
0.120133,400,44.56389
-0.404172,400,44.671803
0.430658,400,44.773209
0.52543,400,44.878119
0.285724,400,49.275236
-0.149951,400,49.382803
-0.265871,400,49.485795
-0.583321,400,49.589605
0.435255,400,49.698666
0.546938,400,54.426435
0.376843,400,54.537988
0.587779,400,54.643565
0.053558,400,54.748314
-0.235111,400,54.854286
0.421495,400,59.015397
0.166525,400,59.125266
0.553936,400,59.229943
0.082384,400,59.336084
0.479463,400,59.458369
0.496746,400,64.233161
0.459276,400,64.339241
10.542454,59,64.355833
-0.837984,400,64.458812
0.368731,400,64.562727
-0.954127,400,69.078354
0.454963,400,69.210608
0.418381,400,69.321477
0.466139,400,69.444368
0.484536,400,69.558823
0.464299,400,74.52077
0.312738,400,74.630599
0.045529,400,74.738827
0.264515,400,74.841915
0.016106,400,74.952682
0.513123,400,79.601442
-0.177323,400,79.705588
0.271736,400,79.811475
0.169632,400,79.917291
0.307592,400,80.023552
0.585427,400,85.018623
0.555902,400,85.12401
0.254158,400,85.229786
0.166696,400,85.331405
-0.805451,400,85.440042
-0.075318,400,90.243864
-0.036835,400,90.35359
0.259784,400,90.457267
0.18592,400,90.563743
0.329931,400,90.67062
0.201364,400,95.736831
0.491979,400,95.838449
-0.442555,400,95.943079
-0.140012,400,96.045538
0.321537,400,96.152078
0.497336,400,100.914074
0.193754,400,101.045305
-0.415076,400,101.163822
0.112258,400,101.268023
0.62842,400,101.373371
0.515348,400,105.818558
-0.427227,400,105.924093
0.306122,400,106.030746
-0.605658,400,106.137812
0.542973,400,106.24823
0.164867,400,110.959446
0.548202,400,111.081486
0.234936,400,111.2366
-0.476101,400,111.375205
-0.787592,400,111.487675
