#{"t_start": 1755684227.9809232, "env_id": "None"}
r,l,t,episode_energy,success
-0.008585,400,10.450001,1.0671415122416095,False
0.066408,400,10.69053,1.0916970837946525,False
-1.182243,400,10.919555,1.087131473739063,False
-0.017293,400,11.153035,1.044075562530069,False
-0.645084,400,11.387563,1.1049670104408924,False
-0.168123,400,22.270164,1.6041711063882023,False
-0.545801,400,22.51627,1.3913144095026364,False
-0.552633,400,22.75175,1.3881159577915985,False
0.067986,400,22.998055,1.8610405821069553,False
0.050894,400,23.234827,1.6764143668418403,False
-0.503191,400,34.192677,1.5626527473436322,False
0.046837,400,34.428336,1.8190829200715541,False
-1.056325,400,34.661956,1.1107460383189984,False
0.070019,400,34.893961,1.9567529547571458,False
-0.297511,400,35.130379,1.2530239745390002,False
-0.346578,400,46.172796,0.9431607694820673,False
-0.334967,400,46.411275,1.4714001901050966,False
-0.009036,400,46.691479,1.1346883749509382,False
-0.052569,400,46.940531,1.7173344325861208,False
0.020579,400,47.1982,1.7720485261519685,False
-1.715507,400,58.264832,1.8610858929786769,False
-0.934724,400,58.509116,2.0541923627504843,False
0.146327,400,58.760803,1.2915164331641695,False
0.048684,400,59.000341,1.6437233343851434,False
0.069851,400,59.248918,1.765565088510754,False
-0.485089,400,70.301382,2.889506709446562,False
-1.053383,400,70.546523,1.7647723831631026,False
0.091729,400,70.787525,1.5119954287536812,False
-0.639674,400,71.031486,2.8218131814152634,False
0.160931,400,71.2837,1.8073211640428744,False
-0.015209,400,82.235938,2.306680084507346,False
-0.773673,400,82.469613,3.277333832707691,False
0.162785,400,82.707011,2.137559919508129,False
-1.3956,400,82.962144,2.158443113403274,False
0.023442,400,83.201295,1.9297005099714646,False
-0.018348,400,94.270041,2.785756653895766,False
-0.016399,400,94.514128,2.5542873214445265,False
-1.185497,400,94.750706,2.214699825895877,False
-0.191648,400,95.012579,3.398558431541064,False
-0.431713,400,95.25001,3.0897285488100055,False
-0.19738,400,105.700413,1.2751963355793856,False
-0.338429,400,105.939778,3.1635902676011702,False
-1.035204,400,106.186203,1.7620353472121775,False
-0.273107,400,106.429247,2.5501476288019282,False
-0.018766,400,106.689231,2.0592643182495953,False
-1.09166,400,117.707158,0.9167715206843018,False
-1.550419,400,117.949463,3.266404347155882,False
-0.896396,400,118.190814,2.805457976188527,False
0.055555,400,118.447002,1.9750088364603082,False
0.164194,400,118.694075,2.2450007268585113,False
-1.711962,400,129.948965,1.4919598276876498,False
10.168651,306,130.133634,1.2919024027702166,True
10.520132,218,130.267016,1.5929266251246987,True
0.022835,400,130.519654,2.365363810435046,False
-1.04583,400,130.757734,0.6421723791696865,False
0.016124,400,141.851402,1.7751254711735072,False
-0.015036,400,142.088995,2.266485113453852,False
-0.289941,400,142.346264,2.422866490741842,False
-0.82361,400,142.581748,4.10270551660995,False
-2.0052,400,142.813672,2.3784370345102377,False
-0.056365,400,153.583586,1.5657492185774786,False
-0.718112,400,153.822675,1.187209994612976,False
-0.963157,400,154.077855,0.9086978798712171,False
-0.714133,400,154.316448,0.5739154227614692,False
-0.634862,400,154.545908,0.9811814978557625,False
-0.918364,400,167.218918,0.5865010889488752,False
10.032435,71,167.264154,0.24368873144208375,True
0.068216,400,167.548672,2.0638408351446778,False
0.049608,400,167.897536,2.1615755553450082,False
-0.03724,400,168.238045,1.3238697926414835,False
10.340683,115,181.777651,1.061372092208199,True
-1.161397,400,182.069233,0.6786314228051878,False
-0.051908,400,182.346918,1.7339594517586288,False
-0.149061,400,182.655682,1.357635804414244,False
-0.039717,400,182.910439,1.7249351447117007,False
0.062812,400,195.091266,2.882204525403826,False
0.040011,400,195.382175,2.073271178171326,False
-0.076231,400,195.668067,2.1011353121317877,False
-0.091178,400,195.940248,1.7381944286268483,False
-0.408422,400,196.210778,1.2046526301652196,False
-0.202618,400,208.182159,1.120303866323311,False
-0.129724,400,208.448684,1.816853363891555,False
-1.370932,400,208.743843,2.7943112424917746,False
-0.4665,400,209.019219,1.1347560000103911,False
-0.284447,400,209.349764,1.3480131540912699,False
-1.01722,400,221.041943,0.6719786974667814,False
0.040333,400,221.357163,2.4983240407462,False
0.165592,400,221.66975,1.5770861030591286,False
-1.961357,400,221.926637,1.801719356664425,False
-0.586758,400,222.190383,0.3618970941909539,False
-1.053155,400,234.502685,3.142382461754278,False
9.981346,215,234.652591,0.5160243839639966,True
0.140466,400,234.892113,1.510590248128909,False
-0.059163,400,235.138064,1.5999346979510585,False
0.099021,400,235.396698,2.655452139985591,False
-0.970321,400,246.694418,0.6079395518103339,False
-1.05219,400,246.940311,0.8092561890119755,False
0.056743,400,247.200384,1.0924776376954544,False
-0.101758,400,247.445745,0.8631221344032701,False
10.159755,295,247.629198,1.0116278711770748,True
0.143074,400,258.675703,2.0758893808459593,False
-0.523182,400,258.910136,1.434557128798036,False
-0.262608,400,259.176652,1.844738626159423,False
-0.29069,400,259.408586,1.7829923101258809,False
-0.140313,400,259.649891,1.9885803020368211,False
0.15598,400,270.652216,2.7931415172253344,False
10.064936,243,270.814069,0.7891179958650806,True
-0.085584,400,271.069816,2.896470742604332,False
-0.928283,400,271.307571,0.272132122239636,False
0.007584,400,271.54228,2.1362654625907664,False
-0.077683,400,282.547405,2.8345758477365264,False
-1.806548,400,282.794408,2.3409725573472784,False
10.0075,287,282.99619,0.1259848559746927,True
-0.01251,400,283.237394,1.9135841883122444,False
-1.527533,400,283.49023,1.4381800391559756,False
-2.134414,400,294.517372,2.642429342901032,False
9.941586,193,294.632415,0.4996376642169028,True
-0.015169,400,294.879758,3.555138790207611,False
-1.940605,400,295.121377,2.0686581889137483,False
-0.197449,400,295.357988,0.40289631864151,False
-0.475747,400,306.86969,1.2241723226809964,False
-0.189723,400,307.137152,2.9098811906915847,False
-0.778079,400,307.483416,1.384002470325608,False
-0.867379,400,307.736448,1.9607177941612186,False
-0.437843,400,308.043313,1.9546817976607767,False
9.94998,162,319.405308,0.2980091279526964,True
-0.399161,400,319.654261,1.8192003706963091,False
0.1512,400,319.912329,2.795517155642077,False
-1.627455,400,320.158894,1.7064050594191598,False
0.219115,400,320.398221,1.833632414375614,False
0.102256,400,331.559692,1.18737191575719,False
-0.187675,400,331.817544,1.4829929543970686,False
-0.137225,400,332.055227,0.5365604313788268,False
-0.49843,400,332.298768,1.9282510199397527,False
-0.103639,400,332.540943,2.6494175875828008,False
-0.657364,400,343.717811,2.1720355584767854,False
-1.272722,400,343.973842,0.7720493771640166,False
0.111925,400,344.226321,2.467200965087029,False
-0.592243,400,344.479511,2.372348851890618,False
-0.903903,400,344.736768,1.7264436224124833,False
-0.339873,400,357.672649,1.9768047939497195,False
-0.019115,400,357.999777,2.309297684522918,False
-0.135842,400,358.31343,2.1437269922909974,False
0.004017,400,358.590068,2.5314859828777774,False
-0.045784,400,358.836626,1.9620466809370238,False
-0.379637,400,370.514637,0.24827170809122037,False
-0.030278,400,370.757304,0.5266692066543731,False
0.132945,400,371.016958,0.643198900621451,False
-0.176851,400,371.261055,2.4481356951424975,False
-0.099679,400,371.504834,0.48094893616724815,False
-0.236962,400,383.047276,1.778369350295362,False
-0.747846,400,383.300154,1.5553928820288707,False
-0.075657,400,383.538153,0.7769336805192847,False
10.024218,212,383.663486,0.5437934697675287,True
-0.295678,400,383.903602,1.536757151609066,False
0.098917,400,395.13312,3.341320652908337,False
10.205247,166,395.227042,0.36054937708071794,True
0.069391,400,395.466448,3.6219213916824127,False
10.023062,180,395.572396,0.536263749088025,True
-0.237346,400,395.80814,1.776872816869344,False
0.115801,400,407.035999,2.8742952290034376,False
9.880035,109,407.105624,0.3031041680980128,True
-0.197946,400,407.353832,2.4299074367387856,False
-0.04194,400,407.601657,3.4472855945250567,False
0.065052,400,407.849199,1.657850083366162,False
0.125602,400,419.105838,2.6343163147319704,False
-0.214886,400,419.363339,2.0203383094124243,False
9.986971,133,419.439119,0.6010891962211367,True
-0.277982,400,419.68623,1.5525433712180907,False
0.058781,400,419.92635,0.4771346412045308,False
-0.104835,400,430.524621,2.9161546047027116,False
-0.023656,400,430.764817,3.6229946396144532,False
10.268488,225,430.914596,1.487259042713624,True
-0.045734,400,431.159132,2.139618175510246,False
-0.082553,400,431.398482,0.9859687196290416,False
-0.019354,400,442.864769,3.4819533008548507,False
0.073797,400,443.104114,0.6928396545612835,False
-0.212775,400,443.357632,2.0952805107309684,False
-0.267896,400,443.603535,2.0837103317843972,False
-0.115739,400,443.865211,2.753347969413161,False
0.081749,400,455.11706,2.652828041331925,False
-0.350045,400,455.365856,0.8662759429481053,False
