#{"t_start": 1754319897.4867241, "env_id": "None"}
r,l,t
0.008066,400,4.828357
-0.043825,400,4.949705
0.118085,400,5.061645
-0.034996,400,5.174034
0.175567,400,5.286378
0.514538,400,10.415246
0.510138,400,10.539287
0.249221,400,10.653541
0.176161,400,10.768525
-0.06111,400,10.880413
0.323363,400,16.047483
0.360718,400,16.157083
0.423599,400,16.269987
0.281135,400,16.379987
0.171939,400,16.49204
0.164891,400,21.756976
0.152258,400,21.868898
0.584117,400,21.984851
0.226863,400,22.098863
0.058055,400,22.213877
0.098718,400,27.568837
0.172323,400,27.684001
0.065955,400,27.80042
0.073405,400,27.915116
0.029717,400,28.032616
-1.086644,400,33.402104
-0.06336,400,33.514916
-0.496595,400,33.639956
0.383233,400,33.761177
0.400006,400,33.87658
0.290414,400,39.255094
-0.102694,400,39.367015
-0.911086,400,39.479677
0.183006,400,39.592095
-0.956848,400,39.710451
0.436532,400,45.114402
0.289542,400,45.226663
0.425222,400,45.342728
0.12471,400,45.454145
-0.354812,400,45.568894
-0.006352,400,50.494207
0.2213,400,50.60632
-0.403432,400,50.718823
0.343231,400,50.832087
-0.541335,400,50.945294
-0.352535,400,56.242831
0.24359,400,56.353366
0.198807,400,56.466507
-0.928359,400,56.576586
-0.097196,400,56.689953
8,400,11.510119
0.4603,400,11.658918
-0.384498,400,11.785552
-0.562663,400,11.909906
-0.093201,400,12.037417
0.465943,400,12.509749
0.355354,400,12.666009
-1.237523,400,12.794546
-0.745367,400,12.919436
0.135713,400,13.045271
-0.639988,400,13.501751
-1.005019,400,13.664817
-0.756761,400,13.798209
-0.147192,400,13.922905
-0.10849,400,14.050947
-0.912667,400,14.507107
-1.404607,400,14.671323
-0.224794,400,14.790366
0.245538,400,14.925433
0.277576,400,15.052417
0.138024,400,15.523197
-0.360099,400,15.691474
-0.489169,400,15.81317
-1.503975,400,15.938178
0.062711,400,16.640092
0.254564,400,17.11727
-0.111501,400,17.288414
-0.606656,400,17.408884
-0.925023,400,17.53605
-0.882901,400,17.661049
-0.48178,400,18.128592
0.605076,400,18.314235
-0.664859,400,18.436479
-1.271918,400,18.561858
0.32871,400,18.695732
0.742642,400,18.822392
0.254717,400,19.34611
-0.449868,400,19.477737
-0.850656,400,19.597358
0.058524,400,19.726462
-1.504732,400,19.852925
-1.077021,400,20.363063
0.384372,400,20.510693
-0.542614,400,20.633105
0.223066,400,20.755987
-0.610439,400,20.880893
-0.172146,400,21.373649
0.310139,400,21.533212
0.353795,400,21.656483
-0.586009,400,22.360913
-0.972268,400,22.48684
-0.118251,400,22.980528
0.703924,400,23.139938
-0.434691,400,23.264714
0.012064,400,23.390545
-0.242904,400,23.514556
-0.241106,400,24.044853
-1.003238,400,24.204022
-0.008211,400,24.329066
-1.161925,400,24.454083
-0.001224,400,24.57908
-0.367559,400,25.085047
-0.935041,400,25.253089
0.115022,400,25.373135
0.143242,400,25.503395
0.011772,400,25.626927
0.354234,400,26.11791
0.29509,400,26.295451
0.139819,400,26.415653
0.444553,400,26.540272
0.078513,400,26.670294
-0.422117,400,27.158498
0.209444,400,27.342721
0.247993,400,27.46976
0.275506,400,28.193648
-0.504275,400,28.322125
-0.640457,400,28.451234
-0.513802,400,28.962487
-0.150885,400,29.09737
-1.449462,400,29.235956
0.000948,400,29.361193
0.257551,400,29.486802
0.214126,400,30.02791
0.290745,400,30.163403
0.521031,400,30.306148
-1.380253,400,30.441226
-0.991489,400,30.569784
-0.779252,400,31.080195
-1.118893,400,31.227904
10.424826,333,31.328519
0.153055,400,31.467763
0.238522,400,31.589761
-0.629171,400,32.072957
0.185904,400,32.23706
-1.335468,400,32.360815
-0.196873,400,32.487805
-1.011474,400,32.622437
0.150316,400,33.108742
-0.823761,400,33.28432
0.162707,400,34.008486
-0.729504,400,34.137345
0.281486,400,34.261841
-0.04556,400,34.761409
-0.80044,400,34.94124
-0.842781,400,35.064041
-0.206393,400,35.191924
-0.110255,400,35.318029
-1.170953,400,35.776638
-0.542947,400,35.968624
-0.729921,400,36.090323
-0.545359,400,36.218172
-0.038902,400,36.34704
-0.52531,400,36.476989
-0.744027,400,37.024256
-0.320682,400,37.156387
0.239245,400,37.282714
-0.058484,400,37.407614
-0.116319,400,37.537819
-0.545154,400,38.07547
0.118082,400,38.214911
0.351135,400,38.341067
-0.190732,400,38.475018
-0.033198,400,38.599485
-0.117777,400,39.103415
-1.303774,400,39.841435
0.284349,400,39.969898
0.098733,400,40.097115
-0.248735,400,40.239066
-0.838595,400,40.749259
-0.604,400,40.905407
-0.3358,400,41.034731
0.085599,400,41.157946
0.13217,400,41.295282
-0.730766,400,41.800072
-0.465603,400,41.960513
-0.302917,400,42.083325
-1.378849,400,42.21099
0.203145,400,42.334308
0.169919,400,42.845074
-0.041438,400,43.015674
0.240467,400,43.137877
-0.460773,400,43.264524
-0.347917,400,43.38989
-1.318915,400,43.889333
0.295462,400,44.066854
-1.50605,400,44.188885
10.01595,92,44.218071
0.342575,400,44.341259
0.247208,400,44.470955
-0.203406,400,45.59433
0.273587,400,45.733384
0.033104,400,45.867977
0.017086,400,45.993697
-0.393021,400,46.117812
-0.009163,400,46.602023
-0.458781,400,46.787084
0.272601,400,46.920338
-0.610525,400,47.045561
0.228664,400,47.174538
-0.926076,400,47.639803
-1.050214,400,47.827612
-0.925976,400,47.963774
0.280126,400,48.099132
-1.074265,400,48.227778
-0.300687,400,48.677309
-1.71884,400,48.856551
0.320579,400,48.986616
0.334627,400,49.12247
0.228163,400,49.24888
-1.060652,400,49.372622
0.257541,400,49.871229
-0.706391,400,50.008266
-0.613325,400,50.138871
-0.131004,400,50.277317
-0.609429,400,50.96818
0.057675,400,51.495338
-0.922697,400,51.639175
-0.246086,400,51.764802
-0.990805,400,51.890612
-0.100451,400,52.017013
0.354333,400,52.522638
0.258506,400,52.673552
0.033701,400,52.794993
-0.781502,400,52.916255
-0.87051,400,53.04119
-0.615126,400,53.530921
-0.860992,400,53.688184
-0.278519,400,53.812165
-0.636542,400,53.938775
10.068624,183,54.001875
0.058367,400,54.12788
0.119036,400,54.66495
-1.061014,400,54.805504
-0.687925,400,54.933545
-1.211529,400,55.063162
0.216526,400,55.191346
-0.445538,400,55.680804
0.276681,400,55.831724
-0.612696,400,55.954739
-0.641346,400,56.081076
0.30383,400,56.791688
