#{"t_start": 1754320548.6283245, "env_id": "None"}
r,l,t
0.058178,400,6.500918
-1.125357,400,6.642451
0.480459,400,6.772544
0.410432,400,6.898545
0.482065,400,7.024643
0.377536,400,14.027813
0.412612,400,14.158958
0.402311,400,14.301769
-0.049087,400,14.434705
-0.214811,400,14.562046
-0.729505,400,21.924482
0.321923,400,22.057872
0.401281,400,22.205886
10.097694,77,22.228651
0.400535,400,22.357754
0.219756,400,29.260903
-0.293515,400,29.38799
0.134999,400,29.516309
-0.499352,400,29.643335
0.333217,400,29.775651
-0.323764,400,37.211959
-0.241674,400,37.364221
10.327593,112,37.401166
0.130329,400,37.539897
-0.272086,400,37.688982
0.4469,400,46.180304
10.298482,101,46.225372
0.098525,400,46.434161
0.404316,400,46.619549
0.439555,400,46.804801
-1.693385,400,55.251306
0.271945,400,55.391163
0.654516,400,55.528026
0.060555,400,55.677147
-0.582797,400,55.806162
0.202547,400,63.051773
-1.502123,400,63.181214
0.537459,400,63.309245
0.286402,400,63.454254
10.592407,137,63.500419
0.574497,400,69.930431
0.45481,400,70.067831
-1.318864,400,70.209953
0.839593,400,70.339123
-0.073358,400,70.472314
0.121294,400,78.068553
0.599942,400,78.197787
0.472864,400,78.324373
-0.378565,400,78.482453
-0.103476,400,78.695587
05585,400,15.433993
-1.786402,400,15.60775
-0.861085,400,15.757783
10.059819,49,15.775027
0.184452,400,15.926689
-0.675882,400,16.064749
0.261975,400,16.860001
-0.730262,400,17.024349
-0.737743,400,17.167909
0.300904,400,17.310898
0.237962,400,17.450145
0.262432,400,18.203973
-0.259183,400,18.38588
10.088382,92,18.421631
-0.322131,400,18.587842
0.099887,400,18.784039
0.318876,400,18.997428
-0.030821,400,19.97809
-1.132743,400,20.152025
0.186245,400,20.3097
-0.742145,400,20.454196
-0.448548,400,20.597064
0.042023,400,21.329582
0.338544,400,21.501498
0.22365,400,21.646108
0.209754,400,22.406217
10.066587,287,22.542536
0.27972,400,23.222745
0.26922,400,23.43221
0.109748,400,23.57855
0.156246,400,23.723141
0.059621,400,23.862537
0.339858,400,24.012934
-0.434433,400,24.779643
-1.607724,400,24.9211
0.142362,400,25.064607
-0.001351,400,25.210307
-1.454777,400,25.350743
0.125513,400,26.111743
0.137046,400,26.263712
-1.714985,400,26.400469
-1.502518,400,26.547132
-1.179322,400,26.711998
-1.561605,400,27.453813
-0.628936,400,27.620578
-1.118986,400,27.78123
-1.161591,400,27.918906
-0.999143,400,28.062372
-0.608081,400,28.781146
0.195401,400,28.976516
-0.432431,400,29.122789
-1.08616,400,29.935119
-0.116345,400,30.089127
-0.058386,400,30.841647
0.232879,400,31.014809
0.210152,400,31.167884
-0.499855,400,31.314313
-0.087634,400,31.460406
0.370481,400,32.207389
-1.5284,400,32.387828
0.2325,400,32.529871
0.405428,400,32.6752
-0.366877,400,32.82428
0.260624,400,33.833732
-0.825418,400,34.050435
