#{"t_start": 1754321110.8024647, "env_id": "None"}
r,l,t
0.291413,400,9.830869
0.016461,400,9.969935
0.209175,400,10.122347
0.436991,400,10.259092
0.469216,400,10.406583
0.641494,400,20.149127
0.662452,400,20.32997
0.641314,400,20.52003
0.074119,400,20.703223
0.167499,400,20.880216
-0.427183,400,29.248221
0.517825,400,29.449206
0.644925,400,29.623728
-0.6286,400,29.808726
0.639539,400,29.992675
0.38115,400,39.631125
0.387989,400,39.837304
0.574633,400,40.031854
-0.055507,400,40.229756
0.141493,400,40.430712
-0.681798,400,49.440883
-0.174963,400,49.629943
-0.093523,400,49.813717
-0.634806,400,50.004742
400,9.709168
0.798782,400,11.327696
-0.483516,400,11.65505
-0.597167,400,11.821797
-0.16345,400,11.995109
-0.451953,400,12.150918
-1.503578,400,12.99441
0.735434,400,13.201143
-1.742063,400,13.382646
-0.778876,400,13.665176
-1.207038,400,13.970846
-0.586692,400,15.105629
-0.946641,400,15.461946
-1.653408,400,15.746536
-0.419199,400,16.042181
-0.20648,400,16.296837
-1.677943,400,17.228626
-1.366443,400,17.468707
-0.802678,400,17.699801
-0.150308,400,17.924602
0.162374,400,18.142157
-0.794977,400,18.401792
0.009461,400,19.345431
0.073047,400,19.569329
0.915581,400,19.77413
-0.416721,400,19.978813
-0.212614,400,21.140546
-2.286015,400,21.949361
-2.055079,400,22.14498
-1.176764,400,22.342172
10.044436,80,22.387694
0.390196,400,22.604709
-0.976325,400,22.811421
-0.141696,400,23.631401
-0.437263,400,23.845039
-1.164426,400,24.046711
0.158947,400,24.242452
0.125183,400,24.443988
0.30603,400,25.274863
-0.707471,400,25.470257
-0.798774,400,25.664755
-0.758294,400,25.853538
-0.338165,400,26.058253
-0.300431,400,26.855526
-1.889539,400,27.063347
0.041549,400,27.260395
-0.939701,400,27.457625
-0.410861,400,27.660443
0.8156,400,28.535036
-0.129172,400,28.738277
0.111767,400,28.93505
0.188155,400,30.062484
-0.323851,400,30.285011
-0.063131,400,31.041192
0.183111,400,31.276283
0.067827,400,31.471456
0.489861,400,31.690631
-0.227953,400,31.880044
0.082769,400,32.820209
-2.119384,400,33.052122
0.049949,400,33.256658
0.14096,400,33.469413
-0.489342,400,33.673082
0.130672,400,34.706153
0.365222,400,34.979721
-1.642116,400,35.200222
-1.210351,400,35.430453
-0.358598,400,35.689982
-0.657589,400,36.909624
-1.472353,400,37.197675
10.254589,112,37.28266
-1.304138,400,37.532193
-0.253025,400,37.781507
-0.621801,400,38.006482
0.101746,400,38.886758
0.202931,400,39.104345
0.051846,400,39.296132
-1.140871,400,40.573571
0.181694,400,40.815346
-0.759931,400,41.720732
0.240618,400,41.929602
-0.017927,400,42.126741
-0.490253,400,42.323999
-0.056942,400,42.535586
0.336413,400,42.756331
-0.266393,400,43.604294
-1.205961,400,43.854315
0.528671,400,44.10253
-0.851107,400,44.311857
-0.630179,400,44.531187
0.35819,400,45.472155
-1.309772,400,45.671356
0.269403,400,45.877227
-0.807748,400,46.084553
-0.394476,400,46.31862
0.098755,400,47.339992
0.505147,400,47.537626
-0.377249,400,47.73385
-0.1407,400,47.942706
-1.341418,400,48.139396
-0.775282,400,48.948424
-0.674929,400,49.168777
