#{"t_start": 1754391492.5213547, "env_id": "None"}
r,l,t
-0.039356,400,6.812478
-0.089876,400,6.974845
-0.131266,400,7.151368
-0.057661,400,7.313475
-0.09111,400,7.479027
-0.096804,400,14.642645
-0.090038,400,14.828965
-0.157524,400,15.018646
-0.010627,400,15.191154
-0.113343,400,15.357376
0.002128,400,22.970602
0.035957,400,23.144764
0.045488,400,23.316775
0.024207,400,23.483536
-0.132635,400,23.674399
-0.093116,400,31.061157
-0.094115,400,31.237313
0.209993,400,31.428916
0.028295,400,31.602068
-0.184745,400,31.775054
0.198035,400,39.111079
0.070794,400,39.29409
-0.086437,400,39.466397
0.189397,400,39.641786
0.267291,400,39.815482
-0.678694,400,47.22796
0.174807,400,47.402408
-0.542126,400,47.58502
0.426914,400,47.762081
0.589691,400,47.942119
721,400,9.635812
-0.054247,400,9.81928
0.373394,400,9.998945
0.00253,400,10.18009
-0.55806,400,10.750513
-1.061768,400,10.997477
0.30567,400,11.193099
-0.547066,400,11.411714
0.238521,400,11.616573
10.804552,397,12.185535
0.223457,400,12.40913
-0.075094,400,12.622209
0.310133,400,12.830737
-0.422213,400,13.026917
-0.717507,400,13.217371
-0.469824,400,13.840808
0.098812,400,14.068649
-0.693071,400,14.261662
-0.09307,400,14.465817
-0.848918,400,15.557811
-0.946504,400,16.184477
0.213741,400,16.384076
-0.393237,400,16.598076
-0.064854,400,16.816457
0.026004,400,17.04748
-0.258237,400,17.761583
0.323652,400,17.97334
-0.368159,400,18.195752
-0.791246,400,18.41489
0.412922,400,18.616736
-0.330077,400,19.266414
10.313242,321,19.431055
0.009346,400,19.62904
-0.861787,400,19.826175
0.012167,400,20.028911
-0.258625,400,20.755873
-0.925688,400,20.957552
-0.522451,400,21.151125
0.074001,400,21.339219
0.06945,400,21.529064
-0.556068,400,22.166123
-1.120013,400,22.375739
-0.483148,400,22.564723
-0.801318,400,22.745716
0.047447,400,23.855152
0.075734,400,24.053
0.020309,400,24.727327
-0.089283,400,24.941008
-0.099002,400,25.134677
-1.352097,400,25.324688
-0.834758,400,25.516671
-0.499493,400,26.160685
0.304588,400,26.353676
-0.10176,400,26.549194
-0.796067,400,26.751906
-0.500131,400,26.949626
-0.375522,400,27.579911
0.129186,400,27.779091
-0.492158,400,27.980293
-0.493272,400,28.193363
-1.06609,400,28.384273
-0.673367,400,28.996661
0.337341,400,29.216405
-0.410703,400,29.413228
-0.042965,400,29.61334
-0.21463,400,29.811455
-0.196284,400,30.481355
0.009367,400,30.674903
-0.211475,400,30.86846
-0.59788,400,31.946889
-0.606696,400,32.138641
-0.453168,400,32.784527
0.396618,400,32.987286
10.273388,81,33.023816
0.06513,400,33.219343
-0.780121,400,33.4133
-0.358265,400,33.615497
-0.43646,400,34.247753
-0.367407,400,34.457777
0.248362,400,34.683266
-0.961474,400,34.914503
0.159679,400,35.10755
-0.470359,400,35.704493
-0.043908,400,35.911054
-0.254314,400,36.103815
0.120314,400,36.290405
0.193225,400,36.483915
0.568998,400,37.109007
0.00584,400,37.317864
0.184788,400,37.511445
0.507356,400,37.704644
-0.09703,400,37.899243
-0.464348,400,38.526798
10.441057,372,38.728252
-0.467681,400,38.92709
0.429343,400,40.01928
-0.161943,400,40.21932
-0.093579,400,40.422457
0.201729,400,41.053912
-0.414854,400,41.246287
-0.90124,400,41.453938
-0.31985,400,41.649994
0.388918,400,41.845805
-0.002374,400,42.480582
0.121708,400,42.682979
0.047208,400,42.89239
-0.75495,400,43.086429
-0.063337,400,43.283874
-0.726623,400,43.935972
-0.303456,400,44.136086
-0.684898,400,44.333119
0.270434,400,44.525901
0.296861,400,44.730895
-0.312245,400,45.383208
0.151344,400,45.586081
-0.509778,400,45.7925
-0.050032,400,45.994384
-1.029979,400,46.194628
0.072147,400,46.824446
-0.231213,400,47.050645
0.036454,400,48.205383
-0.82201,400,48.445563
0.290652,400,48.680827
0.07458,400,49.471579
-1.200848,400,49.692002
-1.037398,400,49.890805
-0.355727,400,50.092603
