#{"t_start": 1754402349.898034, "env_id": "None"}
r,l,t
10.491761,82,5.935272
0.327483,400,6.064038
0.044112,400,6.194466
10.367149,118,6.231618
0.318255,400,6.374138
10.726679,118,13.050877
10.529016,88,13.08033
0.175534,400,13.217331
10.586934,80,13.247287
0.320542,400,13.395448
0.254507,400,20.724138
0.629003,400,20.887626
10.416434,156,20.945624
10.965048,173,21.010256
0.178655,400,21.175317
10.562668,77,29.11039
0.741727,400,29.254421
0.426016,400,29.387473
10.468069,88,29.41294
0.526835,400,29.528839
0.433558,400,36.020324
10.393952,85,36.04822
-0.148926,400,36.174935
10.9456,172,36.227416
10.642942,97,36.257149
10.550311,82,42.469499
10.337572,91,42.498579
10.699646,164,42.550567
10.595213,49,42.564674
-0.328046,400,42.698886
10.542022,79,49.340602
0.15072,400,49.477359
0.601958,400,49.630514
10.613522,84,49.662187
0.440488,400,49.808785
10.296182,84,56.341427
-0.335546,400,56.506595
10.32093,125,56.544534
0.014001,400,56.674651
0.094101,400,56.804446
-0.167231,400,62.709455
-0.351841,400,62.839738
10.489776,73,62.864768
-0.259848,400,62.994271
10.703865,80,63.018914
0.426212,400,69.410788
0.25452,400,69.536309
10.805765,293,69.6298
10.137972,77,69.654987
0.472179,400,69.788788
10.535073,73,76.645864
-0.047255,400,76.805192
0.491774,400,76.926952
10.47991,85,76.954076
0.347608,400,77.074161
0.436152,400,83.938944
0.427943,400,84.078655
10.621681,84,84.106102
10.42244,87,84.132201
0.427693,400,84.266716
10.56514,73,90.810444
10.71198,78,90.83507
10.831449,156,90.887415
0.420654,400,91.020121
10.365274,65,91.042707
10.891306,83,97.486198
-0.178778,400,97.623055
10.45154,76,97.649648
10.921932,175,97.703209
0.416879,400,97.828751
10.765519,396,104.863312
10.493304,69,104.891765
-0.073599,400,105.059735
-0.219476,400,105.248903
10.7879,83,105.284558
-0.062873,400,112.066522
-0.255886,400,112.19728
-0.26386,400,112.325548
-0.21713,400,112.462983
10.466012,69,112.485292
1823,119,14.751416
0.118198,400,14.895689
10.553569,46,14.913344
10.903737,158,14.972588
10.773098,129,15.502637
-0.552103,400,15.731272
10.566599,89,15.764734
10.835876,90,15.797433
0.518268,400,15.949014
-0.331385,400,16.158359
10.572686,82,16.196398
10.71625,109,16.240901
10.690652,103,16.281773
-0.384264,400,16.943224
10.543271,119,17.002397
0.304753,400,17.198519
0.421584,400,17.34275
10.621394,81,17.369956
-0.651485,400,17.517342
-0.348167,400,17.689526
10.655634,75,17.72943
-0.981323,400,18.4685
10.804683,86,18.504313
10.282798,96,18.543059
0.616877,400,18.685536
-0.410451,400,18.842884
0.404241,400,19.02308
10.904438,171,19.092451
10.665815,109,19.137973
10.539153,136,19.838515
10.591641,76,19.897284
0.192715,400,20.163258
-0.39517,400,20.345901
0.012516,400,20.53209
-0.120572,400,21.360216
-0.654569,400,22.098604
10.528525,142,22.194301
10.673948,98,22.280616
10.557796,77,22.322477
10.515007,78,22.361691
10.585513,87,22.405225
-0.34747,400,22.595411
10.809439,171,22.668361
0.006203,400,22.84505
10.605313,82,22.89056
0.423777,400,23.192774
0.381401,400,24.176477
10.524801,83,24.225047
-0.38839,400,24.488647
0.420575,400,24.686115
-0.191517,400,24.845398
-0.122371,400,25.033598
0.428639,400,25.845947
10.819257,155,25.924276
10.89671,189,26.008993
0.07484,400,26.193821
10.776798,89,26.232697
10.687166,87,26.272305
-0.05019,400,26.480036
0.220589,400,27.264723
-0.059756,400,27.460966
10.682543,98,27.49614
-0.278252,400,27.635129
0.397966,400,27.773161
0.010917,400,27.929011
10.271796,102,27.974516
10.376293,85,28.008426
0.625956,400,28.754052
-0.743608,400,28.928947
-0.323953,400,29.545998
10.865271,146,29.599394
0.394729,400,29.735784
10.715525,111,29.775913
0.42233,400,30.519745
10.984094,92,30.56804
10.332947,83,30.607908
0.304099,400,30.763989
-0.398877,400,30.924771
-0.695861,400,31.099312
10.219637,95,31.139563
-0.080718,400,31.300486
0.535109,400,31.941187
-0.367119,400,32.082678
0.400827,400,32.218658
10.651844,105,32.258156
-0.365296,400,32.409577
-0.016894,400,32.549198
10.403635,156,33.002991
0.10619,400,33.181729
10.733873,82,33.206979
0.448655,400,33.340816
10.693275,121,33.390123
0.669194,400,33.576306
10.511157,139,33.632242
-0.017102,400,34.206158
0.627804,400,34.408177
-0.155559,400,34.552218
0.446681,400,34.696413
0.58028,400,34.833967
10.723793,130,34.87562
10.265768,89,34.934937
0.063631,400,35.54116
10.393582,49,35.595873
0.11057,400,35.829504
0.103962,400,36.346091
10.39452,96,36.3799
-0.159809,400,36.53562
10.230074,118,36.57838
-0.020142,400,37.201679
-0.796085,400,37.417965
10.283676,323,37.547894
0.134178,400,37.693367
-0.447196,400,37.878186
10.433023,74,37.913024
10.918512,204,38.001626
0.394648,400,38.62547
0.5163,400,38.801683
-0.09646,400,38.932011
10.463662,50,38.94934
10.742087,141,39.002865
10.830157,157,39.062668
10.655655,139,39.111336
10.739369,131,39.156929
10.193038,88,39.187626
10.221762,75,39.211184
10.430202,63,39.231612
10.741818,148,39.279013
-0.38655,400,39.840125
10.616563,72,39.876182
10.512734,77,39.909342
0.114973,400,40.040166
-0.432316,400,40.193033
0.435345,400,40.324164
10.799868,147,40.372236
10.812809,91,40.4125
10.611795,105,40.45724
0.602179,400,41.081754
0.101541,400,41.240592
10.449648,100,41.281413
10.253261,125,41.326019
10.758176,149,41.374071
0.444929,400,41.50895
0.514895,400,41.645023
10.896116,184,42.20781
10.339492,146,42.278737
0.165554,400,42.718047
-0.389371,400,42.857394
0.423152,400,42.990992
10.687274,128,43.031906
10.740602,109,43.066808
0.418819,400,43.581583
10.987372,99,43.628291
10.647756,106,43.679214
0.201167,400,43.849832
10.886438,162,43.903266
-0.727315,400,44.03526
0.425455,400,44.280813
10.885961,161,44.342546
0.239614,400,44.886602
0.16748,400,45.075494
10.922969,166,45.13676
10.705291,88,45.169189
10.596613,104,45.208327
10.746653,83,45.242722
0.419463,400,45.380492
0.454403,400,45.596103
0.210789,400,46.286313
0.408191,400,46.547328
11.019389,96,46.5839
10.710899,87,46.620143
10.870438,210,46.704252
10.855302,152,46.762496
10.59996,87,46.80471
10.350495,116,46.863765
10.339493,121,46.9174
-0.19285,400,47.082776
10.294465,98,47.123733
10.694728,118,47.166913
10.466888,78,47.197216
10.661324,86,47.784424
0.248588,400,48.027605
0.2586,400,48.184925
0.540781,400,48.323877
-0.126863,400,48.455619
10.355351,93,48.491795
0.000112,400,49.186637
0.101004,400,49.889618
10.749113,88,49.927485
0.435213,400,50.089523
10.725855,152,50.153259
11.09513,97,50.197311
10.596475,152,50.261636
10.777125,147,50.318489
10.812646,140,50.378424
0.337051,400,51.133386
10.565634,53,51.173852
-0.291753,400,51.392294
0.416147,400,51.545089
0.023042,400,51.688497
0.413548,400,51.836911
10.357005,82,51.866534
10.793924,82,51.89879
0.101047,400,52.537147
10.500873,83,52.582424
10.620243,63,52.616506
0.094293,400,52.762117
10.141205,77,52.791359
0.408621,400,52.938426
-0.407349,400,53.090947
10.20336,90,53.123265
0.072281,400,53.753802
10.382827,66,53.787755
-0.226493,400,53.974017
-0.130441,400,54.111869
10.368943,148,54.165679
-0.133623,400,54.312687
10.516412,49,54.331495
-0.38011,400,54.485396
-0.276595,400,55.13645
10.586698,85,55.185555
10.225144,87,55.22329
10.766242,90,55.255193
-0.399706,400,55.403808
10.160128,400,55.544988
-0.447322,400,55.689265
10.546196,58,55.709481
0.108496,400,56.835959
10.524783,82,56.871123
-0.076848,400,57.022089
10.41806,73,57.051433
0.48731,400,57.207131
10.347582,77,57.236499
10.848143,190,57.308745
11.045802,93,57.340842
0.050827,400,57.489182
10.799858,151,57.542288
10.585647,53,57.995358
0.10468,400,58.217291
0.195588,400,58.361879
10.408404,76,58.390052
10.983043,91,58.427326
10.997777,92,58.45895
10.129666,84,58.488554
10.842569,176,58.550632
10.813479,97,58.585532
0.686916,400,58.732666
0.375749,400,59.355
-0.148158,400,59.523861
10.804443,85,59.552982
10.278932,75,59.579782
10.940959,89,59.609462
-0.442837,400,59.759231
0.401116,400,59.901634
0.00986,400,60.558725
-0.187137,400,60.772118
10.226586,113,60.812624
0.399888,400,60.9581
10.243722,93,60.992505
10.90306,169,61.051171
0.268377,400,61.191146
0.39807,400,61.340597
0.615237,400,61.981779
-0.192268,400,62.14102
-0.031927,400,62.284533
0.277112,400,62.429377
10.509922,75,62.457168
0.110762,400,63.069477
10.754238,167,63.566166
-0.234588,400,63.815355
0.495353,400,63.966963
0.39856,400,64.111869
0.224231,400,64.257103
10.673969,107,64.295753
-0.229915,400,64.897612
10.275314,67,64.94135
0.122593,400,65.103268
10.153697,72,65.128673
-0.873322,400,65.274172
10.850073,180,65.335085
10.191648,61,65.359608
0.242101,400,65.505818
10.681519,111,65.5433
10.392534,82,65.573569
0.415722,400,66.230693
0.576426,400,66.384345
0.402858,400,66.529093
0.008029,400,66.675937
10.537641,119,66.720932
10.691836,107,66.758599
0.401391,400,67.384317
0.098452,400,67.590702
10.523174,75,67.618172
0.22177,400,67.766848
10.568703,78,67.791664
10.979178,91,67.828091
0.424372,400,67.97109
-0.524295,400,68.109595
10.858344,197,68.637304
0.441767,400,68.835046
10.792017,231,68.911733
10.401236,62,68.937673
10.311609,87,68.968782
10.793895,92,69.003165
10.9166,194,69.075142
-0.368203,400,69.219548
10.391034,80,69.246605
-0.796238,400,69.927217
10.448789,46,70.343957
-0.423414,400,70.567568
10.99791,91,70.598094
0.405386,400,70.744748
10.696254,171,70.805568
10.268446,89,70.84192
10.187923,91,70.876014
-0.272354,400,71.017231
0.121581,400,71.609083
0.529674,400,71.821966
10.648657,159,71.892202
-0.022417,400,72.085251
10.917953,88,72.129458
10.477377,93,72.171496
0.016807,400,72.339827
0.396708,400,72.498891
0.493269,400,73.403746
0.105302,400,73.558454
0.177799,400,73.708792
10.143549,74,73.736692
10.845839,172,73.80711
0.663987,400,73.969095
0.375496,400,74.657489
10.897572,166,74.758138
10.299785,101,74.801711
-0.04367,400,74.965019
10.801678,197,75.039808
0.240297,400,75.186504
0.405615,400,75.339501
10.680048,105,75.376665
10.866128,89,75.409575
0.501014,400,76.072817
0.096466,400,76.291076
0.360517,400,76.475684
10.179515,89,76.532646
-0.532722,400,77.150806
10.110276,71,77.1775
0.422678,400,77.787724
10.448032,72,77.820823
0.252922,400,78.020575
0.622185,400,78.202235
-0.253954,400,78.375744
