#{"t_start": 1754320028.351042, "env_id": "None"}
r,l,t
-0.167208,400,4.738731
-1.055618,400,4.851816
0.199459,400,4.977551
0.118585,400,5.084217
0.551803,400,5.198203
0.476173,400,10.344352
0.378523,400,10.463011
0.126249,400,10.577783
-0.042169,400,10.692449
10.06765,68,10.710578
0.085226,400,15.813044
0.144068,400,15.929694
0.551506,400,16.059625
-0.184048,400,16.174231
0.195701,400,16.286891
-0.037733,400,22.996694
0.099904,400,23.129621
-0.103367,400,23.275674
0.589617,400,23.425757
0.209286,400,23.580942
0.583072,400,30.319176
0.686781,400,30.444737
0.642434,400,30.566092
-0.678293,400,30.690341
0.06765,400,30.821424
0.422214,400,36.771642
-0.870891,400,36.965467
0.485767,400,37.109733
-0.379385,400,37.248702
0.555241,400,37.369154
0.254441,400,43.24276
-0.424293,400,43.356333
10.221512,72,43.378248
-0.456423,400,43.490463
-0.677423,400,43.607344
0.546649,400,49.391511
0.698665,400,49.504977
0.590195,400,49.619151
0.672688,400,49.730504
-0.386072,400,49.842205
400,8.849787
-0.451035,400,8.979701
0.121681,400,9.101348
-0.818993,400,9.225608
-0.344499,400,9.356302
-0.615128,400,9.853043
0.196242,400,9.992981
-1.00218,400,10.117749
0.207086,400,10.242352
-0.726812,400,10.861656
-1.272157,400,11.32532
0.184818,400,11.466197
-1.336985,400,11.596684
-0.354983,400,11.729277
-0.203055,400,11.853891
0.111683,400,12.322826
0.409113,400,12.470018
-1.26259,400,12.588674
-0.615689,400,12.720056
0.217483,400,12.842141
-0.689309,400,13.322296
-0.561643,400,13.472237
-0.234298,400,13.593605
0.051028,400,13.716336
-0.128291,400,13.85572
-0.938964,400,14.299382
-0.908679,400,14.460879
0.280757,400,14.582997
0.232884,400,14.708514
0.329723,400,14.836371
0.221724,400,15.312377
-0.309364,400,15.471073
-0.12177,400,15.588057
-0.887066,400,15.711992
0.142839,400,16.43575
-0.019782,400,16.892819
0.333847,400,17.097944
-0.286715,400,17.256542
-1.053896,400,17.399318
-0.88694,400,17.534032
-0.302025,400,18.040106
0.267795,400,18.242501
0.196482,400,18.433171
10.09719,99,18.479914
0.240546,400,18.67455
0.356549,400,18.844145
0.21596,400,19.46004
0.33394,400,19.656498
-0.715677,400,19.817719
0.400922,400,19.969879
-0.51671,400,20.126758
-0.990609,400,20.798449
0.422097,400,21.019977
-0.117753,400,21.21742
0.253057,400,21.413468
-0.656147,400,21.628628
0.442839,400,21.806358
-0.833611,400,22.533311
0.763558,400,22.727522
0.140087,400,23.63847
-1.344476,400,23.817803
-1.584976,400,23.967903
0.073316,400,24.645999
0.17984,400,24.855016
-0.732193,400,25.060379
-0.042191,400,25.231154
-0.405127,400,25.406695
-0.417065,400,26.049632
-1.183383,400,26.207701
0.375858,400,26.348232
-0.367483,400,26.48903
0.058398,400,26.629302
-0.277297,400,27.297588
-0.374779,400,27.470097
-0.225316,400,27.624497
0.434772,400,27.794391
0.526309,400,27.954178
0.361429,400,28.625631
0.224571,400,28.829838
0.25195,400,28.988415
0.446626,400,29.144956
0.380314,400,29.315872
-0.099176,400,29.899073
0.191869,400,30.082566
0.286545,400,30.878627
-0.27101,400,31.020495
-0.299268,400,31.156033
-0.432993,400,31.741461
-0.185371,400,31.927334
10.169769,70,31.954129
0.125049,400,32.106545
-0.095553,400,32.261765
0.38184,400,32.4131
-0.203176,400,33.054367
0.357895,400,33.233545
0.462465,400,33.373029
-0.860099,400,33.511482
-1.052601,400,33.662494
-1.41867,400,34.210128
-0.933746,400,34.388172
-0.212526,400,34.522575
0.234035,400,34.658443
0.285459,400,34.809043
0.020945,400,35.30941
0.392459,400,35.49383
-1.614157,400,35.616196
-0.059493,400,35.736163
-0.891775,400,35.865162
0.093276,400,36.002671
-0.567268,400,36.53633
-0.507314,400,37.452954
-1.002771,400,37.57864
-0.645022,400,37.705148
0.368581,400,37.857148
0.45159,400,38.574658
-0.066286,400,38.744471
-0.424664,400,38.870302
0.354726,400,38.99523
-0.14891,400,39.117368
-0.637027,400,39.72922
-0.000544,400,39.881998
-0.181991,400,40.016202
-0.390413,400,40.1429
0.386127,400,40.272112
-0.487337,400,40.77611
0.402023,400,40.930073
0.38142,400,41.051192
0.358708,400,41.177218
0.392831,400,41.302803
0.110234,400,41.927184
0.028905,400,42.089329
0.356528,400,42.242232
0.395937,400,42.369824
0.087359,400,42.508105
-0.709491,400,43.018891
-1.11366,400,43.693486
0.382615,400,43.819575
0.296867,400,43.943206
0.538876,400,44.067075
-0.874405,400,44.527706
-0.841463,400,44.704496
-0.000482,400,44.841777
-0.112283,400,45.001683
0.356926,400,45.135821
-0.976721,400,45.605487
0.00912,400,45.777269
0.001694,400,45.946595
10.102635,56,45.966535
0.300889,400,46.115162
0.320983,400,46.250359
10.821474,400,46.833508
-0.245677,400,47.035025
0.219061,400,47.164047
0.313391,400,47.299617
0.35368,400,47.432712
-0.661594,400,48.038027
0.388443,400,48.263687
-1.391349,400,48.416235
-1.023681,400,48.573548
0.746288,400,48.700375
0.382649,400,48.830117
0.345559,400,49.953803
0.443875,400,50.116139
0.071298,400,50.290308
0.505871,400,50.421212
0.297412,400,50.555596
0.266416,400,51.038572
0.312418,400,51.188432
0.518444,400,51.31611
-0.034542,400,51.456513
0.591544,400,51.58886
-0.67154,400,52.145533
-1.067643,400,52.294416
-1.391161,400,52.423858
0.416617,400,52.55966
-0.398113,400,52.685991
0.242798,400,53.170674
-0.811615,400,53.329583
0.556447,400,53.454507
0.517167,400,53.636992
0.403849,400,53.791446
-0.952779,400,54.28876
0.140203,400,54.461638
-0.12582,400,54.611416
0.623705,400,54.778393
